quote_date,paper,exch,open,high,low,close,volume,value
20171120,AC-AALSB,Fonds,1035.02,1035.02,1035.02,1035.02,0,0
20171117,AC-AALSB,Fonds,1027.53,1027.53,1027.53,1027.53,0,0
20171116,AC-AALSB,Fonds,1025.47,1025.47,1025.47,1025.47,0,0
20171115,AC-AALSB,Fonds,1015.80,1015.80,1015.80,1015.80,0,0
20171114,AC-AALSB,Fonds,1006.35,1006.35,1006.35,1006.35,0,0
20171113,AC-AALSB,Fonds,1014.29,1014.29,1014.29,1014.29,0,0
20171110,AC-AALSB,Fonds,1019.84,1019.84,1019.84,1019.84,0,0
20171109,AC-AALSB,Fonds,1020.99,1020.99,1020.99,1020.99,0,0
20171108,AC-AALSB,Fonds,1028.98,1028.98,1028.98,1028.98,0,0
20171107,AC-AALSB,Fonds,1034.99,1034.99,1034.99,1034.99,0,0
20171106,AC-AALSB,Fonds,1036.71,1036.71,1036.71,1036.71,0,0
20171103,AC-AALSB,Fonds,1044.62,1044.62,1044.62,1044.62,0,0
20171102,AC-AALSB,Fonds,1030.58,1030.58,1030.58,1030.58,0,0
20171101,AC-AALSB,Fonds,1029.26,1029.26,1029.26,1029.26,0,0
20171031,AC-AALSB,Fonds,1032.16,1032.16,1032.16,1032.16,0,0
20171026,AC-AALSB,Fonds,1032.00,1032.00,1032.00,1032.00,0,0
20171025,AC-AALSB,Fonds,1035.47,1035.47,1035.47,1035.47,0,0
20171024,AC-AALSB,Fonds,1038.55,1038.55,1038.55,1038.55,0,0
20171023,AC-AALSB,Fonds,1049.83,1049.83,1049.83,1049.83,0,0
20171020,AC-AALSB,Fonds,1057.52,1057.52,1057.52,1057.52,0,0
20171019,AC-AALSB,Fonds,1060.01,1060.01,1060.01,1060.01,0,0
20171018,AC-AALSB,Fonds,1064.74,1064.74,1064.74,1064.74,0,0
20171017,AC-AALSB,Fonds,1065.93,1065.93,1065.93,1065.93,0,0
20171016,AC-AALSB,Fonds,1058.65,1058.65,1058.65,1058.65,0,0
20171013,AC-AALSB,Fonds,1057.45,1057.45,1057.45,1057.45,0,0
20171012,AC-AALSB,Fonds,1065.99,1065.99,1065.99,1065.99,0,0
20171011,AC-AALSB,Fonds,1073.32,1073.32,1073.32,1073.32,0,0
20171010,AC-AALSB,Fonds,1072.84,1072.84,1072.84,1072.84,0,0
20171009,AC-AALSB,Fonds,1074.35,1074.35,1074.35,1074.35,0,0
20171006,AC-AALSB,Fonds,1082.02,1082.02,1082.02,1082.02,0,0
20171005,AC-AALSB,Fonds,1088.15,1088.15,1088.15,1088.15,0,0
20171004,AC-AALSB,Fonds,1082.63,1082.63,1082.63,1082.63,0,0
20171003,AC-AALSB,Fonds,1082.51,1082.51,1082.51,1082.51,0,0
20171002,AC-AALSB,Fonds,1086.96,1086.96,1086.96,1086.96,0,0
20170929,AC-AALSB,Fonds,1069.52,1069.52,1069.52,1069.52,0,0
20170928,AC-AALSB,Fonds,1057.29,1057.29,1057.29,1057.29,0,0
20170927,AC-AALSB,Fonds,1048.33,1048.33,1048.33,1048.33,0,0
20170926,AC-AALSB,Fonds,1037.58,1037.58,1037.58,1037.58,0,0
20170925,AC-AALSB,Fonds,1038.12,1038.12,1038.12,1038.12,0,0
20170922,AC-AALSB,Fonds,1034.44,1034.44,1034.44,1034.44,0,0
20170921,AC-AALSB,Fonds,1037.79,1037.79,1037.79,1037.79,0,0
20170920,AC-AALSB,Fonds,1048.12,1048.12,1048.12,1048.12,0,0
20170919,AC-AALSB,Fonds,1041.72,1041.72,1041.72,1041.72,0,0
20170918,AC-AALSB,Fonds,1045.83,1045.83,1045.83,1045.83,0,0
20170915,AC-AALSB,Fonds,1044.95,1044.95,1044.95,1044.95,0,0
20170914,AC-AALSB,Fonds,1052.66,1052.66,1052.66,1052.66,0,0
