quote_date,paper,exch,open,high,low,close,volume,value
20171109,AC-AALSC,Fonds,1044.09,1044.09,1044.09,1044.09,0,0
20171108,AC-AALSC,Fonds,1052.32,1052.32,1052.32,1052.32,0,0
20171107,AC-AALSC,Fonds,1060.00,1060.00,1060.00,1060.00,0,0
20171106,AC-AALSC,Fonds,1062.54,1062.54,1062.54,1062.54,0,0
20171103,AC-AALSC,Fonds,1071.11,1071.11,1071.11,1071.11,0,0
20171102,AC-AALSC,Fonds,1055.79,1055.79,1055.79,1055.79,0,0
20171101,AC-AALSC,Fonds,1053.07,1053.07,1053.07,1053.07,0,0
20171031,AC-AALSC,Fonds,1056.92,1056.92,1056.92,1056.92,0,0
20171026,AC-AALSC,Fonds,1055.50,1055.50,1055.50,1055.50,0,0
20171025,AC-AALSC,Fonds,1059.72,1059.72,1059.72,1059.72,0,0
20171024,AC-AALSC,Fonds,1062.51,1062.51,1062.51,1062.51,0,0
20171023,AC-AALSC,Fonds,1074.34,1074.34,1074.34,1074.34,0,0
20171020,AC-AALSC,Fonds,1083.31,1083.31,1083.31,1083.31,0,0
20171019,AC-AALSC,Fonds,1085.72,1085.72,1085.72,1085.72,0,0
20171018,AC-AALSC,Fonds,1092.18,1092.18,1092.18,1092.18,0,0
20171017,AC-AALSC,Fonds,1093.72,1093.72,1093.72,1093.72,0,0
20171016,AC-AALSC,Fonds,1087.28,1087.28,1087.28,1087.28,0,0
20171013,AC-AALSC,Fonds,1085.77,1085.77,1085.77,1085.77,0,0
20171012,AC-AALSC,Fonds,1095.43,1095.43,1095.43,1095.43,0,0
20171011,AC-AALSC,Fonds,1103.39,1103.39,1103.39,1103.39,0,0
20171010,AC-AALSC,Fonds,1102.88,1102.88,1102.88,1102.88,0,0
20171009,AC-AALSC,Fonds,1104.79,1104.79,1104.79,1104.79,0,0
20171006,AC-AALSC,Fonds,1112.95,1112.95,1112.95,1112.95,0,0
20171005,AC-AALSC,Fonds,1120.79,1120.79,1120.79,1120.79,0,0
20171004,AC-AALSC,Fonds,1114.94,1114.94,1114.94,1114.94,0,0
20171003,AC-AALSC,Fonds,1114.81,1114.81,1114.81,1114.81,0,0
20171002,AC-AALSC,Fonds,1119.73,1119.73,1119.73,1119.73,0,0
