quote_date,paper,exch,open,high,low,close,volume,value
20171109,AC-ANECA,Fonds,1673.47,1673.47,1673.47,1673.47,0,0
20171108,AC-ANECA,Fonds,1696.08,1696.08,1696.08,1696.08,0,0
20171107,AC-ANECA,Fonds,1690.86,1690.86,1690.86,1690.86,0,0
20171106,AC-ANECA,Fonds,1702.60,1702.60,1702.60,1702.60,0,0
20171103,AC-ANECA,Fonds,1695.77,1695.77,1695.77,1695.77,0,0
20171102,AC-ANECA,Fonds,1674.05,1674.05,1674.05,1674.05,0,0
20171101,AC-ANECA,Fonds,1679.70,1679.70,1679.70,1679.70,0,0
20171031,AC-ANECA,Fonds,1668.06,1668.06,1668.06,1668.06,0,0
20171026,AC-ANECA,Fonds,1650.45,1650.45,1650.45,1650.45,0,0
20171025,AC-ANECA,Fonds,1656.00,1656.00,1656.00,1656.00,0,0
20171024,AC-ANECA,Fonds,1659.59,1659.59,1659.59,1659.59,0,0
20171023,AC-ANECA,Fonds,1666.00,1666.00,1666.00,1666.00,0,0
20171020,AC-ANECA,Fonds,1670.64,1670.64,1670.64,1670.64,0,0
20171019,AC-ANECA,Fonds,1666.54,1666.54,1666.54,1666.54,0,0
20171018,AC-ANECA,Fonds,1671.43,1671.43,1671.43,1671.43,0,0
20171017,AC-ANECA,Fonds,1671.77,1671.77,1671.77,1671.77,0,0
20171016,AC-ANECA,Fonds,1680.74,1680.74,1680.74,1680.74,0,0
20171013,AC-ANECA,Fonds,1680.48,1680.48,1680.48,1680.48,0,0
20171012,AC-ANECA,Fonds,1679.99,1679.99,1679.99,1679.99,0,0
20171011,AC-ANECA,Fonds,1683.88,1683.88,1683.88,1683.88,0,0
20171010,AC-ANECA,Fonds,1686.64,1686.64,1686.64,1686.64,0,0
20171009,AC-ANECA,Fonds,1685.83,1685.83,1685.83,1685.83,0,0
20171006,AC-ANECA,Fonds,1687.82,1687.82,1687.82,1687.82,0,0
20171005,AC-ANECA,Fonds,1695.52,1695.52,1695.52,1695.52,0,0
20171004,AC-ANECA,Fonds,1687.82,1687.82,1687.82,1687.82,0,0
20171003,AC-ANECA,Fonds,1688.04,1688.04,1688.04,1688.04,0,0
20171002,AC-ANECA,Fonds,1680.88,1680.88,1680.88,1680.88,0,0
20170929,AC-ANECA,Fonds,1670.23,1670.23,1670.23,1670.23,0,0
20170928,AC-ANECA,Fonds,1672.64,1672.64,1672.64,1672.64,0,0
20170927,AC-ANECA,Fonds,1665.87,1665.87,1665.87,1665.87,0,0
20170926,AC-ANECA,Fonds,1660.61,1660.61,1660.61,1660.61,0,0
20170925,AC-ANECA,Fonds,1672.97,1672.97,1672.97,1672.97,0,0
20170922,AC-ANECA,Fonds,1670.36,1670.36,1670.36,1670.36,0,0
20170921,AC-ANECA,Fonds,1662.40,1662.40,1662.40,1662.40,0,0
20170920,AC-ANECA,Fonds,1658.68,1658.68,1658.68,1658.68,0,0
20170919,AC-ANECA,Fonds,1657.53,1657.53,1657.53,1657.53,0,0
20170918,AC-ANECA,Fonds,1653.85,1653.85,1653.85,1653.85,0,0
20170915,AC-ANECA,Fonds,1648.68,1648.68,1648.68,1648.68,0,0
20170914,AC-ANECA,Fonds,1660.12,1660.12,1660.12,1660.12,0,0
20170913,AC-ANECA,Fonds,1660.62,1660.62,1660.62,1660.62,0,0
20170912,AC-ANECA,Fonds,1657.99,1657.99,1657.99,1657.99,0,0
20170911,AC-ANECA,Fonds,1652.10,1652.10,1652.10,1652.10,0,0
20170908,AC-ANECA,Fonds,1646.25,1646.25,1646.25,1646.25,0,0
20170907,AC-ANECA,Fonds,1652.02,1652.02,1652.02,1652.02,0,0
20170906,AC-ANECA,Fonds,1644.85,1644.85,1644.85,1644.85,0,0
20170905,AC-ANECA,Fonds,1657.42,1657.42,1657.42,1657.42,0,0
20170904,AC-ANECA,Fonds,1660.58,1660.58,1660.58,1660.58,0,0
20170901,AC-ANECA,Fonds,1670.99,1670.99,1670.99,1670.99,0,0
20170830,AC-ANECA,Fonds,1635.93,1635.93,1635.93,1635.93,0,0
20170829,AC-ANECA,Fonds,1625.42,1625.42,1625.42,1625.42,0,0
20170828,AC-ANECA,Fonds,1636.86,1636.86,1636.86,1636.86,0,0
20170825,AC-ANECA,Fonds,1648.83,1648.83,1648.83,1648.83,0,0
20170824,AC-ANECA,Fonds,1646.42,1646.42,1646.42,1646.42,0,0
20170823,AC-ANECA,Fonds,1648.23,1648.23,1648.23,1648.23,0,0
20170822,AC-ANECA,Fonds,1650.39,1650.39,1650.39,1650.39,0,0
20170821,AC-ANECA,Fonds,1636.23,1636.23,1636.23,1636.23,0,0
20170818,AC-ANECA,Fonds,1639.17,1639.17,1639.17,1639.17,0,0
20170817,AC-ANECA,Fonds,1646.41,1646.41,1646.41,1646.41,0,0
20170816,AC-ANECA,Fonds,1658.86,1658.86,1658.86,1658.86,0,0
20170815,AC-ANECA,Fonds,1639.88,1639.88,1639.88,1639.88,0,0
20170814,AC-ANECA,Fonds,1645.67,1645.67,1645.67,1645.67,0,0
20170811,AC-ANECA,Fonds,1636.84,1636.84,1636.84,1636.84,0,0
20170810,AC-ANECA,Fonds,1645.28,1645.28,1645.28,1645.28,0,0
20170809,AC-ANECA,Fonds,1657.95,1657.95,1657.95,1657.95,0,0
20170808,AC-ANECA,Fonds,1658.73,1658.73,1658.73,1658.73,0,0
20170803,AC-ANECA,Fonds,1651.06,1651.06,1651.06,1651.06,0,0
20170802,AC-ANECA,Fonds,1653.30,1653.30,1653.30,1653.30,0,0
20170801,AC-ANECA,Fonds,1662.47,1662.47,1662.47,1662.47,0,0
20170731,AC-ANECA,Fonds,1655.99,1655.99,1655.99,1655.99,0,0
20170728,AC-ANECA,Fonds,1656.66,1656.66,1656.66,1656.66,0,0
20170727,AC-ANECA,Fonds,1666.18,1666.18,1666.18,1666.18,0,0
20170726,AC-ANECA,Fonds,1660.64,1660.64,1660.64,1660.64,0,0
20170725,AC-ANECA,Fonds,1652.62,1652.62,1652.62,1652.62,0,0
20170724,AC-ANECA,Fonds,1652.90,1652.90,1652.90,1652.90,0,0
20170721,AC-ANECA,Fonds,1656.30,1656.30,1656.30,1656.30,0,0
20170720,AC-ANECA,Fonds,1675.39,1675.39,1675.39,1675.39,0,0
20170719,AC-ANECA,Fonds,1675.77,1675.77,1675.77,1675.77,0,0
20170718,AC-ANECA,Fonds,1665.11,1665.11,1665.11,1665.11,0,0
20170717,AC-ANECA,Fonds,1676.74,1676.74,1676.74,1676.74,0,0
20170714,AC-ANECA,Fonds,1663.07,1663.07,1663.07,1663.07,0,0
20170713,AC-ANECA,Fonds,1660.20,1660.20,1660.20,1660.20,0,0
20170712,AC-ANECA,Fonds,1652.19,1652.19,1652.19,1652.19,0,0
20170711,AC-ANECA,Fonds,1624.26,1624.26,1624.26,1624.26,0,0
20170710,AC-ANECA,Fonds,1632.01,1632.01,1632.01,1632.01,0,0
20170707,AC-ANECA,Fonds,1623.89,1623.89,1623.89,1623.89,0,0
20170706,AC-ANECA,Fonds,1620.97,1620.97,1620.97,1620.97,0,0
20170705,AC-ANECA,Fonds,1631.05,1631.05,1631.05,1631.05,0,0
20170704,AC-ANECA,Fonds,1625.56,1625.56,1625.56,1625.56,0,0
20170703,AC-ANECA,Fonds,1633.74,1633.74,1633.74,1633.74,0,0
20170630,AC-ANECA,Fonds,1617.26,1617.26,1617.26,1617.26,0,0
20170629,AC-ANECA,Fonds,1606.62,1606.62,1606.62,1606.62,0,0
20170628,AC-ANECA,Fonds,1623.60,1623.60,1623.60,1623.60,0,0
20170627,AC-ANECA,Fonds,1629.96,1629.96,1629.96,1629.96,0,0
20170626,AC-ANECA,Fonds,1650.16,1650.16,1650.16,1650.16,0,0
20170623,AC-ANECA,Fonds,1651.76,1651.76,1651.76,1651.76,0,0
20170622,AC-ANECA,Fonds,1649.31,1649.31,1649.31,1649.31,0,0
20170621,AC-ANECA,Fonds,1650.44,1650.44,1650.44,1650.44,0,0
20170620,AC-ANECA,Fonds,1659.43,1659.43,1659.43,1659.43,0,0
20170619,AC-ANECA,Fonds,1663.31,1663.31,1663.31,1663.31,0,0
20170616,AC-ANECA,Fonds,1646.74,1646.74,1646.74,1646.74,0,0
20170615,AC-ANECA,Fonds,1631.41,1631.41,1631.41,1631.41,0,0
20170614,AC-ANECA,Fonds,1651.36,1651.36,1651.36,1651.36,0,0
20170613,AC-ANECA,Fonds,1644.28,1644.28,1644.28,1644.28,0,0
20170612,AC-ANECA,Fonds,1623.94,1623.94,1623.94,1623.94,0,0
20170609,AC-ANECA,Fonds,1630.14,1630.14,1630.14,1630.14,0,0
20170608,AC-ANECA,Fonds,1627.66,1627.66,1627.66,1627.66,0,0
20170607,AC-ANECA,Fonds,1627.20,1627.20,1627.20,1627.20,0,0
20170606,AC-ANECA,Fonds,1630.86,1630.86,1630.86,1630.86,0,0
20170602,AC-ANECA,Fonds,1640.76,1640.76,1640.76,1640.76,0,0
20170601,AC-ANECA,Fonds,1628.16,1628.16,1628.16,1628.16,0,0
20170531,AC-ANECA,Fonds,1624.52,1624.52,1624.52,1624.52,0,0
20170530,AC-ANECA,Fonds,1629.50,1629.50,1629.50,1629.50,0,0
20170529,AC-ANECA,Fonds,1621.96,1621.96,1621.96,1621.96,0,0
20170526,AC-ANECA,Fonds,1632.18,1632.18,1632.18,1632.18,0,0
20170524,AC-ANECA,Fonds,1633.13,1633.13,1633.13,1633.13,0,0
20170523,AC-ANECA,Fonds,1630.55,1630.55,1630.55,1630.55,0,0
20170522,AC-ANECA,Fonds,1624.17,1624.17,1624.17,1624.17,0,0
20170519,AC-ANECA,Fonds,1623.01,1623.01,1623.01,1623.01,0,0
20170518,AC-ANECA,Fonds,1597.72,1597.72,1597.72,1597.72,0,0
20170516,AC-ANECA,Fonds,1635.46,1635.46,1635.46,1635.46,0,0
20170515,AC-ANECA,Fonds,1632.65,1632.65,1632.65,1632.65,0,0
20170512,AC-ANECA,Fonds,1635.31,1635.31,1635.31,1635.31,0,0
20170511,AC-ANECA,Fonds,1634.46,1634.46,1634.46,1634.46,0,0
20170510,AC-ANECA,Fonds,1629.87,1629.87,1629.87,1629.87,0,0
20170509,AC-ANECA,Fonds,1625.43,1625.43,1625.43,1625.43,0,0
20170508,AC-ANECA,Fonds,1621.52,1621.52,1621.52,1621.52,0,0
20170505,AC-ANECA,Fonds,1619.64,1619.64,1619.64,1619.64,0,0
20170504,AC-ANECA,Fonds,1597.03,1597.03,1597.03,1597.03,0,0
20170503,AC-ANECA,Fonds,1600.74,1600.74,1600.74,1600.74,0,0
20170502,AC-ANECA,Fonds,1607.16,1607.16,1607.16,1607.16,0,0
20170428,AC-ANECA,Fonds,1594.08,1594.08,1594.08,1594.08,0,0
20170427,AC-ANECA,Fonds,1602.19,1602.19,1602.19,1602.19,0,0
20170426,AC-ANECA,Fonds,1596.32,1596.32,1596.32,1596.32,0,0
20170425,AC-ANECA,Fonds,1580.67,1580.67,1580.67,1580.67,0,0
20170424,AC-ANECA,Fonds,1568.61,1568.61,1568.61,1568.61,0,0
20170421,AC-ANECA,Fonds,1545.33,1545.33,1545.33,1545.33,0,0
20170420,AC-ANECA,Fonds,1556.20,1556.20,1556.20,1556.20,0,0
20170419,AC-ANECA,Fonds,1552.88,1552.88,1552.88,1552.88,0,0
20170418,AC-ANECA,Fonds,1554.97,1554.97,1554.97,1554.97,0,0
20170412,AC-ANECA,Fonds,1567.12,1567.12,1567.12,1567.12,0,0
20170411,AC-ANECA,Fonds,1549.67,1549.67,1549.67,1549.67,0,0
20170410,AC-ANECA,Fonds,1551.53,1551.53,1551.53,1551.53,0,0
20170407,AC-ANECA,Fonds,1542.38,1542.38,1542.38,1542.38,0,0
20170406,AC-ANECA,Fonds,1538.37,1538.37,1538.37,1538.37,0,0
20170405,AC-ANECA,Fonds,1530.87,1530.87,1530.87,1530.87,0,0
20170404,AC-ANECA,Fonds,1520.94,1520.94,1520.94,1520.94,0,0
20170403,AC-ANECA,Fonds,1527.05,1527.05,1527.05,1527.05,0,0
20170331,AC-ANECA,Fonds,1524.66,1524.66,1524.66,1524.66,0,0
20170330,AC-ANECA,Fonds,1521.60,1521.60,1521.60,1521.60,0,0
20170329,AC-ANECA,Fonds,1513.26,1513.26,1513.26,1513.26,0,0
20170328,AC-ANECA,Fonds,1508.83,1508.83,1508.83,1508.83,0,0
20170327,AC-ANECA,Fonds,1501.98,1501.98,1501.98,1501.98,0,0
20170324,AC-ANECA,Fonds,1522.38,1522.38,1522.38,1522.38,0,0
20170323,AC-ANECA,Fonds,1526.43,1526.43,1526.43,1526.43,0,0
20170322,AC-ANECA,Fonds,1525.81,1525.81,1525.81,1525.81,0,0
20170321,AC-ANECA,Fonds,1538.62,1538.62,1538.62,1538.62,0,0
20170320,AC-ANECA,Fonds,1557.55,1557.55,1557.55,1557.55,0,0
20170315,AC-ANECA,Fonds,1554.51,1554.51,1554.51,1554.51,0,0
20170314,AC-ANECA,Fonds,1553.08,1553.08,1553.08,1553.08,0,0
20170313,AC-ANECA,Fonds,1554.35,1554.35,1554.35,1554.35,0,0
20170310,AC-ANECA,Fonds,1536.89,1536.89,1536.89,1536.89,0,0
20170309,AC-ANECA,Fonds,1541.52,1541.52,1541.52,1541.52,0,0
20170308,AC-ANECA,Fonds,1544.75,1544.75,1544.75,1544.75,0,0
20170307,AC-ANECA,Fonds,1551.39,1551.39,1551.39,1551.39,0,0
20170306,AC-ANECA,Fonds,1549.47,1549.47,1549.47,1549.47,0,0
20170303,AC-ANECA,Fonds,1558.17,1558.17,1558.17,1558.17,0,0
20170302,AC-ANECA,Fonds,1569.62,1569.62,1569.62,1569.62,0,0
20170301,AC-ANECA,Fonds,1575.72,1575.72,1575.72,1575.72,0,0
20170228,AC-ANECA,Fonds,1554.29,1554.29,1554.29,1554.29,0,0
20170227,AC-ANECA,Fonds,1550.87,1550.87,1550.87,1550.87,0,0
20170224,AC-ANECA,Fonds,1560.33,1560.33,1560.33,1560.33,0,0
20170223,AC-ANECA,Fonds,1575.41,1575.41,1575.41,1575.41,0,0
