quote_date,paper,exch,open,high,low,close,volume,value
20171109,AC-ARCLR,Fonds,1011.33,1011.33,1011.33,1011.33,0,0
20171108,AC-ARCLR,Fonds,1011.33,1011.33,1011.33,1011.33,0,0
20171107,AC-ARCLR,Fonds,1011.23,1011.23,1011.23,1011.23,0,0
20171106,AC-ARCLR,Fonds,1011.14,1011.14,1011.14,1011.14,0,0
20171103,AC-ARCLR,Fonds,1010.83,1010.83,1010.83,1010.83,0,0
20171102,AC-ARCLR,Fonds,1010.79,1010.79,1010.79,1010.79,0,0
20171101,AC-ARCLR,Fonds,1010.88,1010.88,1010.88,1010.88,0,0
20171031,AC-ARCLR,Fonds,1011.02,1011.02,1011.02,1011.02,0,0
20171026,AC-ARCLR,Fonds,1010.53,1010.53,1010.53,1010.53,0,0
20171025,AC-ARCLR,Fonds,1010.60,1010.60,1010.60,1010.60,0,0
20171024,AC-ARCLR,Fonds,1010.53,1010.53,1010.53,1010.53,0,0
20171023,AC-ARCLR,Fonds,1010.40,1010.40,1010.40,1010.40,0,0
20171020,AC-ARCLR,Fonds,1010.29,1010.29,1010.29,1010.29,0,0
20171019,AC-ARCLR,Fonds,1010.11,1010.11,1010.11,1010.11,0,0
20171018,AC-ARCLR,Fonds,1010.32,1010.32,1010.32,1010.32,0,0
20171017,AC-ARCLR,Fonds,1010.22,1010.22,1010.22,1010.22,0,0
20171016,AC-ARCLR,Fonds,1010.16,1010.16,1010.16,1010.16,0,0
20171013,AC-ARCLR,Fonds,1009.85,1009.85,1009.85,1009.85,0,0
20171012,AC-ARCLR,Fonds,1009.85,1009.85,1009.85,1009.85,0,0
20171011,AC-ARCLR,Fonds,1009.93,1009.93,1009.93,1009.93,0,0
20171010,AC-ARCLR,Fonds,1009.90,1009.90,1009.90,1009.90,0,0
20171009,AC-ARCLR,Fonds,1009.30,1009.30,1009.30,1009.30,0,0
20171006,AC-ARCLR,Fonds,1009.14,1009.14,1009.14,1009.14,0,0
20171005,AC-ARCLR,Fonds,1009.06,1009.06,1009.06,1009.06,0,0
20171004,AC-ARCLR,Fonds,1009.03,1009.03,1009.03,1009.03,0,0
20171003,AC-ARCLR,Fonds,1008.95,1008.95,1008.95,1008.95,0,0
20171002,AC-ARCLR,Fonds,1008.93,1008.93,1008.93,1008.93,0,0
20170929,AC-ARCLR,Fonds,1008.68,1008.68,1008.68,1008.68,0,0
20170928,AC-ARCLR,Fonds,1008.69,1008.69,1008.69,1008.69,0,0
20170927,AC-ARCLR,Fonds,1008.79,1008.79,1008.79,1008.79,0,0
20170926,AC-ARCLR,Fonds,1008.76,1008.76,1008.76,1008.76,0,0
20170925,AC-ARCLR,Fonds,1008.67,1008.67,1008.67,1008.67,0,0
20170922,AC-ARCLR,Fonds,1008.47,1008.47,1008.47,1008.47,0,0
20170921,AC-ARCLR,Fonds,1008.47,1008.47,1008.47,1008.47,0,0
20170920,AC-ARCLR,Fonds,1008.43,1008.43,1008.43,1008.43,0,0
20170919,AC-ARCLR,Fonds,1008.38,1008.38,1008.38,1008.38,0,0
20170918,AC-ARCLR,Fonds,1008.31,1008.31,1008.31,1008.31,0,0
20170915,AC-ARCLR,Fonds,1008.09,1008.09,1008.09,1008.09,0,0
20170914,AC-ARCLR,Fonds,1007.91,1007.91,1007.91,1007.91,0,0
20170913,AC-ARCLR,Fonds,1007.77,1007.77,1007.77,1007.77,0,0
20170912,AC-ARCLR,Fonds,1007.73,1007.73,1007.73,1007.73,0,0
20170911,AC-ARCLR,Fonds,1007.60,1007.60,1007.60,1007.60,0,0
20170908,AC-ARCLR,Fonds,1007.40,1007.40,1007.40,1007.40,0,0
20170907,AC-ARCLR,Fonds,1007.36,1007.36,1007.36,1007.36,0,0
20170906,AC-ARCLR,Fonds,1007.34,1007.34,1007.34,1007.34,0,0
20170905,AC-ARCLR,Fonds,1007.19,1007.19,1007.19,1007.19,0,0
20170904,AC-ARCLR,Fonds,1007.19,1007.19,1007.19,1007.19,0,0
20170901,AC-ARCLR,Fonds,1007.01,1007.01,1007.01,1007.01,0,0
20170830,AC-ARCLR,Fonds,1006.84,1006.84,1006.84,1006.84,0,0
20170829,AC-ARCLR,Fonds,1006.87,1006.87,1006.87,1006.87,0,0
20170828,AC-ARCLR,Fonds,1006.81,1006.81,1006.81,1006.81,0,0
20170825,AC-ARCLR,Fonds,1006.61,1006.61,1006.61,1006.61,0,0
20170824,AC-ARCLR,Fonds,1006.46,1006.46,1006.46,1006.46,0,0
20170823,AC-ARCLR,Fonds,1006.37,1006.37,1006.37,1006.37,0,0
20170822,AC-ARCLR,Fonds,1006.36,1006.36,1006.36,1006.36,0,0
20170821,AC-ARCLR,Fonds,1006.34,1006.34,1006.34,1006.34,0,0
20170818,AC-ARCLR,Fonds,1006.04,1006.04,1006.04,1006.04,0,0
20170817,AC-ARCLR,Fonds,1006.05,1006.05,1006.05,1006.05,0,0
20170816,AC-ARCLR,Fonds,1005.95,1005.95,1005.95,1005.95,0,0
20170815,AC-ARCLR,Fonds,1005.91,1005.91,1005.91,1005.91,0,0
20170814,AC-ARCLR,Fonds,1005.90,1005.90,1005.90,1005.90,0,0
20170811,AC-ARCLR,Fonds,1005.66,1005.66,1005.66,1005.66,0,0
20170810,AC-ARCLR,Fonds,1005.77,1005.77,1005.77,1005.77,0,0
20170809,AC-ARCLR,Fonds,1005.67,1005.67,1005.67,1005.67,0,0
20170808,AC-ARCLR,Fonds,1005.69,1005.69,1005.69,1005.69,0,0
20170803,AC-ARCLR,Fonds,1005.33,1005.33,1005.33,1005.33,0,0
20170802,AC-ARCLR,Fonds,1005.12,1005.12,1005.12,1005.12,0,0
20170801,AC-ARCLR,Fonds,1005.11,1005.11,1005.11,1005.11,0,0
20170731,AC-ARCLR,Fonds,1004.99,1004.99,1004.99,1004.99,0,0
20170728,AC-ARCLR,Fonds,1004.78,1004.78,1004.78,1004.78,0,0
20170727,AC-ARCLR,Fonds,1004.73,1004.73,1004.73,1004.73,0,0
20170726,AC-ARCLR,Fonds,1004.54,1004.54,1004.54,1004.54,0,0
20170725,AC-ARCLR,Fonds,1004.48,1004.48,1004.48,1004.48,0,0
20170724,AC-ARCLR,Fonds,1004.34,1004.34,1004.34,1004.34,0,0
20170721,AC-ARCLR,Fonds,1004.21,1004.21,1004.21,1004.21,0,0
20170720,AC-ARCLR,Fonds,1004.27,1004.27,1004.27,1004.27,0,0
20170719,AC-ARCLR,Fonds,1004.03,1004.03,1004.03,1004.03,0,0
20170718,AC-ARCLR,Fonds,1004.09,1004.09,1004.09,1004.09,0,0
20170717,AC-ARCLR,Fonds,1003.96,1003.96,1003.96,1003.96,0,0
20170714,AC-ARCLR,Fonds,1003.76,1003.76,1003.76,1003.76,0,0
20170713,AC-ARCLR,Fonds,1003.62,1003.62,1003.62,1003.62,0,0
20170712,AC-ARCLR,Fonds,1003.53,1003.53,1003.53,1003.53,0,0
20170711,AC-ARCLR,Fonds,1003.54,1003.54,1003.54,1003.54,0,0
20170710,AC-ARCLR,Fonds,1003.45,1003.45,1003.45,1003.45,0,0
20170707,AC-ARCLR,Fonds,1003.19,1003.19,1003.19,1003.19,0,0
20170706,AC-ARCLR,Fonds,1003.19,1003.19,1003.19,1003.19,0,0
20170705,AC-ARCLR,Fonds,1003.08,1003.08,1003.08,1003.08,0,0
20170704,AC-ARCLR,Fonds,1002.91,1002.91,1002.91,1002.91,0,0
20170703,AC-ARCLR,Fonds,1002.90,1002.90,1002.90,1002.90,0,0
20170630,AC-ARCLR,Fonds,1002.51,1002.51,1002.51,1002.51,0,0
20170629,AC-ARCLR,Fonds,1002.55,1002.55,1002.55,1002.55,0,0
20170628,AC-ARCLR,Fonds,1001.93,1001.93,1001.93,1001.93,0,0
20170627,AC-ARCLR,Fonds,1001.84,1001.84,1001.84,1001.84,0,0
20170626,AC-ARCLR,Fonds,1001.71,1001.71,1001.71,1001.71,0,0
20170623,AC-ARCLR,Fonds,1001.44,1001.44,1001.44,1001.44,0,0
20170622,AC-ARCLR,Fonds,1001.36,1001.36,1001.36,1001.36,0,0
20170621,AC-ARCLR,Fonds,1001.35,1001.35,1001.35,1001.35,0,0
20170620,AC-ARCLR,Fonds,1001.30,1001.30,1001.30,1001.30,0,0
20170619,AC-ARCLR,Fonds,1001.26,1001.26,1001.26,1001.26,0,0
20170616,AC-ARCLR,Fonds,1001.00,1001.00,1001.00,1001.00,0,0
20170615,AC-ARCLR,Fonds,1000.96,1000.96,1000.96,1000.96,0,0
20170614,AC-ARCLR,Fonds,1000.89,1000.89,1000.89,1000.89,0,0
20170613,AC-ARCLR,Fonds,1000.72,1000.72,1000.72,1000.72,0,0
20170612,AC-ARCLR,Fonds,1000.58,1000.58,1000.58,1000.58,0,0
20170609,AC-ARCLR,Fonds,1000.38,1000.38,1000.38,1000.38,0,0
20170608,AC-ARCLR,Fonds,1000.36,1000.36,1000.36,1000.36,0,0
20170607,AC-ARCLR,Fonds,1000.72,1000.72,1000.72,1000.72,0,0
20170606,AC-ARCLR,Fonds,1000.59,1000.59,1000.59,1000.59,0,0
20170602,AC-ARCLR,Fonds,1000.28,1000.28,1000.28,1000.28,0,0
20170601,AC-ARCLR,Fonds,1000.06,1000.06,1000.06,1000.06,0,0
20170531,AC-ARCLR,Fonds,1000.00,1000.00,1000.00,1000.00,0,0
