quote_date,paper,exch,open,high,low,close,volume,value
20171109,AC-ARLSI,Fonds,1199.75,1199.75,1199.75,1199.75,0,0
20171108,AC-ARLSI,Fonds,1209.13,1209.13,1209.13,1209.13,0,0
20171107,AC-ARLSI,Fonds,1216.77,1216.77,1216.77,1216.77,0,0
20171106,AC-ARLSI,Fonds,1219.08,1219.08,1219.08,1219.08,0,0
20171103,AC-ARLSI,Fonds,1228.49,1228.49,1228.49,1228.49,0,0
20171102,AC-ARLSI,Fonds,1211.63,1211.63,1211.63,1211.63,0,0
20171101,AC-ARLSI,Fonds,1209.53,1209.53,1209.53,1209.53,0,0
20171031,AC-ARLSI,Fonds,1213.26,1213.26,1213.26,1213.26,0,0
20171026,AC-ARLSI,Fonds,1212.49,1212.49,1212.49,1212.49,0,0
20171025,AC-ARLSI,Fonds,1216.82,1216.82,1216.82,1216.82,0,0
20171024,AC-ARLSI,Fonds,1220.28,1220.28,1220.28,1220.28,0,0
20171023,AC-ARLSI,Fonds,1233.60,1233.60,1233.60,1233.60,0,0
20171020,AC-ARLSI,Fonds,1243.00,1243.00,1243.00,1243.00,0,0
20171019,AC-ARLSI,Fonds,1245.84,1245.84,1245.84,1245.84,0,0
20171018,AC-ARLSI,Fonds,1252.02,1252.02,1252.02,1252.02,0,0
20171017,AC-ARLSI,Fonds,1253.52,1253.52,1253.52,1253.52,0,0
20171016,AC-ARLSI,Fonds,1245.37,1245.37,1245.37,1245.37,0,0
20171013,AC-ARLSI,Fonds,1243.80,1243.80,1243.80,1243.80,0,0
20171012,AC-ARLSI,Fonds,1254.16,1254.16,1254.16,1254.16,0,0
20171011,AC-ARLSI,Fonds,1262.92,1262.92,1262.92,1262.92,0,0
20171010,AC-ARLSI,Fonds,1262.33,1262.33,1262.33,1262.33,0,0
20171009,AC-ARLSI,Fonds,1264.24,1264.24,1264.24,1264.24,0,0
20171006,AC-ARLSI,Fonds,1273.30,1273.30,1273.30,1273.30,0,0
20171005,AC-ARLSI,Fonds,1281.08,1281.08,1281.08,1281.08,0,0
20171004,AC-ARLSI,Fonds,1274.51,1274.51,1274.51,1274.51,0,0
20171003,AC-ARLSI,Fonds,1274.35,1274.35,1274.35,1274.35,0,0
20171002,AC-ARLSI,Fonds,1279.70,1279.70,1279.70,1279.70,0,0
20170929,AC-ARLSI,Fonds,1258.83,1258.83,1258.83,1258.83,0,0
20170928,AC-ARLSI,Fonds,1244.26,1244.26,1244.26,1244.26,0,0
20170927,AC-ARLSI,Fonds,1233.19,1233.19,1233.19,1233.19,0,0
20170926,AC-ARLSI,Fonds,1219.99,1219.99,1219.99,1219.99,0,0
20170925,AC-ARLSI,Fonds,1220.82,1220.82,1220.82,1220.82,0,0
20170922,AC-ARLSI,Fonds,1216.50,1216.50,1216.50,1216.50,0,0
20170921,AC-ARLSI,Fonds,1220.66,1220.66,1220.66,1220.66,0,0
20170920,AC-ARLSI,Fonds,1233.38,1233.38,1233.38,1233.38,0,0
20170919,AC-ARLSI,Fonds,1225.36,1225.36,1225.36,1225.36,0,0
20170918,AC-ARLSI,Fonds,1230.22,1230.22,1230.22,1230.22,0,0
20170915,AC-ARLSI,Fonds,1228.94,1228.94,1228.94,1228.94,0,0
20170914,AC-ARLSI,Fonds,1237.95,1237.95,1237.95,1237.95,0,0
20170913,AC-ARLSI,Fonds,1233.99,1233.99,1233.99,1233.99,0,0
20170912,AC-ARLSI,Fonds,1224.10,1224.10,1224.10,1224.10,0,0
20170911,AC-ARLSI,Fonds,1223.16,1223.16,1223.16,1223.16,0,0
20170908,AC-ARLSI,Fonds,1203.82,1203.82,1203.82,1203.82,0,0
20170907,AC-ARLSI,Fonds,1203.35,1203.35,1203.35,1203.35,0,0
20170906,AC-ARLSI,Fonds,1199.35,1199.35,1199.35,1199.35,0,0
20170905,AC-ARLSI,Fonds,1195.01,1195.01,1195.01,1195.01,0,0
20170904,AC-ARLSI,Fonds,1212.35,1212.35,1212.35,1212.35,0,0
20170901,AC-ARLSI,Fonds,1210.58,1210.58,1210.58,1210.58,0,0
20170830,AC-ARLSI,Fonds,1186.43,1186.43,1186.43,1186.43,0,0
20170829,AC-ARLSI,Fonds,1168.46,1168.46,1168.46,1168.46,0,0
20170828,AC-ARLSI,Fonds,1166.27,1166.27,1166.27,1166.27,0,0
20170825,AC-ARLSI,Fonds,1138.61,1138.61,1138.61,1138.61,0,0
20170824,AC-ARLSI,Fonds,1145.12,1145.12,1145.12,1145.12,0,0
20170823,AC-ARLSI,Fonds,1130.44,1130.44,1130.44,1130.44,0,0
20170822,AC-ARLSI,Fonds,1139.03,1139.03,1139.03,1139.03,0,0
20170821,AC-ARLSI,Fonds,1123.43,1123.43,1123.43,1123.43,0,0
20170818,AC-ARLSI,Fonds,1121.41,1121.41,1121.41,1121.41,0,0
20170817,AC-ARLSI,Fonds,1131.96,1131.96,1131.96,1131.96,0,0
20170816,AC-ARLSI,Fonds,1141.66,1141.66,1141.66,1141.66,0,0
20170815,AC-ARLSI,Fonds,1144.42,1144.42,1144.42,1144.42,0,0
20170814,AC-ARLSI,Fonds,1141.31,1141.31,1141.31,1141.31,0,0
20170811,AC-ARLSI,Fonds,1130.76,1130.76,1130.76,1130.76,0,0
20170810,AC-ARLSI,Fonds,1129.22,1129.22,1129.22,1129.22,0,0
20170809,AC-ARLSI,Fonds,1147.44,1147.44,1147.44,1147.44,0,0
20170808,AC-ARLSI,Fonds,1149.34,1149.34,1149.34,1149.34,0,0
20170803,AC-ARLSI,Fonds,1134.38,1134.38,1134.38,1134.38,0,0
20170802,AC-ARLSI,Fonds,1139.18,1139.18,1139.18,1139.18,0,0
20170801,AC-ARLSI,Fonds,1143.91,1143.91,1143.91,1143.91,0,0
20170731,AC-ARLSI,Fonds,1145.03,1145.03,1145.03,1145.03,0,0
20170728,AC-ARLSI,Fonds,1160.54,1160.54,1160.54,1160.54,0,0
20170727,AC-ARLSI,Fonds,1158.84,1158.84,1158.84,1158.84,0,0
20170726,AC-ARLSI,Fonds,1167.75,1167.75,1167.75,1167.75,0,0
20170725,AC-ARLSI,Fonds,1172.94,1172.94,1172.94,1172.94,0,0
20170724,AC-ARLSI,Fonds,1190.67,1190.67,1190.67,1190.67,0,0
20170721,AC-ARLSI,Fonds,1189.22,1189.22,1189.22,1189.22,0,0
20170720,AC-ARLSI,Fonds,1187.47,1187.47,1187.47,1187.47,0,0
20170719,AC-ARLSI,Fonds,1174.27,1174.27,1174.27,1174.27,0,0
20170718,AC-ARLSI,Fonds,1172.80,1172.80,1172.80,1172.80,0,0
20170717,AC-ARLSI,Fonds,1180.08,1180.08,1180.08,1180.08,0,0
20170714,AC-ARLSI,Fonds,1189.94,1189.94,1189.94,1189.94,0,0
20170713,AC-ARLSI,Fonds,1193.75,1193.75,1193.75,1193.75,0,0
20170712,AC-ARLSI,Fonds,1196.51,1196.51,1196.51,1196.51,0,0
20170711,AC-ARLSI,Fonds,1188.52,1188.52,1188.52,1188.52,0,0
20170710,AC-ARLSI,Fonds,1194.53,1194.53,1194.53,1194.53,0,0
20170707,AC-ARLSI,Fonds,1208.93,1208.93,1208.93,1208.93,0,0
20170706,AC-ARLSI,Fonds,1203.68,1203.68,1203.68,1203.68,0,0
20170705,AC-ARLSI,Fonds,1226.32,1226.32,1226.32,1226.32,0,0
20170704,AC-ARLSI,Fonds,1204.76,1204.76,1204.76,1204.76,0,0
20170703,AC-ARLSI,Fonds,1210.17,1210.17,1210.17,1210.17,0,0
20170630,AC-ARLSI,Fonds,1202.03,1202.03,1202.03,1202.03,0,0
20170629,AC-ARLSI,Fonds,1212.25,1212.25,1212.25,1212.25,0,0
20170628,AC-ARLSI,Fonds,1233.52,1233.52,1233.52,1233.52,0,0
20170627,AC-ARLSI,Fonds,1215.18,1215.18,1215.18,1215.18,0,0
20170626,AC-ARLSI,Fonds,1248.92,1248.92,1248.92,1248.92,0,0
20170623,AC-ARLSI,Fonds,1249.85,1249.85,1249.85,1249.85,0,0
20170622,AC-ARLSI,Fonds,1252.07,1252.07,1252.07,1252.07,0,0
20170621,AC-ARLSI,Fonds,1240.57,1240.57,1240.57,1240.57,0,0
20170620,AC-ARLSI,Fonds,1211.72,1211.72,1211.72,1211.72,0,0
20170619,AC-ARLSI,Fonds,1199.74,1199.74,1199.74,1199.74,0,0
20170616,AC-ARLSI,Fonds,1162.51,1162.51,1162.51,1162.51,0,0
20170615,AC-ARLSI,Fonds,1165.65,1165.65,1165.65,1165.65,0,0
