quote_date,paper,exch,open,high,low,close,volume,value
20171109,AC-COVCB,Fonds,1229.58,1229.58,1229.58,1229.58,0,0
20171108,AC-COVCB,Fonds,1229.57,1229.57,1229.57,1229.57,0,0
20171107,AC-COVCB,Fonds,1229.44,1229.44,1229.44,1229.44,0,0
20171106,AC-COVCB,Fonds,1229.33,1229.33,1229.33,1229.33,0,0
20171103,AC-COVCB,Fonds,1228.89,1228.89,1228.89,1228.89,0,0
20171102,AC-COVCB,Fonds,1228.82,1228.82,1228.82,1228.82,0,0
20171101,AC-COVCB,Fonds,1228.95,1228.95,1228.95,1228.95,0,0
20171031,AC-COVCB,Fonds,1229.14,1229.14,1229.14,1229.14,0,0
20171026,AC-COVCB,Fonds,1228.46,1228.46,1228.46,1228.46,0,0
20171025,AC-COVCB,Fonds,1228.56,1228.56,1228.56,1228.56,0,0
20171024,AC-COVCB,Fonds,1228.45,1228.45,1228.45,1228.45,0,0
20171023,AC-COVCB,Fonds,1228.30,1228.30,1228.30,1228.30,0,0
20171020,AC-COVCB,Fonds,1228.14,1228.14,1228.14,1228.14,0,0
20171019,AC-COVCB,Fonds,1227.89,1227.89,1227.89,1227.89,0,0
20171018,AC-COVCB,Fonds,1228.17,1228.17,1228.17,1228.17,0,0
20171017,AC-COVCB,Fonds,1228.04,1228.04,1228.04,1228.04,0,0
20171016,AC-COVCB,Fonds,1227.95,1227.95,1227.95,1227.95,0,0
20171013,AC-COVCB,Fonds,1227.53,1227.53,1227.53,1227.53,0,0
20171012,AC-COVCB,Fonds,1227.53,1227.53,1227.53,1227.53,0,0
20171011,AC-COVCB,Fonds,1227.64,1227.64,1227.64,1227.64,0,0
20171010,AC-COVCB,Fonds,1227.59,1227.59,1227.59,1227.59,0,0
20171009,AC-COVCB,Fonds,1226.78,1226.78,1226.78,1226.78,0,0
20171006,AC-COVCB,Fonds,1226.55,1226.55,1226.55,1226.55,0,0
20171005,AC-COVCB,Fonds,1226.43,1226.43,1226.43,1226.43,0,0
20171004,AC-COVCB,Fonds,1226.40,1226.40,1226.40,1226.40,0,0
20171003,AC-COVCB,Fonds,1226.29,1226.29,1226.29,1226.29,0,0
20171002,AC-COVCB,Fonds,1226.26,1226.26,1226.26,1226.26,0,0
20170929,AC-COVCB,Fonds,1225.91,1225.91,1225.91,1225.91,0,0
20170928,AC-COVCB,Fonds,1225.92,1225.92,1225.92,1225.92,0,0
20170927,AC-COVCB,Fonds,1226.05,1226.05,1226.05,1226.05,0,0
20170926,AC-COVCB,Fonds,1226.01,1226.01,1226.01,1226.01,0,0
20170925,AC-COVCB,Fonds,1225.89,1225.89,1225.89,1225.89,0,0
20170922,AC-COVCB,Fonds,1225.61,1225.61,1225.61,1225.61,0,0
20170921,AC-COVCB,Fonds,1225.62,1225.62,1225.62,1225.62,0,0
20170920,AC-COVCB,Fonds,1225.56,1225.56,1225.56,1225.56,0,0
20170919,AC-COVCB,Fonds,1225.48,1225.48,1225.48,1225.48,0,0
20170918,AC-COVCB,Fonds,1225.39,1225.39,1225.39,1225.39,0,0
20170915,AC-COVCB,Fonds,1225.10,1225.10,1225.10,1225.10,0,0
20170914,AC-COVCB,Fonds,1224.85,1224.85,1224.85,1224.85,0,0
20170913,AC-COVCB,Fonds,1224.66,1224.66,1224.66,1224.66,0,0
20170912,AC-COVCB,Fonds,1224.61,1224.61,1224.61,1224.61,0,0
20170911,AC-COVCB,Fonds,1224.42,1224.42,1224.42,1224.42,0,0
20170908,AC-COVCB,Fonds,1224.15,1224.15,1224.15,1224.15,0,0
20170907,AC-COVCB,Fonds,1224.09,1224.09,1224.09,1224.09,0,0
20170906,AC-COVCB,Fonds,1224.06,1224.06,1224.06,1224.06,0,0
20170905,AC-COVCB,Fonds,1223.86,1223.86,1223.86,1223.86,0,0
20170904,AC-COVCB,Fonds,1223.87,1223.87,1223.87,1223.87,0,0
20170901,AC-COVCB,Fonds,1223.61,1223.61,1223.61,1223.61,0,0
20170830,AC-COVCB,Fonds,1223.37,1223.37,1223.37,1223.37,0,0
20170829,AC-COVCB,Fonds,1223.42,1223.42,1223.42,1223.42,0,0
20170828,AC-COVCB,Fonds,1223.35,1223.35,1223.35,1223.35,0,0
20170825,AC-COVCB,Fonds,1223.07,1223.07,1223.07,1223.07,0,0
20170824,AC-COVCB,Fonds,1222.85,1222.85,1222.85,1222.85,0,0
20170823,AC-COVCB,Fonds,1222.73,1222.73,1222.73,1222.73,0,0
20170822,AC-COVCB,Fonds,1222.71,1222.71,1222.71,1222.71,0,0
20170821,AC-COVCB,Fonds,1222.69,1222.69,1222.69,1222.69,0,0
20170818,AC-COVCB,Fonds,1222.28,1222.28,1222.28,1222.28,0,0
20170817,AC-COVCB,Fonds,1222.29,1222.29,1222.29,1222.29,0,0
20170816,AC-COVCB,Fonds,1222.15,1222.15,1222.15,1222.15,0,0
20170815,AC-COVCB,Fonds,1222.09,1222.09,1222.09,1222.09,0,0
20170814,AC-COVCB,Fonds,1222.09,1222.09,1222.09,1222.09,0,0
20170811,AC-COVCB,Fonds,1221.75,1221.75,1221.75,1221.75,0,0
20170810,AC-COVCB,Fonds,1221.90,1221.90,1221.90,1221.90,0,0
20170809,AC-COVCB,Fonds,1221.76,1221.76,1221.76,1221.76,0,0
20170808,AC-COVCB,Fonds,1221.78,1221.78,1221.78,1221.78,0,0
20170803,AC-COVCB,Fonds,1221.29,1221.29,1221.29,1221.29,0,0
20170802,AC-COVCB,Fonds,1221.01,1221.01,1221.01,1221.01,0,0
20170801,AC-COVCB,Fonds,1221.00,1221.00,1221.00,1221.00,0,0
20170731,AC-COVCB,Fonds,1220.83,1220.83,1220.83,1220.83,0,0
20170728,AC-COVCB,Fonds,1220.55,1220.55,1220.55,1220.55,0,0
20170727,AC-COVCB,Fonds,1220.47,1220.47,1220.47,1220.47,0,0
20170726,AC-COVCB,Fonds,1220.21,1220.21,1220.21,1220.21,0,0
20170725,AC-COVCB,Fonds,1220.13,1220.13,1220.13,1220.13,0,0
20170724,AC-COVCB,Fonds,1219.93,1219.93,1219.93,1219.93,0,0
20170721,AC-COVCB,Fonds,1219.77,1219.77,1219.77,1219.77,0,0
20170720,AC-COVCB,Fonds,1219.84,1219.84,1219.84,1219.84,0,0
20170719,AC-COVCB,Fonds,1219.52,1219.52,1219.52,1219.52,0,0
20170718,AC-COVCB,Fonds,1219.60,1219.60,1219.60,1219.60,0,0
20170717,AC-COVCB,Fonds,1219.42,1219.42,1219.42,1219.42,0,0
20170714,AC-COVCB,Fonds,1219.13,1219.13,1219.13,1219.13,0,0
20170713,AC-COVCB,Fonds,1218.94,1218.94,1218.94,1218.94,0,0
20170712,AC-COVCB,Fonds,1218.82,1218.82,1218.82,1218.82,0,0
20170711,AC-COVCB,Fonds,1218.84,1218.84,1218.84,1218.84,0,0
20170710,AC-COVCB,Fonds,1218.71,1218.71,1218.71,1218.71,0,0
20170707,AC-COVCB,Fonds,1218.35,1218.35,1218.35,1218.35,0,0
20170706,AC-COVCB,Fonds,1218.34,1218.34,1218.34,1218.34,0,0
20170705,AC-COVCB,Fonds,1218.20,1218.20,1218.20,1218.20,0,0
20170704,AC-COVCB,Fonds,1217.96,1217.96,1217.96,1217.96,0,0
20170703,AC-COVCB,Fonds,1217.96,1217.96,1217.96,1217.96,0,0
20170630,AC-COVCB,Fonds,1217.42,1217.42,1217.42,1217.42,0,0
20170629,AC-COVCB,Fonds,1217.48,1217.48,1217.48,1217.48,0,0
20170628,AC-COVCB,Fonds,1216.65,1216.65,1216.65,1216.65,0,0
20170627,AC-COVCB,Fonds,1216.52,1216.52,1216.52,1216.52,0,0
20170626,AC-COVCB,Fonds,1216.34,1216.34,1216.34,1216.34,0,0
20170623,AC-COVCB,Fonds,1215.96,1215.96,1215.96,1215.96,0,0
20170622,AC-COVCB,Fonds,1215.84,1215.84,1215.84,1215.84,0,0
20170621,AC-COVCB,Fonds,1215.82,1215.82,1215.82,1215.82,0,0
20170620,AC-COVCB,Fonds,1215.74,1215.74,1215.74,1215.74,0,0
20170619,AC-COVCB,Fonds,1215.69,1215.69,1215.69,1215.69,0,0
20170616,AC-COVCB,Fonds,1215.37,1215.37,1215.37,1215.37,0,0
20170615,AC-COVCB,Fonds,1215.32,1215.32,1215.32,1215.32,0,0
20170614,AC-COVCB,Fonds,1215.23,1215.23,1215.23,1215.23,0,0
20170613,AC-COVCB,Fonds,1215.00,1215.00,1215.00,1215.00,0,0
20170612,AC-COVCB,Fonds,1214.81,1214.81,1214.81,1214.81,0,0
20170609,AC-COVCB,Fonds,1214.53,1214.53,1214.53,1214.53,0,0
20170608,AC-COVCB,Fonds,1214.50,1214.50,1214.50,1214.50,0,0
20170607,AC-COVCB,Fonds,1214.98,1214.98,1214.98,1214.98,0,0
20170606,AC-COVCB,Fonds,1214.79,1214.79,1214.79,1214.79,0,0
20170602,AC-COVCB,Fonds,1214.36,1214.36,1214.36,1214.36,0,0
20170601,AC-COVCB,Fonds,1214.08,1214.08,1214.08,1214.08,0,0
20170531,AC-COVCB,Fonds,1214.00,1214.00,1214.00,1214.00,0,0
20170530,AC-COVCB,Fonds,1213.77,1213.77,1213.77,1213.77,0,0
20170529,AC-COVCB,Fonds,1213.55,1213.55,1213.55,1213.55,0,0
20170526,AC-COVCB,Fonds,1213.18,1213.18,1213.18,1213.18,0,0
20170524,AC-COVCB,Fonds,1212.64,1212.64,1212.64,1212.64,0,0
20170523,AC-COVCB,Fonds,1212.70,1212.70,1212.70,1212.70,0,0
20170522,AC-COVCB,Fonds,1212.63,1212.63,1212.63,1212.63,0,0
20170519,AC-COVCB,Fonds,1212.23,1212.23,1212.23,1212.23,0,0
20170518,AC-COVCB,Fonds,1212.17,1212.17,1212.17,1212.17,0,0
20170516,AC-COVCB,Fonds,1212.07,1212.07,1212.07,1212.07,0,0
20170515,AC-COVCB,Fonds,1212.03,1212.03,1212.03,1212.03,0,0
20170512,AC-COVCB,Fonds,1211.65,1211.65,1211.65,1211.65,0,0
20170511,AC-COVCB,Fonds,1211.54,1211.54,1211.54,1211.54,0,0
20170510,AC-COVCB,Fonds,1211.04,1211.04,1211.04,1211.04,0,0
20170509,AC-COVCB,Fonds,1211.16,1211.16,1211.16,1211.16,0,0
20170508,AC-COVCB,Fonds,1210.86,1210.86,1210.86,1210.86,0,0
20170505,AC-COVCB,Fonds,1210.54,1210.54,1210.54,1210.54,0,0
20170504,AC-COVCB,Fonds,1210.39,1210.39,1210.39,1210.39,0,0
20170503,AC-COVCB,Fonds,1210.20,1210.20,1210.20,1210.20,0,0
20170502,AC-COVCB,Fonds,1209.97,1209.97,1209.97,1209.97,0,0
20170428,AC-COVCB,Fonds,1209.45,1209.45,1209.45,1209.45,0,0
20170427,AC-COVCB,Fonds,1209.35,1209.35,1209.35,1209.35,0,0
20170426,AC-COVCB,Fonds,1208.53,1208.53,1208.53,1208.53,0,0
20170425,AC-COVCB,Fonds,1208.43,1208.43,1208.43,1208.43,0,0
20170424,AC-COVCB,Fonds,1208.15,1208.15,1208.15,1208.15,0,0
20170421,AC-COVCB,Fonds,1207.55,1207.55,1207.55,1207.55,0,0
20170420,AC-COVCB,Fonds,1207.43,1207.43,1207.43,1207.43,0,0
20170419,AC-COVCB,Fonds,1207.42,1207.42,1207.42,1207.42,0,0
20170418,AC-COVCB,Fonds,1207.30,1207.30,1207.30,1207.30,0,0
20170412,AC-COVCB,Fonds,1206.77,1206.77,1206.77,1206.77,0,0
20170411,AC-COVCB,Fonds,1206.70,1206.70,1206.70,1206.70,0,0
20170410,AC-COVCB,Fonds,1206.65,1206.65,1206.65,1206.65,0,0
20170407,AC-COVCB,Fonds,1206.46,1206.46,1206.46,1206.46,0,0
20170406,AC-COVCB,Fonds,1206.43,1206.43,1206.43,1206.43,0,0
20170405,AC-COVCB,Fonds,1206.29,1206.29,1206.29,1206.29,0,0
20170404,AC-COVCB,Fonds,1205.87,1205.87,1205.87,1205.87,0,0
20170403,AC-COVCB,Fonds,1205.96,1205.96,1205.96,1205.96,0,0
20170331,AC-COVCB,Fonds,1205.67,1205.67,1205.67,1205.67,0,0
20170330,AC-COVCB,Fonds,1205.57,1205.57,1205.57,1205.57,0,0
20170329,AC-COVCB,Fonds,1205.41,1205.41,1205.41,1205.41,0,0
20170328,AC-COVCB,Fonds,1205.28,1205.28,1205.28,1205.28,0,0
20170327,AC-COVCB,Fonds,1205.31,1205.31,1205.31,1205.31,0,0
20170324,AC-COVCB,Fonds,1204.94,1204.94,1204.94,1204.94,0,0
20170323,AC-COVCB,Fonds,1204.92,1204.92,1204.92,1204.92,0,0
20170322,AC-COVCB,Fonds,1204.31,1204.31,1204.31,1204.31,0,0
20170321,AC-COVCB,Fonds,1204.34,1204.34,1204.34,1204.34,0,0
20170320,AC-COVCB,Fonds,1203.98,1203.98,1203.98,1203.98,0,0
20170315,AC-COVCB,Fonds,1203.18,1203.18,1203.18,1203.18,0,0
20170314,AC-COVCB,Fonds,1203.10,1203.10,1203.10,1203.10,0,0
20170313,AC-COVCB,Fonds,1203.04,1203.04,1203.04,1203.04,0,0
20170310,AC-COVCB,Fonds,1202.76,1202.76,1202.76,1202.76,0,0
20170309,AC-COVCB,Fonds,1202.51,1202.51,1202.51,1202.51,0,0
20170308,AC-COVCB,Fonds,1202.50,1202.50,1202.50,1202.50,0,0
20170307,AC-COVCB,Fonds,1202.18,1202.18,1202.18,1202.18,0,0
20170306,AC-COVCB,Fonds,1202.10,1202.10,1202.10,1202.10,0,0
20170303,AC-COVCB,Fonds,1201.46,1201.46,1201.46,1201.46,0,0
20170302,AC-COVCB,Fonds,1201.35,1201.35,1201.35,1201.35,0,0
20170301,AC-COVCB,Fonds,1201.03,1201.03,1201.03,1201.03,0,0
20170228,AC-COVCB,Fonds,1200.83,1200.83,1200.83,1200.83,0,0
20170227,AC-COVCB,Fonds,1200.73,1200.73,1200.73,1200.73,0,0
20170224,AC-COVCB,Fonds,1200.49,1200.49,1200.49,1200.49,0,0
20170223,AC-COVCB,Fonds,1200.33,1200.33,1200.33,1200.33,0,0
20170222,AC-COVCB,Fonds,1200.22,1200.22,1200.22,1200.22,0,0
20170221,AC-COVCB,Fonds,1200.09,1200.09,1200.09,1200.09,0,0
20170220,AC-COVCB,Fonds,1199.88,1199.88,1199.88,1199.88,0,0
20170217,AC-COVCB,Fonds,1199.50,1199.50,1199.50,1199.50,0,0
20170216,AC-COVCB,Fonds,1199.38,1199.38,1199.38,1199.38,0,0
20170215,AC-COVCB,Fonds,1199.24,1199.24,1199.24,1199.24,0,0
20170214,AC-COVCB,Fonds,1198.73,1198.73,1198.73,1198.73,0,0
20170213,AC-COVCB,Fonds,1198.56,1198.56,1198.56,1198.56,0,0
20170210,AC-COVCB,Fonds,1198.33,1198.33,1198.33,1198.33,0,0
20170209,AC-COVCB,Fonds,1198.27,1198.27,1198.27,1198.27,0,0
20170208,AC-COVCB,Fonds,1197.88,1197.88,1197.88,1197.88,0,0
20170207,AC-COVCB,Fonds,1197.60,1197.60,1197.60,1197.60,0,0
20170206,AC-COVCB,Fonds,1196.81,1196.81,1196.81,1196.81,0,0
20170203,AC-COVCB,Fonds,1196.51,1196.51,1196.51,1196.51,0,0
20170202,AC-COVCB,Fonds,1196.45,1196.45,1196.45,1196.45,0,0
20170201,AC-COVCB,Fonds,1196.09,1196.09,1196.09,1196.09,0,0
20170131,AC-COVCB,Fonds,1195.73,1195.73,1195.73,1195.73,0,0
20170130,AC-COVCB,Fonds,1195.57,1195.57,1195.57,1195.57,0,0
20170127,AC-COVCB,Fonds,1195.20,1195.20,1195.20,1195.20,0,0
