quote_date,paper,exch,open,high,low,close,volume,value
20171120,AC-HRTCD,Fonds,1083.86,1083.86,1083.86,1083.86,0,0
20171117,AC-HRTCD,Fonds,1085.26,1085.26,1085.26,1085.26,0,0
20171116,AC-HRTCD,Fonds,1085.61,1085.61,1085.61,1085.61,0,0
20171115,AC-HRTCD,Fonds,1087.43,1087.43,1087.43,1087.43,0,0
20171114,AC-HRTCD,Fonds,1090.34,1090.34,1090.34,1090.34,0,0
20171113,AC-HRTCD,Fonds,1088.10,1088.10,1088.10,1088.10,0,0
20171110,AC-HRTCD,Fonds,1087.75,1087.75,1087.75,1087.75,0,0
20171109,AC-HRTCD,Fonds,1085.75,1085.75,1085.75,1085.75,0,0
20171108,AC-HRTCD,Fonds,1089.84,1089.84,1089.84,1089.84,0,0
20171107,AC-HRTCD,Fonds,1087.41,1087.41,1087.41,1087.41,0,0
20171106,AC-HRTCD,Fonds,1084.89,1084.89,1084.89,1084.89,0,0
20171103,AC-HRTCD,Fonds,1086.49,1086.49,1086.49,1086.49,0,0
20171102,AC-HRTCD,Fonds,1086.37,1086.37,1086.37,1086.37,0,0
20171101,AC-HRTCD,Fonds,1084.32,1084.32,1084.32,1084.32,0,0
20171031,AC-HRTCD,Fonds,1086.39,1086.39,1086.39,1086.39,0,0
20171026,AC-HRTCD,Fonds,1084.63,1084.63,1084.63,1084.63,0,0
20171025,AC-HRTCD,Fonds,1084.65,1084.65,1084.65,1084.65,0,0
20171024,AC-HRTCD,Fonds,1084.39,1084.39,1084.39,1084.39,0,0
20171023,AC-HRTCD,Fonds,1084.31,1084.31,1084.31,1084.31,0,0
20171020,AC-HRTCD,Fonds,1081.41,1081.41,1081.41,1081.41,0,0
20171019,AC-HRTCD,Fonds,1083.07,1083.07,1083.07,1083.07,0,0
20171018,AC-HRTCD,Fonds,1083.38,1083.38,1083.38,1083.38,0,0
20171017,AC-HRTCD,Fonds,1083.13,1083.13,1083.13,1083.13,0,0
20171016,AC-HRTCD,Fonds,1083.41,1083.41,1083.41,1083.41,0,0
20171013,AC-HRTCD,Fonds,1081.64,1081.64,1081.64,1081.64,0,0
20171012,AC-HRTCD,Fonds,1083.86,1083.86,1083.86,1083.86,0,0
20171011,AC-HRTCD,Fonds,1084.26,1084.26,1084.26,1084.26,0,0
20171010,AC-HRTCD,Fonds,1084.14,1084.14,1084.14,1084.14,0,0
20171009,AC-HRTCD,Fonds,1083.47,1083.47,1083.47,1083.47,0,0
20171006,AC-HRTCD,Fonds,1083.32,1083.32,1083.32,1083.32,0,0
20171005,AC-HRTCD,Fonds,1081.15,1081.15,1081.15,1081.15,0,0
20171004,AC-HRTCD,Fonds,1085.40,1085.40,1085.40,1085.40,0,0
20171003,AC-HRTCD,Fonds,1082.94,1082.94,1082.94,1082.94,0,0
20171002,AC-HRTCD,Fonds,1083.34,1083.34,1083.34,1083.34,0,0
20170929,AC-HRTCD,Fonds,1083.08,1083.08,1083.08,1083.08,0,0
20170928,AC-HRTCD,Fonds,1085.26,1085.26,1085.26,1085.26,0,0
20170927,AC-HRTCD,Fonds,1083.77,1083.77,1083.77,1083.77,0,0
20170926,AC-HRTCD,Fonds,1083.12,1083.12,1083.12,1083.12,0,0
20170925,AC-HRTCD,Fonds,1082.54,1082.54,1082.54,1082.54,0,0
20170922,AC-HRTCD,Fonds,1084.55,1084.55,1084.55,1084.55,0,0
20170921,AC-HRTCD,Fonds,1082.17,1082.17,1082.17,1082.17,0,0
20170920,AC-HRTCD,Fonds,1082.28,1082.28,1082.28,1082.28,0,0
20170919,AC-HRTCD,Fonds,1082.65,1082.65,1082.65,1082.65,0,0
20170918,AC-HRTCD,Fonds,1082.31,1082.31,1082.31,1082.31,0,0
20170915,AC-HRTCD,Fonds,1084.50,1084.50,1084.50,1084.50,0,0
20170914,AC-HRTCD,Fonds,1082.23,1082.23,1082.23,1082.23,0,0
20170913,AC-HRTCD,Fonds,1081.88,1081.88,1081.88,1081.88,0,0
20170912,AC-HRTCD,Fonds,1081.48,1081.48,1081.48,1081.48,0,0
20170911,AC-HRTCD,Fonds,1081.58,1081.58,1081.58,1081.58,0,0
20170908,AC-HRTCD,Fonds,1081.50,1081.50,1081.50,1081.50,0,0
20170907,AC-HRTCD,Fonds,1079.82,1079.82,1079.82,1079.82,0,0
20170906,AC-HRTCD,Fonds,1082.16,1082.16,1082.16,1082.16,0,0
20170905,AC-HRTCD,Fonds,1081.65,1081.65,1081.65,1081.65,0,0
20170904,AC-HRTCD,Fonds,1081.87,1081.87,1081.87,1081.87,0,0
20170901,AC-HRTCD,Fonds,1081.69,1081.69,1081.69,1081.69,0,0
20170830,AC-HRTCD,Fonds,1081.14,1081.14,1081.14,1081.14,0,0
20170829,AC-HRTCD,Fonds,1078.81,1078.81,1078.81,1078.81,0,0
20170828,AC-HRTCD,Fonds,1080.95,1080.95,1080.95,1080.95,0,0
20170825,AC-HRTCD,Fonds,1080.54,1080.54,1080.54,1080.54,0,0
20170824,AC-HRTCD,Fonds,1080.65,1080.65,1080.65,1080.65,0,0
20170823,AC-HRTCD,Fonds,1081.25,1081.25,1081.25,1081.25,0,0
20170822,AC-HRTCD,Fonds,1081.36,1081.36,1081.36,1081.36,0,0
20170821,AC-HRTCD,Fonds,1081.02,1081.02,1081.02,1081.02,0,0
20170818,AC-HRTCD,Fonds,1080.65,1080.65,1080.65,1080.65,0,0
20170817,AC-HRTCD,Fonds,1080.60,1080.60,1080.60,1080.60,0,0
20170816,AC-HRTCD,Fonds,1080.32,1080.32,1080.32,1080.32,0,0
20170815,AC-HRTCD,Fonds,1077.94,1077.94,1077.94,1077.94,0,0
20170814,AC-HRTCD,Fonds,1080.17,1080.17,1080.17,1080.17,0,0
