quote_date,paper,exch,open,high,low,close,volume,value
20171109,AC-NWECE,Fonds,1340.94,1340.94,1340.94,1340.94,0,0
20171108,AC-NWECE,Fonds,1354.96,1354.96,1354.96,1354.96,0,0
20171107,AC-NWECE,Fonds,1353.04,1353.04,1353.04,1353.04,0,0
20171106,AC-NWECE,Fonds,1352.45,1352.45,1352.45,1352.45,0,0
20171103,AC-NWECE,Fonds,1350.78,1350.78,1350.78,1350.78,0,0
20171102,AC-NWECE,Fonds,1341.12,1341.12,1341.12,1341.12,0,0
20171101,AC-NWECE,Fonds,1353.23,1353.23,1353.23,1353.23,0,0
20171031,AC-NWECE,Fonds,1341.06,1341.06,1341.06,1341.06,0,0
20171026,AC-NWECE,Fonds,1325.27,1325.27,1325.27,1325.27,0,0
20171025,AC-NWECE,Fonds,1326.00,1326.00,1326.00,1326.00,0,0
20171024,AC-NWECE,Fonds,1314.16,1314.16,1314.16,1314.16,0,0
20171023,AC-NWECE,Fonds,1317.88,1317.88,1317.88,1317.88,0,0
20171020,AC-NWECE,Fonds,1321.03,1321.03,1321.03,1321.03,0,0
20171019,AC-NWECE,Fonds,1310.83,1310.83,1310.83,1310.83,0,0
20171018,AC-NWECE,Fonds,1312.79,1312.79,1312.79,1312.79,0,0
20171017,AC-NWECE,Fonds,1317.71,1317.71,1317.71,1317.71,0,0
20171016,AC-NWECE,Fonds,1322.07,1322.07,1322.07,1322.07,0,0
20171013,AC-NWECE,Fonds,1323.93,1323.93,1323.93,1323.93,0,0
20171012,AC-NWECE,Fonds,1319.91,1319.91,1319.91,1319.91,0,0
20171011,AC-NWECE,Fonds,1322.21,1322.21,1322.21,1322.21,0,0
20171010,AC-NWECE,Fonds,1314.68,1314.68,1314.68,1314.68,0,0
20171009,AC-NWECE,Fonds,1313.79,1313.79,1313.79,1313.79,0,0
20171006,AC-NWECE,Fonds,1311.64,1311.64,1311.64,1311.64,0,0
20171005,AC-NWECE,Fonds,1316.90,1316.90,1316.90,1316.90,0,0
20171004,AC-NWECE,Fonds,1311.93,1311.93,1311.93,1311.93,0,0
20171003,AC-NWECE,Fonds,1318.25,1318.25,1318.25,1318.25,0,0
