quote_date,paper,exch,open,high,low,close,volume,value
20170116,AI-EMEUR,Fonds,1020.30,1020.30,1020.30,1020.30,0,0
20170113,AI-EMEUR,Fonds,1022.13,1022.13,1022.13,1022.13,0,0
20170112,AI-EMEUR,Fonds,1033.34,1033.34,1033.34,1033.34,0,0
20170111,AI-EMEUR,Fonds,1027.75,1027.75,1027.75,1027.75,0,0
20170110,AI-EMEUR,Fonds,1032.17,1032.17,1032.17,1032.17,0,0
20170109,AI-EMEUR,Fonds,1024.14,1024.14,1024.14,1024.14,0,0
20170106,AI-EMEUR,Fonds,1027.06,1027.06,1027.06,1027.06,0,0
20170105,AI-EMEUR,Fonds,1026.77,1026.77,1026.77,1026.77,0,0
20170104,AI-EMEUR,Fonds,1039.20,1039.20,1039.20,1039.20,0,0
20170103,AI-EMEUR,Fonds,1047.41,1047.41,1047.41,1047.41,0,0
20161230,AI-EMEUR,Fonds,1022.02,1022.02,1022.02,1022.02,0,0
20161229,AI-EMEUR,Fonds,1022.97,1022.97,1022.97,1022.97,0,0
20161222,AI-EMEUR,Fonds,1011.23,1011.23,1011.23,1011.23,0,0
20161221,AI-EMEUR,Fonds,1012.50,1012.50,1012.50,1012.50,0,0
20161220,AI-EMEUR,Fonds,1014.97,1014.97,1014.97,1014.97,0,0
20161219,AI-EMEUR,Fonds,1004.99,1004.99,1004.99,1004.99,0,0
20161216,AI-EMEUR,Fonds,1013.80,1013.80,1013.80,1013.80,0,0
20161215,AI-EMEUR,Fonds,1004.24,1004.24,1004.24,1004.24,0,0
20161214,AI-EMEUR,Fonds,993.58,993.58,993.58,993.58,0,0
20161213,AI-EMEUR,Fonds,992.38,992.38,992.38,992.38,0,0
20161212,AI-EMEUR,Fonds,980.54,980.54,980.54,980.54,0,0
20161209,AI-EMEUR,Fonds,968.64,968.64,968.64,968.64,0,0
20161208,AI-EMEUR,Fonds,965.32,965.32,965.32,965.32,0,0
20161207,AI-EMEUR,Fonds,940.30,940.30,940.30,940.30,0,0
20161206,AI-EMEUR,Fonds,930.49,930.49,930.49,930.49,0,0
20161205,AI-EMEUR,Fonds,924.21,924.21,924.21,924.21,0,0
20161202,AI-EMEUR,Fonds,914.73,914.73,914.73,914.73,0,0
20161201,AI-EMEUR,Fonds,913.89,913.89,913.89,913.89,0,0
20161130,AI-EMEUR,Fonds,919.69,919.69,919.69,919.69,0,0
20161129,AI-EMEUR,Fonds,910.71,910.71,910.71,910.71,0,0
20161128,AI-EMEUR,Fonds,916.67,916.67,916.67,916.67,0,0
20161125,AI-EMEUR,Fonds,922.26,922.26,922.26,922.26,0,0
20161124,AI-EMEUR,Fonds,926.03,926.03,926.03,926.03,0,0
20161123,AI-EMEUR,Fonds,927.96,927.96,927.96,927.96,0,0
20161122,AI-EMEUR,Fonds,921.49,921.49,921.49,921.49,0,0
20161121,AI-EMEUR,Fonds,916.62,916.62,916.62,916.62,0,0
20161118,AI-EMEUR,Fonds,909.84,909.84,909.84,909.84,0,0
20161117,AI-EMEUR,Fonds,902.39,902.39,902.39,902.39,0,0
20161116,AI-EMEUR,Fonds,895.50,895.50,895.50,895.50,0,0
20161115,AI-EMEUR,Fonds,888.87,888.87,888.87,888.87,0,0
20161114,AI-EMEUR,Fonds,885.06,885.06,885.06,885.06,0,0
20161111,AI-EMEUR,Fonds,888.03,888.03,888.03,888.03,0,0
20161110,AI-EMEUR,Fonds,897.44,897.44,897.44,897.44,0,0
20161103,AI-EMEUR,Fonds,876.71,876.71,876.71,876.71,0,0
20161102,AI-EMEUR,Fonds,882.52,882.52,882.52,882.52,0,0
20161028,AI-EMEUR,Fonds,905.94,905.94,905.94,905.94,0,0
20161027,AI-EMEUR,Fonds,902.89,902.89,902.89,902.89,0,0
20161026,AI-EMEUR,Fonds,904.93,904.93,904.93,904.93,0,0
20161025,AI-EMEUR,Fonds,913.53,913.53,913.53,913.53,0,0
20161024,AI-EMEUR,Fonds,908.47,908.47,908.47,908.47,0,0
20161020,AI-EMEUR,Fonds,899.31,899.31,899.31,899.31,0,0
20161019,AI-EMEUR,Fonds,896.38,896.38,896.38,896.38,0,0
20161018,AI-EMEUR,Fonds,890.57,890.57,890.57,890.57,0,0
20161017,AI-EMEUR,Fonds,886.41,886.41,886.41,886.41,0,0
20161014,AI-EMEUR,Fonds,892.57,892.57,892.57,892.57,0,0
20161013,AI-EMEUR,Fonds,887.62,887.62,887.62,887.62,0,0
20161012,AI-EMEUR,Fonds,901.25,901.25,901.25,901.25,0,0
20161011,AI-EMEUR,Fonds,901.01,901.01,901.01,901.01,0,0
20161010,AI-EMEUR,Fonds,897.75,897.75,897.75,897.75,0,0
20161007,AI-EMEUR,Fonds,894.92,894.92,894.92,894.92,0,0
20161006,AI-EMEUR,Fonds,888.73,888.73,888.73,888.73,0,0
20161005,AI-EMEUR,Fonds,881.93,881.93,881.93,881.93,0,0
20161004,AI-EMEUR,Fonds,877.56,877.56,877.56,877.56,0,0
20161003,AI-EMEUR,Fonds,874.46,874.46,874.46,874.46,0,0
