quote_date,paper,exch,open,high,low,close,volume,value
20171109,AI-EREUR,Fonds,1168.95,1168.95,1168.95,1168.95,0,0
20171108,AI-EREUR,Fonds,1170.97,1170.97,1170.97,1170.97,0,0
20171107,AI-EREUR,Fonds,1166.68,1166.68,1166.68,1166.68,0,0
20171103,AI-EREUR,Fonds,1132.52,1132.52,1132.52,1132.52,0,0
20171102,AI-EREUR,Fonds,1135.39,1135.39,1135.39,1135.39,0,0
20171030,AI-EREUR,Fonds,1141.95,1141.95,1141.95,1141.95,0,0
20171027,AI-EREUR,Fonds,1142.37,1142.37,1142.37,1142.37,0,0
20171026,AI-EREUR,Fonds,1134.39,1134.39,1134.39,1134.39,0,0
20171025,AI-EREUR,Fonds,1121.56,1121.56,1121.56,1121.56,0,0
20171024,AI-EREUR,Fonds,1125.60,1125.60,1125.60,1125.60,0,0
20171023,AI-EREUR,Fonds,1131.72,1131.72,1131.72,1131.72,0,0
20171020,AI-EREUR,Fonds,1131.60,1131.60,1131.60,1131.60,0,0
20171018,AI-EREUR,Fonds,1147.23,1147.23,1147.23,1147.23,0,0
20171013,AI-EREUR,Fonds,1137.00,1137.00,1137.00,1137.00,0,0
20171012,AI-EREUR,Fonds,1124.47,1124.47,1124.47,1124.47,0,0
20171011,AI-EREUR,Fonds,1129.12,1129.12,1129.12,1129.12,0,0
20171010,AI-EREUR,Fonds,1123.91,1123.91,1123.91,1123.91,0,0
20171009,AI-EREUR,Fonds,1123.89,1123.89,1123.89,1123.89,0,0
20171005,AI-EREUR,Fonds,1135.12,1135.12,1135.12,1135.12,0,0
20171004,AI-EREUR,Fonds,1124.78,1124.78,1124.78,1124.78,0,0
20171003,AI-EREUR,Fonds,1123.02,1123.02,1123.02,1123.02,0,0
20171002,AI-EREUR,Fonds,1123.83,1123.83,1123.83,1123.83,0,0
20170929,AI-EREUR,Fonds,1125.23,1125.23,1125.23,1125.23,0,0
20170928,AI-EREUR,Fonds,1112.47,1112.47,1112.47,1112.47,0,0
20170927,AI-EREUR,Fonds,1116.39,1116.39,1116.39,1116.39,0,0
20170926,AI-EREUR,Fonds,1113.51,1113.51,1113.51,1113.51,0,0
20170925,AI-EREUR,Fonds,1099.24,1099.24,1099.24,1099.24,0,0
20170922,AI-EREUR,Fonds,1090.09,1090.09,1090.09,1090.09,0,0
20170921,AI-EREUR,Fonds,1088.34,1088.34,1088.34,1088.34,0,0
20170920,AI-EREUR,Fonds,1092.10,1092.10,1092.10,1092.10,0,0
20170919,AI-EREUR,Fonds,1084.58,1084.58,1084.58,1084.58,0,0
20170918,AI-EREUR,Fonds,1093.51,1093.51,1093.51,1093.51,0,0
20170915,AI-EREUR,Fonds,1104.55,1104.55,1104.55,1104.55,0,0
20170914,AI-EREUR,Fonds,1111.99,1111.99,1111.99,1111.99,0,0
20170913,AI-EREUR,Fonds,1099.96,1099.96,1099.96,1099.96,0,0
20170912,AI-EREUR,Fonds,1095.42,1095.42,1095.42,1095.42,0,0
20170911,AI-EREUR,Fonds,1098.08,1098.08,1098.08,1098.08,0,0
20170908,AI-EREUR,Fonds,1077.04,1077.04,1077.04,1077.04,0,0
20170907,AI-EREUR,Fonds,1069.71,1069.71,1069.71,1069.71,0,0
20170906,AI-EREUR,Fonds,1069.70,1069.70,1069.70,1069.70,0,0
20170905,AI-EREUR,Fonds,1060.80,1060.80,1060.80,1060.80,0,0
20170904,AI-EREUR,Fonds,1057.87,1057.87,1057.87,1057.87,0,0
20170901,AI-EREUR,Fonds,1070.66,1070.66,1070.66,1070.66,0,0
20170831,AI-EREUR,Fonds,1066.56,1066.56,1066.56,1066.56,0,0
20170830,AI-EREUR,Fonds,1052.26,1052.26,1052.26,1052.26,0,0
20170829,AI-EREUR,Fonds,1030.61,1030.61,1030.61,1030.61,0,0
20170825,AI-EREUR,Fonds,1031.34,1031.34,1031.34,1031.34,0,0
20170824,AI-EREUR,Fonds,1028.40,1028.40,1028.40,1028.40,0,0
20170823,AI-EREUR,Fonds,1028.49,1028.49,1028.49,1028.49,0,0
20170822,AI-EREUR,Fonds,1030.20,1030.20,1030.20,1030.20,0,0
20170821,AI-EREUR,Fonds,1025.43,1025.43,1025.43,1025.43,0,0
20170818,AI-EREUR,Fonds,1023.72,1023.72,1023.72,1023.72,0,0
20170817,AI-EREUR,Fonds,1028.27,1028.27,1028.27,1028.27,0,0
20170816,AI-EREUR,Fonds,1029.33,1029.33,1029.33,1029.33,0,0
20170811,AI-EREUR,Fonds,1015.11,1015.11,1015.11,1015.11,0,0
20170810,AI-EREUR,Fonds,1024.82,1024.82,1024.82,1024.82,0,0
20170809,AI-EREUR,Fonds,1031.71,1031.71,1031.71,1031.71,0,0
20170808,AI-EREUR,Fonds,1038.35,1038.35,1038.35,1038.35,0,0
20170807,AI-EREUR,Fonds,1029.45,1029.45,1029.45,1029.45,0,0
20170804,AI-EREUR,Fonds,1023.25,1023.25,1023.25,1023.25,0,0
20170803,AI-EREUR,Fonds,1015.41,1015.41,1015.41,1015.41,0,0
20170802,AI-EREUR,Fonds,1006.86,1006.86,1006.86,1006.86,0,0
