quote_date,paper,exch,open,high,low,close,volume,value
20171109,AI-EWEMR,Fonds,5558.03,5558.03,5558.03,5558.03,0,0
20171108,AI-EWEMR,Fonds,5613.33,5613.33,5613.33,5613.33,0,0
20171107,AI-EWEMR,Fonds,5615.11,5615.11,5615.11,5615.11,0,0
20171106,AI-EWEMR,Fonds,5604.23,5604.23,5604.23,5604.23,0,0
20171103,AI-EWEMR,Fonds,5547.47,5547.47,5547.47,5547.47,0,0
20171102,AI-EWEMR,Fonds,5517.51,5517.51,5517.51,5517.51,0,0
20171030,AI-EWEMR,Fonds,5460.68,5460.68,5460.68,5460.68,0,0
20171027,AI-EWEMR,Fonds,5456.55,5456.55,5456.55,5456.55,0,0
20171026,AI-EWEMR,Fonds,5408.12,5408.12,5408.12,5408.12,0,0
20171025,AI-EWEMR,Fonds,5343.08,5343.08,5343.08,5343.08,0,0
20171024,AI-EWEMR,Fonds,5334.67,5334.67,5334.67,5334.67,0,0
20171023,AI-EWEMR,Fonds,5354.54,5354.54,5354.54,5354.54,0,0
20171020,AI-EWEMR,Fonds,5359.43,5359.43,5359.43,5359.43,0,0
20171018,AI-EWEMR,Fonds,5363.86,5363.86,5363.86,5363.86,0,0
20171013,AI-EWEMR,Fonds,5297.89,5297.89,5297.89,5297.89,0,0
20171012,AI-EWEMR,Fonds,5279.59,5279.59,5279.59,5279.59,0,0
20171011,AI-EWEMR,Fonds,5284.49,5284.49,5284.49,5284.49,0,0
20171010,AI-EWEMR,Fonds,5287.30,5287.30,5287.30,5287.30,0,0
20171009,AI-EWEMR,Fonds,5247.59,5247.59,5247.59,5247.59,0,0
20171005,AI-EWEMR,Fonds,5256.68,5256.68,5256.68,5256.68,0,0
20171004,AI-EWEMR,Fonds,5233.27,5233.27,5233.27,5233.27,0,0
20171003,AI-EWEMR,Fonds,5246.36,5246.36,5246.36,5246.36,0,0
20171002,AI-EWEMR,Fonds,5205.37,5205.37,5205.37,5205.37,0,0
20170929,AI-EWEMR,Fonds,5175.14,5175.14,5175.14,5175.14,0,0
20170928,AI-EWEMR,Fonds,5109.60,5109.60,5109.60,5109.60,0,0
20170927,AI-EWEMR,Fonds,5136.50,5136.50,5136.50,5136.50,0,0
20170926,AI-EWEMR,Fonds,5106.59,5106.59,5106.59,5106.59,0,0
20170925,AI-EWEMR,Fonds,5068.86,5068.86,5068.86,5068.86,0,0
20170922,AI-EWEMR,Fonds,5115.42,5115.42,5115.42,5115.42,0,0
20170921,AI-EWEMR,Fonds,5142.09,5142.09,5142.09,5142.09,0,0
20170920,AI-EWEMR,Fonds,5148.08,5148.08,5148.08,5148.08,0,0
20170919,AI-EWEMR,Fonds,5156.28,5156.28,5156.28,5156.28,0,0
20170918,AI-EWEMR,Fonds,5171.08,5171.08,5171.08,5171.08,0,0
20170915,AI-EWEMR,Fonds,5149.52,5149.52,5149.52,5149.52,0,0
20170914,AI-EWEMR,Fonds,5187.91,5187.91,5187.91,5187.91,0,0
20170913,AI-EWEMR,Fonds,5170.06,5170.06,5170.06,5170.06,0,0
20170912,AI-EWEMR,Fonds,5141.84,5141.84,5141.84,5141.84,0,0
