quote_date,paper,exch,open,high,low,close,volume,value
20160513,AI-FEEEU,Fonds,4784.80,4784.80,4784.80,4784.80,0,0
20160323,AI-FEEEU,Fonds,4941.01,4941.01,4941.01,4941.01,0,0
20151230,AI-FEEEU,Fonds,5402.42,5402.42,5402.42,5402.42,0,0
20141230,AI-FEEEU,Fonds,4697.44,4697.44,4697.44,4697.44,0,0
20140416,AI-FEEEU,Fonds,4244.52,4244.52,4244.52,4244.52,0,0
20130327,AI-FEEEU,Fonds,3440.61,3440.61,3440.61,3440.61,0,0
20130304,AI-FEEEU,Fonds,3388.62,3388.62,3388.62,3388.62,0,0
20130301,AI-FEEEU,Fonds,3416.71,3416.71,3416.71,3416.71,0,0
20130228,AI-FEEEU,Fonds,3419.69,3419.69,3419.69,3419.69,0,0
20130225,AI-FEEEU,Fonds,3403.14,3403.14,3403.14,3403.14,0,0
20130222,AI-FEEEU,Fonds,3400.10,3400.10,3400.10,3400.10,0,0
20130221,AI-FEEEU,Fonds,3349.69,3349.69,3349.69,3349.69,0,0
20130220,AI-FEEEU,Fonds,3370.39,3370.39,3370.39,3370.39,0,0
20130219,AI-FEEEU,Fonds,3368.83,3368.83,3368.83,3368.83,0,0
20130218,AI-FEEEU,Fonds,3334.03,3334.03,3334.03,3334.03,0,0
20130215,AI-FEEEU,Fonds,3342.44,3342.44,3342.44,3342.44,0,0
20130214,AI-FEEEU,Fonds,3317.40,3317.40,3317.40,3317.40,0,0
20130213,AI-FEEEU,Fonds,3325.51,3325.51,3325.51,3325.51,0,0
20130212,AI-FEEEU,Fonds,3322.27,3322.27,3322.27,3322.27,0,0
20130211,AI-FEEEU,Fonds,3298.03,3298.03,3298.03,3298.03,0,0
20130208,AI-FEEEU,Fonds,3333.83,3333.83,3333.83,3333.83,0,0
20130207,AI-FEEEU,Fonds,3295.30,3295.30,3295.30,3295.30,0,0
20130206,AI-FEEEU,Fonds,3307.72,3307.72,3307.72,3307.72,0,0
20130205,AI-FEEEU,Fonds,3325.67,3325.67,3325.67,3325.67,0,0
20130204,AI-FEEEU,Fonds,3296.63,3296.63,3296.63,3296.63,0,0
20130131,AI-FEEEU,Fonds,3330.72,3330.72,3330.72,3330.72,0,0
20130130,AI-FEEEU,Fonds,3360.84,3360.84,3360.84,3360.84,0,0
20130129,AI-FEEEU,Fonds,3367.38,3367.38,3367.38,3367.38,0,0
20130128,AI-FEEEU,Fonds,3372.40,3372.40,3372.40,3372.40,0,0
20130125,AI-FEEEU,Fonds,3379.17,3379.17,3379.17,3379.17,0,0
20130124,AI-FEEEU,Fonds,3347.17,3347.17,3347.17,3347.17,0,0
20130123,AI-FEEEU,Fonds,3333.42,3333.42,3333.42,3333.42,0,0
20130122,AI-FEEEU,Fonds,3334.81,3334.81,3334.81,3334.81,0,0
20130121,AI-FEEEU,Fonds,3352.81,3352.81,3352.81,3352.81,0,0
20130118,AI-FEEEU,Fonds,3354.92,3354.92,3354.92,3354.92,0,0
20130117,AI-FEEEU,Fonds,3337.25,3337.25,3337.25,3337.25,0,0
20130116,AI-FEEEU,Fonds,3315.00,3315.00,3315.00,3315.00,0,0
20130115,AI-FEEEU,Fonds,3320.32,3320.32,3320.32,3320.32,0,0
20130114,AI-FEEEU,Fonds,3283.04,3283.04,3283.04,3283.04,0,0
20130111,AI-FEEEU,Fonds,3292.85,3292.85,3292.85,3292.85,0,0
20130110,AI-FEEEU,Fonds,3265.01,3265.01,3265.01,3265.01,0,0
20130109,AI-FEEEU,Fonds,3274.99,3274.99,3274.99,3274.99,0,0
20130108,AI-FEEEU,Fonds,3271.01,3271.01,3271.01,3271.01,0,0
20130107,AI-FEEEU,Fonds,3278.41,3278.41,3278.41,3278.41,0,0
20130104,AI-FEEEU,Fonds,3291.47,3291.47,3291.47,3291.47,0,0
20130103,AI-FEEEU,Fonds,3273.59,3273.59,3273.59,3273.59,0,0
20130102,AI-FEEEU,Fonds,3274.78,3274.78,3274.78,3274.78,0,0
20121231,AI-FEEEU,Fonds,3220.22,3220.22,3220.22,3220.22,0,0
20121227,AI-FEEEU,Fonds,3246.98,3246.98,3246.98,3246.98,0,0
20121221,AI-FEEEU,Fonds,3224.63,3224.63,3224.63,3224.63,0,0
20121220,AI-FEEEU,Fonds,3245.07,3245.07,3245.07,3245.07,0,0
20121219,AI-FEEEU,Fonds,3247.23,3247.23,3247.23,3247.23,0,0
20121218,AI-FEEEU,Fonds,3239.08,3239.08,3239.08,3239.08,0,0
20121217,AI-FEEEU,Fonds,3225.05,3225.05,3225.05,3225.05,0,0
20121214,AI-FEEEU,Fonds,3232.35,3232.35,3232.35,3232.35,0,0
20121213,AI-FEEEU,Fonds,3214.23,3214.23,3214.23,3214.23,0,0
20121212,AI-FEEEU,Fonds,3218.25,3218.25,3218.25,3218.25,0,0
20121211,AI-FEEEU,Fonds,3224.06,3224.06,3224.06,3224.06,0,0
20121207,AI-FEEEU,Fonds,3202.80,3202.80,3202.80,3202.80,0,0
20121206,AI-FEEEU,Fonds,3193.79,3193.79,3193.79,3193.79,0,0
20121205,AI-FEEEU,Fonds,3183.14,3183.14,3183.14,3183.14,0,0
20121204,AI-FEEEU,Fonds,3177.60,3177.60,3177.60,3177.60,0,0
20121203,AI-FEEEU,Fonds,3179.72,3179.72,3179.72,3179.72,0,0
20121130,AI-FEEEU,Fonds,3175.93,3175.93,3175.93,3175.93,0,0
20121129,AI-FEEEU,Fonds,3179.16,3179.16,3179.16,3179.16,0,0
20121128,AI-FEEEU,Fonds,3132.81,3132.81,3132.81,3132.81,0,0
20121127,AI-FEEEU,Fonds,3142.47,3142.47,3142.47,3142.47,0,0
20121126,AI-FEEEU,Fonds,3112.12,3112.12,3112.12,3112.12,0,0
20121123,AI-FEEEU,Fonds,3129.26,3129.26,3129.26,3129.26,0,0
20121122,AI-FEEEU,Fonds,3107.65,3107.65,3107.65,3107.65,0,0
20121121,AI-FEEEU,Fonds,3089.99,3089.99,3089.99,3089.99,0,0
20121120,AI-FEEEU,Fonds,3092.55,3092.55,3092.55,3092.55,0,0
20121119,AI-FEEEU,Fonds,3082.03,3082.03,3082.03,3082.03,0,0
20121116,AI-FEEEU,Fonds,3030.61,3030.61,3030.61,3030.61,0,0
20121115,AI-FEEEU,Fonds,3053.14,3053.14,3053.14,3053.14,0,0
20121114,AI-FEEEU,Fonds,3071.77,3071.77,3071.77,3071.77,0,0
20121113,AI-FEEEU,Fonds,3102.30,3102.30,3102.30,3102.30,0,0
20121112,AI-FEEEU,Fonds,3073.24,3073.24,3073.24,3073.24,0,0
20121109,AI-FEEEU,Fonds,3075.70,3075.70,3075.70,3075.70,0,0
20121108,AI-FEEEU,Fonds,3079.34,3079.34,3079.34,3079.34,0,0
20121107,AI-FEEEU,Fonds,3100.89,3100.89,3100.89,3100.89,0,0
20121106,AI-FEEEU,Fonds,3133.86,3133.86,3133.86,3133.86,0,0
20121105,AI-FEEEU,Fonds,3120.83,3120.83,3120.83,3120.83,0,0
20121102,AI-FEEEU,Fonds,3145.17,3145.17,3145.17,3145.17,0,0
20121031,AI-FEEEU,Fonds,3121.37,3121.37,3121.37,3121.37,0,0
20121030,AI-FEEEU,Fonds,3156.21,3156.21,3156.21,3156.21,0,0
20121029,AI-FEEEU,Fonds,3133.80,3133.80,3133.80,3133.80,0,0
20121026,AI-FEEEU,Fonds,3152.23,3152.23,3152.23,3152.23,0,0
20121025,AI-FEEEU,Fonds,3153.20,3153.20,3153.20,3153.20,0,0
20121024,AI-FEEEU,Fonds,3133.00,3133.00,3133.00,3133.00,0,0
20121023,AI-FEEEU,Fonds,3113.41,3113.41,3113.41,3113.41,0,0
20121022,AI-FEEEU,Fonds,3148.03,3148.03,3148.03,3148.03,0,0
20121019,AI-FEEEU,Fonds,3147.44,3147.44,3147.44,3147.44,0,0
20121018,AI-FEEEU,Fonds,3168.80,3168.80,3168.80,3168.80,0,0
20121017,AI-FEEEU,Fonds,3177.59,3177.59,3177.59,3177.59,0,0
20121016,AI-FEEEU,Fonds,3164.28,3164.28,3164.28,3164.28,0,0
20121015,AI-FEEEU,Fonds,3126.93,3126.93,3126.93,3126.93,0,0
20121012,AI-FEEEU,Fonds,3109.80,3109.80,3109.80,3109.80,0,0
20121011,AI-FEEEU,Fonds,3120.80,3120.80,3120.80,3120.80,0,0
20121010,AI-FEEEU,Fonds,3103.47,3103.47,3103.47,3103.47,0,0
20121009,AI-FEEEU,Fonds,3109.02,3109.02,3109.02,3109.02,0,0
20121008,AI-FEEEU,Fonds,3132.52,3132.52,3132.52,3132.52,0,0
20121005,AI-FEEEU,Fonds,3161.41,3161.41,3161.41,3161.41,0,0
20121004,AI-FEEEU,Fonds,3135.41,3135.41,3135.41,3135.41,0,0
20121003,AI-FEEEU,Fonds,3142.77,3142.77,3142.77,3142.77,0,0
20121002,AI-FEEEU,Fonds,3116.53,3116.53,3116.53,3116.53,0,0
20121001,AI-FEEEU,Fonds,3130.45,3130.45,3130.45,3130.45,0,0
20120928,AI-FEEEU,Fonds,3078.70,3078.70,3078.70,3078.70,0,0
20120927,AI-FEEEU,Fonds,3109.33,3109.33,3109.33,3109.33,0,0
20120926,AI-FEEEU,Fonds,3120.25,3120.25,3120.25,3120.25,0,0
20120925,AI-FEEEU,Fonds,3162.57,3162.57,3162.57,3162.57,0,0
20120924,AI-FEEEU,Fonds,3166.10,3166.10,3166.10,3166.10,0,0
20120921,AI-FEEEU,Fonds,3190.33,3190.33,3190.33,3190.33,0,0
20120920,AI-FEEEU,Fonds,3162.77,3162.77,3162.77,3162.77,0,0
20120919,AI-FEEEU,Fonds,3161.32,3161.32,3161.32,3161.32,0,0
20120918,AI-FEEEU,Fonds,3159.83,3159.83,3159.83,3159.83,0,0
20120917,AI-FEEEU,Fonds,3185.67,3185.67,3185.67,3185.67,0,0
20120914,AI-FEEEU,Fonds,3181.32,3181.32,3181.32,3181.32,0,0
20120913,AI-FEEEU,Fonds,3136.87,3136.87,3136.87,3136.87,0,0
20120912,AI-FEEEU,Fonds,3130.24,3130.24,3130.24,3130.24,0,0
20120911,AI-FEEEU,Fonds,3127.93,3127.93,3127.93,3127.93,0,0
20120910,AI-FEEEU,Fonds,3108.62,3108.62,3108.62,3108.62,0,0
20120907,AI-FEEEU,Fonds,3121.33,3121.33,3121.33,3121.33,0,0
20120906,AI-FEEEU,Fonds,3124.99,3124.99,3124.99,3124.99,0,0
20120905,AI-FEEEU,Fonds,3028.90,3028.90,3028.90,3028.90,0,0
20120904,AI-FEEEU,Fonds,3000.36,3000.36,3000.36,3000.36,0,0
20120903,AI-FEEEU,Fonds,3049.17,3049.17,3049.17,3049.17,0,0
20120831,AI-FEEEU,Fonds,3021.29,3021.29,3021.29,3021.29,0,0
20120830,AI-FEEEU,Fonds,2996.61,2996.61,2996.61,2996.61,0,0
20120829,AI-FEEEU,Fonds,3031.89,3031.89,3031.89,3031.89,0,0
20120828,AI-FEEEU,Fonds,3030.76,3030.76,3030.76,3030.76,0,0
20120827,AI-FEEEU,Fonds,3047.16,3047.16,3047.16,3047.16,0,0
20120824,AI-FEEEU,Fonds,3032.94,3032.94,3032.94,3032.94,0,0
20120823,AI-FEEEU,Fonds,3042.28,3042.28,3042.28,3042.28,0,0
20120822,AI-FEEEU,Fonds,3064.06,3064.06,3064.06,3064.06,0,0
20120821,AI-FEEEU,Fonds,3100.42,3100.42,3100.42,3100.42,0,0
20120820,AI-FEEEU,Fonds,3078.05,3078.05,3078.05,3078.05,0,0
20120817,AI-FEEEU,Fonds,3097.72,3097.72,3097.72,3097.72,0,0
20120816,AI-FEEEU,Fonds,3098.13,3098.13,3098.13,3098.13,0,0
20120813,AI-FEEEU,Fonds,3059.00,3059.00,3059.00,3059.00,0,0
20120810,AI-FEEEU,Fonds,3051.77,3051.77,3051.77,3051.77,0,0
20120809,AI-FEEEU,Fonds,3059.96,3059.96,3059.96,3059.96,0,0
20120808,AI-FEEEU,Fonds,3048.42,3048.42,3048.42,3048.42,0,0
20120807,AI-FEEEU,Fonds,3070.87,3070.87,3070.87,3070.87,0,0
20120806,AI-FEEEU,Fonds,3068.02,3068.02,3068.02,3068.02,0,0
20120803,AI-FEEEU,Fonds,3044.34,3044.34,3044.34,3044.34,0,0
20120802,AI-FEEEU,Fonds,2967.18,2967.18,2967.18,2967.18,0,0
20120801,AI-FEEEU,Fonds,3016.92,3016.92,3016.92,3016.92,0,0
20120731,AI-FEEEU,Fonds,3006.37,3006.37,3006.37,3006.37,0,0
20120730,AI-FEEEU,Fonds,3041.86,3041.86,3041.86,3041.86,0,0
20120727,AI-FEEEU,Fonds,3027.41,3027.41,3027.41,3027.41,0,0
20120726,AI-FEEEU,Fonds,2952.72,2952.72,2952.72,2952.72,0,0
20120725,AI-FEEEU,Fonds,2887.59,2887.59,2887.59,2887.59,0,0
20120724,AI-FEEEU,Fonds,2881.45,2881.45,2881.45,2881.45,0,0
20120723,AI-FEEEU,Fonds,2895.22,2895.22,2895.22,2895.22,0,0
20120720,AI-FEEEU,Fonds,2977.95,2977.95,2977.95,2977.95,0,0
20120719,AI-FEEEU,Fonds,3034.22,3034.22,3034.22,3034.22,0,0
20120718,AI-FEEEU,Fonds,3019.67,3019.67,3019.67,3019.67,0,0
