quote_date,paper,exch,open,high,low,close,volume,value
20170116,AI-FEIN,Fonds,1633.18,1633.18,1633.18,1633.18,0,0
20170113,AI-FEIN,Fonds,1638.46,1638.46,1638.46,1638.46,0,0
20170112,AI-FEIN,Fonds,1645.34,1645.34,1645.34,1645.34,0,0
20170111,AI-FEIN,Fonds,1672.93,1672.93,1672.93,1672.93,0,0
20170110,AI-FEIN,Fonds,1667.99,1667.99,1667.99,1667.99,0,0
20170109,AI-FEIN,Fonds,1653.27,1653.27,1653.27,1653.27,0,0
20170106,AI-FEIN,Fonds,1657.78,1657.78,1657.78,1657.78,0,0
20170105,AI-FEIN,Fonds,1647.70,1647.70,1647.70,1647.70,0,0
20170104,AI-FEIN,Fonds,1652.94,1652.94,1652.94,1652.94,0,0
20170103,AI-FEIN,Fonds,1647.32,1647.32,1647.32,1647.32,0,0
20161230,AI-FEIN,Fonds,1642.87,1642.87,1642.87,1642.87,0,0
20161229,AI-FEIN,Fonds,1655.50,1655.50,1655.50,1655.50,0,0
20161222,AI-FEIN,Fonds,1570.54,1570.54,1570.54,1570.54,0,0
20161221,AI-FEIN,Fonds,1583.15,1583.15,1583.15,1583.15,0,0
20161220,AI-FEIN,Fonds,1611.69,1611.69,1611.69,1611.69,0,0
20161219,AI-FEIN,Fonds,1619.52,1619.52,1619.52,1619.52,0,0
20161216,AI-FEIN,Fonds,1639.85,1639.85,1639.85,1639.85,0,0
20161215,AI-FEIN,Fonds,1641.96,1641.96,1641.96,1641.96,0,0
20161214,AI-FEIN,Fonds,1619.01,1619.01,1619.01,1619.01,0,0
20161213,AI-FEIN,Fonds,1622.10,1622.10,1622.10,1622.10,0,0
20161209,AI-FEIN,Fonds,1647.37,1647.37,1647.37,1647.37,0,0
20161208,AI-FEIN,Fonds,1641.16,1641.16,1641.16,1641.16,0,0
20161207,AI-FEIN,Fonds,1594.55,1594.55,1594.55,1594.55,0,0
20161206,AI-FEIN,Fonds,1596.00,1596.00,1596.00,1596.00,0,0
20161205,AI-FEIN,Fonds,1590.98,1590.98,1590.98,1590.98,0,0
20161202,AI-FEIN,Fonds,1585.37,1585.37,1585.37,1585.37,0,0
20161201,AI-FEIN,Fonds,1567.35,1567.35,1567.35,1567.35,0,0
20161130,AI-FEIN,Fonds,1561.91,1561.91,1561.91,1561.91,0,0
20161129,AI-FEIN,Fonds,1557.87,1557.87,1557.87,1557.87,0,0
20161128,AI-FEIN,Fonds,1556.91,1556.91,1556.91,1556.91,0,0
20161125,AI-FEIN,Fonds,1568.26,1568.26,1568.26,1568.26,0,0
20161124,AI-FEIN,Fonds,1564.79,1564.79,1564.79,1564.79,0,0
20161123,AI-FEIN,Fonds,1616.03,1616.03,1616.03,1616.03,0,0
20161122,AI-FEIN,Fonds,1601.50,1601.50,1601.50,1601.50,0,0
20161121,AI-FEIN,Fonds,1596.78,1596.78,1596.78,1596.78,0,0
20161118,AI-FEIN,Fonds,1615.52,1615.52,1615.52,1615.52,0,0
20161117,AI-FEIN,Fonds,1614.99,1614.99,1614.99,1614.99,0,0
20161116,AI-FEIN,Fonds,1606.90,1606.90,1606.90,1606.90,0,0
20161115,AI-FEIN,Fonds,1561.49,1561.49,1561.49,1561.49,0,0
20161114,AI-FEIN,Fonds,1582.06,1582.06,1582.06,1582.06,0,0
20161111,AI-FEIN,Fonds,1619.32,1619.32,1619.32,1619.32,0,0
20161110,AI-FEIN,Fonds,1721.73,1721.73,1721.73,1721.73,0,0
20161103,AI-FEIN,Fonds,1643.81,1643.81,1643.81,1643.81,0,0
20161102,AI-FEIN,Fonds,1676.30,1676.30,1676.30,1676.30,0,0
20161028,AI-FEIN,Fonds,1712.29,1712.29,1712.29,1712.29,0,0
20161027,AI-FEIN,Fonds,1713.85,1713.85,1713.85,1713.85,0,0
20161026,AI-FEIN,Fonds,1709.47,1709.47,1709.47,1709.47,0,0
20161025,AI-FEIN,Fonds,1718.82,1718.82,1718.82,1718.82,0,0
20161024,AI-FEIN,Fonds,1722.70,1722.70,1722.70,1722.70,0,0
20161020,AI-FEIN,Fonds,1715.82,1715.82,1715.82,1715.82,0,0
20161019,AI-FEIN,Fonds,1705.61,1705.61,1705.61,1705.61,0,0
20161018,AI-FEIN,Fonds,1717.49,1717.49,1717.49,1717.49,0,0
20161017,AI-FEIN,Fonds,1709.62,1709.62,1709.62,1709.62,0,0
20161014,AI-FEIN,Fonds,1721.62,1721.62,1721.62,1721.62,0,0
20161013,AI-FEIN,Fonds,1686.19,1686.19,1686.19,1686.19,0,0
20161012,AI-FEIN,Fonds,1711.00,1711.00,1711.00,1711.00,0,0
20161011,AI-FEIN,Fonds,1698.49,1698.49,1698.49,1698.49,0,0
20161010,AI-FEIN,Fonds,1678.96,1678.96,1678.96,1678.96,0,0
20161007,AI-FEIN,Fonds,1686.01,1686.01,1686.01,1686.01,0,0
20161006,AI-FEIN,Fonds,1695.64,1695.64,1695.64,1695.64,0,0
20161005,AI-FEIN,Fonds,1698.69,1698.69,1698.69,1698.69,0,0
20161004,AI-FEIN,Fonds,1709.17,1709.17,1709.17,1709.17,0,0
20161003,AI-FEIN,Fonds,1702.70,1702.70,1702.70,1702.70,0,0
20160930,AI-FEIN,Fonds,1666.08,1666.08,1666.08,1666.08,0,0
20160929,AI-FEIN,Fonds,1710.97,1710.97,1710.97,1710.97,0,0
20160928,AI-FEIN,Fonds,1725.37,1725.37,1725.37,1725.37,0,0
20160927,AI-FEIN,Fonds,1734.34,1734.34,1734.34,1734.34,0,0
20160926,AI-FEIN,Fonds,1684.55,1684.55,1684.55,1684.55,0,0
20160923,AI-FEIN,Fonds,1700.65,1700.65,1700.65,1700.65,0,0
20160922,AI-FEIN,Fonds,1701.27,1701.27,1701.27,1701.27,0,0
20160921,AI-FEIN,Fonds,1729.31,1729.31,1729.31,1729.31,0,0
20160920,AI-FEIN,Fonds,1704.75,1704.75,1704.75,1704.75,0,0
20160919,AI-FEIN,Fonds,1708.52,1708.52,1708.52,1708.52,0,0
20160916,AI-FEIN,Fonds,1690.45,1690.45,1690.45,1690.45,0,0
20160915,AI-FEIN,Fonds,1682.56,1682.56,1682.56,1682.56,0,0
20160914,AI-FEIN,Fonds,1631.09,1631.09,1631.09,1631.09,0,0
20160913,AI-FEIN,Fonds,1657.46,1657.46,1657.46,1657.46,0,0
20160909,AI-FEIN,Fonds,1684.53,1684.53,1684.53,1684.53,0,0
20160908,AI-FEIN,Fonds,1709.59,1709.59,1709.59,1709.59,0,0
20160907,AI-FEIN,Fonds,1720.26,1720.26,1720.26,1720.26,0,0
20160906,AI-FEIN,Fonds,1713.15,1713.15,1713.15,1713.15,0,0
20160905,AI-FEIN,Fonds,1726.48,1726.48,1726.48,1726.48,0,0
20160902,AI-FEIN,Fonds,1724.23,1724.23,1724.23,1724.23,0,0
20160901,AI-FEIN,Fonds,1709.30,1709.30,1709.30,1709.30,0,0
20160831,AI-FEIN,Fonds,1727.78,1727.78,1727.78,1727.78,0,0
20160830,AI-FEIN,Fonds,1717.12,1717.12,1717.12,1717.12,0,0
20160829,AI-FEIN,Fonds,1720.19,1720.19,1720.19,1720.19,0,0
20160826,AI-FEIN,Fonds,1729.68,1729.68,1729.68,1729.68,0,0
20160825,AI-FEIN,Fonds,1740.26,1740.26,1740.26,1740.26,0,0
20160824,AI-FEIN,Fonds,1725.50,1725.50,1725.50,1725.50,0,0
20160823,AI-FEIN,Fonds,1733.14,1733.14,1733.14,1733.14,0,0
20160822,AI-FEIN,Fonds,1737.32,1737.32,1737.32,1737.32,0,0
20160819,AI-FEIN,Fonds,1741.45,1741.45,1741.45,1741.45,0,0
20160818,AI-FEIN,Fonds,1757.45,1757.45,1757.45,1757.45,0,0
20160816,AI-FEIN,Fonds,1738.03,1738.03,1738.03,1738.03,0,0
20160811,AI-FEIN,Fonds,1753.58,1753.58,1753.58,1753.58,0,0
