quote_date,paper,exch,open,high,low,close,volume,value
20160513,AI-FETC,Fonds,1715.41,1715.41,1715.41,1715.41,0,0
20160323,AI-FETC,Fonds,1866.70,1866.70,1866.70,1866.70,0,0
20160216,AI-FETC,Fonds,1636.64,1636.64,1636.64,1636.64,0,0
20151230,AI-FETC,Fonds,1778.946,1778.946,1778.946,1778.946,0,0
20141230,AI-FETC,Fonds,2193.0061,2193.0061,2193.0061,2193.0061,0,0
20140416,AI-FETC,Fonds,1624.68,1624.68,1624.68,1624.68,0,0
20130327,AI-FETC,Fonds,2155.25,2155.25,2155.25,2155.25,0,0
20130304,AI-FETC,Fonds,2047.79,2047.79,2047.79,2047.79,0,0
20130301,AI-FETC,Fonds,2047.61,2047.61,2047.61,2047.61,0,0
20130228,AI-FETC,Fonds,2022.15,2022.15,2022.15,2022.15,0,0
20130225,AI-FETC,Fonds,1927.55,1927.55,1927.55,1927.55,0,0
20130222,AI-FETC,Fonds,1913.39,1913.39,1913.39,1913.39,0,0
20130221,AI-FETC,Fonds,1937.28,1937.28,1937.28,1937.28,0,0
20130220,AI-FETC,Fonds,1961.78,1961.78,1961.78,1961.78,0,0
20130219,AI-FETC,Fonds,1952.99,1952.99,1952.99,1952.99,0,0
20130218,AI-FETC,Fonds,1954.39,1954.39,1954.39,1954.39,0,0
20130215,AI-FETC,Fonds,1951.18,1951.18,1951.18,1951.18,0,0
20130214,AI-FETC,Fonds,1926.74,1926.74,1926.74,1926.74,0,0
20130213,AI-FETC,Fonds,1928.56,1928.56,1928.56,1928.56,0,0
20130212,AI-FETC,Fonds,1922.41,1922.41,1922.41,1922.41,0,0
20130211,AI-FETC,Fonds,1909.80,1909.80,1909.80,1909.80,0,0
20130208,AI-FETC,Fonds,1954.22,1954.22,1954.22,1954.22,0,0
20130207,AI-FETC,Fonds,1941.80,1941.80,1941.80,1941.80,0,0
20130206,AI-FETC,Fonds,1978.66,1978.66,1978.66,1978.66,0,0
20130205,AI-FETC,Fonds,1995.00,1995.00,1995.00,1995.00,0,0
20130204,AI-FETC,Fonds,2004.95,2004.95,2004.95,2004.95,0,0
20130131,AI-FETC,Fonds,1953.54,1953.54,1953.54,1953.54,0,0
20130130,AI-FETC,Fonds,1951.59,1951.59,1951.59,1951.59,0,0
20130129,AI-FETC,Fonds,2036.30,2036.30,2036.30,2036.30,0,0
20130128,AI-FETC,Fonds,2024.20,2024.20,2024.20,2024.20,0,0
20130125,AI-FETC,Fonds,2111.04,2111.04,2111.04,2111.04,0,0
20130124,AI-FETC,Fonds,2151.57,2151.57,2151.57,2151.57,0,0
20130123,AI-FETC,Fonds,2167.45,2167.45,2167.45,2167.45,0,0
20130122,AI-FETC,Fonds,2153.61,2153.61,2153.61,2153.61,0,0
20130121,AI-FETC,Fonds,2161.20,2161.20,2161.20,2161.20,0,0
20130118,AI-FETC,Fonds,2163.04,2163.04,2163.04,2163.04,0,0
20130117,AI-FETC,Fonds,2146.54,2146.54,2146.54,2146.54,0,0
20130116,AI-FETC,Fonds,2120.20,2120.20,2120.20,2120.20,0,0
20130115,AI-FETC,Fonds,2075.87,2075.87,2075.87,2075.87,0,0
20130114,AI-FETC,Fonds,2038.88,2038.88,2038.88,2038.88,0,0
20130111,AI-FETC,Fonds,2019.29,2019.29,2019.29,2019.29,0,0
20130110,AI-FETC,Fonds,2020.53,2020.53,2020.53,2020.53,0,0
20130109,AI-FETC,Fonds,2045.90,2045.90,2045.90,2045.90,0,0
20130108,AI-FETC,Fonds,2019.13,2019.13,2019.13,2019.13,0,0
20130107,AI-FETC,Fonds,2015.42,2015.42,2015.42,2015.42,0,0
20130104,AI-FETC,Fonds,1998.65,1998.65,1998.65,1998.65,0,0
20130103,AI-FETC,Fonds,1999.03,1999.03,1999.03,1999.03,0,0
20130102,AI-FETC,Fonds,1971.27,1971.27,1971.27,1971.27,0,0
20121231,AI-FETC,Fonds,1946.93,1946.93,1946.93,1946.93,0,0
20121228,AI-FETC,Fonds,1961.12,1961.12,1961.12,1961.12,0,0
20121227,AI-FETC,Fonds,1953.96,1953.96,1953.96,1953.96,0,0
20121221,AI-FETC,Fonds,1899.24,1899.24,1899.24,1899.24,0,0
20121220,AI-FETC,Fonds,1911.27,1911.27,1911.27,1911.27,0,0
20121219,AI-FETC,Fonds,1913.08,1913.08,1913.08,1913.08,0,0
20121218,AI-FETC,Fonds,1939.40,1939.40,1939.40,1939.40,0,0
20121217,AI-FETC,Fonds,1945.51,1945.51,1945.51,1945.51,0,0
20121214,AI-FETC,Fonds,1932.47,1932.47,1932.47,1932.47,0,0
20121213,AI-FETC,Fonds,1941.75,1941.75,1941.75,1941.75,0,0
20121212,AI-FETC,Fonds,1956.36,1956.36,1956.36,1956.36,0,0
20121211,AI-FETC,Fonds,1952.25,1952.25,1952.25,1952.25,0,0
20121207,AI-FETC,Fonds,1939.19,1939.19,1939.19,1939.19,0,0
20121206,AI-FETC,Fonds,1911.98,1911.98,1911.98,1911.98,0,0
20121205,AI-FETC,Fonds,1912.34,1912.34,1912.34,1912.34,0,0
20121204,AI-FETC,Fonds,1896.80,1896.80,1896.80,1896.80,0,0
20121203,AI-FETC,Fonds,1876.64,1876.64,1876.64,1876.64,0,0
20121130,AI-FETC,Fonds,1855.32,1855.32,1855.32,1855.32,0,0
20121129,AI-FETC,Fonds,1846.93,1846.93,1846.93,1846.93,0,0
20121128,AI-FETC,Fonds,1832.43,1832.43,1832.43,1832.43,0,0
20121127,AI-FETC,Fonds,1830.67,1830.67,1830.67,1830.67,0,0
20121126,AI-FETC,Fonds,1817.32,1817.32,1817.32,1817.32,0,0
20121123,AI-FETC,Fonds,1797.19,1797.19,1797.19,1797.19,0,0
20121122,AI-FETC,Fonds,1780.13,1780.13,1780.13,1780.13,0,0
20121121,AI-FETC,Fonds,1794.43,1794.43,1794.43,1794.43,0,0
20121120,AI-FETC,Fonds,1809.73,1809.73,1809.73,1809.73,0,0
20121119,AI-FETC,Fonds,1807.05,1807.05,1807.05,1807.05,0,0
20121116,AI-FETC,Fonds,1828.29,1828.29,1828.29,1828.29,0,0
20121115,AI-FETC,Fonds,1835.60,1835.60,1835.60,1835.60,0,0
20121114,AI-FETC,Fonds,1823.74,1823.74,1823.74,1823.74,0,0
20121113,AI-FETC,Fonds,1841.61,1841.61,1841.61,1841.61,0,0
20121112,AI-FETC,Fonds,1822.42,1822.42,1822.42,1822.42,0,0
20121109,AI-FETC,Fonds,1841.04,1841.04,1841.04,1841.04,0,0
20121108,AI-FETC,Fonds,1868.82,1868.82,1868.82,1868.82,0,0
20121107,AI-FETC,Fonds,1846.39,1846.39,1846.39,1846.39,0,0
20121106,AI-FETC,Fonds,1853.42,1853.42,1853.42,1853.42,0,0
20121105,AI-FETC,Fonds,1869.14,1869.14,1869.14,1869.14,0,0
20121102,AI-FETC,Fonds,1824.02,1824.02,1824.02,1824.02,0,0
20121031,AI-FETC,Fonds,1835.64,1835.64,1835.64,1835.64,0,0
20121030,AI-FETC,Fonds,1818.44,1818.44,1818.44,1818.44,0,0
20121024,AI-FETC,Fonds,1792.74,1792.74,1792.74,1792.74,0,0
20121023,AI-FETC,Fonds,1794.30,1794.30,1794.30,1794.30,0,0
20121022,AI-FETC,Fonds,1793.20,1793.20,1793.20,1793.20,0,0
20121019,AI-FETC,Fonds,1778.08,1778.08,1778.08,1778.08,0,0
20121018,AI-FETC,Fonds,1761.71,1761.71,1761.71,1761.71,0,0
20121017,AI-FETC,Fonds,1769.22,1769.22,1769.22,1769.22,0,0
20121016,AI-FETC,Fonds,1765.88,1765.88,1765.88,1765.88,0,0
20121015,AI-FETC,Fonds,1765.90,1765.90,1765.90,1765.90,0,0
20121012,AI-FETC,Fonds,1764.39,1764.39,1764.39,1764.39,0,0
20121011,AI-FETC,Fonds,1762.47,1762.47,1762.47,1762.47,0,0
20121010,AI-FETC,Fonds,1739.36,1739.36,1739.36,1739.36,0,0
20121009,AI-FETC,Fonds,1727.30,1727.30,1727.30,1727.30,0,0
20121008,AI-FETC,Fonds,1712.51,1712.51,1712.51,1712.51,0,0
20121005,AI-FETC,Fonds,1712.89,1712.89,1712.89,1712.89,0,0
20121004,AI-FETC,Fonds,1711.39,1711.39,1711.39,1711.39,0,0
20121003,AI-FETC,Fonds,1732.36,1732.36,1732.36,1732.36,0,0
20121002,AI-FETC,Fonds,1732.89,1732.89,1732.89,1732.89,0,0
20121001,AI-FETC,Fonds,1723.83,1723.83,1723.83,1723.83,0,0
20120928,AI-FETC,Fonds,1711.85,1711.85,1711.85,1711.85,0,0
