quote_date,paper,exch,open,high,low,close,volume,value
20171120,AI-KORTS,Fonds,1238.8186,1238.8186,1238.8186,1238.8186,0,0
20171117,AI-KORTS,Fonds,1238.5747,1238.5747,1238.5747,1238.5747,0,0
20171116,AI-KORTS,Fonds,1238.4072,1238.4072,1238.4072,1238.4072,0,0
20171115,AI-KORTS,Fonds,1238.5002,1238.5002,1238.5002,1238.5002,0,0
20171114,AI-KORTS,Fonds,1238.3605,1238.3605,1238.3605,1238.3605,0,0
20171113,AI-KORTS,Fonds,1238.3064,1238.3064,1238.3064,1238.3064,0,0
20171110,AI-KORTS,Fonds,1238.2971,1238.2971,1238.2971,1238.2971,0,0
20171109,AI-KORTS,Fonds,1238.33,1238.33,1238.33,1238.33,0,0
20171108,AI-KORTS,Fonds,1238.5375,1238.5375,1238.5375,1238.5375,0,0
20171107,AI-KORTS,Fonds,1238.5283,1238.5283,1238.5283,1238.5283,0,0
20171106,AI-KORTS,Fonds,1238.5068,1238.5068,1238.5068,1238.5068,0,0
20171103,AI-KORTS,Fonds,1238.3549,1238.3549,1238.3549,1238.3549,0,0
20171102,AI-KORTS,Fonds,1238.297,1238.297,1238.297,1238.297,0,0
20171101,AI-KORTS,Fonds,1238.2821,1238.2821,1238.2821,1238.2821,0,0
20171031,AI-KORTS,Fonds,1238.244,1238.244,1238.244,1238.244,0,0
20171030,AI-KORTS,Fonds,1238.2059,1238.2059,1238.2059,1238.2059,0,0
20171027,AI-KORTS,Fonds,1237.9926,1237.9926,1237.9926,1237.9926,0,0
20171026,AI-KORTS,Fonds,1237.9743,1237.9743,1237.9743,1237.9743,0,0
20171025,AI-KORTS,Fonds,1237.934,1237.934,1237.934,1237.934,0,0
20171024,AI-KORTS,Fonds,1237.9231,1237.9231,1237.9231,1237.9231,0,0
20171023,AI-KORTS,Fonds,1237.9736,1237.9736,1237.9736,1237.9736,0,0
20171020,AI-KORTS,Fonds,1237.8729,1237.8729,1237.8729,1237.8729,0,0
20171019,AI-KORTS,Fonds,1237.9334,1237.9334,1237.9334,1237.9334,0,0
20171018,AI-KORTS,Fonds,1237.9303,1237.9303,1237.9303,1237.9303,0,0
20171017,AI-KORTS,Fonds,1237.9312,1237.9312,1237.9312,1237.9312,0,0
20171016,AI-KORTS,Fonds,1237.9098,1237.9098,1237.9098,1237.9098,0,0
20171013,AI-KORTS,Fonds,1237.7643,1237.7643,1237.7643,1237.7643,0,0
20171012,AI-KORTS,Fonds,1237.7127,1237.7127,1237.7127,1237.7127,0,0
20171011,AI-KORTS,Fonds,1237.8441,1237.8441,1237.8441,1237.8441,0,0
20171010,AI-KORTS,Fonds,1237.4974,1237.4974,1237.4974,1237.4974,0,0
20171009,AI-KORTS,Fonds,1237.5027,1237.5027,1237.5027,1237.5027,0,0
20171005,AI-KORTS,Fonds,1237.4797,1237.4797,1237.4797,1237.4797,0,0
20171004,AI-KORTS,Fonds,1237.4378,1237.4378,1237.4378,1237.4378,0,0
20171003,AI-KORTS,Fonds,1237.4045,1237.4045,1237.4045,1237.4045,0,0
20171002,AI-KORTS,Fonds,1237.4241,1237.4241,1237.4241,1237.4241,0,0
20170929,AI-KORTS,Fonds,1237.3307,1237.3307,1237.3307,1237.3307,0,0
20170928,AI-KORTS,Fonds,1237.2212,1237.2212,1237.2212,1237.2212,0,0
20170927,AI-KORTS,Fonds,1237.2362,1237.2362,1237.2362,1237.2362,0,0
20170926,AI-KORTS,Fonds,1237.2908,1237.2908,1237.2908,1237.2908,0,0
20170925,AI-KORTS,Fonds,1237.2461,1237.2461,1237.2461,1237.2461,0,0
20170922,AI-KORTS,Fonds,1237.1222,1237.1222,1237.1222,1237.1222,0,0
20170921,AI-KORTS,Fonds,1237.0683,1237.0683,1237.0683,1237.0683,0,0
20170920,AI-KORTS,Fonds,1237.2153,1237.2153,1237.2153,1237.2153,0,0
20170919,AI-KORTS,Fonds,1237.2402,1237.2402,1237.2402,1237.2402,0,0
20170918,AI-KORTS,Fonds,1237.1985,1237.1985,1237.1985,1237.1985,0,0
20170915,AI-KORTS,Fonds,1237.1188,1237.1188,1237.1188,1237.1188,0,0
20170914,AI-KORTS,Fonds,1237.1814,1237.1814,1237.1814,1237.1814,0,0
20170913,AI-KORTS,Fonds,1237.2763,1237.2763,1237.2763,1237.2763,0,0
20170912,AI-KORTS,Fonds,1237.2477,1237.2477,1237.2477,1237.2477,0,0
20170911,AI-KORTS,Fonds,1237.1722,1237.1722,1237.1722,1237.1722,0,0
20170908,AI-KORTS,Fonds,1237.0736,1237.0736,1237.0736,1237.0736,0,0
20170907,AI-KORTS,Fonds,1237.0059,1237.0059,1237.0059,1237.0059,0,0
20170906,AI-KORTS,Fonds,1237.0885,1237.0885,1237.0885,1237.0885,0,0
20170905,AI-KORTS,Fonds,1236.9228,1236.9228,1236.9228,1236.9228,0,0
20170904,AI-KORTS,Fonds,1236.8703,1236.8703,1236.8703,1236.8703,0,0
20170901,AI-KORTS,Fonds,1236.7307,1236.7307,1236.7307,1236.7307,0,0
20170831,AI-KORTS,Fonds,1236.7367,1236.7367,1236.7367,1236.7367,0,0
20170830,AI-KORTS,Fonds,1236.7972,1236.7972,1236.7972,1236.7972,0,0
20170829,AI-KORTS,Fonds,1236.8509,1236.8509,1236.8509,1236.8509,0,0
20170828,AI-KORTS,Fonds,1236.7802,1236.7802,1236.7802,1236.7802,0,0
20170825,AI-KORTS,Fonds,1236.6133,1236.6133,1236.6133,1236.6133,0,0
20170824,AI-KORTS,Fonds,1236.5876,1236.5876,1236.5876,1236.5876,0,0
