quote_date,paper,exch,open,high,low,close,volume,value
20171109,AI-LIKV,Fonds,85.0983,85.0983,85.0983,85.0983,0,0
20171108,AI-LIKV,Fonds,85.1016,85.1016,85.1016,85.1016,0,0
20171107,AI-LIKV,Fonds,85.1033,85.1033,85.1033,85.1033,0,0
20171106,AI-LIKV,Fonds,85.1001,85.1001,85.1001,85.1001,0,0
20171103,AI-LIKV,Fonds,85.0885,85.0885,85.0885,85.0885,0,0
20171102,AI-LIKV,Fonds,85.086,85.086,85.086,85.086,0,0
20171101,AI-LIKV,Fonds,85.0844,85.0844,85.0844,85.0844,0,0
20171031,AI-LIKV,Fonds,85.0816,85.0816,85.0816,85.0816,0,0
20171030,AI-LIKV,Fonds,85.0767,85.0767,85.0767,85.0767,0,0
20171027,AI-LIKV,Fonds,85.0651,85.0651,85.0651,85.0651,0,0
20171026,AI-LIKV,Fonds,85.062,85.062,85.062,85.062,0,0
20171025,AI-LIKV,Fonds,85.0622,85.0622,85.0622,85.0622,0,0
20171024,AI-LIKV,Fonds,85.0583,85.0583,85.0583,85.0583,0,0
20171023,AI-LIKV,Fonds,85.0562,85.0562,85.0562,85.0562,0,0
20171020,AI-LIKV,Fonds,85.049,85.049,85.049,85.049,0,0
20171019,AI-LIKV,Fonds,85.0485,85.0485,85.0485,85.0485,0,0
20171018,AI-LIKV,Fonds,85.0494,85.0494,85.0494,85.0494,0,0
20171017,AI-LIKV,Fonds,85.044,85.044,85.044,85.044,0,0
20171016,AI-LIKV,Fonds,85.0394,85.0394,85.0394,85.0394,0,0
20171013,AI-LIKV,Fonds,85.0346,85.0346,85.0346,85.0346,0,0
20171012,AI-LIKV,Fonds,85.0346,85.0346,85.0346,85.0346,0,0
20171011,AI-LIKV,Fonds,85.0425,85.0425,85.0425,85.0425,0,0
20171010,AI-LIKV,Fonds,85.0422,85.0422,85.0422,85.0422,0,0
20171009,AI-LIKV,Fonds,85.0443,85.0443,85.0443,85.0443,0,0
20171005,AI-LIKV,Fonds,85.0333,85.0333,85.0333,85.0333,0,0
20171004,AI-LIKV,Fonds,85.0331,85.0331,85.0331,85.0331,0,0
20171003,AI-LIKV,Fonds,85.0307,85.0307,85.0307,85.0307,0,0
20171002,AI-LIKV,Fonds,85.026,85.026,85.026,85.026,0,0
20170929,AI-LIKV,Fonds,85.0203,85.0203,85.0203,85.0203,0,0
20170928,AI-LIKV,Fonds,85.0147,85.0147,85.0147,85.0147,0,0
20170927,AI-LIKV,Fonds,85.0207,85.0207,85.0207,85.0207,0,0
20170926,AI-LIKV,Fonds,85.0179,85.0179,85.0179,85.0179,0,0
20170925,AI-LIKV,Fonds,85.0145,85.0145,85.0145,85.0145,0,0
20170922,AI-LIKV,Fonds,85.0046,85.0046,85.0046,85.0046,0,0
20170921,AI-LIKV,Fonds,85.0018,85.0018,85.0018,85.0018,0,0
20170920,AI-LIKV,Fonds,85.0049,85.0049,85.0049,85.0049,0,0
20170919,AI-LIKV,Fonds,85.0041,85.0041,85.0041,85.0041,0,0
20170918,AI-LIKV,Fonds,85.0007,85.0007,85.0007,85.0007,0,0
