quote_date,paper,exch,open,high,low,close,volume,value
20171109,AI-NOGIN,Fonds,102.5233,102.5233,102.5233,102.5233,0,0
20171108,AI-NOGIN,Fonds,102.4493,102.4493,102.4493,102.4493,0,0
20171107,AI-NOGIN,Fonds,102.4462,102.4462,102.4462,102.4462,0,0
20171106,AI-NOGIN,Fonds,102.4251,102.4251,102.4251,102.4251,0,0
20171103,AI-NOGIN,Fonds,102.3909,102.3909,102.3909,102.3909,0,0
20171102,AI-NOGIN,Fonds,102.3718,102.3718,102.3718,102.3718,0,0
20171101,AI-NOGIN,Fonds,102.3633,102.3633,102.3633,102.3633,0,0
20171031,AI-NOGIN,Fonds,102.3116,102.3116,102.3116,102.3116,0,0
20171030,AI-NOGIN,Fonds,102.2956,102.2956,102.2956,102.2956,0,0
20171027,AI-NOGIN,Fonds,102.2668,102.2668,102.2668,102.2668,0,0
20171026,AI-NOGIN,Fonds,102.2786,102.2786,102.2786,102.2786,0,0
20171025,AI-NOGIN,Fonds,102.2633,102.2633,102.2633,102.2633,0,0
20171024,AI-NOGIN,Fonds,102.1793,102.1793,102.1793,102.1793,0,0
20171023,AI-NOGIN,Fonds,102.1967,102.1967,102.1967,102.1967,0,0
20171020,AI-NOGIN,Fonds,102.1665,102.1665,102.1665,102.1665,0,0
20171019,AI-NOGIN,Fonds,102.1761,102.1761,102.1761,102.1761,0,0
20171018,AI-NOGIN,Fonds,102.1641,102.1641,102.1641,102.1641,0,0
20171017,AI-NOGIN,Fonds,102.1688,102.1688,102.1688,102.1688,0,0
20171016,AI-NOGIN,Fonds,102.1514,102.1514,102.1514,102.1514,0,0
20171013,AI-NOGIN,Fonds,102.1165,102.1165,102.1165,102.1165,0,0
20171012,AI-NOGIN,Fonds,102.0906,102.0906,102.0906,102.0906,0,0
20171011,AI-NOGIN,Fonds,102.075,102.075,102.075,102.075,0,0
20171010,AI-NOGIN,Fonds,102.0666,102.0666,102.0666,102.0666,0,0
20171009,AI-NOGIN,Fonds,102.0722,102.0722,102.0722,102.0722,0,0
20171005,AI-NOGIN,Fonds,102.1203,102.1203,102.1203,102.1203,0,0
20171004,AI-NOGIN,Fonds,102.1458,102.1458,102.1458,102.1458,0,0
20171003,AI-NOGIN,Fonds,102.0359,102.0359,102.0359,102.0359,0,0
20171002,AI-NOGIN,Fonds,102.1094,102.1094,102.1094,102.1094,0,0
20170929,AI-NOGIN,Fonds,102.0124,102.0124,102.0124,102.0124,0,0
20170928,AI-NOGIN,Fonds,101.9755,101.9755,101.9755,101.9755,0,0
20170927,AI-NOGIN,Fonds,101.9849,101.9849,101.9849,101.9849,0,0
20170926,AI-NOGIN,Fonds,102.0028,102.0028,102.0028,102.0028,0,0
20170925,AI-NOGIN,Fonds,101.9841,101.9841,101.9841,101.9841,0,0
20170922,AI-NOGIN,Fonds,101.9544,101.9544,101.9544,101.9544,0,0
20170921,AI-NOGIN,Fonds,101.9303,101.9303,101.9303,101.9303,0,0
20170920,AI-NOGIN,Fonds,101.9438,101.9438,101.9438,101.9438,0,0
20170919,AI-NOGIN,Fonds,101.9286,101.9286,101.9286,101.9286,0,0
20170918,AI-NOGIN,Fonds,101.9354,101.9354,101.9354,101.9354,0,0
20170915,AI-NOGIN,Fonds,101.9977,101.9977,101.9977,101.9977,0,0
20170914,AI-NOGIN,Fonds,102.0065,102.0065,102.0065,102.0065,0,0
20170913,AI-NOGIN,Fonds,101.9171,101.9171,101.9171,101.9171,0,0
20170912,AI-NOGIN,Fonds,101.9259,101.9259,101.9259,101.9259,0,0
20170911,AI-NOGIN,Fonds,101.9316,101.9316,101.9316,101.9316,0,0
20170908,AI-NOGIN,Fonds,102.0038,102.0038,102.0038,102.0038,0,0
20170907,AI-NOGIN,Fonds,101.8071,101.8071,101.8071,101.8071,0,0
20170906,AI-NOGIN,Fonds,101.8643,101.8643,101.8643,101.8643,0,0
20170905,AI-NOGIN,Fonds,101.8545,101.8545,101.8545,101.8545,0,0
20170904,AI-NOGIN,Fonds,101.8287,101.8287,101.8287,101.8287,0,0
20170901,AI-NOGIN,Fonds,101.7939,101.7939,101.7939,101.7939,0,0
20170831,AI-NOGIN,Fonds,101.8199,101.8199,101.8199,101.8199,0,0
20170830,AI-NOGIN,Fonds,101.7897,101.7897,101.7897,101.7897,0,0
20170829,AI-NOGIN,Fonds,101.8141,101.8141,101.8141,101.8141,0,0
20170828,AI-NOGIN,Fonds,101.791,101.791,101.791,101.791,0,0
20170825,AI-NOGIN,Fonds,101.7591,101.7591,101.7591,101.7591,0,0
20170824,AI-NOGIN,Fonds,101.7566,101.7566,101.7566,101.7566,0,0
20170823,AI-NOGIN,Fonds,101.7405,101.7405,101.7405,101.7405,0,0
20170822,AI-NOGIN,Fonds,101.7201,101.7201,101.7201,101.7201,0,0
20170821,AI-NOGIN,Fonds,101.7118,101.7118,101.7118,101.7118,0,0
20170818,AI-NOGIN,Fonds,101.6996,101.6996,101.6996,101.6996,0,0
20170817,AI-NOGIN,Fonds,101.6774,101.6774,101.6774,101.6774,0,0
20170816,AI-NOGIN,Fonds,101.6605,101.6605,101.6605,101.6605,0,0
20170815,AI-NOGIN,Fonds,101.6516,101.6516,101.6516,101.6516,0,0
20170814,AI-NOGIN,Fonds,101.7435,101.7435,101.7435,101.7435,0,0
20170811,AI-NOGIN,Fonds,101.6385,101.6385,101.6385,101.6385,0,0
