quote_date,paper,exch,open,high,low,close,volume,value
20171120,AI-OBLIG,Fonds,121.95,121.95,121.95,121.95,0,0
20171117,AI-OBLIG,Fonds,121.8643,121.8643,121.8643,121.8643,0,0
20171116,AI-OBLIG,Fonds,121.8426,121.8426,121.8426,121.8426,0,0
20171115,AI-OBLIG,Fonds,121.8436,121.8436,121.8436,121.8436,0,0
20171114,AI-OBLIG,Fonds,121.7722,121.7722,121.7722,121.7722,0,0
20171113,AI-OBLIG,Fonds,121.7448,121.7448,121.7448,121.7448,0,0
20171110,AI-OBLIG,Fonds,121.7645,121.7645,121.7645,121.7645,0,0
20171109,AI-OBLIG,Fonds,121.7666,121.7666,121.7666,121.7666,0,0
20171108,AI-OBLIG,Fonds,121.8182,121.8182,121.8182,121.8182,0,0
20171107,AI-OBLIG,Fonds,121.787,121.787,121.787,121.787,0,0
20171106,AI-OBLIG,Fonds,121.7679,121.7679,121.7679,121.7679,0,0
20171103,AI-OBLIG,Fonds,121.731,121.731,121.731,121.731,0,0
20171102,AI-OBLIG,Fonds,121.6935,121.6935,121.6935,121.6935,0,0
20171101,AI-OBLIG,Fonds,121.6549,121.6549,121.6549,121.6549,0,0
20171031,AI-OBLIG,Fonds,121.6305,121.6305,121.6305,121.6305,0,0
20171030,AI-OBLIG,Fonds,121.6197,121.6197,121.6197,121.6197,0,0
20171027,AI-OBLIG,Fonds,121.5604,121.5604,121.5604,121.5604,0,0
20171026,AI-OBLIG,Fonds,121.6108,121.6108,121.6108,121.6108,0,0
20171025,AI-OBLIG,Fonds,121.5045,121.5045,121.5045,121.5045,0,0
20171024,AI-OBLIG,Fonds,121.5136,121.5136,121.5136,121.5136,0,0
20171023,AI-OBLIG,Fonds,121.555,121.555,121.555,121.555,0,0
20171020,AI-OBLIG,Fonds,121.5396,121.5396,121.5396,121.5396,0,0
20171019,AI-OBLIG,Fonds,121.569,121.569,121.569,121.569,0,0
20171018,AI-OBLIG,Fonds,121.5427,121.5427,121.5427,121.5427,0,0
20171017,AI-OBLIG,Fonds,121.559,121.559,121.559,121.559,0,0
20171016,AI-OBLIG,Fonds,121.5313,121.5313,121.5313,121.5313,0,0
20171013,AI-OBLIG,Fonds,121.5004,121.5004,121.5004,121.5004,0,0
20171012,AI-OBLIG,Fonds,121.4627,121.4627,121.4627,121.4627,0,0
20171011,AI-OBLIG,Fonds,121.5047,121.5047,121.5047,121.5047,0,0
20171010,AI-OBLIG,Fonds,121.4951,121.4951,121.4951,121.4951,0,0
20171009,AI-OBLIG,Fonds,121.5134,121.5134,121.5134,121.5134,0,0
20171005,AI-OBLIG,Fonds,121.542,121.542,121.542,121.542,0,0
20171004,AI-OBLIG,Fonds,121.5462,121.5462,121.5462,121.5462,0,0
20171003,AI-OBLIG,Fonds,121.5212,121.5212,121.5212,121.5212,0,0
20171002,AI-OBLIG,Fonds,121.5543,121.5543,121.5543,121.5543,0,0
20170929,AI-OBLIG,Fonds,121.5308,121.5308,121.5308,121.5308,0,0
20170928,AI-OBLIG,Fonds,121.4949,121.4949,121.4949,121.4949,0,0
20170927,AI-OBLIG,Fonds,121.5122,121.5122,121.5122,121.5122,0,0
