quote_date,paper,exch,open,high,low,close,volume,value
20171120,AI-PENGE,Fonds,104.2408,104.2408,104.2408,104.2408,0,0
20171117,AI-PENGE,Fonds,104.2241,104.2241,104.2241,104.2241,0,0
20171116,AI-PENGE,Fonds,104.221,104.221,104.221,104.221,0,0
20171115,AI-PENGE,Fonds,104.2233,104.2233,104.2233,104.2233,0,0
20171114,AI-PENGE,Fonds,104.219,104.219,104.219,104.219,0,0
20171113,AI-PENGE,Fonds,104.2121,104.2121,104.2121,104.2121,0,0
20171110,AI-PENGE,Fonds,104.2013,104.2013,104.2013,104.2013,0,0
20171109,AI-PENGE,Fonds,104.2003,104.2003,104.2003,104.2003,0,0
20171108,AI-PENGE,Fonds,104.202,104.202,104.202,104.202,0,0
20171107,AI-PENGE,Fonds,104.2028,104.2028,104.2028,104.2028,0,0
20171106,AI-PENGE,Fonds,104.199,104.199,104.199,104.199,0,0
20171103,AI-PENGE,Fonds,104.1856,104.1856,104.1856,104.1856,0,0
20171102,AI-PENGE,Fonds,104.1824,104.1824,104.1824,104.1824,0,0
20171101,AI-PENGE,Fonds,104.1794,104.1794,104.1794,104.1794,0,0
20171031,AI-PENGE,Fonds,104.176,104.176,104.176,104.176,0,0
20171030,AI-PENGE,Fonds,104.1718,104.1718,104.1718,104.1718,0,0
20171027,AI-PENGE,Fonds,104.1583,104.1583,104.1583,104.1583,0,0
20171026,AI-PENGE,Fonds,104.1553,104.1553,104.1553,104.1553,0,0
20171025,AI-PENGE,Fonds,104.1557,104.1557,104.1557,104.1557,0,0
20171024,AI-PENGE,Fonds,104.1528,104.1528,104.1528,104.1528,0,0
20171023,AI-PENGE,Fonds,104.1504,104.1504,104.1504,104.1504,0,0
20171020,AI-PENGE,Fonds,104.1481,104.1481,104.1481,104.1481,0,0
20171019,AI-PENGE,Fonds,104.1495,104.1495,104.1495,104.1495,0,0
20171018,AI-PENGE,Fonds,104.1425,104.1425,104.1425,104.1425,0,0
20171017,AI-PENGE,Fonds,104.1376,104.1376,104.1376,104.1376,0,0
20171016,AI-PENGE,Fonds,104.1281,104.1281,104.1281,104.1281,0,0
20171013,AI-PENGE,Fonds,104.1247,104.1247,104.1247,104.1247,0,0
20171012,AI-PENGE,Fonds,104.125,104.125,104.125,104.125,0,0
20171011,AI-PENGE,Fonds,104.1332,104.1332,104.1332,104.1332,0,0
20171010,AI-PENGE,Fonds,104.1388,104.1388,104.1388,104.1388,0,0
20171009,AI-PENGE,Fonds,104.149,104.149,104.149,104.149,0,0
20171005,AI-PENGE,Fonds,104.132,104.132,104.132,104.132,0,0
20171004,AI-PENGE,Fonds,104.1289,104.1289,104.1289,104.1289,0,0
