quote_date,paper,exch,open,high,low,close,volume,value
20160513,AI-WEIEU,Fonds,4502.73,4502.73,4502.73,4502.73,0,0
20160323,AI-WEIEU,Fonds,4641.81,4641.81,4641.81,4641.81,0,0
20160216,AI-WEIEU,Fonds,4223.59,4223.59,4223.59,4223.59,0,0
20151230,AI-WEIEU,Fonds,4633.9077,4633.9077,4633.9077,4633.9077,0,0
20141230,AI-WEIEU,Fonds,4498.3353,4498.3353,4498.3353,4498.3353,0,0
20140416,AI-WEIEU,Fonds,3715.78,3715.78,3715.78,3715.78,0,0
20130327,AI-WEIEU,Fonds,3664.33,3664.33,3664.33,3664.33,0,0
20130304,AI-WEIEU,Fonds,3684.09,3684.09,3684.09,3684.09,0,0
20130301,AI-WEIEU,Fonds,3729.67,3729.67,3729.67,3729.67,0,0
20130228,AI-WEIEU,Fonds,3722.35,3722.35,3722.35,3722.35,0,0
20130225,AI-WEIEU,Fonds,3643.08,3643.08,3643.08,3643.08,0,0
20130222,AI-WEIEU,Fonds,3674.24,3674.24,3674.24,3674.24,0,0
20130221,AI-WEIEU,Fonds,3641.01,3641.01,3641.01,3641.01,0,0
20130220,AI-WEIEU,Fonds,3612.68,3612.68,3612.68,3612.68,0,0
20130219,AI-WEIEU,Fonds,3659.84,3659.84,3659.84,3659.84,0,0
20130218,AI-WEIEU,Fonds,3639.98,3639.98,3639.98,3639.98,0,0
20130215,AI-WEIEU,Fonds,3651.01,3651.01,3651.01,3651.01,0,0
20130214,AI-WEIEU,Fonds,3628.26,3628.26,3628.26,3628.26,0,0
20130213,AI-WEIEU,Fonds,3609.39,3609.39,3609.39,3609.39,0,0
20130212,AI-WEIEU,Fonds,3584.02,3584.02,3584.02,3584.02,0,0
20130211,AI-WEIEU,Fonds,3584.01,3584.01,3584.01,3584.01,0,0
20130208,AI-WEIEU,Fonds,3599.04,3599.04,3599.04,3599.04,0,0
20130207,AI-WEIEU,Fonds,3591.90,3591.90,3591.90,3591.90,0,0
20130206,AI-WEIEU,Fonds,3563.16,3563.16,3563.16,3563.16,0,0
20130205,AI-WEIEU,Fonds,3579.66,3579.66,3579.66,3579.66,0,0
20130204,AI-WEIEU,Fonds,3569.23,3569.23,3569.23,3569.23,0,0
20130131,AI-WEIEU,Fonds,3591.11,3591.11,3591.11,3591.11,0,0
20130130,AI-WEIEU,Fonds,3588.38,3588.38,3588.38,3588.38,0,0
20130129,AI-WEIEU,Fonds,3631.30,3631.30,3631.30,3631.30,0,0
20130128,AI-WEIEU,Fonds,3618.52,3618.52,3618.52,3618.52,0,0
20130125,AI-WEIEU,Fonds,3625.80,3625.80,3625.80,3625.80,0,0
20130124,AI-WEIEU,Fonds,3636.12,3636.12,3636.12,3636.12,0,0
20130123,AI-WEIEU,Fonds,3680.35,3680.35,3680.35,3680.35,0,0
20130122,AI-WEIEU,Fonds,3702.81,3702.81,3702.81,3702.81,0,0
20130121,AI-WEIEU,Fonds,3736.85,3736.85,3736.85,3736.85,0,0
20130118,AI-WEIEU,Fonds,3737.50,3737.50,3737.50,3737.50,0,0
20130117,AI-WEIEU,Fonds,3687.88,3687.88,3687.88,3687.88,0,0
20130116,AI-WEIEU,Fonds,3665.70,3665.70,3665.70,3665.70,0,0
20130115,AI-WEIEU,Fonds,3677.58,3677.58,3677.58,3677.58,0,0
20130114,AI-WEIEU,Fonds,3665.54,3665.54,3665.54,3665.54,0,0
20130111,AI-WEIEU,Fonds,3690.44,3690.44,3690.44,3690.44,0,0
20130110,AI-WEIEU,Fonds,3682.76,3682.76,3682.76,3682.76,0,0
20130109,AI-WEIEU,Fonds,3733.43,3733.43,3733.43,3733.43,0,0
20130108,AI-WEIEU,Fonds,3705.87,3705.87,3705.87,3705.87,0,0
20130107,AI-WEIEU,Fonds,3710.01,3710.01,3710.01,3710.01,0,0
20130104,AI-WEIEU,Fonds,3751.54,3751.54,3751.54,3751.54,0,0
20130103,AI-WEIEU,Fonds,3731.90,3731.90,3731.90,3731.90,0,0
20130102,AI-WEIEU,Fonds,3702.09,3702.09,3702.09,3702.09,0,0
20121231,AI-WEIEU,Fonds,3682.83,3682.83,3682.83,3682.83,0,0
20121228,AI-WEIEU,Fonds,3641.22,3641.22,3641.22,3641.22,0,0
20121227,AI-WEIEU,Fonds,3635.26,3635.26,3635.26,3635.26,0,0
20121221,AI-WEIEU,Fonds,3593.61,3593.61,3593.61,3593.61,0,0
20121220,AI-WEIEU,Fonds,3592.34,3592.34,3592.34,3592.34,0,0
20121219,AI-WEIEU,Fonds,3589.92,3589.92,3589.92,3589.92,0,0
20121218,AI-WEIEU,Fonds,3611.63,3611.63,3611.63,3611.63,0,0
20121217,AI-WEIEU,Fonds,3600.81,3600.81,3600.81,3600.81,0,0
20121214,AI-WEIEU,Fonds,3599.48,3599.48,3599.48,3599.48,0,0
20121213,AI-WEIEU,Fonds,3592.13,3592.13,3592.13,3592.13,0,0
20121212,AI-WEIEU,Fonds,3595.82,3595.82,3595.82,3595.82,0,0
20121211,AI-WEIEU,Fonds,3594.32,3594.32,3594.32,3594.32,0,0
20121207,AI-WEIEU,Fonds,3570.81,3570.81,3570.81,3570.81,0,0
20121206,AI-WEIEU,Fonds,3543.48,3543.48,3543.48,3543.48,0,0
20121205,AI-WEIEU,Fonds,3508.65,3508.65,3508.65,3508.65,0,0
20121204,AI-WEIEU,Fonds,3479.43,3479.43,3479.43,3479.43,0,0
20121203,AI-WEIEU,Fonds,3482.49,3482.49,3482.49,3482.49,0,0
20121130,AI-WEIEU,Fonds,3508.30,3508.30,3508.30,3508.30,0,0
20121129,AI-WEIEU,Fonds,3521.17,3521.17,3521.17,3521.17,0,0
20121128,AI-WEIEU,Fonds,3496.87,3496.87,3496.87,3496.87,0,0
20121127,AI-WEIEU,Fonds,3476.93,3476.93,3476.93,3476.93,0,0
20121126,AI-WEIEU,Fonds,3483.84,3483.84,3483.84,3483.84,0,0
20121123,AI-WEIEU,Fonds,3481.71,3481.71,3481.71,3481.71,0,0
20121122,AI-WEIEU,Fonds,3480.77,3480.77,3480.77,3480.77,0,0
20121121,AI-WEIEU,Fonds,3475.69,3475.69,3475.69,3475.69,0,0
20121120,AI-WEIEU,Fonds,3472.20,3472.20,3472.20,3472.20,0,0
20121119,AI-WEIEU,Fonds,3480.48,3480.48,3480.48,3480.48,0,0
20121116,AI-WEIEU,Fonds,3472.27,3472.27,3472.27,3472.27,0,0
20121115,AI-WEIEU,Fonds,3448.48,3448.48,3448.48,3448.48,0,0
20121114,AI-WEIEU,Fonds,3459.11,3459.11,3459.11,3459.11,0,0
20121113,AI-WEIEU,Fonds,3502.98,3502.98,3502.98,3502.98,0,0
20121112,AI-WEIEU,Fonds,3487.67,3487.67,3487.67,3487.67,0,0
20121109,AI-WEIEU,Fonds,3514.24,3514.24,3514.24,3514.24,0,0
20121108,AI-WEIEU,Fonds,3521.91,3521.91,3521.91,3521.91,0,0
20121107,AI-WEIEU,Fonds,3551.94,3551.94,3551.94,3551.94,0,0
20121106,AI-WEIEU,Fonds,3580.95,3580.95,3580.95,3580.95,0,0
20121105,AI-WEIEU,Fonds,3571.59,3571.59,3571.59,3571.59,0,0
20121102,AI-WEIEU,Fonds,3565.14,3565.14,3565.14,3565.14,0,0
20121031,AI-WEIEU,Fonds,3523.76,3523.76,3523.76,3523.76,0,0
20121030,AI-WEIEU,Fonds,3531.92,3531.92,3531.92,3531.92,0,0
20121029,AI-WEIEU,Fonds,3530.56,3530.56,3530.56,3530.56,0,0
20121026,AI-WEIEU,Fonds,3543.64,3543.64,3543.64,3543.64,0,0
20121025,AI-WEIEU,Fonds,3545.17,3545.17,3545.17,3545.17,0,0
20121024,AI-WEIEU,Fonds,3540.38,3540.38,3540.38,3540.38,0,0
20121023,AI-WEIEU,Fonds,3532.44,3532.44,3532.44,3532.44,0,0
20121022,AI-WEIEU,Fonds,3546.69,3546.69,3546.69,3546.69,0,0
20121019,AI-WEIEU,Fonds,3540.82,3540.82,3540.82,3540.82,0,0
20121018,AI-WEIEU,Fonds,3531.98,3531.98,3531.98,3531.98,0,0
20121017,AI-WEIEU,Fonds,3547.60,3547.60,3547.60,3547.60,0,0
20121016,AI-WEIEU,Fonds,3537.98,3537.98,3537.98,3537.98,0,0
20121015,AI-WEIEU,Fonds,3516.72,3516.72,3516.72,3516.72,0,0
20121012,AI-WEIEU,Fonds,3497.50,3497.50,3497.50,3497.50,0,0
20121011,AI-WEIEU,Fonds,3500.60,3500.60,3500.60,3500.60,0,0
20121010,AI-WEIEU,Fonds,3492.55,3492.55,3492.55,3492.55,0,0
20121009,AI-WEIEU,Fonds,3500.51,3500.51,3500.51,3500.51,0,0
20121008,AI-WEIEU,Fonds,3525.71,3525.71,3525.71,3525.71,0,0
20121005,AI-WEIEU,Fonds,3514.20,3514.20,3514.20,3514.20,0,0
20121004,AI-WEIEU,Fonds,3540.20,3540.20,3540.20,3540.20,0,0
20121003,AI-WEIEU,Fonds,3556.69,3556.69,3556.69,3556.69,0,0
20121002,AI-WEIEU,Fonds,3527.27,3527.27,3527.27,3527.27,0,0
20121001,AI-WEIEU,Fonds,3547.43,3547.43,3547.43,3547.43,0,0
20120928,AI-WEIEU,Fonds,3529.53,3529.53,3529.53,3529.53,0,0
20120927,AI-WEIEU,Fonds,3523.10,3523.10,3523.10,3523.10,0,0
20120926,AI-WEIEU,Fonds,3519.75,3519.75,3519.75,3519.75,0,0
20120925,AI-WEIEU,Fonds,3480.57,3480.57,3480.57,3480.57,0,0
20120924,AI-WEIEU,Fonds,3540.38,3540.38,3540.38,3540.38,0,0
20120921,AI-WEIEU,Fonds,3534.14,3534.14,3534.14,3534.14,0,0
20120920,AI-WEIEU,Fonds,3521.64,3521.64,3521.64,3521.64,0,0
20120919,AI-WEIEU,Fonds,3506.78,3506.78,3506.78,3506.78,0,0
20120918,AI-WEIEU,Fonds,3548.01,3548.01,3548.01,3548.01,0,0
20120917,AI-WEIEU,Fonds,3554.43,3554.43,3554.43,3554.43,0,0
20120914,AI-WEIEU,Fonds,3548.67,3548.67,3548.67,3548.67,0,0
20120913,AI-WEIEU,Fonds,3553.30,3553.30,3553.30,3553.30,0,0
20120912,AI-WEIEU,Fonds,3465.16,3465.16,3465.16,3465.16,0,0
20120911,AI-WEIEU,Fonds,3472.98,3472.98,3472.98,3472.98,0,0
20120910,AI-WEIEU,Fonds,3427.96,3427.96,3427.96,3427.96,0,0
20120907,AI-WEIEU,Fonds,3449.53,3449.53,3449.53,3449.53,0,0
20120906,AI-WEIEU,Fonds,3469.03,3469.03,3469.03,3469.03,0,0
20120905,AI-WEIEU,Fonds,3351.01,3351.01,3351.01,3351.01,0,0
20120904,AI-WEIEU,Fonds,3346.81,3346.81,3346.81,3346.81,0,0
20120903,AI-WEIEU,Fonds,3416.92,3416.92,3416.92,3416.92,0,0
20120831,AI-WEIEU,Fonds,3403.96,3403.96,3403.96,3403.96,0,0
20120830,AI-WEIEU,Fonds,3388.55,3388.55,3388.55,3388.55,0,0
20120829,AI-WEIEU,Fonds,3409.56,3409.56,3409.56,3409.56,0,0
20120828,AI-WEIEU,Fonds,3433.05,3433.05,3433.05,3433.05,0,0
20120827,AI-WEIEU,Fonds,3440.62,3440.62,3440.62,3440.62,0,0
20120824,AI-WEIEU,Fonds,3454.64,3454.64,3454.64,3454.64,0,0
20120823,AI-WEIEU,Fonds,3462.37,3462.37,3462.37,3462.37,0,0
20120822,AI-WEIEU,Fonds,3521.74,3521.74,3521.74,3521.74,0,0
20120821,AI-WEIEU,Fonds,3504.50,3504.50,3504.50,3504.50,0,0
20120820,AI-WEIEU,Fonds,3528.40,3528.40,3528.40,3528.40,0,0
20120817,AI-WEIEU,Fonds,3561.24,3561.24,3561.24,3561.24,0,0
20120816,AI-WEIEU,Fonds,3579.00,3579.00,3579.00,3579.00,0,0
20120813,AI-WEIEU,Fonds,3552.31,3552.31,3552.31,3552.31,0,0
20120810,AI-WEIEU,Fonds,3550.18,3550.18,3550.18,3550.18,0,0
20120809,AI-WEIEU,Fonds,3564.66,3564.66,3564.66,3564.66,0,0
20120808,AI-WEIEU,Fonds,3536.65,3536.65,3536.65,3536.65,0,0
20120806,AI-WEIEU,Fonds,3519.63,3519.63,3519.63,3519.63,0,0
20120803,AI-WEIEU,Fonds,3511.32,3511.32,3511.32,3511.32,0,0
20120802,AI-WEIEU,Fonds,3472.49,3472.49,3472.49,3472.49,0,0
20120801,AI-WEIEU,Fonds,3482.01,3482.01,3482.01,3482.01,0,0
20120731,AI-WEIEU,Fonds,3485.83,3485.83,3485.83,3485.83,0,0
20120730,AI-WEIEU,Fonds,3525.73,3525.73,3525.73,3525.73,0,0
20120727,AI-WEIEU,Fonds,3483.29,3483.29,3483.29,3483.29,0,0
20120726,AI-WEIEU,Fonds,3383.03,3383.03,3383.03,3383.03,0,0
20120725,AI-WEIEU,Fonds,3348.53,3348.53,3348.53,3348.53,0,0
20120724,AI-WEIEU,Fonds,3334.46,3334.46,3334.46,3334.46,0,0
20120723,AI-WEIEU,Fonds,3359.77,3359.77,3359.77,3359.77,0,0
20120720,AI-WEIEU,Fonds,3420.60,3420.60,3420.60,3420.60,0,0
20120719,AI-WEIEU,Fonds,3473.98,3473.98,3473.98,3473.98,0,0
20120718,AI-WEIEU,Fonds,3473.79,3473.79,3473.79,3473.79,0,0
20120717,AI-WEIEU,Fonds,3434.95,3434.95,3434.95,3434.95,0,0
20120716,AI-WEIEU,Fonds,3446.29,3446.29,3446.29,3446.29,0,0
20120713,AI-WEIEU,Fonds,3440.23,3440.23,3440.23,3440.23,0,0
20120712,AI-WEIEU,Fonds,3419.38,3419.38,3419.38,3419.38,0,0
20120711,AI-WEIEU,Fonds,3421.54,3421.54,3421.54,3421.54,0,0
20120710,AI-WEIEU,Fonds,3451.52,3451.52,3451.52,3451.52,0,0
