quote_date,paper,exch,open,high,low,close,volume,value
20171109,AV-GCBUS,Fonds,9.6923,9.6923,9.6923,9.6923,0,0
20171108,AV-GCBUS,Fonds,9.6999,9.6999,9.6999,9.6999,0,0
20171107,AV-GCBUS,Fonds,9.7177,9.7177,9.7177,9.7177,0,0
20171106,AV-GCBUS,Fonds,9.7002,9.7002,9.7002,9.7002,0,0
20171103,AV-GCBUS,Fonds,9.6796,9.6796,9.6796,9.6796,0,0
20171102,AV-GCBUS,Fonds,9.7024,9.7024,9.7024,9.7024,0,0
20171031,AV-GCBUS,Fonds,9.6732,9.6732,9.6732,9.6732,0,0
20171030,AV-GCBUS,Fonds,9.6595,9.6595,9.6595,9.6595,0,0
20171027,AV-GCBUS,Fonds,9.6598,9.6598,9.6598,9.6598,0,0
20171026,AV-GCBUS,Fonds,9.6922,9.6922,9.6922,9.6922,0,0
20171025,AV-GCBUS,Fonds,9.7132,9.7132,9.7132,9.7132,0,0
20171024,AV-GCBUS,Fonds,9.721,9.721,9.721,9.721,0,0
20171023,AV-GCBUS,Fonds,9.7379,9.7379,9.7379,9.7379,0,0
20171020,AV-GCBUS,Fonds,9.7305,9.7305,9.7305,9.7305,0,0
20171019,AV-GCBUS,Fonds,9.7667,9.7667,9.7667,9.7667,0,0
20171018,AV-GCBUS,Fonds,9.779,9.779,9.779,9.779,0,0
20171017,AV-GCBUS,Fonds,9.7739,9.7739,9.7739,9.7739,0,0
20171016,AV-GCBUS,Fonds,9.7805,9.7805,9.7805,9.7805,0,0
20171013,AV-GCBUS,Fonds,9.8009,9.8009,9.8009,9.8009,0,0
20171012,AV-GCBUS,Fonds,9.7889,9.7889,9.7889,9.7889,0,0
20171011,AV-GCBUS,Fonds,9.7867,9.7867,9.7867,9.7867,0,0
20171010,AV-GCBUS,Fonds,9.7935,9.7935,9.7935,9.7935,0,0
20171009,AV-GCBUS,Fonds,9.7948,9.7948,9.7948,9.7948,0,0
20171006,AV-GCBUS,Fonds,9.7808,9.7808,9.7808,9.7808,0,0
20171005,AV-GCBUS,Fonds,9.7787,9.7787,9.7787,9.7787,0,0
20171004,AV-GCBUS,Fonds,9.7795,9.7795,9.7795,9.7795,0,0
20171003,AV-GCBUS,Fonds,9.7598,9.7598,9.7598,9.7598,0,0
20171002,AV-GCBUS,Fonds,9.7286,9.7286,9.7286,9.7286,0,0
20170929,AV-GCBUS,Fonds,9.7185,9.7185,9.7185,9.7185,0,0
20170928,AV-GCBUS,Fonds,9.712,9.712,9.712,9.712,0,0
20170927,AV-GCBUS,Fonds,9.6727,9.6727,9.6727,9.6727,0,0
20170926,AV-GCBUS,Fonds,9.692,9.692,9.692,9.692,0,0
20170925,AV-GCBUS,Fonds,9.7301,9.7301,9.7301,9.7301,0,0
20170922,AV-GCBUS,Fonds,9.7556,9.7556,9.7556,9.7556,0,0
20170921,AV-GCBUS,Fonds,9.7475,9.7475,9.7475,9.7475,0,0
20170920,AV-GCBUS,Fonds,9.7873,9.7873,9.7873,9.7873,0,0
20170919,AV-GCBUS,Fonds,9.7936,9.7936,9.7936,9.7936,0,0
20170918,AV-GCBUS,Fonds,9.7786,9.7786,9.7786,9.7786,0,0
20170915,AV-GCBUS,Fonds,9.7821,9.7821,9.7821,9.7821,0,0
20170914,AV-GCBUS,Fonds,9.7759,9.7759,9.7759,9.7759,0,0
20170913,AV-GCBUS,Fonds,9.7945,9.7945,9.7945,9.7945,0,0
20170912,AV-GCBUS,Fonds,9.7969,9.7969,9.7969,9.7969,0,0
20170911,AV-GCBUS,Fonds,9.8055,9.8055,9.8055,9.8055,0,0
20170908,AV-GCBUS,Fonds,9.8058,9.8058,9.8058,9.8058,0,0
20170907,AV-GCBUS,Fonds,9.7967,9.7967,9.7967,9.7967,0,0
20170906,AV-GCBUS,Fonds,9.7429,9.7429,9.7429,9.7429,0,0
20170905,AV-GCBUS,Fonds,9.7493,9.7493,9.7493,9.7493,0,0
20170904,AV-GCBUS,Fonds,9.7456,9.7456,9.7456,9.7456,0,0
20170901,AV-GCBUS,Fonds,9.7264,9.7264,9.7264,9.7264,0,0
20170831,AV-GCBUS,Fonds,9.7097,9.7097,9.7097,9.7097,0,0
20170830,AV-GCBUS,Fonds,9.697,9.697,9.697,9.697,0,0
20170829,AV-GCBUS,Fonds,9.7142,9.7142,9.7142,9.7142,0,0
20170828,AV-GCBUS,Fonds,9.6904,9.6904,9.6904,9.6904,0,0
20170825,AV-GCBUS,Fonds,9.652,9.652,9.652,9.652,0,0
20170824,AV-GCBUS,Fonds,9.6551,9.6551,9.6551,9.6551,0,0
20170823,AV-GCBUS,Fonds,9.6697,9.6697,9.6697,9.6697,0,0
20170822,AV-GCBUS,Fonds,9.6273,9.6273,9.6273,9.6273,0,0
20170821,AV-GCBUS,Fonds,9.6319,9.6319,9.6319,9.6319,0,0
20170818,AV-GCBUS,Fonds,9.6261,9.6261,9.6261,9.6261,0,0
20170817,AV-GCBUS,Fonds,9.6421,9.6421,9.6421,9.6421,0,0
20170816,AV-GCBUS,Fonds,9.6252,9.6252,9.6252,9.6252,0,0
20170814,AV-GCBUS,Fonds,9.6431,9.6431,9.6431,9.6431,0,0
20170811,AV-GCBUS,Fonds,9.6297,9.6297,9.6297,9.6297,0,0
20170810,AV-GCBUS,Fonds,9.6681,9.6681,9.6681,9.6681,0,0
20170809,AV-GCBUS,Fonds,9.6846,9.6846,9.6846,9.6846,0,0
20170808,AV-GCBUS,Fonds,9.7086,9.7086,9.7086,9.7086,0,0
20170807,AV-GCBUS,Fonds,9.6999,9.6999,9.6999,9.6999,0,0
20170804,AV-GCBUS,Fonds,9.7129,9.7129,9.7129,9.7129,0,0
20170803,AV-GCBUS,Fonds,9.7298,9.7298,9.7298,9.7298,0,0
20170802,AV-GCBUS,Fonds,9.7385,9.7385,9.7385,9.7385,0,0
20170801,AV-GCBUS,Fonds,9.7441,9.7441,9.7441,9.7441,0,0
20170731,AV-GCBUS,Fonds,9.7236,9.7236,9.7236,9.7236,0,0
20170728,AV-GCBUS,Fonds,9.7194,9.7194,9.7194,9.7194,0,0
20170727,AV-GCBUS,Fonds,9.7154,9.7154,9.7154,9.7154,0,0
20170726,AV-GCBUS,Fonds,9.6843,9.6843,9.6843,9.6843,0,0
20170725,AV-GCBUS,Fonds,9.6898,9.6898,9.6898,9.6898,0,0
20170724,AV-GCBUS,Fonds,9.6882,9.6882,9.6882,9.6882,0,0
20170721,AV-GCBUS,Fonds,9.6931,9.6931,9.6931,9.6931,0,0
20170720,AV-GCBUS,Fonds,9.6808,9.6808,9.6808,9.6808,0,0
20170719,AV-GCBUS,Fonds,9.676,9.676,9.676,9.676,0,0
20170718,AV-GCBUS,Fonds,9.6684,9.6684,9.6684,9.6684,0,0
20170717,AV-GCBUS,Fonds,9.6653,9.6653,9.6653,9.6653,0,0
20170714,AV-GCBUS,Fonds,9.6423,9.6423,9.6423,9.6423,0,0
20170713,AV-GCBUS,Fonds,9.6233,9.6233,9.6233,9.6233,0,0
20170712,AV-GCBUS,Fonds,9.6032,9.6032,9.6032,9.6032,0,0
20170711,AV-GCBUS,Fonds,9.5615,9.5615,9.5615,9.5615,0,0
20170710,AV-GCBUS,Fonds,9.5413,9.5413,9.5413,9.5413,0,0
20170707,AV-GCBUS,Fonds,9.5169,9.5169,9.5169,9.5169,0,0
20170706,AV-GCBUS,Fonds,9.5662,9.5662,9.5662,9.5662,0,0
20170705,AV-GCBUS,Fonds,9.5447,9.5447,9.5447,9.5447,0,0
20170704,AV-GCBUS,Fonds,9.5538,9.5538,9.5538,9.5538,0,0
20170703,AV-GCBUS,Fonds,9.5699,9.5699,9.5699,9.5699,0,0
20170630,AV-GCBUS,Fonds,9.5934,9.5934,9.5934,9.5934,0,0
20170629,AV-GCBUS,Fonds,9.6168,9.6168,9.6168,9.6168,0,0
20170628,AV-GCBUS,Fonds,9.6079,9.6079,9.6079,9.6079,0,0
20170627,AV-GCBUS,Fonds,9.6297,9.6297,9.6297,9.6297,0,0
20170626,AV-GCBUS,Fonds,9.6457,9.6457,9.6457,9.6457,0,0
20170622,AV-GCBUS,Fonds,9.6063,9.6063,9.6063,9.6063,0,0
20170621,AV-GCBUS,Fonds,9.6006,9.6006,9.6006,9.6006,0,0
20170620,AV-GCBUS,Fonds,9.6231,9.6231,9.6231,9.6231,0,0
20170619,AV-GCBUS,Fonds,9.6072,9.6072,9.6072,9.6072,0,0
20170616,AV-GCBUS,Fonds,9.597,9.597,9.597,9.597,0,0
20170615,AV-GCBUS,Fonds,9.6064,9.6064,9.6064,9.6064,0,0
20170614,AV-GCBUS,Fonds,9.6912,9.6912,9.6912,9.6912,0,0
20170613,AV-GCBUS,Fonds,9.6333,9.6333,9.6333,9.6333,0,0
20170612,AV-GCBUS,Fonds,9.6343,9.6343,9.6343,9.6343,0,0
20170609,AV-GCBUS,Fonds,9.6774,9.6774,9.6774,9.6774,0,0
20170608,AV-GCBUS,Fonds,9.683,9.683,9.683,9.683,0,0
20170607,AV-GCBUS,Fonds,9.7303,9.7303,9.7303,9.7303,0,0
20170606,AV-GCBUS,Fonds,9.7211,9.7211,9.7211,9.7211,0,0
20170602,AV-GCBUS,Fonds,9.6942,9.6942,9.6942,9.6942,0,0
20170601,AV-GCBUS,Fonds,9.6324,9.6324,9.6324,9.6324,0,0
20170531,AV-GCBUS,Fonds,9.6056,9.6056,9.6056,9.6056,0,0
20170530,AV-GCBUS,Fonds,9.6025,9.6025,9.6025,9.6025,0,0
20170529,AV-GCBUS,Fonds,9.5886,9.5886,9.5886,9.5886,0,0
20170526,AV-GCBUS,Fonds,9.5846,9.5846,9.5846,9.5846,0,0
20170524,AV-GCBUS,Fonds,9.5534,9.5534,9.5534,9.5534,0,0
20170523,AV-GCBUS,Fonds,9.5669,9.5669,9.5669,9.5669,0,0
20170522,AV-GCBUS,Fonds,9.5642,9.5642,9.5642,9.5642,0,0
20170519,AV-GCBUS,Fonds,9.5368,9.5368,9.5368,9.5368,0,0
20170518,AV-GCBUS,Fonds,9.5092,9.5092,9.5092,9.5092,0,0
20170516,AV-GCBUS,Fonds,9.5551,9.5551,9.5551,9.5551,0,0
20170515,AV-GCBUS,Fonds,9.504,9.504,9.504,9.504,0,0
20170512,AV-GCBUS,Fonds,9.469,9.469,9.469,9.469,0,0
20170511,AV-GCBUS,Fonds,9.4765,9.4765,9.4765,9.4765,0,0
20170510,AV-GCBUS,Fonds,9.496,9.496,9.496,9.496,0,0
20170509,AV-GCBUS,Fonds,9.4738,9.4738,9.4738,9.4738,0,0
20170508,AV-GCBUS,Fonds,9.4949,9.4949,9.4949,9.4949,0,0
20170505,AV-GCBUS,Fonds,9.4661,9.4661,9.4661,9.4661,0,0
20170504,AV-GCBUS,Fonds,9.4524,9.4524,9.4524,9.4524,0,0
20170503,AV-GCBUS,Fonds,9.4821,9.4821,9.4821,9.4821,0,0
20170502,AV-GCBUS,Fonds,9.5021,9.5021,9.5021,9.5021,0,0
20170428,AV-GCBUS,Fonds,9.4723,9.4723,9.4723,9.4723,0,0
20170427,AV-GCBUS,Fonds,9.446,9.446,9.446,9.446,0,0
20170426,AV-GCBUS,Fonds,9.4486,9.4486,9.4486,9.4486,0,0
20170425,AV-GCBUS,Fonds,9.438,9.438,9.438,9.438,0,0
20170424,AV-GCBUS,Fonds,9.4052,9.4052,9.4052,9.4052,0,0
20170421,AV-GCBUS,Fonds,9.348,9.348,9.348,9.348,0,0
20170420,AV-GCBUS,Fonds,9.3417,9.3417,9.3417,9.3417,0,0
20170419,AV-GCBUS,Fonds,9.3257,9.3257,9.3257,9.3257,0,0
20170418,AV-GCBUS,Fonds,9.3256,9.3256,9.3256,9.3256,0,0
20170412,AV-GCBUS,Fonds,9.326,9.326,9.326,9.326,0,0
20170411,AV-GCBUS,Fonds,9.3446,9.3446,9.3446,9.3446,0,0
20170410,AV-GCBUS,Fonds,9.3324,9.3324,9.3324,9.3324,0,0
20170407,AV-GCBUS,Fonds,9.3271,9.3271,9.3271,9.3271,0,0
20170406,AV-GCBUS,Fonds,9.3358,9.3358,9.3358,9.3358,0,0
20170405,AV-GCBUS,Fonds,9.3379,9.3379,9.3379,9.3379,0,0
20170404,AV-GCBUS,Fonds,9.336,9.336,9.336,9.336,0,0
20170403,AV-GCBUS,Fonds,9.3362,9.3362,9.3362,9.3362,0,0
20170331,AV-GCBUS,Fonds,9.3195,9.3195,9.3195,9.3195,0,0
20170330,AV-GCBUS,Fonds,9.3315,9.3315,9.3315,9.3315,0,0
20170329,AV-GCBUS,Fonds,9.3157,9.3157,9.3157,9.3157,0,0
20170328,AV-GCBUS,Fonds,9.3172,9.3172,9.3172,9.3172,0,0
20170327,AV-GCBUS,Fonds,9.2884,9.2884,9.2884,9.2884,0,0
20170324,AV-GCBUS,Fonds,9.2819,9.2819,9.2819,9.2819,0,0
20170323,AV-GCBUS,Fonds,9.2627,9.2627,9.2627,9.2627,0,0
20170322,AV-GCBUS,Fonds,9.25,9.25,9.25,9.25,0,0
20170321,AV-GCBUS,Fonds,9.3167,9.3167,9.3167,9.3167,0,0
20170320,AV-GCBUS,Fonds,9.3213,9.3213,9.3213,9.3213,0,0
20170317,AV-GCBUS,Fonds,9.3085,9.3085,9.3085,9.3085,0,0
20170316,AV-GCBUS,Fonds,9.3112,9.3112,9.3112,9.3112,0,0
20170315,AV-GCBUS,Fonds,9.211,9.211,9.211,9.211,0,0
20170314,AV-GCBUS,Fonds,9.2487,9.2487,9.2487,9.2487,0,0
20170313,AV-GCBUS,Fonds,9.2524,9.2524,9.2524,9.2524,0,0
20170310,AV-GCBUS,Fonds,9.2365,9.2365,9.2365,9.2365,0,0
20170309,AV-GCBUS,Fonds,9.2112,9.2112,9.2112,9.2112,0,0
20170308,AV-GCBUS,Fonds,9.2177,9.2177,9.2177,9.2177,0,0
20170307,AV-GCBUS,Fonds,9.212,9.212,9.212,9.212,0,0
20170306,AV-GCBUS,Fonds,9.2322,9.2322,9.2322,9.2322,0,0
20170303,AV-GCBUS,Fonds,9.2289,9.2289,9.2289,9.2289,0,0
20170302,AV-GCBUS,Fonds,9.2437,9.2437,9.2437,9.2437,0,0
20170301,AV-GCBUS,Fonds,9.2286,9.2286,9.2286,9.2286,0,0
20170228,AV-GCBUS,Fonds,9.2429,9.2429,9.2429,9.2429,0,0
20170227,AV-GCBUS,Fonds,9.2198,9.2198,9.2198,9.2198,0,0
20170224,AV-GCBUS,Fonds,9.2172,9.2172,9.2172,9.2172,0,0
20170223,AV-GCBUS,Fonds,9.2465,9.2465,9.2465,9.2465,0,0
20170222,AV-GCBUS,Fonds,9.2258,9.2258,9.2258,9.2258,0,0
20170221,AV-GCBUS,Fonds,9.2147,9.2147,9.2147,9.2147,0,0
20170220,AV-GCBUS,Fonds,9.2186,9.2186,9.2186,9.2186,0,0
20170217,AV-GCBUS,Fonds,9.2093,9.2093,9.2093,9.2093,0,0
20170216,AV-GCBUS,Fonds,9.2587,9.2587,9.2587,9.2587,0,0
20170215,AV-GCBUS,Fonds,9.2199,9.2199,9.2199,9.2199,0,0
20170214,AV-GCBUS,Fonds,9.202,9.202,9.202,9.202,0,0
20170213,AV-GCBUS,Fonds,9.2161,9.2161,9.2161,9.2161,0,0
20170210,AV-GCBUS,Fonds,9.1742,9.1742,9.1742,9.1742,0,0
20170209,AV-GCBUS,Fonds,9.1661,9.1661,9.1661,9.1661,0,0
20170208,AV-GCBUS,Fonds,9.1596,9.1596,9.1596,9.1596,0,0
20170207,AV-GCBUS,Fonds,9.1603,9.1603,9.1603,9.1603,0,0
20170206,AV-GCBUS,Fonds,9.1707,9.1707,9.1707,9.1707,0,0
20170203,AV-GCBUS,Fonds,9.1519,9.1519,9.1519,9.1519,0,0
20170202,AV-GCBUS,Fonds,9.1331,9.1331,9.1331,9.1331,0,0
20170201,AV-GCBUS,Fonds,9.1171,9.1171,9.1171,9.1171,0,0
20170131,AV-GCBUS,Fonds,9.1108,9.1108,9.1108,9.1108,0,0
20170130,AV-GCBUS,Fonds,9.1071,9.1071,9.1071,9.1071,0,0
20170127,AV-GCBUS,Fonds,9.1275,9.1275,9.1275,9.1275,0,0
20170126,AV-GCBUS,Fonds,9.1259,9.1259,9.1259,9.1259,0,0
20170125,AV-GCBUS,Fonds,9.1114,9.1114,9.1114,9.1114,0,0
20170124,AV-GCBUS,Fonds,9.0947,9.0947,9.0947,9.0947,0,0
