quote_date,paper,exch,open,high,low,close,volume,value
20171121,AV-LTEEU,Fonds,93.7551,93.7551,93.7551,93.7551,0,0
20171120,AV-LTEEU,Fonds,93.2161,93.2161,93.2161,93.2161,0,0
20171117,AV-LTEEU,Fonds,93.0168,93.0168,93.0168,93.0168,0,0
20171116,AV-LTEEU,Fonds,92.9356,92.9356,92.9356,92.9356,0,0
20171115,AV-LTEEU,Fonds,93.1279,93.1279,93.1279,93.1279,0,0
20171114,AV-LTEEU,Fonds,92.8479,92.8479,92.8479,92.8479,0,0
20171113,AV-LTEEU,Fonds,92.665,92.665,92.665,92.665,0,0
20171110,AV-LTEEU,Fonds,92.8098,92.8098,92.8098,92.8098,0,0
20171109,AV-LTEEU,Fonds,92.9811,92.9811,92.9811,92.9811,0,0
20171108,AV-LTEEU,Fonds,93.7778,93.7778,93.7778,93.7778,0,0
20171107,AV-LTEEU,Fonds,93.7783,93.7783,93.7783,93.7783,0,0
20171106,AV-LTEEU,Fonds,93.477,93.477,93.477,93.477,0,0
20171103,AV-LTEEU,Fonds,93.2407,93.2407,93.2407,93.2407,0,0
20171102,AV-LTEEU,Fonds,93.0457,93.0457,93.0457,93.0457,0,0
20171031,AV-LTEEU,Fonds,93.0162,93.0162,93.0162,93.0162,0,0
20171030,AV-LTEEU,Fonds,92.7503,92.7503,92.7503,92.7503,0,0
20171027,AV-LTEEU,Fonds,91.9965,91.9965,91.9965,91.9965,0,0
20171026,AV-LTEEU,Fonds,92.019,92.019,92.019,92.019,0,0
20171025,AV-LTEEU,Fonds,91.4676,91.4676,91.4676,91.4676,0,0
20171024,AV-LTEEU,Fonds,91.5765,91.5765,91.5765,91.5765,0,0
20171023,AV-LTEEU,Fonds,91.8957,91.8957,91.8957,91.8957,0,0
20171020,AV-LTEEU,Fonds,91.608,91.608,91.608,91.608,0,0
20171019,AV-LTEEU,Fonds,92.1537,92.1537,92.1537,92.1537,0,0
20171018,AV-LTEEU,Fonds,92.1815,92.1815,92.1815,92.1815,0,0
20171017,AV-LTEEU,Fonds,92.4418,92.4418,92.4418,92.4418,0,0
20171016,AV-LTEEU,Fonds,92.1608,92.1608,92.1608,92.1608,0,0
20171013,AV-LTEEU,Fonds,91.9791,91.9791,91.9791,91.9791,0,0
20171012,AV-LTEEU,Fonds,91.5879,91.5879,91.5879,91.5879,0,0
20171011,AV-LTEEU,Fonds,91.2917,91.2917,91.2917,91.2917,0,0
20171010,AV-LTEEU,Fonds,91.2058,91.2058,91.2058,91.2058,0,0
20171009,AV-LTEEU,Fonds,91.4054,91.4054,91.4054,91.4054,0,0
20171006,AV-LTEEU,Fonds,90.7764,90.7764,90.7764,90.7764,0,0
20171005,AV-LTEEU,Fonds,91.2869,91.2869,91.2869,91.2869,0,0
20171004,AV-LTEEU,Fonds,91.0735,91.0735,91.0735,91.0735,0,0
20171003,AV-LTEEU,Fonds,90.9913,90.9913,90.9913,90.9913,0,0
20171002,AV-LTEEU,Fonds,91.2121,91.2121,91.2121,91.2121,0,0
20170929,AV-LTEEU,Fonds,91.235,91.235,91.235,91.235,0,0
20170928,AV-LTEEU,Fonds,91.0621,91.0621,91.0621,91.0621,0,0
20170927,AV-LTEEU,Fonds,91.0244,91.0244,91.0244,91.0244,0,0
20170926,AV-LTEEU,Fonds,91.5781,91.5781,91.5781,91.5781,0,0
20170925,AV-LTEEU,Fonds,91.6149,91.6149,91.6149,91.6149,0,0
20170922,AV-LTEEU,Fonds,91.5384,91.5384,91.5384,91.5384,0,0
20170921,AV-LTEEU,Fonds,91.4607,91.4607,91.4607,91.4607,0,0
20170920,AV-LTEEU,Fonds,91.6643,91.6643,91.6643,91.6643,0,0
20170919,AV-LTEEU,Fonds,91.737,91.737,91.737,91.737,0,0
20170918,AV-LTEEU,Fonds,91.4463,91.4463,91.4463,91.4463,0,0
20170915,AV-LTEEU,Fonds,91.6157,91.6157,91.6157,91.6157,0,0
20170914,AV-LTEEU,Fonds,91.6651,91.6651,91.6651,91.6651,0,0
20170913,AV-LTEEU,Fonds,91.718,91.718,91.718,91.718,0,0
20170912,AV-LTEEU,Fonds,92.051,92.051,92.051,92.051,0,0
20170911,AV-LTEEU,Fonds,92.2957,92.2957,92.2957,92.2957,0,0
20170908,AV-LTEEU,Fonds,92.5169,92.5169,92.5169,92.5169,0,0
20170907,AV-LTEEU,Fonds,92.7087,92.7087,92.7087,92.7087,0,0
20170906,AV-LTEEU,Fonds,92.4081,92.4081,92.4081,92.4081,0,0
20170905,AV-LTEEU,Fonds,92.2332,92.2332,92.2332,92.2332,0,0
20170904,AV-LTEEU,Fonds,92.0568,92.0568,92.0568,92.0568,0,0
20170901,AV-LTEEU,Fonds,91.8839,91.8839,91.8839,91.8839,0,0
20170831,AV-LTEEU,Fonds,92.4133,92.4133,92.4133,92.4133,0,0
20170830,AV-LTEEU,Fonds,92.0869,92.0869,92.0869,92.0869,0,0
20170829,AV-LTEEU,Fonds,92.2391,92.2391,92.2391,92.2391,0,0
20170828,AV-LTEEU,Fonds,91.9884,91.9884,91.9884,91.9884,0,0
20170825,AV-LTEEU,Fonds,91.73,91.73,91.73,91.73,0,0
20170824,AV-LTEEU,Fonds,92.0407,92.0407,92.0407,92.0407,0,0
20170823,AV-LTEEU,Fonds,91.8324,91.8324,91.8324,91.8324,0,0
20170822,AV-LTEEU,Fonds,91.9147,91.9147,91.9147,91.9147,0,0
20170821,AV-LTEEU,Fonds,92.3455,92.3455,92.3455,92.3455,0,0
20170818,AV-LTEEU,Fonds,92.3832,92.3832,92.3832,92.3832,0,0
20170817,AV-LTEEU,Fonds,91.957,91.957,91.957,91.957,0,0
20170816,AV-LTEEU,Fonds,91.9243,91.9243,91.9243,91.9243,0,0
20170814,AV-LTEEU,Fonds,92.331,92.331,92.331,92.331,0,0
20170811,AV-LTEEU,Fonds,92.5699,92.5699,92.5699,92.5699,0,0
20170810,AV-LTEEU,Fonds,92.4434,92.4434,92.4434,92.4434,0,0
20170809,AV-LTEEU,Fonds,92.3795,92.3795,92.3795,92.3795,0,0
20170808,AV-LTEEU,Fonds,92.1706,92.1706,92.1706,92.1706,0,0
20170807,AV-LTEEU,Fonds,92.0694,92.0694,92.0694,92.0694,0,0
20170804,AV-LTEEU,Fonds,92.063,92.063,92.063,92.063,0,0
20170803,AV-LTEEU,Fonds,92.0805,92.0805,92.0805,92.0805,0,0
20170802,AV-LTEEU,Fonds,91.95,91.95,91.95,91.95,0,0
20170801,AV-LTEEU,Fonds,91.5351,91.5351,91.5351,91.5351,0,0
20170731,AV-LTEEU,Fonds,90.9881,90.9881,90.9881,90.9881,0,0
20170728,AV-LTEEU,Fonds,90.797,90.797,90.797,90.797,0,0
20170727,AV-LTEEU,Fonds,91.0689,91.0689,91.0689,91.0689,0,0
20170726,AV-LTEEU,Fonds,90.895,90.895,90.895,90.895,0,0
20170725,AV-LTEEU,Fonds,91.1458,91.1458,91.1458,91.1458,0,0
20170724,AV-LTEEU,Fonds,91.657,91.657,91.657,91.657,0,0
20170721,AV-LTEEU,Fonds,91.424,91.424,91.424,91.424,0,0
20170720,AV-LTEEU,Fonds,91.2865,91.2865,91.2865,91.2865,0,0
20170719,AV-LTEEU,Fonds,91.0018,91.0018,91.0018,91.0018,0,0
20170718,AV-LTEEU,Fonds,90.6734,90.6734,90.6734,90.6734,0,0
20170717,AV-LTEEU,Fonds,90.3355,90.3355,90.3355,90.3355,0,0
20170714,AV-LTEEU,Fonds,90.3219,90.3219,90.3219,90.3219,0,0
20170713,AV-LTEEU,Fonds,90.1364,90.1364,90.1364,90.1364,0,0
20170712,AV-LTEEU,Fonds,90.0405,90.0405,90.0405,90.0405,0,0
20170711,AV-LTEEU,Fonds,89.6148,89.6148,89.6148,89.6148,0,0
20170710,AV-LTEEU,Fonds,89.666,89.666,89.666,89.666,0,0
20170707,AV-LTEEU,Fonds,89.4437,89.4437,89.4437,89.4437,0,0
20170706,AV-LTEEU,Fonds,89.8481,89.8481,89.8481,89.8481,0,0
20170705,AV-LTEEU,Fonds,90.7378,90.7378,90.7378,90.7378,0,0
20170704,AV-LTEEU,Fonds,90.9133,90.9133,90.9133,90.9133,0,0
20170703,AV-LTEEU,Fonds,91.0278,91.0278,91.0278,91.0278,0,0
20170630,AV-LTEEU,Fonds,90.879,90.879,90.879,90.879,0,0
20170629,AV-LTEEU,Fonds,91.4167,91.4167,91.4167,91.4167,0,0
20170628,AV-LTEEU,Fonds,92.2757,92.2757,92.2757,92.2757,0,0
20170627,AV-LTEEU,Fonds,92.6419,92.6419,92.6419,92.6419,0,0
20170626,AV-LTEEU,Fonds,93.6724,93.6724,93.6724,93.6724,0,0
20170622,AV-LTEEU,Fonds,93.6933,93.6933,93.6933,93.6933,0,0
20170621,AV-LTEEU,Fonds,93.4439,93.4439,93.4439,93.4439,0,0
20170620,AV-LTEEU,Fonds,93.1907,93.1907,93.1907,93.1907,0,0
20170619,AV-LTEEU,Fonds,92.8018,92.8018,92.8018,92.8018,0,0
20170616,AV-LTEEU,Fonds,92.8273,92.8273,92.8273,92.8273,0,0
20170615,AV-LTEEU,Fonds,92.7908,92.7908,92.7908,92.7908,0,0
20170614,AV-LTEEU,Fonds,93.1399,93.1399,93.1399,93.1399,0,0
20170613,AV-LTEEU,Fonds,92.6887,92.6887,92.6887,92.6887,0,0
20170612,AV-LTEEU,Fonds,92.5899,92.5899,92.5899,92.5899,0,0
20170609,AV-LTEEU,Fonds,92.1205,92.1205,92.1205,92.1205,0,0
20170608,AV-LTEEU,Fonds,91.7367,91.7367,91.7367,91.7367,0,0
20170607,AV-LTEEU,Fonds,91.3676,91.3676,91.3676,91.3676,0,0
20170606,AV-LTEEU,Fonds,91.5823,91.5823,91.5823,91.5823,0,0
20170602,AV-LTEEU,Fonds,91.3971,91.3971,91.3971,91.3971,0,0
