quote_date,paper,exch,open,high,low,close,volume,value
20171109,BF-HUMAN,Fonds,326.1027,326.1027,326.1027,326.1027,0,0
20171108,BF-HUMAN,Fonds,332.4336,332.4336,332.4336,332.4336,0,0
20171107,BF-HUMAN,Fonds,331.5649,331.5649,331.5649,331.5649,0,0
20171106,BF-HUMAN,Fonds,331.9248,331.9248,331.9248,331.9248,0,0
20171103,BF-HUMAN,Fonds,331.7957,331.7957,331.7957,331.7957,0,0
20171102,BF-HUMAN,Fonds,329.062,329.062,329.062,329.062,0,0
20171101,BF-HUMAN,Fonds,331.5008,331.5008,331.5008,331.5008,0,0
20171031,BF-HUMAN,Fonds,328.4235,328.4235,328.4235,328.4235,0,0
20171030,BF-HUMAN,Fonds,328.904,328.904,328.904,328.904,0,0
20171027,BF-HUMAN,Fonds,325.7987,325.7987,325.7987,325.7987,0,0
20171026,BF-HUMAN,Fonds,323.6348,323.6348,323.6348,323.6348,0,0
20171025,BF-HUMAN,Fonds,323.7366,323.7366,323.7366,323.7366,0,0
20171024,BF-HUMAN,Fonds,321.5544,321.5544,321.5544,321.5544,0,0
20171023,BF-HUMAN,Fonds,322.3818,322.3818,322.3818,322.3818,0,0
20171020,BF-HUMAN,Fonds,324.1617,324.1617,324.1617,324.1617,0,0
20171019,BF-HUMAN,Fonds,322.0487,322.0487,322.0487,322.0487,0,0
20171018,BF-HUMAN,Fonds,322.2392,322.2392,322.2392,322.2392,0,0
20171017,BF-HUMAN,Fonds,323.0325,323.0325,323.0325,323.0325,0,0
20171016,BF-HUMAN,Fonds,324.2781,324.2781,324.2781,324.2781,0,0
20171013,BF-HUMAN,Fonds,324.9161,324.9161,324.9161,324.9161,0,0
20171012,BF-HUMAN,Fonds,323.8913,323.8913,323.8913,323.8913,0,0
20171011,BF-HUMAN,Fonds,323.1516,323.1516,323.1516,323.1516,0,0
20171010,BF-HUMAN,Fonds,322.7092,322.7092,322.7092,322.7092,0,0
20171009,BF-HUMAN,Fonds,321.0775,321.0775,321.0775,321.0775,0,0
20171005,BF-HUMAN,Fonds,322.1989,322.1989,322.1989,322.1989,0,0
20171004,BF-HUMAN,Fonds,320.5749,320.5749,320.5749,320.5749,0,0
20171003,BF-HUMAN,Fonds,322.0739,322.0739,322.0739,322.0739,0,0
20171002,BF-HUMAN,Fonds,319.193,319.193,319.193,319.193,0,0
20170929,BF-HUMAN,Fonds,318.9783,318.9783,318.9783,318.9783,0,0
20170928,BF-HUMAN,Fonds,317.9544,317.9544,317.9544,317.9544,0,0
20170927,BF-HUMAN,Fonds,316.5868,316.5868,316.5868,316.5868,0,0
20170926,BF-HUMAN,Fonds,314.6212,314.6212,314.6212,314.6212,0,0
20170925,BF-HUMAN,Fonds,316.7153,316.7153,316.7153,316.7153,0,0
20170922,BF-HUMAN,Fonds,315.0635,315.0635,315.0635,315.0635,0,0
20170921,BF-HUMAN,Fonds,314.5235,314.5235,314.5235,314.5235,0,0
20170920,BF-HUMAN,Fonds,312.6468,312.6468,312.6468,312.6468,0,0
20170919,BF-HUMAN,Fonds,312.5197,312.5197,312.5197,312.5197,0,0
20170918,BF-HUMAN,Fonds,312.2167,312.2167,312.2167,312.2167,0,0
20170915,BF-HUMAN,Fonds,310.5341,310.5341,310.5341,310.5341,0,0
20170914,BF-HUMAN,Fonds,312.16,312.16,312.16,312.16,0,0
20170913,BF-HUMAN,Fonds,311.9605,311.9605,311.9605,311.9605,0,0
20170912,BF-HUMAN,Fonds,311.2499,311.2499,311.2499,311.2499,0,0
20170911,BF-HUMAN,Fonds,308.7556,308.7556,308.7556,308.7556,0,0
20170908,BF-HUMAN,Fonds,306.0078,306.0078,306.0078,306.0078,0,0
20170907,BF-HUMAN,Fonds,307.2112,307.2112,307.2112,307.2112,0,0
20170906,BF-HUMAN,Fonds,306.3764,306.3764,306.3764,306.3764,0,0
20170905,BF-HUMAN,Fonds,307.4224,307.4224,307.4224,307.4224,0,0
20170904,BF-HUMAN,Fonds,306.4564,306.4564,306.4564,306.4564,0,0
20170901,BF-HUMAN,Fonds,307.339,307.339,307.339,307.339,0,0
20170831,BF-HUMAN,Fonds,304.909,304.909,304.909,304.909,0,0
20170830,BF-HUMAN,Fonds,300.993,300.993,300.993,300.993,0,0
20170829,BF-HUMAN,Fonds,298.4075,298.4075,298.4075,298.4075,0,0
20170828,BF-HUMAN,Fonds,300.2735,300.2735,300.2735,300.2735,0,0
20170825,BF-HUMAN,Fonds,301.2112,301.2112,301.2112,301.2112,0,0
20170824,BF-HUMAN,Fonds,301.3652,301.3652,301.3652,301.3652,0,0
20170823,BF-HUMAN,Fonds,300.7841,300.7841,300.7841,300.7841,0,0
20170822,BF-HUMAN,Fonds,300.9707,300.9707,300.9707,300.9707,0,0
20170821,BF-HUMAN,Fonds,299.4541,299.4541,299.4541,299.4541,0,0
20170818,BF-HUMAN,Fonds,299.5733,299.5733,299.5733,299.5733,0,0
20170817,BF-HUMAN,Fonds,298.648,298.648,298.648,298.648,0,0
20170816,BF-HUMAN,Fonds,303.0723,303.0723,303.0723,303.0723,0,0
20170815,BF-HUMAN,Fonds,300.515,300.515,300.515,300.515,0,0
20170814,BF-HUMAN,Fonds,301.4818,301.4818,301.4818,301.4818,0,0
20170811,BF-HUMAN,Fonds,298.064,298.064,298.064,298.064,0,0
20170810,BF-HUMAN,Fonds,301.0924,301.0924,301.0924,301.0924,0,0
20170809,BF-HUMAN,Fonds,303.5035,303.5035,303.5035,303.5035,0,0
20170808,BF-HUMAN,Fonds,303.8492,303.8492,303.8492,303.8492,0,0
20170807,BF-HUMAN,Fonds,303.6165,303.6165,303.6165,303.6165,0,0
20170804,BF-HUMAN,Fonds,302.7715,302.7715,302.7715,302.7715,0,0
20170803,BF-HUMAN,Fonds,301.8672,301.8672,301.8672,301.8672,0,0
20170802,BF-HUMAN,Fonds,300.8044,300.8044,300.8044,300.8044,0,0
20170801,BF-HUMAN,Fonds,302.2964,302.2964,302.2964,302.2964,0,0
20170731,BF-HUMAN,Fonds,300.1776,300.1776,300.1776,300.1776,0,0
20170728,BF-HUMAN,Fonds,300.4382,300.4382,300.4382,300.4382,0,0
20170727,BF-HUMAN,Fonds,299.8369,299.8369,299.8369,299.8369,0,0
20170726,BF-HUMAN,Fonds,300.122,300.122,300.122,300.122,0,0
20170725,BF-HUMAN,Fonds,296.7414,296.7414,296.7414,296.7414,0,0
20170724,BF-HUMAN,Fonds,296.4516,296.4516,296.4516,296.4516,0,0
20170721,BF-HUMAN,Fonds,296.9898,296.9898,296.9898,296.9898,0,0
20170720,BF-HUMAN,Fonds,300.8427,300.8427,300.8427,300.8427,0,0
20170719,BF-HUMAN,Fonds,298.6154,298.6154,298.6154,298.6154,0,0
20170718,BF-HUMAN,Fonds,297.1784,297.1784,297.1784,297.1784,0,0
20170717,BF-HUMAN,Fonds,299.0539,299.0539,299.0539,299.0539,0,0
20170714,BF-HUMAN,Fonds,296.0851,296.0851,296.0851,296.0851,0,0
20170713,BF-HUMAN,Fonds,295.8714,295.8714,295.8714,295.8714,0,0
20170712,BF-HUMAN,Fonds,294.5525,294.5525,294.5525,294.5525,0,0
20170711,BF-HUMAN,Fonds,289.3472,289.3472,289.3472,289.3472,0,0
20170710,BF-HUMAN,Fonds,290.0528,290.0528,290.0528,290.0528,0,0
20170707,BF-HUMAN,Fonds,287.3122,287.3122,287.3122,287.3122,0,0
20170706,BF-HUMAN,Fonds,288.8238,288.8238,288.8238,288.8238,0,0
20170705,BF-HUMAN,Fonds,289.4952,289.4952,289.4952,289.4952,0,0
20170704,BF-HUMAN,Fonds,291.1822,291.1822,291.1822,291.1822,0,0
20170703,BF-HUMAN,Fonds,290.6141,290.6141,290.6141,290.6141,0,0
20170630,BF-HUMAN,Fonds,288.096,288.096,288.096,288.096,0,0
20170629,BF-HUMAN,Fonds,286.2973,286.2973,286.2973,286.2973,0,0
20170628,BF-HUMAN,Fonds,287.4715,287.4715,287.4715,287.4715,0,0
20170627,BF-HUMAN,Fonds,286.0332,286.0332,286.0332,286.0332,0,0
20170626,BF-HUMAN,Fonds,286.1976,286.1976,286.1976,286.1976,0,0
20170623,BF-HUMAN,Fonds,286.3431,286.3431,286.3431,286.3431,0,0
20170622,BF-HUMAN,Fonds,286.3206,286.3206,286.3206,286.3206,0,0
20170621,BF-HUMAN,Fonds,288.2872,288.2872,288.2872,288.2872,0,0
20170620,BF-HUMAN,Fonds,289.1499,289.1499,289.1499,289.1499,0,0
20170619,BF-HUMAN,Fonds,289.8384,289.8384,289.8384,289.8384,0,0
20170616,BF-HUMAN,Fonds,287.5693,287.5693,287.5693,287.5693,0,0
20170615,BF-HUMAN,Fonds,286.1745,286.1745,286.1745,286.1745,0,0
20170614,BF-HUMAN,Fonds,291.2874,291.2874,291.2874,291.2874,0,0
