quote_date,paper,exch,open,high,low,close,volume,value
20171109,BO-ERCRD,Fonds,1357.20,1357.20,1357.20,1357.20,0,0
20171108,BO-ERCRD,Fonds,1357.20,1357.20,1357.20,1357.20,0,0
20171107,BO-ERCRD,Fonds,1357.20,1357.20,1357.20,1357.20,0,0
20171106,BO-ERCRD,Fonds,1357.20,1357.20,1357.20,1357.20,0,0
20171103,BO-ERCRD,Fonds,1357.20,1357.20,1357.20,1357.20,0,0
20171031,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171030,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171027,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171026,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171025,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171024,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171023,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171020,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171019,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171018,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171017,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171016,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171013,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171012,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171011,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171010,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171009,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20171006,BO-ERCRD,Fonds,1343.30,1343.30,1343.30,1343.30,0,0
20170929,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170928,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170927,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170926,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170925,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170922,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170921,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170920,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170919,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170918,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170915,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170914,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170913,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170912,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170911,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170908,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170907,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170906,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170905,BO-ERCRD,Fonds,1331.10,1331.10,1331.10,1331.10,0,0
20170830,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170829,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170828,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170825,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170824,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170823,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170822,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170821,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170818,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170817,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170816,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170815,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170814,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170811,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170810,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170809,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170808,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170807,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170804,BO-ERCRD,Fonds,1320.70,1320.70,1320.70,1320.70,0,0
20170731,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170728,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170727,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170726,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170725,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170724,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170721,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170720,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
20170719,BO-ERCRD,Fonds,1309.90,1309.90,1309.90,1309.90,0,0
