quote_date,paper,exch,open,high,low,close,volume,value
20171109,CA-PENGE,Fonds,14058.72,14058.72,14058.72,14058.72,0,0
20171108,CA-PENGE,Fonds,14059.86,14059.86,14059.86,14059.86,0,0
20171107,CA-PENGE,Fonds,14059.96,14059.96,14059.96,14059.96,0,0
20171106,CA-PENGE,Fonds,14059.49,14059.49,14059.49,14059.49,0,0
20171103,CA-PENGE,Fonds,14057.32,14057.32,14057.32,14057.32,0,0
20171102,CA-PENGE,Fonds,14056.94,14056.94,14056.94,14056.94,0,0
20171101,CA-PENGE,Fonds,14057.39,14057.39,14057.39,14057.39,0,0
20171031,CA-PENGE,Fonds,14057.05,14057.05,14057.05,14057.05,0,0
20171030,CA-PENGE,Fonds,14056.08,14056.08,14056.08,14056.08,0,0
20171027,CA-PENGE,Fonds,14053.95,14053.95,14053.95,14053.95,0,0
20171026,CA-PENGE,Fonds,14053.55,14053.55,14053.55,14053.55,0,0
20171025,CA-PENGE,Fonds,14054.11,14054.11,14054.11,14054.11,0,0
20171024,CA-PENGE,Fonds,14053.47,14053.47,14053.47,14053.47,0,0
20171023,CA-PENGE,Fonds,14053.15,14053.15,14053.15,14053.15,0,0
20171020,CA-PENGE,Fonds,14051.77,14051.77,14051.77,14051.77,0,0
20171019,CA-PENGE,Fonds,14051.71,14051.71,14051.71,14051.71,0,0
20171018,CA-PENGE,Fonds,14052.36,14052.36,14052.36,14052.36,0,0
20171017,CA-PENGE,Fonds,14051.68,14051.68,14051.68,14051.68,0,0
20171016,CA-PENGE,Fonds,14051.07,14051.07,14051.07,14051.07,0,0
20171013,CA-PENGE,Fonds,14050.37,14050.37,14050.37,14050.37,0,0
20171012,CA-PENGE,Fonds,14050.48,14050.48,14050.48,14050.48,0,0
20171011,CA-PENGE,Fonds,14051.85,14051.85,14051.85,14051.85,0,0
20171010,CA-PENGE,Fonds,14051.91,14051.91,14051.91,14051.91,0,0
20171009,CA-PENGE,Fonds,14052.31,14052.31,14052.31,14052.31,0,0
20171006,CA-PENGE,Fonds,14050.96,14050.96,14050.96,14050.96,0,0
20171005,CA-PENGE,Fonds,14050.89,14050.89,14050.89,14050.89,0,0
20171004,CA-PENGE,Fonds,14050.78,14050.78,14050.78,14050.78,0,0
20171003,CA-PENGE,Fonds,14050.40,14050.40,14050.40,14050.40,0,0
20171002,CA-PENGE,Fonds,14049.60,14049.60,14049.60,14049.60,0,0
20170929,CA-PENGE,Fonds,14048.91,14048.91,14048.91,14048.91,0,0
20170928,CA-PENGE,Fonds,14048.18,14048.18,14048.18,14048.18,0,0
20170927,CA-PENGE,Fonds,14049.59,14049.59,14049.59,14049.59,0,0
20170926,CA-PENGE,Fonds,14049.20,14049.20,14049.20,14049.20,0,0
20170925,CA-PENGE,Fonds,14048.58,14048.58,14048.58,14048.58,0,0
20170922,CA-PENGE,Fonds,14046.85,14046.85,14046.85,14046.85,0,0
20170921,CA-PENGE,Fonds,14046.39,14046.39,14046.39,14046.39,0,0
20170920,CA-PENGE,Fonds,14047.39,14047.39,14047.39,14047.39,0,0
20170919,CA-PENGE,Fonds,14047.32,14047.32,14047.32,14047.32,0,0
20170918,CA-PENGE,Fonds,14046.76,14046.76,14046.76,14046.76,0,0
20170915,CA-PENGE,Fonds,14044.88,14044.88,14044.88,14044.88,0,0
20170914,CA-PENGE,Fonds,14044.74,14044.74,14044.74,14044.74,0,0
20170913,CA-PENGE,Fonds,14045.04,14045.04,14045.04,14045.04,0,0
20170912,CA-PENGE,Fonds,14044.46,14044.46,14044.46,14044.46,0,0
20170911,CA-PENGE,Fonds,14044.43,14044.43,14044.43,14044.43,0,0
20170908,CA-PENGE,Fonds,14043.39,14043.39,14043.39,14043.39,0,0
20170907,CA-PENGE,Fonds,14042.90,14042.90,14042.90,14042.90,0,0
20170906,CA-PENGE,Fonds,14043.46,14043.46,14043.46,14043.46,0,0
20170905,CA-PENGE,Fonds,14042.78,14042.78,14042.78,14042.78,0,0
20170904,CA-PENGE,Fonds,14042.45,14042.45,14042.45,14042.45,0,0
20170901,CA-PENGE,Fonds,14040.78,14040.78,14040.78,14040.78,0,0
20170831,CA-PENGE,Fonds,14040.36,14040.36,14040.36,14040.36,0,0
20170830,CA-PENGE,Fonds,14040.76,14040.76,14040.76,14040.76,0,0
20170829,CA-PENGE,Fonds,14040.98,14040.98,14040.98,14040.98,0,0
20170828,CA-PENGE,Fonds,14039.78,14039.78,14039.78,14039.78,0,0
20170825,CA-PENGE,Fonds,14038.06,14038.06,14038.06,14038.06,0,0
20170824,CA-PENGE,Fonds,14037.66,14037.66,14037.66,14037.66,0,0
20170823,CA-PENGE,Fonds,14038.41,14038.41,14038.41,14038.41,0,0
20170822,CA-PENGE,Fonds,14037.94,14037.94,14037.94,14037.94,0,0
20170821,CA-PENGE,Fonds,14036.60,14036.60,14036.60,14036.60,0,0
20170818,CA-PENGE,Fonds,14035.26,14035.26,14035.26,14035.26,0,0
20170817,CA-PENGE,Fonds,14034.86,14034.86,14034.86,14034.86,0,0
20170816,CA-PENGE,Fonds,14034.26,14034.26,14034.26,14034.26,0,0
20170815,CA-PENGE,Fonds,14033.67,14033.67,14033.67,14033.67,0,0
20170814,CA-PENGE,Fonds,14033.06,14033.06,14033.06,14033.06,0,0
20170811,CA-PENGE,Fonds,14033.72,14033.72,14033.72,14033.72,0,0
20170810,CA-PENGE,Fonds,14033.98,14033.98,14033.98,14033.98,0,0
20170809,CA-PENGE,Fonds,14034.78,14034.78,14034.78,14034.78,0,0
20170808,CA-PENGE,Fonds,14034.54,14034.54,14034.54,14034.54,0,0
20170807,CA-PENGE,Fonds,14034.27,14034.27,14034.27,14034.27,0,0
20170804,CA-PENGE,Fonds,14032.91,14032.91,14032.91,14032.91,0,0
20170803,CA-PENGE,Fonds,14029.22,14029.22,14029.22,14029.22,0,0
20170802,CA-PENGE,Fonds,14028.77,14028.77,14028.77,14028.77,0,0
20170801,CA-PENGE,Fonds,14028.78,14028.78,14028.78,14028.78,0,0
20170731,CA-PENGE,Fonds,14028.80,14028.80,14028.80,14028.80,0,0
20170728,CA-PENGE,Fonds,14027.21,14027.21,14027.21,14027.21,0,0
20170727,CA-PENGE,Fonds,14026.98,14026.98,14026.98,14026.98,0,0
20170726,CA-PENGE,Fonds,14026.42,14026.42,14026.42,14026.42,0,0
20170725,CA-PENGE,Fonds,14025.92,14025.92,14025.92,14025.92,0,0
20170724,CA-PENGE,Fonds,14025.02,14025.02,14025.02,14025.02,0,0
20170721,CA-PENGE,Fonds,14023.52,14023.52,14023.52,14023.52,0,0
20170720,CA-PENGE,Fonds,14022.92,14022.92,14022.92,14022.92,0,0
20170719,CA-PENGE,Fonds,14023.18,14023.18,14023.18,14023.18,0,0
20170718,CA-PENGE,Fonds,14022.65,14022.65,14022.65,14022.65,0,0
20170717,CA-PENGE,Fonds,14022.58,14022.58,14022.58,14022.58,0,0
20170714,CA-PENGE,Fonds,14020.02,14020.02,14020.02,14020.02,0,0
20170713,CA-PENGE,Fonds,14019.38,14019.38,14019.38,14019.38,0,0
20170712,CA-PENGE,Fonds,14018.57,14018.57,14018.57,14018.57,0,0
20170711,CA-PENGE,Fonds,14018.12,14018.12,14018.12,14018.12,0,0
20170710,CA-PENGE,Fonds,14017.65,14017.65,14017.65,14017.65,0,0
20170707,CA-PENGE,Fonds,14015.78,14015.78,14015.78,14015.78,0,0
20170706,CA-PENGE,Fonds,14014.16,14014.16,14014.16,14014.16,0,0
20170705,CA-PENGE,Fonds,14014.34,14014.34,14014.34,14014.34,0,0
20170704,CA-PENGE,Fonds,14013.39,14013.39,14013.39,14013.39,0,0
20170703,CA-PENGE,Fonds,14013.10,14013.10,14013.10,14013.10,0,0
20170630,CA-PENGE,Fonds,14011.08,14011.08,14011.08,14011.08,0,0
20170629,CA-PENGE,Fonds,14010.59,14010.59,14010.59,14010.59,0,0
20170628,CA-PENGE,Fonds,14009.70,14009.70,14009.70,14009.70,0,0
20170627,CA-PENGE,Fonds,14008.60,14008.60,14008.60,14008.60,0,0
20170626,CA-PENGE,Fonds,14008.36,14008.36,14008.36,14008.36,0,0
20170623,CA-PENGE,Fonds,14006.82,14006.82,14006.82,14006.82,0,0
20170622,CA-PENGE,Fonds,14006.12,14006.12,14006.12,14006.12,0,0
20170621,CA-PENGE,Fonds,14006.10,14006.10,14006.10,14006.10,0,0
20170620,CA-PENGE,Fonds,14005.95,14005.95,14005.95,14005.95,0,0
20170619,CA-PENGE,Fonds,14005.71,14005.71,14005.71,14005.71,0,0
