quote_date,paper,exch,open,high,low,close,volume,value
20171121,CA-WORLD,Fonds,13483.67,13483.67,13483.67,13483.67,0,0
20171120,CA-WORLD,Fonds,13450.97,13450.97,13450.97,13450.97,0,0
20171117,CA-WORLD,Fonds,13382.50,13382.50,13382.50,13382.50,0,0
20171116,CA-WORLD,Fonds,13233.42,13233.42,13233.42,13233.42,0,0
20171115,CA-WORLD,Fonds,13134.53,13134.53,13134.53,13134.53,0,0
20171114,CA-WORLD,Fonds,13178.88,13178.88,13178.88,13178.88,0,0
20171113,CA-WORLD,Fonds,13145.34,13145.34,13145.34,13145.34,0,0
20171110,CA-WORLD,Fonds,13107.41,13107.41,13107.41,13107.41,0,0
20171109,CA-WORLD,Fonds,13158.80,13158.80,13158.80,13158.80,0,0
20171108,CA-WORLD,Fonds,13277.38,13277.38,13277.38,13277.38,0,0
20171107,CA-WORLD,Fonds,13341.14,13341.14,13341.14,13341.14,0,0
20171106,CA-WORLD,Fonds,13302.44,13302.44,13302.44,13302.44,0,0
20171103,CA-WORLD,Fonds,13262.41,13262.41,13262.41,13262.41,0,0
20171102,CA-WORLD,Fonds,13203.28,13203.28,13203.28,13203.28,0,0
20171101,CA-WORLD,Fonds,13191.56,13191.56,13191.56,13191.56,0,0
20171031,CA-WORLD,Fonds,13191.90,13191.90,13191.90,13191.90,0,0
20171030,CA-WORLD,Fonds,13180.17,13180.17,13180.17,13180.17,0,0
20171027,CA-WORLD,Fonds,13185.84,13185.84,13185.84,13185.84,0,0
20171026,CA-WORLD,Fonds,12986.10,12986.10,12986.10,12986.10,0,0
20171025,CA-WORLD,Fonds,12806.30,12806.30,12806.30,12806.30,0,0
20171024,CA-WORLD,Fonds,12758.33,12758.33,12758.33,12758.33,0,0
20171023,CA-WORLD,Fonds,12801.29,12801.29,12801.29,12801.29,0,0
20171020,CA-WORLD,Fonds,12813.21,12813.21,12813.21,12813.21,0,0
20171019,CA-WORLD,Fonds,12718.00,12718.00,12718.00,12718.00,0,0
20171018,CA-WORLD,Fonds,12774.07,12774.07,12774.07,12774.07,0,0
20171017,CA-WORLD,Fonds,12751.98,12751.98,12751.98,12751.98,0,0
20171016,CA-WORLD,Fonds,12701.97,12701.97,12701.97,12701.97,0,0
20171013,CA-WORLD,Fonds,12678.17,12678.17,12678.17,12678.17,0,0
20171012,CA-WORLD,Fonds,12725.94,12725.94,12725.94,12725.94,0,0
