quote_date,paper,exch,open,high,low,close,volume,value
20171108,CF-CRPBB,Fonds,125.9804,125.9804,125.9804,125.9804,0,0
20171103,CF-CRPBB,Fonds,125.958,125.958,125.958,125.958,0,0
20171027,CF-CRPBB,Fonds,125.8697,125.8697,125.8697,125.8697,0,0
20171020,CF-CRPBB,Fonds,125.8044,125.8044,125.8044,125.8044,0,0
20171019,CF-CRPBB,Fonds,125.7829,125.7829,125.7829,125.7829,0,0
20171016,CF-CRPBB,Fonds,125.697,125.697,125.697,125.697,0,0
20171012,CF-CRPBB,Fonds,125.6887,125.6887,125.6887,125.6887,0,0
20171006,CF-CRPBB,Fonds,125.5924,125.5924,125.5924,125.5924,0,0
20171004,CF-CRPBB,Fonds,125.561,125.561,125.561,125.561,0,0
20171003,CF-CRPBB,Fonds,125.5521,125.5521,125.5521,125.5521,0,0
20171002,CF-CRPBB,Fonds,125.5287,125.5287,125.5287,125.5287,0,0
20170928,CF-CRPBB,Fonds,125.4656,125.4656,125.4656,125.4656,0,0
20170927,CF-CRPBB,Fonds,125.4599,125.4599,125.4599,125.4599,0,0
20170926,CF-CRPBB,Fonds,125.442,125.442,125.442,125.442,0,0
20170925,CF-CRPBB,Fonds,125.4331,125.4331,125.4331,125.4331,0,0
20170922,CF-CRPBB,Fonds,125.4162,125.4162,125.4162,125.4162,0,0
20170919,CF-CRPBB,Fonds,125.402,125.402,125.402,125.402,0,0
20170918,CF-CRPBB,Fonds,125.3904,125.3904,125.3904,125.3904,0,0
20170915,CF-CRPBB,Fonds,125.3515,125.3515,125.3515,125.3515,0,0
20170913,CF-CRPBB,Fonds,125.3697,125.3697,125.3697,125.3697,0,0
20170912,CF-CRPBB,Fonds,125.3652,125.3652,125.3652,125.3652,0,0
20170908,CF-CRPBB,Fonds,125.2626,125.2626,125.2626,125.2626,0,0
20170905,CF-CRPBB,Fonds,125.2001,125.2001,125.2001,125.2001,0,0
20170904,CF-CRPBB,Fonds,125.1764,125.1764,125.1764,125.1764,0,0
20170901,CF-CRPBB,Fonds,125.1635,125.1635,125.1635,125.1635,0,0
20170831,CF-CRPBB,Fonds,125.1843,125.1843,125.1843,125.1843,0,0
20170830,CF-CRPBB,Fonds,125.1317,125.1317,125.1317,125.1317,0,0
20170829,CF-CRPBB,Fonds,125.1144,125.1144,125.1144,125.1144,0,0
20170828,CF-CRPBB,Fonds,125.1033,125.1033,125.1033,125.1033,0,0
20170825,CF-CRPBB,Fonds,125.0461,125.0461,125.0461,125.0461,0,0
20170824,CF-CRPBB,Fonds,125.0366,125.0366,125.0366,125.0366,0,0
20170823,CF-CRPBB,Fonds,125.0158,125.0158,125.0158,125.0158,0,0
20170821,CF-CRPBB,Fonds,124.9712,124.9712,124.9712,124.9712,0,0
20170818,CF-CRPBB,Fonds,124.9098,124.9098,124.9098,124.9098,0,0
20170816,CF-CRPBB,Fonds,124.8827,124.8827,124.8827,124.8827,0,0
20170814,CF-CRPBB,Fonds,124.8093,124.8093,124.8093,124.8093,0,0
20170811,CF-CRPBB,Fonds,124.7892,124.7892,124.7892,124.7892,0,0
20170809,CF-CRPBB,Fonds,124.8088,124.8088,124.8088,124.8088,0,0
20170808,CF-CRPBB,Fonds,124.843,124.843,124.843,124.843,0,0
20170807,CF-CRPBB,Fonds,124.843,124.843,124.843,124.843,0,0
20170802,CF-CRPBB,Fonds,124.767,124.767,124.767,124.767,0,0
20170731,CF-CRPBB,Fonds,124.6971,124.6971,124.6971,124.6971,0,0
20170728,CF-CRPBB,Fonds,124.6546,124.6546,124.6546,124.6546,0,0
20170727,CF-CRPBB,Fonds,124.4571,124.4571,124.4571,124.4571,0,0
20170726,CF-CRPBB,Fonds,124.4196,124.4196,124.4196,124.4196,0,0
20170721,CF-CRPBB,Fonds,124.3523,124.3523,124.3523,124.3523,0,0
20170719,CF-CRPBB,Fonds,124.2829,124.2829,124.2829,124.2829,0,0
20170718,CF-CRPBB,Fonds,124.244,124.244,124.244,124.244,0,0
20170713,CF-CRPBB,Fonds,124.1954,124.1954,124.1954,124.1954,0,0
20170712,CF-CRPBB,Fonds,124.1707,124.1707,124.1707,124.1707,0,0
20170711,CF-CRPBB,Fonds,124.1257,124.1257,124.1257,124.1257,0,0
20170710,CF-CRPBB,Fonds,124.1211,124.1211,124.1211,124.1211,0,0
20170707,CF-CRPBB,Fonds,124.0599,124.0599,124.0599,124.0599,0,0
20170704,CF-CRPBB,Fonds,124.0265,124.0265,124.0265,124.0265,0,0
20170703,CF-CRPBB,Fonds,123.9727,123.9727,123.9727,123.9727,0,0
20170630,CF-CRPBB,Fonds,123.9345,123.9345,123.9345,123.9345,0,0
20170627,CF-CRPBB,Fonds,123.8767,123.8767,123.8767,123.8767,0,0
20170626,CF-CRPBB,Fonds,123.8816,123.8816,123.8816,123.8816,0,0
20170621,CF-CRPBB,Fonds,123.7591,123.7591,123.7591,123.7591,0,0
20170619,CF-CRPBB,Fonds,123.7378,123.7378,123.7378,123.7378,0,0
20170616,CF-CRPBB,Fonds,123.7089,123.7089,123.7089,123.7089,0,0
20170615,CF-CRPBB,Fonds,123.678,123.678,123.678,123.678,0,0
20170614,CF-CRPBB,Fonds,123.6692,123.6692,123.6692,123.6692,0,0
20170609,CF-CRPBB,Fonds,123.8586,123.8586,123.8586,123.8586,0,0
20170607,CF-CRPBB,Fonds,123.9437,123.9437,123.9437,123.9437,0,0
20170601,CF-CRPBB,Fonds,123.8672,123.8672,123.8672,123.8672,0,0
20170531,CF-CRPBB,Fonds,123.8601,123.8601,123.8601,123.8601,0,0
20170530,CF-CRPBB,Fonds,123.8337,123.8337,123.8337,123.8337,0,0
20170529,CF-CRPBB,Fonds,123.8288,123.8288,123.8288,123.8288,0,0
20170526,CF-CRPBB,Fonds,123.813,123.813,123.813,123.813,0,0
20170523,CF-CRPBB,Fonds,123.7121,123.7121,123.7121,123.7121,0,0
20170522,CF-CRPBB,Fonds,123.6826,123.6826,123.6826,123.6826,0,0
20170519,CF-CRPBB,Fonds,123.6318,123.6318,123.6318,123.6318,0,0
20170518,CF-CRPBB,Fonds,123.5852,123.5852,123.5852,123.5852,0,0
20170515,CF-CRPBB,Fonds,123.56,123.56,123.56,123.56,0,0
20170512,CF-CRPBB,Fonds,123.5196,123.5196,123.5196,123.5196,0,0
20170511,CF-CRPBB,Fonds,123.5497,123.5497,123.5497,123.5497,0,0
20170510,CF-CRPBB,Fonds,123.4875,123.4875,123.4875,123.4875,0,0
20170508,CF-CRPBB,Fonds,123.4205,123.4205,123.4205,123.4205,0,0
20170504,CF-CRPBB,Fonds,123.3184,123.3184,123.3184,123.3184,0,0
20170503,CF-CRPBB,Fonds,123.2605,123.2605,123.2605,123.2605,0,0
20170502,CF-CRPBB,Fonds,123.2265,123.2265,123.2265,123.2265,0,0
20170428,CF-CRPBB,Fonds,123.1336,123.1336,123.1336,123.1336,0,0
20170425,CF-CRPBB,Fonds,123.03,123.03,123.03,123.03,0,0
20170424,CF-CRPBB,Fonds,122.9841,122.9841,122.9841,122.9841,0,0
20170421,CF-CRPBB,Fonds,122.89,122.89,122.89,122.89,0,0
20170420,CF-CRPBB,Fonds,122.779,122.779,122.779,122.779,0,0
20170411,CF-CRPBB,Fonds,122.7007,122.7007,122.7007,122.7007,0,0
20170407,CF-CRPBB,Fonds,122.6296,122.6296,122.6296,122.6296,0,0
20170406,CF-CRPBB,Fonds,122.5965,122.5965,122.5965,122.5965,0,0
20170405,CF-CRPBB,Fonds,122.5752,122.5752,122.5752,122.5752,0,0
20170404,CF-CRPBB,Fonds,122.5562,122.5562,122.5562,122.5562,0,0
20170403,CF-CRPBB,Fonds,122.5314,122.5314,122.5314,122.5314,0,0
20170331,CF-CRPBB,Fonds,122.5197,122.5197,122.5197,122.5197,0,0
20170329,CF-CRPBB,Fonds,122.4713,122.4713,122.4713,122.4713,0,0
20170328,CF-CRPBB,Fonds,122.4402,122.4402,122.4402,122.4402,0,0
20170327,CF-CRPBB,Fonds,122.4145,122.4145,122.4145,122.4145,0,0
20170324,CF-CRPBB,Fonds,122.3906,122.3906,122.3906,122.3906,0,0
20170322,CF-CRPBB,Fonds,122.3476,122.3476,122.3476,122.3476,0,0
20170321,CF-CRPBB,Fonds,122.3463,122.3463,122.3463,122.3463,0,0
20170320,CF-CRPBB,Fonds,122.297,122.297,122.297,122.297,0,0
20170317,CF-CRPBB,Fonds,122.2711,122.2711,122.2711,122.2711,0,0
20170315,CF-CRPBB,Fonds,122.2148,122.2148,122.2148,122.2148,0,0
20170313,CF-CRPBB,Fonds,122.2333,122.2333,122.2333,122.2333,0,0
20170310,CF-CRPBB,Fonds,122.1898,122.1898,122.1898,122.1898,0,0
20170309,CF-CRPBB,Fonds,122.1911,122.1911,122.1911,122.1911,0,0
20170308,CF-CRPBB,Fonds,122.2211,122.2211,122.2211,122.2211,0,0
20170307,CF-CRPBB,Fonds,122.238,122.238,122.238,122.238,0,0
20170306,CF-CRPBB,Fonds,122.2154,122.2154,122.2154,122.2154,0,0
20170303,CF-CRPBB,Fonds,122.1483,122.1483,122.1483,122.1483,0,0
20170301,CF-CRPBB,Fonds,122.0746,122.0746,122.0746,122.0746,0,0
20170228,CF-CRPBB,Fonds,122.0621,122.0621,122.0621,122.0621,0,0
20170227,CF-CRPBB,Fonds,122.0288,122.0288,122.0288,122.0288,0,0
20170224,CF-CRPBB,Fonds,121.9803,121.9803,121.9803,121.9803,0,0
20170223,CF-CRPBB,Fonds,121.933,121.933,121.933,121.933,0,0
20170222,CF-CRPBB,Fonds,121.8519,121.8519,121.8519,121.8519,0,0
20170221,CF-CRPBB,Fonds,121.7279,121.7279,121.7279,121.7279,0,0
20170220,CF-CRPBB,Fonds,121.6868,121.6868,121.6868,121.6868,0,0
20170217,CF-CRPBB,Fonds,121.6061,121.6061,121.6061,121.6061,0,0
20170215,CF-CRPBB,Fonds,121.5372,121.5372,121.5372,121.5372,0,0
20170213,CF-CRPBB,Fonds,121.501,121.501,121.501,121.501,0,0
20170209,CF-CRPBB,Fonds,121.3764,121.3764,121.3764,121.3764,0,0
20170208,CF-CRPBB,Fonds,121.3552,121.3552,121.3552,121.3552,0,0
20170207,CF-CRPBB,Fonds,121.2349,121.2349,121.2349,121.2349,0,0
20170206,CF-CRPBB,Fonds,121.1875,121.1875,121.1875,121.1875,0,0
20170203,CF-CRPBB,Fonds,121.128,121.128,121.128,121.128,0,0
20170201,CF-CRPBB,Fonds,120.9964,120.9964,120.9964,120.9964,0,0
20170131,CF-CRPBB,Fonds,120.9433,120.9433,120.9433,120.9433,0,0
20170130,CF-CRPBB,Fonds,120.9292,120.9292,120.9292,120.9292,0,0
20170127,CF-CRPBB,Fonds,120.9032,120.9032,120.9032,120.9032,0,0
20170126,CF-CRPBB,Fonds,120.8395,120.8395,120.8395,120.8395,0,0
20170125,CF-CRPBB,Fonds,120.7713,120.7713,120.7713,120.7713,0,0
20170124,CF-CRPBB,Fonds,120.7405,120.7405,120.7405,120.7405,0,0
20170123,CF-CRPBB,Fonds,120.717,120.717,120.717,120.717,0,0
20170120,CF-CRPBB,Fonds,120.6468,120.6468,120.6468,120.6468,0,0
20170119,CF-CRPBB,Fonds,120.6238,120.6238,120.6238,120.6238,0,0
20170118,CF-CRPBB,Fonds,120.5396,120.5396,120.5396,120.5396,0,0
20170117,CF-CRPBB,Fonds,120.482,120.482,120.482,120.482,0,0
