quote_date,paper,exch,open,high,low,close,volume,value
20171109,CF-INDIA,Fonds,499.5166,499.5166,499.5166,499.5166,0,0
20171107,CF-INDIA,Fonds,501.4557,501.4557,501.4557,501.4557,0,0
20171106,CF-INDIA,Fonds,507.4707,507.4707,507.4707,507.4707,0,0
20171103,CF-INDIA,Fonds,505.4998,505.4998,505.4998,505.4998,0,0
20171102,CF-INDIA,Fonds,503.2497,503.2497,503.2497,503.2497,0,0
20171101,CF-INDIA,Fonds,505.0881,505.0881,505.0881,505.0881,0,0
20171031,CF-INDIA,Fonds,500.4422,500.4422,500.4422,500.4422,0,0
20171030,CF-INDIA,Fonds,500.1687,500.1687,500.1687,500.1687,0,0
20171027,CF-INDIA,Fonds,493.4958,493.4958,493.4958,493.4958,0,0
20171026,CF-INDIA,Fonds,489.8507,489.8507,489.8507,489.8507,0,0
20171025,CF-INDIA,Fonds,482.5879,482.5879,482.5879,482.5879,0,0
20171024,CF-INDIA,Fonds,485.1596,485.1596,485.1596,485.1596,0,0
20171023,CF-INDIA,Fonds,485.587,485.587,485.587,485.587,0,0
20171019,CF-INDIA,Fonds,480.2004,480.2004,480.2004,480.2004,0,0
20171018,CF-INDIA,Fonds,483.6525,483.6525,483.6525,483.6525,0,0
20171017,CF-INDIA,Fonds,486.2113,486.2113,486.2113,486.2113,0,0
20171013,CF-INDIA,Fonds,484.8938,484.8938,484.8938,484.8938,0,0
20171011,CF-INDIA,Fonds,470.8712,470.8712,470.8712,470.8712,0,0
20171010,CF-INDIA,Fonds,474.8146,474.8146,474.8146,474.8146,0,0
20171009,CF-INDIA,Fonds,473.0378,473.0378,473.0378,473.0378,0,0
20171006,CF-INDIA,Fonds,472.8661,472.8661,472.8661,472.8661,0,0
20171005,CF-INDIA,Fonds,469.7133,469.7133,469.7133,469.7133,0,0
20171004,CF-INDIA,Fonds,469.7133,469.7133,469.7133,469.7133,0,0
20171003,CF-INDIA,Fonds,466.35,466.35,466.35,466.35,0,0
20170929,CF-INDIA,Fonds,466.5698,466.5698,466.5698,466.5698,0,0
20170928,CF-INDIA,Fonds,461.1806,461.1806,461.1806,461.1806,0,0
20170927,CF-INDIA,Fonds,459.852,459.852,459.852,459.852,0,0
20170926,CF-INDIA,Fonds,466.8018,466.8018,466.8018,466.8018,0,0
20170925,CF-INDIA,Fonds,461.5762,461.5762,461.5762,461.5762,0,0
20170922,CF-INDIA,Fonds,466.3122,466.3122,466.3122,466.3122,0,0
20170921,CF-INDIA,Fonds,475.5489,475.5489,475.5489,475.5489,0,0
20170920,CF-INDIA,Fonds,480.6971,480.6971,480.6971,480.6971,0,0
20170919,CF-INDIA,Fonds,482.4818,482.4818,482.4818,482.4818,0,0
20170918,CF-INDIA,Fonds,483.0881,483.0881,483.0881,483.0881,0,0
20170915,CF-INDIA,Fonds,484.9345,484.9345,484.9345,484.9345,0,0
20170914,CF-INDIA,Fonds,484.9345,484.9345,484.9345,484.9345,0,0
20170913,CF-INDIA,Fonds,484.2362,484.2362,484.2362,484.2362,0,0
20170912,CF-INDIA,Fonds,481.7129,481.7129,481.7129,481.7129,0,0
20170911,CF-INDIA,Fonds,481.7129,481.7129,481.7129,481.7129,0,0
20170908,CF-INDIA,Fonds,472.8515,472.8515,472.8515,472.8515,0,0
20170907,CF-INDIA,Fonds,469.5496,469.5496,469.5496,469.5496,0,0
20170906,CF-INDIA,Fonds,469.5496,469.5496,469.5496,469.5496,0,0
20170905,CF-INDIA,Fonds,466.8486,466.8486,466.8486,466.8486,0,0
20170904,CF-INDIA,Fonds,465.7319,465.7319,465.7319,465.7319,0,0
20170901,CF-INDIA,Fonds,471.3156,471.3156,471.3156,471.3156,0,0
20170831,CF-INDIA,Fonds,466.8701,466.8701,466.8701,466.8701,0,0
20170830,CF-INDIA,Fonds,463.599,463.599,463.599,463.599,0,0
20170829,CF-INDIA,Fonds,455.5808,455.5808,455.5808,455.5808,0,0
20170828,CF-INDIA,Fonds,464.9174,464.9174,464.9174,464.9174,0,0
20170824,CF-INDIA,Fonds,465.533,465.533,465.533,465.533,0,0
