quote_date,paper,exch,open,high,low,close,volume,value
20171121,CF-STRGI,Fonds,1274.8396,1274.8396,1274.8396,1274.8396,0,0
20171120,CF-STRGI,Fonds,1271.5205,1271.5205,1271.5205,1271.5205,0,0
20171117,CF-STRGI,Fonds,1270.2823,1270.2823,1270.2823,1270.2823,0,0
20171116,CF-STRGI,Fonds,1276.8335,1276.8335,1276.8335,1276.8335,0,0
20171115,CF-STRGI,Fonds,1265.8677,1265.8677,1265.8677,1265.8677,0,0
20171114,CF-STRGI,Fonds,1271.1727,1271.1727,1271.1727,1271.1727,0,0
20171113,CF-STRGI,Fonds,1269.8491,1269.8491,1269.8491,1269.8491,0,0
20171110,CF-STRGI,Fonds,1277.5741,1277.5741,1277.5741,1277.5741,0,0
20171109,CF-STRGI,Fonds,1284.2371,1284.2371,1284.2371,1284.2371,0,0
20171107,CF-STRGI,Fonds,1290.2218,1290.2218,1290.2218,1290.2218,0,0
20171106,CF-STRGI,Fonds,1295.1946,1295.1946,1295.1946,1295.1946,0,0
20171103,CF-STRGI,Fonds,1296.5131,1296.5131,1296.5131,1296.5131,0,0
20171102,CF-STRGI,Fonds,1290.2817,1290.2817,1290.2817,1290.2817,0,0
20171101,CF-STRGI,Fonds,1293.4537,1293.4537,1293.4537,1293.4537,0,0
20171031,CF-STRGI,Fonds,1291.4316,1291.4316,1291.4316,1291.4316,0,0
20171030,CF-STRGI,Fonds,1286.4801,1286.4801,1286.4801,1286.4801,0,0
20171027,CF-STRGI,Fonds,1283.9992,1283.9992,1283.9992,1283.9992,0,0
20171026,CF-STRGI,Fonds,1283.2982,1283.2982,1283.2982,1283.2982,0,0
20171025,CF-STRGI,Fonds,1276.0859,1276.0859,1276.0859,1276.0859,0,0
20171024,CF-STRGI,Fonds,1276.2631,1276.2631,1276.2631,1276.2631,0,0
20171023,CF-STRGI,Fonds,1276.4614,1276.4614,1276.4614,1276.4614,0,0
20171020,CF-STRGI,Fonds,1279.0355,1279.0355,1279.0355,1279.0355,0,0
20171019,CF-STRGI,Fonds,1270.8561,1270.8561,1270.8561,1270.8561,0,0
20171018,CF-STRGI,Fonds,1273.0827,1273.0827,1273.0827,1273.0827,0,0
20171017,CF-STRGI,Fonds,1268.0454,1268.0454,1268.0454,1268.0454,0,0
20171013,CF-STRGI,Fonds,1273.912,1273.912,1273.912,1273.912,0,0
20171011,CF-STRGI,Fonds,1266.6989,1266.6989,1266.6989,1266.6989,0,0
20171010,CF-STRGI,Fonds,1268.1478,1268.1478,1268.1478,1268.1478,0,0
20171006,CF-STRGI,Fonds,1272.7625,1272.7625,1272.7625,1272.7625,0,0
20171005,CF-STRGI,Fonds,1274.3628,1274.3628,1274.3628,1274.3628,0,0
20171004,CF-STRGI,Fonds,1274.3628,1274.3628,1274.3628,1274.3628,0,0
20171003,CF-STRGI,Fonds,1274.2962,1274.2962,1274.2962,1274.2962,0,0
20170929,CF-STRGI,Fonds,1265.9598,1265.9598,1265.9598,1265.9598,0,0
20170928,CF-STRGI,Fonds,1259.276,1259.276,1259.276,1259.276,0,0
20170927,CF-STRGI,Fonds,1260.2653,1260.2653,1260.2653,1260.2653,0,0
20170926,CF-STRGI,Fonds,1255.6908,1255.6908,1255.6908,1255.6908,0,0
20170925,CF-STRGI,Fonds,1256.2029,1256.2029,1256.2029,1256.2029,0,0
20170922,CF-STRGI,Fonds,1257.2633,1257.2633,1257.2633,1257.2633,0,0
20170921,CF-STRGI,Fonds,1257.1409,1257.1409,1257.1409,1257.1409,0,0
20170920,CF-STRGI,Fonds,1251.6134,1251.6134,1251.6134,1251.6134,0,0
20170919,CF-STRGI,Fonds,1251.7464,1251.7464,1251.7464,1251.7464,0,0
20170918,CF-STRGI,Fonds,1249.3769,1249.3769,1249.3769,1249.3769,0,0
20170915,CF-STRGI,Fonds,1247.4292,1247.4292,1247.4292,1247.4292,0,0
20170914,CF-STRGI,Fonds,1239.0199,1239.0199,1239.0199,1239.0199,0,0
20170913,CF-STRGI,Fonds,1247.1367,1247.1367,1247.1367,1247.1367,0,0
20170912,CF-STRGI,Fonds,1246.0599,1246.0599,1246.0599,1246.0599,0,0
20170911,CF-STRGI,Fonds,1246.0599,1246.0599,1246.0599,1246.0599,0,0
20170908,CF-STRGI,Fonds,1236.2698,1236.2698,1236.2698,1236.2698,0,0
20170907,CF-STRGI,Fonds,1231.6735,1231.6735,1231.6735,1231.6735,0,0
20170906,CF-STRGI,Fonds,1231.6735,1231.6735,1231.6735,1231.6735,0,0
20170905,CF-STRGI,Fonds,1236.1125,1236.1125,1236.1125,1236.1125,0,0
20170904,CF-STRGI,Fonds,1237.757,1237.757,1237.757,1237.757,0,0
20170901,CF-STRGI,Fonds,1242.8857,1242.8857,1242.8857,1242.8857,0,0
20170831,CF-STRGI,Fonds,1234.8574,1234.8574,1234.8574,1234.8574,0,0
20170830,CF-STRGI,Fonds,1229.6491,1229.6491,1229.6491,1229.6491,0,0
20170829,CF-STRGI,Fonds,1224.1501,1224.1501,1224.1501,1224.1501,0,0
20170828,CF-STRGI,Fonds,1232.5728,1232.5728,1232.5728,1232.5728,0,0
20170825,CF-STRGI,Fonds,1239.334,1239.334,1239.334,1239.334,0,0
20170824,CF-STRGI,Fonds,1238.1494,1238.1494,1238.1494,1238.1494,0,0
20170823,CF-STRGI,Fonds,1238.1879,1238.1879,1238.1879,1238.1879,0,0
20170822,CF-STRGI,Fonds,1240.4756,1240.4756,1240.4756,1240.4756,0,0
20170821,CF-STRGI,Fonds,1236.5089,1236.5089,1236.5089,1236.5089,0,0
20170818,CF-STRGI,Fonds,1240.0243,1240.0243,1240.0243,1240.0243,0,0
20170817,CF-STRGI,Fonds,1246.8141,1246.8141,1246.8141,1246.8141,0,0
20170816,CF-STRGI,Fonds,1252.9636,1252.9636,1252.9636,1252.9636,0,0
20170815,CF-STRGI,Fonds,1250.9321,1250.9321,1250.9321,1250.9321,0,0
20170814,CF-STRGI,Fonds,1254.0707,1254.0707,1254.0707,1254.0707,0,0
20170811,CF-STRGI,Fonds,1249.3651,1249.3651,1249.3651,1249.3651,0,0
20170810,CF-STRGI,Fonds,1255.8418,1255.8418,1255.8418,1255.8418,0,0
20170809,CF-STRGI,Fonds,1264.0749,1264.0749,1264.0749,1264.0749,0,0
20170808,CF-STRGI,Fonds,1269.1393,1269.1393,1269.1393,1269.1393,0,0
20170807,CF-STRGI,Fonds,1266.1206,1266.1206,1266.1206,1266.1206,0,0
20170804,CF-STRGI,Fonds,1266.3977,1266.3977,1266.3977,1266.3977,0,0
20170803,CF-STRGI,Fonds,1262.2386,1262.2386,1262.2386,1262.2386,0,0
20170802,CF-STRGI,Fonds,1260.2699,1260.2699,1260.2699,1260.2699,0,0
20170801,CF-STRGI,Fonds,1261.5778,1261.5778,1261.5778,1261.5778,0,0
20170731,CF-STRGI,Fonds,1256.0055,1256.0055,1256.0055,1256.0055,0,0
20170728,CF-STRGI,Fonds,1265.263,1265.263,1265.263,1265.263,0,0
20170727,CF-STRGI,Fonds,1265.263,1265.263,1265.263,1265.263,0,0
20170726,CF-STRGI,Fonds,1262.3161,1262.3161,1262.3161,1262.3161,0,0
20170725,CF-STRGI,Fonds,1259.6334,1259.6334,1259.6334,1259.6334,0,0
20170724,CF-STRGI,Fonds,1261.0395,1261.0395,1261.0395,1261.0395,0,0
20170721,CF-STRGI,Fonds,1263.0877,1263.0877,1263.0877,1263.0877,0,0
20170720,CF-STRGI,Fonds,1276.466,1276.466,1276.466,1276.466,0,0
20170719,CF-STRGI,Fonds,1280.2953,1280.2953,1280.2953,1280.2953,0,0
20170718,CF-STRGI,Fonds,1280.4721,1280.4721,1280.4721,1280.4721,0,0
20170717,CF-STRGI,Fonds,1290.1222,1290.1222,1290.1222,1290.1222,0,0
20170714,CF-STRGI,Fonds,1285.3186,1285.3186,1285.3186,1285.3186,0,0
20170713,CF-STRGI,Fonds,1289.2303,1289.2303,1289.2303,1289.2303,0,0
20170712,CF-STRGI,Fonds,1287.2379,1287.2379,1287.2379,1287.2379,0,0
20170711,CF-STRGI,Fonds,1279.8193,1279.8193,1279.8193,1279.8193,0,0
20170710,CF-STRGI,Fonds,1283.4167,1283.4167,1283.4167,1283.4167,0,0
20170707,CF-STRGI,Fonds,1277.1903,1277.1903,1277.1903,1277.1903,0,0
20170706,CF-STRGI,Fonds,1277.1903,1277.1903,1277.1903,1277.1903,0,0
20170705,CF-STRGI,Fonds,1282.4982,1282.4982,1282.4982,1282.4982,0,0
20170704,CF-STRGI,Fonds,1283.1568,1283.1568,1283.1568,1283.1568,0,0
20170703,CF-STRGI,Fonds,1285.3133,1285.3133,1285.3133,1285.3133,0,0
20170630,CF-STRGI,Fonds,1280.3205,1280.3205,1280.3205,1280.3205,0,0
20170629,CF-STRGI,Fonds,1279.8329,1279.8329,1279.8329,1279.8329,0,0
