quote_date,paper,exch,open,high,low,close,volume,value
20171109,DK-AKAKS,Fonds,265.628593,265.628593,265.628593,265.628593,0,0
20171107,DK-AKAKS,Fonds,268.181039,268.181039,268.181039,268.181039,0,0
20171106,DK-AKAKS,Fonds,268.285823,268.285823,268.285823,268.285823,0,0
20171103,DK-AKAKS,Fonds,267.901154,267.901154,267.901154,267.901154,0,0
20171102,DK-AKAKS,Fonds,266.283422,266.283422,266.283422,266.283422,0,0
20171101,DK-AKAKS,Fonds,267.332534,267.332534,267.332534,267.332534,0,0
20171031,DK-AKAKS,Fonds,266.29924,266.29924,266.29924,266.29924,0,0
20171030,DK-AKAKS,Fonds,265.562481,265.562481,265.562481,265.562481,0,0
20171027,DK-AKAKS,Fonds,265.327678,265.327678,265.327678,265.327678,0,0
20171026,DK-AKAKS,Fonds,263.155701,263.155701,263.155701,263.155701,0,0
20171025,DK-AKAKS,Fonds,261.268859,261.268859,261.268859,261.268859,0,0
20171024,DK-AKAKS,Fonds,260.734041,260.734041,260.734041,260.734041,0,0
20171023,DK-AKAKS,Fonds,260.561371,260.561371,260.561371,260.561371,0,0
20171020,DK-AKAKS,Fonds,260.912668,260.912668,260.912668,260.912668,0,0
20171019,DK-AKAKS,Fonds,258.865688,258.865688,258.865688,258.865688,0,0
20171018,DK-AKAKS,Fonds,259.676748,259.676748,259.676748,259.676748,0,0
20171017,DK-AKAKS,Fonds,258.943838,258.943838,258.943838,258.943838,0,0
20171013,DK-AKAKS,Fonds,258.331635,258.331635,258.331635,258.331635,0,0
20171012,DK-AKAKS,Fonds,257.7722,257.7722,257.7722,257.7722,0,0
20171011,DK-AKAKS,Fonds,258.270254,258.270254,258.270254,258.270254,0,0
20171010,DK-AKAKS,Fonds,258.439523,258.439523,258.439523,258.439523,0,0
20171009,DK-AKAKS,Fonds,258.158196,258.158196,258.158196,258.158196,0,0
20171006,DK-AKAKS,Fonds,259.170328,259.170328,259.170328,259.170328,0,0
20171005,DK-AKAKS,Fonds,258.911922,258.911922,258.911922,258.911922,0,0
20171004,DK-AKAKS,Fonds,257.378499,257.378499,257.378499,257.378499,0,0
20171003,DK-AKAKS,Fonds,258.034933,258.034933,258.034933,258.034933,0,0
20171002,DK-AKAKS,Fonds,257.211925,257.211925,257.211925,257.211925,0,0
20170929,DK-AKAKS,Fonds,256.287661,256.287661,256.287661,256.287661,0,0
20170928,DK-AKAKS,Fonds,255.019126,255.019126,255.019126,255.019126,0,0
20170927,DK-AKAKS,Fonds,254.541181,254.541181,254.541181,254.541181,0,0
20170926,DK-AKAKS,Fonds,252.375247,252.375247,252.375247,252.375247,0,0
20170925,DK-AKAKS,Fonds,251.641725,251.641725,251.641725,251.641725,0,0
