quote_date,paper,exch,open,high,low,close,volume,value
20171109,DK-FINAN,Fonds,965.700159,965.700159,965.700159,965.700159,0,0
20171107,DK-FINAN,Fonds,972.413437,972.413437,972.413437,972.413437,0,0
20171106,DK-FINAN,Fonds,974.317698,974.317698,974.317698,974.317698,0,0
20171103,DK-FINAN,Fonds,977.296612,977.296612,977.296612,977.296612,0,0
20171102,DK-FINAN,Fonds,974.46521,974.46521,974.46521,974.46521,0,0
20171101,DK-FINAN,Fonds,973.475401,973.475401,973.475401,973.475401,0,0
20171031,DK-FINAN,Fonds,974.842905,974.842905,974.842905,974.842905,0,0
20171030,DK-FINAN,Fonds,975.1409,975.1409,975.1409,975.1409,0,0
20171027,DK-FINAN,Fonds,978.697735,978.697735,978.697735,978.697735,0,0
20171026,DK-FINAN,Fonds,975.195024,975.195024,975.195024,975.195024,0,0
20171025,DK-FINAN,Fonds,959.294405,959.294405,959.294405,959.294405,0,0
20171024,DK-FINAN,Fonds,958.740154,958.740154,958.740154,958.740154,0,0
20171023,DK-FINAN,Fonds,956.054619,956.054619,956.054619,956.054619,0,0
20171020,DK-FINAN,Fonds,956.427614,956.427614,956.427614,956.427614,0,0
20171019,DK-FINAN,Fonds,950.107469,950.107469,950.107469,950.107469,0,0
20171018,DK-FINAN,Fonds,948.791916,948.791916,948.791916,948.791916,0,0
20171017,DK-FINAN,Fonds,941.907217,941.907217,941.907217,941.907217,0,0
20171013,DK-FINAN,Fonds,935.296275,935.296275,935.296275,935.296275,0,0
20171012,DK-FINAN,Fonds,932.303948,932.303948,932.303948,932.303948,0,0
20171011,DK-FINAN,Fonds,936.833156,936.833156,936.833156,936.833156,0,0
20171010,DK-FINAN,Fonds,940.131182,940.131182,940.131182,940.131182,0,0
20171009,DK-FINAN,Fonds,941.357275,941.357275,941.357275,941.357275,0,0
20171006,DK-FINAN,Fonds,946.056144,946.056144,946.056144,946.056144,0,0
20171005,DK-FINAN,Fonds,943.383429,943.383429,943.383429,943.383429,0,0
20171004,DK-FINAN,Fonds,938.368096,938.368096,938.368096,938.368096,0,0
20171003,DK-FINAN,Fonds,945.273492,945.273492,945.273492,945.273492,0,0
20171002,DK-FINAN,Fonds,944.224021,944.224021,944.224021,944.224021,0,0
20170929,DK-FINAN,Fonds,939.251455,939.251455,939.251455,939.251455,0,0
20170928,DK-FINAN,Fonds,935.032505,935.032505,935.032505,935.032505,0,0
20170927,DK-FINAN,Fonds,937.087204,937.087204,937.087204,937.087204,0,0
20170926,DK-FINAN,Fonds,919.749134,919.749134,919.749134,919.749134,0,0
20170925,DK-FINAN,Fonds,913.785813,913.785813,913.785813,913.785813,0,0
20170922,DK-FINAN,Fonds,915.877569,915.877569,915.877569,915.877569,0,0
20170921,DK-FINAN,Fonds,914.834136,914.834136,914.834136,914.834136,0,0
20170920,DK-FINAN,Fonds,913.688456,913.688456,913.688456,913.688456,0,0
20170919,DK-FINAN,Fonds,913.358742,913.358742,913.358742,913.358742,0,0
20170918,DK-FINAN,Fonds,908.929446,908.929446,908.929446,908.929446,0,0
20170915,DK-FINAN,Fonds,908.218154,908.218154,908.218154,908.218154,0,0
20170914,DK-FINAN,Fonds,914.163991,914.163991,914.163991,914.163991,0,0
20170913,DK-FINAN,Fonds,911.69592,911.69592,911.69592,911.69592,0,0
20170912,DK-FINAN,Fonds,906.607688,906.607688,906.607688,906.607688,0,0
20170911,DK-FINAN,Fonds,898.829965,898.829965,898.829965,898.829965,0,0
20170908,DK-FINAN,Fonds,878.192728,878.192728,878.192728,878.192728,0,0
20170907,DK-FINAN,Fonds,873.337523,873.337523,873.337523,873.337523,0,0
20170906,DK-FINAN,Fonds,882.841377,882.841377,882.841377,882.841377,0,0
20170905,DK-FINAN,Fonds,882.737178,882.737178,882.737178,882.737178,0,0
20170901,DK-FINAN,Fonds,898.573167,898.573167,898.573167,898.573167,0,0
20170831,DK-FINAN,Fonds,893.07183,893.07183,893.07183,893.07183,0,0
20170830,DK-FINAN,Fonds,888.243505,888.243505,888.243505,888.243505,0,0
20170829,DK-FINAN,Fonds,881.991569,881.991569,881.991569,881.991569,0,0
20170828,DK-FINAN,Fonds,891.755313,891.755313,891.755313,891.755313,0,0
20170825,DK-FINAN,Fonds,893.055782,893.055782,893.055782,893.055782,0,0
20170824,DK-FINAN,Fonds,896.459504,896.459504,896.459504,896.459504,0,0
20170823,DK-FINAN,Fonds,899.636437,899.636437,899.636437,899.636437,0,0
20170822,DK-FINAN,Fonds,904.52254,904.52254,904.52254,904.52254,0,0
20170821,DK-FINAN,Fonds,898.537535,898.537535,898.537535,898.537535,0,0
20170818,DK-FINAN,Fonds,904.682921,904.682921,904.682921,904.682921,0,0
20170817,DK-FINAN,Fonds,906.478012,906.478012,906.478012,906.478012,0,0
20170816,DK-FINAN,Fonds,917.179076,917.179076,917.179076,917.179076,0,0
20170815,DK-FINAN,Fonds,915.480444,915.480444,915.480444,915.480444,0,0
20170814,DK-FINAN,Fonds,912.851958,912.851958,912.851958,912.851958,0,0
