quote_date,paper,exch,open,high,low,close,volume,value
20171121,DK-GCS,Fonds,1019.089003,1019.089003,1019.089003,1019.089003,0,0
20171120,DK-GCS,Fonds,1018.623483,1018.623483,1018.623483,1018.623483,0,0
20171117,DK-GCS,Fonds,1018.299211,1018.299211,1018.299211,1018.299211,0,0
20171116,DK-GCS,Fonds,1017.277989,1017.277989,1017.277989,1017.277989,0,0
20171115,DK-GCS,Fonds,1017.850749,1017.850749,1017.850749,1017.850749,0,0
20171114,DK-GCS,Fonds,1018.501099,1018.501099,1018.501099,1018.501099,0,0
20171113,DK-GCS,Fonds,1018.588078,1018.588078,1018.588078,1018.588078,0,0
20171110,DK-GCS,Fonds,1018.417246,1018.417246,1018.417246,1018.417246,0,0
20171109,DK-GCS,Fonds,1019.370788,1019.370788,1019.370788,1019.370788,0,0
20171107,DK-GCS,Fonds,1020.421823,1020.421823,1020.421823,1020.421823,0,0
20171106,DK-GCS,Fonds,1020.963382,1020.963382,1020.963382,1020.963382,0,0
20171103,DK-GCS,Fonds,1021.411395,1021.411395,1021.411395,1021.411395,0,0
20171102,DK-GCS,Fonds,1021.155322,1021.155322,1021.155322,1021.155322,0,0
20171101,DK-GCS,Fonds,1021.503009,1021.503009,1021.503009,1021.503009,0,0
20171031,DK-GCS,Fonds,1020.803266,1020.803266,1020.803266,1020.803266,0,0
20171030,DK-GCS,Fonds,1020.616692,1020.616692,1020.616692,1020.616692,0,0
20171027,DK-GCS,Fonds,1020.029393,1020.029393,1020.029393,1020.029393,0,0
20171026,DK-GCS,Fonds,1019.006413,1019.006413,1019.006413,1019.006413,0,0
20171025,DK-GCS,Fonds,1018.828961,1018.828961,1018.828961,1018.828961,0,0
20171024,DK-GCS,Fonds,1018.645244,1018.645244,1018.645244,1018.645244,0,0
20171023,DK-GCS,Fonds,1018.857237,1018.857237,1018.857237,1018.857237,0,0
20171020,DK-GCS,Fonds,1018.251508,1018.251508,1018.251508,1018.251508,0,0
20171019,DK-GCS,Fonds,1018.104946,1018.104946,1018.104946,1018.104946,0,0
20171018,DK-GCS,Fonds,1017.961231,1017.961231,1017.961231,1017.961231,0,0
20171017,DK-GCS,Fonds,1017.743786,1017.743786,1017.743786,1017.743786,0,0
20171013,DK-GCS,Fonds,1017.242734,1017.242734,1017.242734,1017.242734,0,0
20171012,DK-GCS,Fonds,1016.722641,1016.722641,1016.722641,1016.722641,0,0
20171011,DK-GCS,Fonds,1016.659036,1016.659036,1016.659036,1016.659036,0,0
20171010,DK-GCS,Fonds,1016.231062,1016.231062,1016.231062,1016.231062,0,0
20171006,DK-GCS,Fonds,1015.90502,1015.90502,1015.90502,1015.90502,0,0
20171005,DK-GCS,Fonds,1015.950971,1015.950971,1015.950971,1015.950971,0,0
20171004,DK-GCS,Fonds,1015.933289,1015.933289,1015.933289,1015.933289,0,0
20171003,DK-GCS,Fonds,1016.028422,1016.028422,1016.028422,1016.028422,0,0
20171002,DK-GCS,Fonds,1015.094093,1015.094093,1015.094093,1015.094093,0,0
20170929,DK-GCS,Fonds,1014.702091,1014.702091,1014.702091,1014.702091,0,0
20170928,DK-GCS,Fonds,1013.925083,1013.925083,1013.925083,1013.925083,0,0
20170927,DK-GCS,Fonds,1013.83939,1013.83939,1013.83939,1013.83939,0,0
20170926,DK-GCS,Fonds,1013.503067,1013.503067,1013.503067,1013.503067,0,0
20170925,DK-GCS,Fonds,1013.511998,1013.511998,1013.511998,1013.511998,0,0
20170922,DK-GCS,Fonds,1013.078734,1013.078734,1013.078734,1013.078734,0,0
20170921,DK-GCS,Fonds,1012.975297,1012.975297,1012.975297,1012.975297,0,0
20170920,DK-GCS,Fonds,1013.200354,1013.200354,1013.200354,1013.200354,0,0
20170919,DK-GCS,Fonds,1012.60677,1012.60677,1012.60677,1012.60677,0,0
20170918,DK-GCS,Fonds,1012.277564,1012.277564,1012.277564,1012.277564,0,0
20170915,DK-GCS,Fonds,1011.681779,1011.681779,1011.681779,1011.681779,0,0
20170914,DK-GCS,Fonds,1011.476743,1011.476743,1011.476743,1011.476743,0,0
20170913,DK-GCS,Fonds,1010.817292,1010.817292,1010.817292,1010.817292,0,0
20170912,DK-GCS,Fonds,1010.521639,1010.521639,1010.521639,1010.521639,0,0
20170911,DK-GCS,Fonds,1010.004472,1010.004472,1010.004472,1010.004472,0,0
20170908,DK-GCS,Fonds,1010.015914,1010.015914,1010.015914,1010.015914,0,0
20170907,DK-GCS,Fonds,1010.500114,1010.500114,1010.500114,1010.500114,0,0
20170906,DK-GCS,Fonds,1009.97419,1009.97419,1009.97419,1009.97419,0,0
20170905,DK-GCS,Fonds,1010.797857,1010.797857,1010.797857,1010.797857,0,0
20170901,DK-GCS,Fonds,1010.302819,1010.302819,1010.302819,1010.302819,0,0
20170831,DK-GCS,Fonds,1010.429365,1010.429365,1010.429365,1010.429365,0,0
20170830,DK-GCS,Fonds,1010.256121,1010.256121,1010.256121,1010.256121,0,0
20170829,DK-GCS,Fonds,1010.350191,1010.350191,1010.350191,1010.350191,0,0
20170828,DK-GCS,Fonds,1010.57549,1010.57549,1010.57549,1010.57549,0,0
20170825,DK-GCS,Fonds,1010.492629,1010.492629,1010.492629,1010.492629,0,0
20170824,DK-GCS,Fonds,1010.247746,1010.247746,1010.247746,1010.247746,0,0
20170823,DK-GCS,Fonds,1010.483083,1010.483083,1010.483083,1010.483083,0,0
20170822,DK-GCS,Fonds,1010.443853,1010.443853,1010.443853,1010.443853,0,0
20170821,DK-GCS,Fonds,1010.464649,1010.464649,1010.464649,1010.464649,0,0
20170818,DK-GCS,Fonds,1010.529189,1010.529189,1010.529189,1010.529189,0,0
20170817,DK-GCS,Fonds,1011.163267,1011.163267,1011.163267,1011.163267,0,0
20170816,DK-GCS,Fonds,1010.928211,1010.928211,1010.928211,1010.928211,0,0
20170815,DK-GCS,Fonds,1010.676526,1010.676526,1010.676526,1010.676526,0,0
20170814,DK-GCS,Fonds,1010.230753,1010.230753,1010.230753,1010.230753,0,0
20170811,DK-GCS,Fonds,1009.440628,1009.440628,1009.440628,1009.440628,0,0
20170810,DK-GCS,Fonds,1010.736147,1010.736147,1010.736147,1010.736147,0,0
20170809,DK-GCS,Fonds,1010.789535,1010.789535,1010.789535,1010.789535,0,0
20170808,DK-GCS,Fonds,1012.231736,1012.231736,1012.231736,1012.231736,0,0
20170807,DK-GCS,Fonds,1012.837731,1012.837731,1012.837731,1012.837731,0,0
20170804,DK-GCS,Fonds,1012.905385,1012.905385,1012.905385,1012.905385,0,0
20170803,DK-GCS,Fonds,1013.550249,1013.550249,1013.550249,1013.550249,0,0
20170802,DK-GCS,Fonds,1012.983212,1012.983212,1012.983212,1012.983212,0,0
20170801,DK-GCS,Fonds,1012.924224,1012.924224,1012.924224,1012.924224,0,0
20170731,DK-GCS,Fonds,1012.294287,1012.294287,1012.294287,1012.294287,0,0
20170728,DK-GCS,Fonds,1011.968028,1011.968028,1011.968028,1011.968028,0,0
20170727,DK-GCS,Fonds,1011.533901,1011.533901,1011.533901,1011.533901,0,0
20170726,DK-GCS,Fonds,1011.412779,1011.412779,1011.412779,1011.412779,0,0
20170725,DK-GCS,Fonds,1011.252095,1011.252095,1011.252095,1011.252095,0,0
20170724,DK-GCS,Fonds,1011.591677,1011.591677,1011.591677,1011.591677,0,0
20170721,DK-GCS,Fonds,1011.55012,1011.55012,1011.55012,1011.55012,0,0
20170720,DK-GCS,Fonds,1011.200122,1011.200122,1011.200122,1011.200122,0,0
20170719,DK-GCS,Fonds,1010.785256,1010.785256,1010.785256,1010.785256,0,0
20170718,DK-GCS,Fonds,1010.680659,1010.680659,1010.680659,1010.680659,0,0
20170717,DK-GCS,Fonds,1010.023359,1010.023359,1010.023359,1010.023359,0,0
20170714,DK-GCS,Fonds,1009.264044,1009.264044,1009.264044,1009.264044,0,0
20170713,DK-GCS,Fonds,1009.264965,1009.264965,1009.264965,1009.264965,0,0
20170712,DK-GCS,Fonds,1009.125074,1009.125074,1009.125074,1009.125074,0,0
