quote_date,paper,exch,open,high,low,close,volume,value
20171121,DK-GLOBI,Fonds,4402.022223,4402.022223,4402.022223,4402.022223,0,0
20171120,DK-GLOBI,Fonds,4395.373136,4395.373136,4395.373136,4395.373136,0,0
20171117,DK-GLOBI,Fonds,4371.51918,4371.51918,4371.51918,4371.51918,0,0
20171116,DK-GLOBI,Fonds,4346.911608,4346.911608,4346.911608,4346.911608,0,0
20171115,DK-GLOBI,Fonds,4349.698475,4349.698475,4349.698475,4349.698475,0,0
20171114,DK-GLOBI,Fonds,4342.748774,4342.748774,4342.748774,4342.748774,0,0
20171113,DK-GLOBI,Fonds,4335.858894,4335.858894,4335.858894,4335.858894,0,0
20171110,DK-GLOBI,Fonds,4320.438687,4320.438687,4320.438687,4320.438687,0,0
20171109,DK-GLOBI,Fonds,4345.414952,4345.414952,4345.414952,4345.414952,0,0
20171107,DK-GLOBI,Fonds,4387.819997,4387.819997,4387.819997,4387.819997,0,0
20171106,DK-GLOBI,Fonds,4405.431824,4405.431824,4405.431824,4405.431824,0,0
20171103,DK-GLOBI,Fonds,4385.075186,4385.075186,4385.075186,4385.075186,0,0
20171102,DK-GLOBI,Fonds,4368.867002,4368.867002,4368.867002,4368.867002,0,0
20171101,DK-GLOBI,Fonds,4378.609249,4378.609249,4378.609249,4378.609249,0,0
20171031,DK-GLOBI,Fonds,4377.33369,4377.33369,4377.33369,4377.33369,0,0
20171030,DK-GLOBI,Fonds,4359.997635,4359.997635,4359.997635,4359.997635,0,0
20171027,DK-GLOBI,Fonds,4369.397181,4369.397181,4369.397181,4369.397181,0,0
20171026,DK-GLOBI,Fonds,4320.051032,4320.051032,4320.051032,4320.051032,0,0
20171025,DK-GLOBI,Fonds,4261.626781,4261.626781,4261.626781,4261.626781,0,0
20171024,DK-GLOBI,Fonds,4266.534761,4266.534761,4266.534761,4266.534761,0,0
20171023,DK-GLOBI,Fonds,4257.359035,4257.359035,4257.359035,4257.359035,0,0
20171020,DK-GLOBI,Fonds,4256.018091,4256.018091,4256.018091,4256.018091,0,0
20171019,DK-GLOBI,Fonds,4205.58246,4205.58246,4205.58246,4205.58246,0,0
20171018,DK-GLOBI,Fonds,4224.835157,4224.835157,4224.835157,4224.835157,0,0
20171017,DK-GLOBI,Fonds,4209.574425,4209.574425,4209.574425,4209.574425,0,0
20171013,DK-GLOBI,Fonds,4171.536577,4171.536577,4171.536577,4171.536577,0,0
20171012,DK-GLOBI,Fonds,4156.589474,4156.589474,4156.589474,4156.589474,0,0
20171011,DK-GLOBI,Fonds,4197.625824,4197.625824,4197.625824,4197.625824,0,0
20171010,DK-GLOBI,Fonds,4211.622879,4211.622879,4211.622879,4211.622879,0,0
20171009,DK-GLOBI,Fonds,4227.195769,4227.195769,4227.195769,4227.195769,0,0
20171006,DK-GLOBI,Fonds,4244.82961,4244.82961,4244.82961,4244.82961,0,0
20171005,DK-GLOBI,Fonds,4236.377922,4236.377922,4236.377922,4236.377922,0,0
20171004,DK-GLOBI,Fonds,4201.568657,4201.568657,4201.568657,4201.568657,0,0
20171003,DK-GLOBI,Fonds,4222.581547,4222.581547,4222.581547,4222.581547,0,0
20171002,DK-GLOBI,Fonds,4228.796343,4228.796343,4228.796343,4228.796343,0,0
20170929,DK-GLOBI,Fonds,4200.626725,4200.626725,4200.626725,4200.626725,0,0
20170928,DK-GLOBI,Fonds,4173.876138,4173.876138,4173.876138,4173.876138,0,0
20170927,DK-GLOBI,Fonds,4170.751687,4170.751687,4170.751687,4170.751687,0,0
20170926,DK-GLOBI,Fonds,4121.876964,4121.876964,4121.876964,4121.876964,0,0
20170925,DK-GLOBI,Fonds,4078.572492,4078.572492,4078.572492,4078.572492,0,0
20170922,DK-GLOBI,Fonds,4076.932698,4076.932698,4076.932698,4076.932698,0,0
20170921,DK-GLOBI,Fonds,4073.412493,4073.412493,4073.412493,4073.412493,0,0
20170920,DK-GLOBI,Fonds,4056.568501,4056.568501,4056.568501,4056.568501,0,0
20170919,DK-GLOBI,Fonds,4065.317261,4065.317261,4065.317261,4065.317261,0,0
20170918,DK-GLOBI,Fonds,4057.037103,4057.037103,4057.037103,4057.037103,0,0
20170915,DK-GLOBI,Fonds,4059.869898,4059.869898,4059.869898,4059.869898,0,0
20170914,DK-GLOBI,Fonds,4100.920325,4100.920325,4100.920325,4100.920325,0,0
20170913,DK-GLOBI,Fonds,4086.284984,4086.284984,4086.284984,4086.284984,0,0
20170912,DK-GLOBI,Fonds,4052.100994,4052.100994,4052.100994,4052.100994,0,0
20170911,DK-GLOBI,Fonds,4035.210835,4035.210835,4035.210835,4035.210835,0,0
20170908,DK-GLOBI,Fonds,3948.969609,3948.969609,3948.969609,3948.969609,0,0
20170907,DK-GLOBI,Fonds,3957.142112,3957.142112,3957.142112,3957.142112,0,0
20170906,DK-GLOBI,Fonds,3968.860474,3968.860474,3968.860474,3968.860474,0,0
20170905,DK-GLOBI,Fonds,3951.075877,3951.075877,3951.075877,3951.075877,0,0
20170901,DK-GLOBI,Fonds,3983.659648,3983.659648,3983.659648,3983.659648,0,0
20170831,DK-GLOBI,Fonds,3964.095455,3964.095455,3964.095455,3964.095455,0,0
20170830,DK-GLOBI,Fonds,3952.928127,3952.928127,3952.928127,3952.928127,0,0
20170829,DK-GLOBI,Fonds,3915.957633,3915.957633,3915.957633,3915.957633,0,0
20170828,DK-GLOBI,Fonds,3942.688333,3942.688333,3942.688333,3942.688333,0,0
20170825,DK-GLOBI,Fonds,3942.066398,3942.066398,3942.066398,3942.066398,0,0
20170824,DK-GLOBI,Fonds,3965.326052,3965.326052,3965.326052,3965.326052,0,0
20170823,DK-GLOBI,Fonds,3986.652413,3986.652413,3986.652413,3986.652413,0,0
20170822,DK-GLOBI,Fonds,4005.665773,4005.665773,4005.665773,4005.665773,0,0
20170821,DK-GLOBI,Fonds,3978.829578,3978.829578,3978.829578,3978.829578,0,0
20170818,DK-GLOBI,Fonds,4001.981256,4001.981256,4001.981256,4001.981256,0,0
20170817,DK-GLOBI,Fonds,4010.811009,4010.811009,4010.811009,4010.811009,0,0
20170816,DK-GLOBI,Fonds,4063.735737,4063.735737,4063.735737,4063.735737,0,0
20170815,DK-GLOBI,Fonds,4050.08188,4050.08188,4050.08188,4050.08188,0,0
20170814,DK-GLOBI,Fonds,4035.630582,4035.630582,4035.630582,4035.630582,0,0
20170811,DK-GLOBI,Fonds,4019.242848,4019.242848,4019.242848,4019.242848,0,0
20170810,DK-GLOBI,Fonds,4026.173603,4026.173603,4026.173603,4026.173603,0,0
20170809,DK-GLOBI,Fonds,4086.460409,4086.460409,4086.460409,4086.460409,0,0
20170808,DK-GLOBI,Fonds,4095.078526,4095.078526,4095.078526,4095.078526,0,0
20170807,DK-GLOBI,Fonds,4099.106655,4099.106655,4099.106655,4099.106655,0,0
20170804,DK-GLOBI,Fonds,4099.713716,4099.713716,4099.713716,4099.713716,0,0
20170803,DK-GLOBI,Fonds,4059.806167,4059.806167,4059.806167,4059.806167,0,0
20170802,DK-GLOBI,Fonds,4055.817834,4055.817834,4055.817834,4055.817834,0,0
20170801,DK-GLOBI,Fonds,4077.176287,4077.176287,4077.176287,4077.176287,0,0
20170731,DK-GLOBI,Fonds,4065.909277,4065.909277,4065.909277,4065.909277,0,0
20170728,DK-GLOBI,Fonds,4069.641681,4069.641681,4069.641681,4069.641681,0,0
20170727,DK-GLOBI,Fonds,4081.889544,4081.889544,4081.889544,4081.889544,0,0
20170726,DK-GLOBI,Fonds,4098.941521,4098.941521,4098.941521,4098.941521,0,0
20170725,DK-GLOBI,Fonds,4110.186428,4110.186428,4110.186428,4110.186428,0,0
20170724,DK-GLOBI,Fonds,4098.847609,4098.847609,4098.847609,4098.847609,0,0
20170721,DK-GLOBI,Fonds,4107.431533,4107.431533,4107.431533,4107.431533,0,0
20170720,DK-GLOBI,Fonds,4132.039451,4132.039451,4132.039451,4132.039451,0,0
20170719,DK-GLOBI,Fonds,4129.340117,4129.340117,4129.340117,4129.340117,0,0
20170718,DK-GLOBI,Fonds,4111.431576,4111.431576,4111.431576,4111.431576,0,0
20170717,DK-GLOBI,Fonds,4171.146975,4171.146975,4171.146975,4171.146975,0,0
20170714,DK-GLOBI,Fonds,4200.775302,4200.775302,4200.775302,4200.775302,0,0
20170713,DK-GLOBI,Fonds,4210.292305,4210.292305,4210.292305,4210.292305,0,0
20170712,DK-GLOBI,Fonds,4216.551852,4216.551852,4216.551852,4216.551852,0,0
20170711,DK-GLOBI,Fonds,4195.190533,4195.190533,4195.190533,4195.190533,0,0
20170710,DK-GLOBI,Fonds,4208.424471,4208.424471,4208.424471,4208.424471,0,0
20170707,DK-GLOBI,Fonds,4208.293745,4208.293745,4208.293745,4208.293745,0,0
20170706,DK-GLOBI,Fonds,4199.063819,4199.063819,4199.063819,4199.063819,0,0
20170705,DK-GLOBI,Fonds,4242.636679,4242.636679,4242.636679,4242.636679,0,0
20170703,DK-GLOBI,Fonds,4222.331766,4222.331766,4222.331766,4222.331766,0,0
20170630,DK-GLOBI,Fonds,4208.417407,4208.417407,4208.417407,4208.417407,0,0
20170629,DK-GLOBI,Fonds,4218.261359,4218.261359,4218.261359,4218.261359,0,0
20170628,DK-GLOBI,Fonds,4269.927457,4269.927457,4269.927457,4269.927457,0,0
20170627,DK-GLOBI,Fonds,4224.741954,4224.741954,4224.741954,4224.741954,0,0
20170626,DK-GLOBI,Fonds,4265.136514,4265.136514,4265.136514,4265.136514,0,0
20170623,DK-GLOBI,Fonds,4238.192664,4238.192664,4238.192664,4238.192664,0,0
20170622,DK-GLOBI,Fonds,4251.240155,4251.240155,4251.240155,4251.240155,0,0
20170621,DK-GLOBI,Fonds,4274.579201,4274.579201,4274.579201,4274.579201,0,0
20170620,DK-GLOBI,Fonds,4287.593481,4287.593481,4287.593481,4287.593481,0,0
20170619,DK-GLOBI,Fonds,4280.371384,4280.371384,4280.371384,4280.371384,0,0
20170616,DK-GLOBI,Fonds,4252.230423,4252.230423,4252.230423,4252.230423,0,0
20170615,DK-GLOBI,Fonds,4252.731767,4252.731767,4252.731767,4252.731767,0,0
20170614,DK-GLOBI,Fonds,4230.184215,4230.184215,4230.184215,4230.184215,0,0
20170613,DK-GLOBI,Fonds,4275.489527,4275.489527,4275.489527,4275.489527,0,0
20170612,DK-GLOBI,Fonds,4269.272357,4269.272357,4269.272357,4269.272357,0,0
20170609,DK-GLOBI,Fonds,4297.167172,4297.167172,4297.167172,4297.167172,0,0
20170608,DK-GLOBI,Fonds,4289.7265,4289.7265,4289.7265,4289.7265,0,0
20170607,DK-GLOBI,Fonds,4300.258844,4300.258844,4300.258844,4300.258844,0,0
20170606,DK-GLOBI,Fonds,4296.88165,4296.88165,4296.88165,4296.88165,0,0
20170602,DK-GLOBI,Fonds,4304.511817,4304.511817,4304.511817,4304.511817,0,0
20170601,DK-GLOBI,Fonds,4287.428991,4287.428991,4287.428991,4287.428991,0,0
20170531,DK-GLOBI,Fonds,4251.485127,4251.485127,4251.485127,4251.485127,0,0
20170530,DK-GLOBI,Fonds,4262.698548,4262.698548,4262.698548,4262.698548,0,0
20170526,DK-GLOBI,Fonds,4260.106418,4260.106418,4260.106418,4260.106418,0,0
20170524,DK-GLOBI,Fonds,4259.879219,4259.879219,4259.879219,4259.879219,0,0
20170523,DK-GLOBI,Fonds,4240.224362,4240.224362,4240.224362,4240.224362,0,0
20170522,DK-GLOBI,Fonds,4223.15109,4223.15109,4223.15109,4223.15109,0,0
20170519,DK-GLOBI,Fonds,4223.285408,4223.285408,4223.285408,4223.285408,0,0
20170518,DK-GLOBI,Fonds,4210.058936,4210.058936,4210.058936,4210.058936,0,0
20170516,DK-GLOBI,Fonds,4288.904991,4288.904991,4288.904991,4288.904991,0,0
20170515,DK-GLOBI,Fonds,4297.762729,4297.762729,4297.762729,4297.762729,0,0
20170512,DK-GLOBI,Fonds,4297.335752,4297.335752,4297.335752,4297.335752,0,0
20170511,DK-GLOBI,Fonds,4289.789318,4289.789318,4289.789318,4289.789318,0,0
20170510,DK-GLOBI,Fonds,4307.28709,4307.28709,4307.28709,4307.28709,0,0
20170509,DK-GLOBI,Fonds,4336.790275,4336.790275,4336.790275,4336.790275,0,0
20170508,DK-GLOBI,Fonds,4334.779434,4334.779434,4334.779434,4334.779434,0,0
20170505,DK-GLOBI,Fonds,4316.389677,4316.389677,4316.389677,4316.389677,0,0
20170504,DK-GLOBI,Fonds,4317.278036,4317.278036,4317.278036,4317.278036,0,0
20170503,DK-GLOBI,Fonds,4278.378861,4278.378861,4278.378861,4278.378861,0,0
20170502,DK-GLOBI,Fonds,4287.834168,4287.834168,4287.834168,4287.834168,0,0
20170428,DK-GLOBI,Fonds,4246.859342,4246.859342,4246.859342,4246.859342,0,0
20170427,DK-GLOBI,Fonds,4280.398346,4280.398346,4280.398346,4280.398346,0,0
20170426,DK-GLOBI,Fonds,4291.19857,4291.19857,4291.19857,4291.19857,0,0
20170425,DK-GLOBI,Fonds,4265.547909,4265.547909,4265.547909,4265.547909,0,0
20170424,DK-GLOBI,Fonds,4243.714873,4243.714873,4243.714873,4243.714873,0,0
20170421,DK-GLOBI,Fonds,4205.799466,4205.799466,4205.799466,4205.799466,0,0
20170420,DK-GLOBI,Fonds,4180.700399,4180.700399,4180.700399,4180.700399,0,0
20170419,DK-GLOBI,Fonds,4134.845923,4134.845923,4134.845923,4134.845923,0,0
20170418,DK-GLOBI,Fonds,4115.280769,4115.280769,4115.280769,4115.280769,0,0
20170412,DK-GLOBI,Fonds,4171.56142,4171.56142,4171.56142,4171.56142,0,0
20170411,DK-GLOBI,Fonds,4189.014402,4189.014402,4189.014402,4189.014402,0,0
20170410,DK-GLOBI,Fonds,4210.538664,4210.538664,4210.538664,4210.538664,0,0
20170407,DK-GLOBI,Fonds,4208.6431,4208.6431,4208.6431,4208.6431,0,0
20170406,DK-GLOBI,Fonds,4206.622949,4206.622949,4206.622949,4206.622949,0,0
20170405,DK-GLOBI,Fonds,4198.582137,4198.582137,4198.582137,4198.582137,0,0
20170404,DK-GLOBI,Fonds,4208.070274,4208.070274,4208.070274,4208.070274,0,0
20170403,DK-GLOBI,Fonds,4203.662443,4203.662443,4203.662443,4203.662443,0,0
20170331,DK-GLOBI,Fonds,4222.675158,4222.675158,4222.675158,4222.675158,0,0
20170330,DK-GLOBI,Fonds,4202.748556,4202.748556,4202.748556,4202.748556,0,0
20170329,DK-GLOBI,Fonds,4183.652899,4183.652899,4183.652899,4183.652899,0,0
20170328,DK-GLOBI,Fonds,4172.753184,4172.753184,4172.753184,4172.753184,0,0
20170327,DK-GLOBI,Fonds,4125.674795,4125.674795,4125.674795,4125.674795,0,0
20170324,DK-GLOBI,Fonds,4133.815696,4133.815696,4133.815696,4133.815696,0,0
20170323,DK-GLOBI,Fonds,4130.602326,4130.602326,4130.602326,4130.602326,0,0
20170322,DK-GLOBI,Fonds,4117.052293,4117.052293,4117.052293,4117.052293,0,0
20170321,DK-GLOBI,Fonds,4131.916834,4131.916834,4131.916834,4131.916834,0,0
20170320,DK-GLOBI,Fonds,4168.113617,4168.113617,4168.113617,4168.113617,0,0
20170317,DK-GLOBI,Fonds,4175.562891,4175.562891,4175.562891,4175.562891,0,0
20170316,DK-GLOBI,Fonds,4208.040066,4208.040066,4208.040066,4208.040066,0,0
20170315,DK-GLOBI,Fonds,4210.959853,4210.959853,4210.959853,4210.959853,0,0
20170314,DK-GLOBI,Fonds,4186.049052,4186.049052,4186.049052,4186.049052,0,0
20170313,DK-GLOBI,Fonds,4180.410065,4180.410065,4180.410065,4180.410065,0,0
20170310,DK-GLOBI,Fonds,4199.93849,4199.93849,4199.93849,4199.93849,0,0
20170309,DK-GLOBI,Fonds,4166.402893,4166.402893,4166.402893,4166.402893,0,0
20170308,DK-GLOBI,Fonds,4113.531396,4113.531396,4113.531396,4113.531396,0,0
20170307,DK-GLOBI,Fonds,4116.960592,4116.960592,4116.960592,4116.960592,0,0
20170306,DK-GLOBI,Fonds,4128.26694,4128.26694,4128.26694,4128.26694,0,0
20170303,DK-GLOBI,Fonds,4135.967176,4135.967176,4135.967176,4135.967176,0,0
20170302,DK-GLOBI,Fonds,4128.179331,4128.179331,4128.179331,4128.179331,0,0
20170301,DK-GLOBI,Fonds,4111.912435,4111.912435,4111.912435,4111.912435,0,0
20170228,DK-GLOBI,Fonds,4039.585512,4039.585512,4039.585512,4039.585512,0,0
20170227,DK-GLOBI,Fonds,4040.623035,4040.623035,4040.623035,4040.623035,0,0
20170224,DK-GLOBI,Fonds,4033.350106,4033.350106,4033.350106,4033.350106,0,0
20170223,DK-GLOBI,Fonds,4046.030999,4046.030999,4046.030999,4046.030999,0,0
20170222,DK-GLOBI,Fonds,4058.243846,4058.243846,4058.243846,4058.243846,0,0
20170221,DK-GLOBI,Fonds,4060.958676,4060.958676,4060.958676,4060.958676,0,0
20170217,DK-GLOBI,Fonds,4027.541631,4027.541631,4027.541631,4027.541631,0,0
20170216,DK-GLOBI,Fonds,4029.386422,4029.386422,4029.386422,4029.386422,0,0
20170215,DK-GLOBI,Fonds,4041.256881,4041.256881,4041.256881,4041.256881,0,0
20170214,DK-GLOBI,Fonds,4050.610655,4050.610655,4050.610655,4050.610655,0,0
20170213,DK-GLOBI,Fonds,4026.952026,4026.952026,4026.952026,4026.952026,0,0
20170210,DK-GLOBI,Fonds,4008.274875,4008.274875,4008.274875,4008.274875,0,0
20170209,DK-GLOBI,Fonds,3972.370231,3972.370231,3972.370231,3972.370231,0,0
20170208,DK-GLOBI,Fonds,3926.205675,3926.205675,3926.205675,3926.205675,0,0
20170207,DK-GLOBI,Fonds,3924.860498,3924.860498,3924.860498,3924.860498,0,0
20170206,DK-GLOBI,Fonds,3919.720821,3919.720821,3919.720821,3919.720821,0,0
20170203,DK-GLOBI,Fonds,3919.31858,3919.31858,3919.31858,3919.31858,0,0
20170202,DK-GLOBI,Fonds,3897.156053,3897.156053,3897.156053,3897.156053,0,0
20170201,DK-GLOBI,Fonds,3914.312766,3914.312766,3914.312766,3914.312766,0,0
20170131,DK-GLOBI,Fonds,3896.344506,3896.344506,3896.344506,3896.344506,0,0
20170130,DK-GLOBI,Fonds,3940.982206,3940.982206,3940.982206,3940.982206,0,0
20170127,DK-GLOBI,Fonds,3986.957092,3986.957092,3986.957092,3986.957092,0,0
20170126,DK-GLOBI,Fonds,4009.041226,4009.041226,4009.041226,4009.041226,0,0
20170125,DK-GLOBI,Fonds,3984.999826,3984.999826,3984.999826,3984.999826,0,0
20170124,DK-GLOBI,Fonds,3955.495687,3955.495687,3955.495687,3955.495687,0,0
20170123,DK-GLOBI,Fonds,3972.898205,3972.898205,3972.898205,3972.898205,0,0
20170120,DK-GLOBI,Fonds,4003.360009,4003.360009,4003.360009,4003.360009,0,0
20170119,DK-GLOBI,Fonds,4012.568696,4012.568696,4012.568696,4012.568696,0,0
20170118,DK-GLOBI,Fonds,4009.979373,4009.979373,4009.979373,4009.979373,0,0
20170117,DK-GLOBI,Fonds,4020.34693,4020.34693,4020.34693,4020.34693,0,0
20170113,DK-GLOBI,Fonds,4056.770903,4056.770903,4056.770903,4056.770903,0,0
20170112,DK-GLOBI,Fonds,4045.87005,4045.87005,4045.87005,4045.87005,0,0
20170111,DK-GLOBI,Fonds,4105.733083,4105.733083,4105.733083,4105.733083,0,0
20170110,DK-GLOBI,Fonds,4076.571286,4076.571286,4076.571286,4076.571286,0,0
20170109,DK-GLOBI,Fonds,4054.599909,4054.599909,4054.599909,4054.599909,0,0
20170106,DK-GLOBI,Fonds,4052.89906,4052.89906,4052.89906,4052.89906,0,0
20170105,DK-GLOBI,Fonds,4047.063815,4047.063815,4047.063815,4047.063815,0,0
20170104,DK-GLOBI,Fonds,4075.431586,4075.431586,4075.431586,4075.431586,0,0
20170103,DK-GLOBI,Fonds,4073.903463,4073.903463,4073.903463,4073.903463,0,0
20161230,DK-GLOBI,Fonds,4025.418781,4025.418781,4025.418781,4025.418781,0,0
20161229,DK-GLOBI,Fonds,4039.829754,4039.829754,4039.829754,4039.829754,0,0
20161228,DK-GLOBI,Fonds,4082.668837,4082.668837,4082.668837,4082.668837,0,0
