quote_date,paper,exch,open,high,low,close,volume,value
20171121,DK-LEV20,Fonds,108.129697,108.129697,108.129697,108.129697,0,0
20171120,DK-LEV20,Fonds,108.072159,108.072159,108.072159,108.072159,0,0
20171117,DK-LEV20,Fonds,107.928038,107.928038,107.928038,107.928038,0,0
20171116,DK-LEV20,Fonds,107.805848,107.805848,107.805848,107.805848,0,0
20171115,DK-LEV20,Fonds,107.727546,107.727546,107.727546,107.727546,0,0
20171114,DK-LEV20,Fonds,107.760583,107.760583,107.760583,107.760583,0,0
20171113,DK-LEV20,Fonds,107.658815,107.658815,107.658815,107.658815,0,0
20171110,DK-LEV20,Fonds,107.587187,107.587187,107.587187,107.587187,0,0
20171109,DK-LEV20,Fonds,107.765469,107.765469,107.765469,107.765469,0,0
20171107,DK-LEV20,Fonds,108.093426,108.093426,108.093426,108.093426,0,0
20171106,DK-LEV20,Fonds,108.052212,108.052212,108.052212,108.052212,0,0
20171103,DK-LEV20,Fonds,108.010838,108.010838,108.010838,108.010838,0,0
