quote_date,paper,exch,open,high,low,close,volume,value
20171109,DK-NAVII,Fonds,65.918298,65.918298,65.918298,65.918298,0,0
20171108,DK-NAVII,Fonds,67.262111,67.262111,67.262111,67.262111,0,0
20171107,DK-NAVII,Fonds,66.809953,66.809953,66.809953,66.809953,0,0
20171106,DK-NAVII,Fonds,66.218043,66.218043,66.218043,66.218043,0,0
20171103,DK-NAVII,Fonds,65.149561,65.149561,65.149561,65.149561,0,0
20171102,DK-NAVII,Fonds,64.928396,64.928396,64.928396,64.928396,0,0
20171101,DK-NAVII,Fonds,64.660748,64.660748,64.660748,64.660748,0,0
20171031,DK-NAVII,Fonds,63.620939,63.620939,63.620939,63.620939,0,0
20171030,DK-NAVII,Fonds,63.596481,63.596481,63.596481,63.596481,0,0
20171027,DK-NAVII,Fonds,63.455415,63.455415,63.455415,63.455415,0,0
20171026,DK-NAVII,Fonds,62.945538,62.945538,62.945538,62.945538,0,0
20171025,DK-NAVII,Fonds,63.31885,63.31885,63.31885,63.31885,0,0
20171024,DK-NAVII,Fonds,62.969781,62.969781,62.969781,62.969781,0,0
20171023,DK-NAVII,Fonds,63.041549,63.041549,63.041549,63.041549,0,0
20171020,DK-NAVII,Fonds,63.209356,63.209356,63.209356,63.209356,0,0
20171019,DK-NAVII,Fonds,63.033147,63.033147,63.033147,63.033147,0,0
20171018,DK-NAVII,Fonds,63.966594,63.966594,63.966594,63.966594,0,0
20171017,DK-NAVII,Fonds,64.094131,64.094131,64.094131,64.094131,0,0
20171016,DK-NAVII,Fonds,64.732142,64.732142,64.732142,64.732142,0,0
20171013,DK-NAVII,Fonds,64.475491,64.475491,64.475491,64.475491,0,0
20171012,DK-NAVII,Fonds,64.195761,64.195761,64.195761,64.195761,0,0
20171011,DK-NAVII,Fonds,64.483557,64.483557,64.483557,64.483557,0,0
20171010,DK-NAVII,Fonds,64.69305,64.69305,64.69305,64.69305,0,0
20171009,DK-NAVII,Fonds,64.01754,64.01754,64.01754,64.01754,0,0
20171006,DK-NAVII,Fonds,64.338653,64.338653,64.338653,64.338653,0,0
20171005,DK-NAVII,Fonds,64.902101,64.902101,64.902101,64.902101,0,0
20171004,DK-NAVII,Fonds,64.821979,64.821979,64.821979,64.821979,0,0
20171003,DK-NAVII,Fonds,65.632292,65.632292,65.632292,65.632292,0,0
20171002,DK-NAVII,Fonds,64.891527,64.891527,64.891527,64.891527,0,0
20170929,DK-NAVII,Fonds,65.890749,65.890749,65.890749,65.890749,0,0
20170928,DK-NAVII,Fonds,66.009439,66.009439,66.009439,66.009439,0,0
20170927,DK-NAVII,Fonds,64.786888,64.786888,64.786888,64.786888,0,0
20170926,DK-NAVII,Fonds,64.206618,64.206618,64.206618,64.206618,0,0
20170925,DK-NAVII,Fonds,64.89986,64.89986,64.89986,64.89986,0,0
20170922,DK-NAVII,Fonds,64.822843,64.822843,64.822843,64.822843,0,0
20170921,DK-NAVII,Fonds,64.284005,64.284005,64.284005,64.284005,0,0
20170920,DK-NAVII,Fonds,63.893608,63.893608,63.893608,63.893608,0,0
20170919,DK-NAVII,Fonds,63.71872,63.71872,63.71872,63.71872,0,0
20170918,DK-NAVII,Fonds,64.206114,64.206114,64.206114,64.206114,0,0
20170915,DK-NAVII,Fonds,63.834397,63.834397,63.834397,63.834397,0,0
20170914,DK-NAVII,Fonds,64.092449,64.092449,64.092449,64.092449,0,0
20170913,DK-NAVII,Fonds,63.393541,63.393541,63.393541,63.393541,0,0
20170912,DK-NAVII,Fonds,63.349357,63.349357,63.349357,63.349357,0,0
20170911,DK-NAVII,Fonds,63.16549,63.16549,63.16549,63.16549,0,0
20170908,DK-NAVII,Fonds,62.960428,62.960428,62.960428,62.960428,0,0
20170907,DK-NAVII,Fonds,63.332689,63.332689,63.332689,63.332689,0,0
20170906,DK-NAVII,Fonds,63.171567,63.171567,63.171567,63.171567,0,0
20170905,DK-NAVII,Fonds,62.608047,62.608047,62.608047,62.608047,0,0
20170904,DK-NAVII,Fonds,61.750245,61.750245,61.750245,61.750245,0,0
20170901,DK-NAVII,Fonds,61.462004,61.462004,61.462004,61.462004,0,0
20170831,DK-NAVII,Fonds,61.287588,61.287588,61.287588,61.287588,0,0
20170830,DK-NAVII,Fonds,60.286368,60.286368,60.286368,60.286368,0,0
20170829,DK-NAVII,Fonds,60.59063,60.59063,60.59063,60.59063,0,0
20170828,DK-NAVII,Fonds,61.096074,61.096074,61.096074,61.096074,0,0
20170825,DK-NAVII,Fonds,61.358991,61.358991,61.358991,61.358991,0,0
20170824,DK-NAVII,Fonds,60.783522,60.783522,60.783522,60.783522,0,0
20170823,DK-NAVII,Fonds,60.959476,60.959476,60.959476,60.959476,0,0
20170822,DK-NAVII,Fonds,60.537082,60.537082,60.537082,60.537082,0,0
20170821,DK-NAVII,Fonds,60.507796,60.507796,60.507796,60.507796,0,0
20170818,DK-NAVII,Fonds,60.726668,60.726668,60.726668,60.726668,0,0
20170817,DK-NAVII,Fonds,60.573344,60.573344,60.573344,60.573344,0,0
20170816,DK-NAVII,Fonds,61.394293,61.394293,61.394293,61.394293,0,0
20170815,DK-NAVII,Fonds,61.046559,61.046559,61.046559,61.046559,0,0
20170814,DK-NAVII,Fonds,61.638882,61.638882,61.638882,61.638882,0,0
20170811,DK-NAVII,Fonds,61.367425,61.367425,61.367425,61.367425,0,0
20170810,DK-NAVII,Fonds,62.24105,62.24105,62.24105,62.24105,0,0
20170809,DK-NAVII,Fonds,63.38095,63.38095,63.38095,63.38095,0,0
20170808,DK-NAVII,Fonds,63.515316,63.515316,63.515316,63.515316,0,0
20170807,DK-NAVII,Fonds,63.343128,63.343128,63.343128,63.343128,0,0
20170804,DK-NAVII,Fonds,63.301606,63.301606,63.301606,63.301606,0,0
20170803,DK-NAVII,Fonds,63.430137,63.430137,63.430137,63.430137,0,0
20170802,DK-NAVII,Fonds,64.408394,64.408394,64.408394,64.408394,0,0
20170801,DK-NAVII,Fonds,64.816265,64.816265,64.816265,64.816265,0,0
20170731,DK-NAVII,Fonds,64.404756,64.404756,64.404756,64.404756,0,0
20170728,DK-NAVII,Fonds,64.625043,64.625043,64.625043,64.625043,0,0
20170727,DK-NAVII,Fonds,64.005012,64.005012,64.005012,64.005012,0,0
20170726,DK-NAVII,Fonds,64.528391,64.528391,64.528391,64.528391,0,0
20170725,DK-NAVII,Fonds,64.37397,64.37397,64.37397,64.37397,0,0
20170724,DK-NAVII,Fonds,64.213488,64.213488,64.213488,64.213488,0,0
20170721,DK-NAVII,Fonds,64.239971,64.239971,64.239971,64.239971,0,0
20170720,DK-NAVII,Fonds,65.634744,65.634744,65.634744,65.634744,0,0
20170719,DK-NAVII,Fonds,65.098239,65.098239,65.098239,65.098239,0,0
20170718,DK-NAVII,Fonds,64.387748,64.387748,64.387748,64.387748,0,0
20170717,DK-NAVII,Fonds,64.84422,64.84422,64.84422,64.84422,0,0
20170714,DK-NAVII,Fonds,64.214201,64.214201,64.214201,64.214201,0,0
20170713,DK-NAVII,Fonds,63.465335,63.465335,63.465335,63.465335,0,0
20170712,DK-NAVII,Fonds,63.390759,63.390759,63.390759,63.390759,0,0
20170711,DK-NAVII,Fonds,61.533432,61.533432,61.533432,61.533432,0,0
