quote_date,paper,exch,open,high,low,close,volume,value
20171121,DK-NORG3,Fonds,7747.640667,7747.640667,7747.640667,7747.640667,0,0
20171120,DK-NORG3,Fonds,7647.499553,7647.499553,7647.499553,7647.499553,0,0
20171117,DK-NORG3,Fonds,7582.842574,7582.842574,7582.842574,7582.842574,0,0
20171116,DK-NORG3,Fonds,7631.405559,7631.405559,7631.405559,7631.405559,0,0
20171115,DK-NORG3,Fonds,7559.620814,7559.620814,7559.620814,7559.620814,0,0
20171114,DK-NORG3,Fonds,7631.39488,7631.39488,7631.39488,7631.39488,0,0
20171113,DK-NORG3,Fonds,7671.982328,7671.982328,7671.982328,7671.982328,0,0
20171110,DK-NORG3,Fonds,7724.230144,7724.230144,7724.230144,7724.230144,0,0
20171109,DK-NORG3,Fonds,7768.830512,7768.830512,7768.830512,7768.830512,0,0
20171108,DK-NORG3,Fonds,7895.724611,7895.724611,7895.724611,7895.724611,0,0
20171107,DK-NORG3,Fonds,7881.244725,7881.244725,7881.244725,7881.244725,0,0
20171106,DK-NORG3,Fonds,7885.717392,7885.717392,7885.717392,7885.717392,0,0
20171103,DK-NORG3,Fonds,7876.94697,7876.94697,7876.94697,7876.94697,0,0
20171102,DK-NORG3,Fonds,7756.821143,7756.821143,7756.821143,7756.821143,0,0
20171101,DK-NORG3,Fonds,7810.502782,7810.502782,7810.502782,7810.502782,0,0
20171031,DK-NORG3,Fonds,7758.22289,7758.22289,7758.22289,7758.22289,0,0
20171030,DK-NORG3,Fonds,7766.152886,7766.152886,7766.152886,7766.152886,0,0
20171027,DK-NORG3,Fonds,7687.010324,7687.010324,7687.010324,7687.010324,0,0
20171026,DK-NORG3,Fonds,7649.307382,7649.307382,7649.307382,7649.307382,0,0
20171025,DK-NORG3,Fonds,7658.593055,7658.593055,7658.593055,7658.593055,0,0
20171024,DK-NORG3,Fonds,7584.232585,7584.232585,7584.232585,7584.232585,0,0
20171023,DK-NORG3,Fonds,7603.531083,7603.531083,7603.531083,7603.531083,0,0
20171020,DK-NORG3,Fonds,7634.81427,7634.81427,7634.81427,7634.81427,0,0
20171019,DK-NORG3,Fonds,7584.354659,7584.354659,7584.354659,7584.354659,0,0
20171018,DK-NORG3,Fonds,7602.396457,7602.396457,7602.396457,7602.396457,0,0
20171017,DK-NORG3,Fonds,7597.675851,7597.675851,7597.675851,7597.675851,0,0
20171016,DK-NORG3,Fonds,7619.187089,7619.187089,7619.187089,7619.187089,0,0
20171013,DK-NORG3,Fonds,7639.649817,7639.649817,7639.649817,7639.649817,0,0
20171012,DK-NORG3,Fonds,7616.333485,7616.333485,7616.333485,7616.333485,0,0
20171011,DK-NORG3,Fonds,7607.159298,7607.159298,7607.159298,7607.159298,0,0
20171010,DK-NORG3,Fonds,7603.723235,7603.723235,7603.723235,7603.723235,0,0
20171009,DK-NORG3,Fonds,7579.433762,7579.433762,7579.433762,7579.433762,0,0
20171006,DK-NORG3,Fonds,7569.649715,7569.649715,7569.649715,7569.649715,0,0
20171005,DK-NORG3,Fonds,7602.363154,7602.363154,7602.363154,7602.363154,0,0
20171004,DK-NORG3,Fonds,7574.761331,7574.761331,7574.761331,7574.761331,0,0
20171003,DK-NORG3,Fonds,7614.153657,7614.153657,7614.153657,7614.153657,0,0
20171002,DK-NORG3,Fonds,7566.075483,7566.075483,7566.075483,7566.075483,0,0
20170929,DK-NORG3,Fonds,7583.91624,7583.91624,7583.91624,7583.91624,0,0
20170928,DK-NORG3,Fonds,7586.605518,7586.605518,7586.605518,7586.605518,0,0
20170927,DK-NORG3,Fonds,7527.243712,7527.243712,7527.243712,7527.243712,0,0
20170926,DK-NORG3,Fonds,7470.022491,7470.022491,7470.022491,7470.022491,0,0
20170925,DK-NORG3,Fonds,7518.957951,7518.957951,7518.957951,7518.957951,0,0
20170922,DK-NORG3,Fonds,7477.620155,7477.620155,7477.620155,7477.620155,0,0
20170921,DK-NORG3,Fonds,7440.440133,7440.440133,7440.440133,7440.440133,0,0
20170920,DK-NORG3,Fonds,7400.681564,7400.681564,7400.681564,7400.681564,0,0
20170919,DK-NORG3,Fonds,7407.120272,7407.120272,7407.120272,7407.120272,0,0
20170918,DK-NORG3,Fonds,7403.352249,7403.352249,7403.352249,7403.352249,0,0
20170915,DK-NORG3,Fonds,7375.576889,7375.576889,7375.576889,7375.576889,0,0
20170914,DK-NORG3,Fonds,7409.987934,7409.987934,7409.987934,7409.987934,0,0
20170913,DK-NORG3,Fonds,7383.294609,7383.294609,7383.294609,7383.294609,0,0
20170912,DK-NORG3,Fonds,7348.510257,7348.510257,7348.510257,7348.510257,0,0
20170911,DK-NORG3,Fonds,7314.896928,7314.896928,7314.896928,7314.896928,0,0
20170908,DK-NORG3,Fonds,7272.571055,7272.571055,7272.571055,7272.571055,0,0
20170907,DK-NORG3,Fonds,7294.347838,7294.347838,7294.347838,7294.347838,0,0
20170906,DK-NORG3,Fonds,7265.973093,7265.973093,7265.973093,7265.973093,0,0
20170905,DK-NORG3,Fonds,7281.605319,7281.605319,7281.605319,7281.605319,0,0
20170904,DK-NORG3,Fonds,7252.175029,7252.175029,7252.175029,7252.175029,0,0
20170901,DK-NORG3,Fonds,7257.080673,7257.080673,7257.080673,7257.080673,0,0
20170831,DK-NORG3,Fonds,7196.036467,7196.036467,7196.036467,7196.036467,0,0
20170830,DK-NORG3,Fonds,7093.434634,7093.434634,7093.434634,7093.434634,0,0
20170829,DK-NORG3,Fonds,7032.947238,7032.947238,7032.947238,7032.947238,0,0
20170828,DK-NORG3,Fonds,7066.727405,7066.727405,7066.727405,7066.727405,0,0
20170825,DK-NORG3,Fonds,7087.373125,7087.373125,7087.373125,7087.373125,0,0
20170824,DK-NORG3,Fonds,7074.042105,7074.042105,7074.042105,7074.042105,0,0
20170823,DK-NORG3,Fonds,7065.175689,7065.175689,7065.175689,7065.175689,0,0
20170822,DK-NORG3,Fonds,7070.982085,7070.982085,7070.982085,7070.982085,0,0
20170821,DK-NORG3,Fonds,7048.833899,7048.833899,7048.833899,7048.833899,0,0
20170818,DK-NORG3,Fonds,7048.678561,7048.678561,7048.678561,7048.678561,0,0
20170817,DK-NORG3,Fonds,7041.015605,7041.015605,7041.015605,7041.015605,0,0
20170816,DK-NORG3,Fonds,7137.145961,7137.145961,7137.145961,7137.145961,0,0
20170815,DK-NORG3,Fonds,7094.714129,7094.714129,7094.714129,7094.714129,0,0
20170814,DK-NORG3,Fonds,7145.38221,7145.38221,7145.38221,7145.38221,0,0
20170811,DK-NORG3,Fonds,7056.10436,7056.10436,7056.10436,7056.10436,0,0
