quote_date,paper,exch,open,high,low,close,volume,value
20171121,DK-O20IV,Fonds,1034.748272,1034.748272,1034.748272,1034.748272,0,0
20171120,DK-O20IV,Fonds,1034.76382,1034.76382,1034.76382,1034.76382,0,0
20171117,DK-O20IV,Fonds,1033.854306,1033.854306,1033.854306,1033.854306,0,0
20171116,DK-O20IV,Fonds,1033.570501,1033.570501,1033.570501,1033.570501,0,0
20171115,DK-O20IV,Fonds,1033.75551,1033.75551,1033.75551,1033.75551,0,0
20171114,DK-O20IV,Fonds,1032.966129,1032.966129,1032.966129,1032.966129,0,0
20171113,DK-O20IV,Fonds,1032.746186,1032.746186,1032.746186,1032.746186,0,0
20171110,DK-O20IV,Fonds,1033.011425,1033.011425,1033.011425,1033.011425,0,0
20171109,DK-O20IV,Fonds,1032.851133,1032.851133,1032.851133,1032.851133,0,0
20171108,DK-O20IV,Fonds,1033.419764,1033.419764,1033.419764,1033.419764,0,0
20171107,DK-O20IV,Fonds,1033.064099,1033.064099,1033.064099,1033.064099,0,0
20171106,DK-O20IV,Fonds,1032.938839,1032.938839,1032.938839,1032.938839,0,0
20171103,DK-O20IV,Fonds,1032.470383,1032.470383,1032.470383,1032.470383,0,0
20171102,DK-O20IV,Fonds,1032.093881,1032.093881,1032.093881,1032.093881,0,0
20171101,DK-O20IV,Fonds,1031.808914,1031.808914,1031.808914,1031.808914,0,0
20171031,DK-O20IV,Fonds,1031.56696,1031.56696,1031.56696,1031.56696,0,0
20171030,DK-O20IV,Fonds,1031.373171,1031.373171,1031.373171,1031.373171,0,0
20171027,DK-O20IV,Fonds,1030.620148,1030.620148,1030.620148,1030.620148,0,0
20171026,DK-O20IV,Fonds,1030.545743,1030.545743,1030.545743,1030.545743,0,0
20171025,DK-O20IV,Fonds,1029.926041,1029.926041,1029.926041,1029.926041,0,0
20171024,DK-O20IV,Fonds,1030.094262,1030.094262,1030.094262,1030.094262,0,0
20171023,DK-O20IV,Fonds,1030.410935,1030.410935,1030.410935,1030.410935,0,0
20171020,DK-O20IV,Fonds,1030.142632,1030.142632,1030.142632,1030.142632,0,0
20171019,DK-O20IV,Fonds,1030.559837,1030.559837,1030.559837,1030.559837,0,0
20171018,DK-O20IV,Fonds,1030.404254,1030.404254,1030.404254,1030.404254,0,0
20171017,DK-O20IV,Fonds,1030.540727,1030.540727,1030.540727,1030.540727,0,0
20171016,DK-O20IV,Fonds,1029.983537,1029.983537,1029.983537,1029.983537,0,0
20171013,DK-O20IV,Fonds,1029.628255,1029.628255,1029.628255,1029.628255,0,0
20171012,DK-O20IV,Fonds,1029.087633,1029.087633,1029.087633,1029.087633,0,0
20171011,DK-O20IV,Fonds,1030.01579,1030.01579,1030.01579,1030.01579,0,0
