quote_date,paper,exch,open,high,low,close,volume,value
20171109,EC-CHEAS,Fonds,170.2134,170.2134,170.2134,170.2134,0,0
20171108,EC-CHEAS,Fonds,170.1447,170.1447,170.1447,170.1447,0,0
20171106,EC-CHEAS,Fonds,170.4969,170.4969,170.4969,170.4969,0,0
20171103,EC-CHEAS,Fonds,169.773,169.773,169.773,169.773,0,0
20171102,EC-CHEAS,Fonds,169.2194,169.2194,169.2194,169.2194,0,0
20171031,EC-CHEAS,Fonds,166.976,166.976,166.976,166.976,0,0
20171030,EC-CHEAS,Fonds,165.3072,165.3072,165.3072,165.3072,0,0
20171027,EC-CHEAS,Fonds,163.9574,163.9574,163.9574,163.9574,0,0
20171026,EC-CHEAS,Fonds,162.0243,162.0243,162.0243,162.0243,0,0
20171025,EC-CHEAS,Fonds,161.7195,161.7195,161.7195,161.7195,0,0
20171024,EC-CHEAS,Fonds,160.4027,160.4027,160.4027,160.4027,0,0
20171023,EC-CHEAS,Fonds,161.203,161.203,161.203,161.203,0,0
20171020,EC-CHEAS,Fonds,161.3637,161.3637,161.3637,161.3637,0,0
20171019,EC-CHEAS,Fonds,159.6402,159.6402,159.6402,159.6402,0,0
20171017,EC-CHEAS,Fonds,162.482,162.482,162.482,162.482,0,0
20171016,EC-CHEAS,Fonds,161.3296,161.3296,161.3296,161.3296,0,0
20171013,EC-CHEAS,Fonds,160.8727,160.8727,160.8727,160.8727,0,0
20171012,EC-CHEAS,Fonds,160.5277,160.5277,160.5277,160.5277,0,0
20171011,EC-CHEAS,Fonds,158.9953,158.9953,158.9953,158.9953,0,0
20171010,EC-CHEAS,Fonds,158.8818,158.8818,158.8818,158.8818,0,0
20171006,EC-CHEAS,Fonds,158.7107,158.7107,158.7107,158.7107,0,0
20171003,EC-CHEAS,Fonds,156.5822,156.5822,156.5822,156.5822,0,0
20170929,EC-CHEAS,Fonds,154.4581,154.4581,154.4581,154.4581,0,0
20170927,EC-CHEAS,Fonds,154.6243,154.6243,154.6243,154.6243,0,0
20170926,EC-CHEAS,Fonds,153.2941,153.2941,153.2941,153.2941,0,0
20170925,EC-CHEAS,Fonds,152.7961,152.7961,152.7961,152.7961,0,0
20170922,EC-CHEAS,Fonds,153.2889,153.2889,153.2889,153.2889,0,0
20170921,EC-CHEAS,Fonds,154.9051,154.9051,154.9051,154.9051,0,0
20170920,EC-CHEAS,Fonds,154.6289,154.6289,154.6289,154.6289,0,0
20170919,EC-CHEAS,Fonds,154.453,154.453,154.453,154.453,0,0
20170918,EC-CHEAS,Fonds,154.869,154.869,154.869,154.869,0,0
20170915,EC-CHEAS,Fonds,152.5083,152.5083,152.5083,152.5083,0,0
20170914,EC-CHEAS,Fonds,153.7877,153.7877,153.7877,153.7877,0,0
20170913,EC-CHEAS,Fonds,152.858,152.858,152.858,152.858,0,0
20170912,EC-CHEAS,Fonds,152.4088,152.4088,152.4088,152.4088,0,0
20170911,EC-CHEAS,Fonds,151.9821,151.9821,151.9821,151.9821,0,0
20170908,EC-CHEAS,Fonds,149.6771,149.6771,149.6771,149.6771,0,0
20170907,EC-CHEAS,Fonds,148.9505,148.9505,148.9505,148.9505,0,0
20170906,EC-CHEAS,Fonds,148.7328,148.7328,148.7328,148.7328,0,0
20170905,EC-CHEAS,Fonds,148.9367,148.9367,148.9367,148.9367,0,0
20170904,EC-CHEAS,Fonds,148.4308,148.4308,148.4308,148.4308,0,0
20170901,EC-CHEAS,Fonds,150.0969,150.0969,150.0969,150.0969,0,0
20170831,EC-CHEAS,Fonds,149.7291,149.7291,149.7291,149.7291,0,0
20170830,EC-CHEAS,Fonds,149.5999,149.5999,149.5999,149.5999,0,0
20170829,EC-CHEAS,Fonds,147.1769,147.1769,147.1769,147.1769,0,0
20170828,EC-CHEAS,Fonds,148.7152,148.7152,148.7152,148.7152,0,0
20170825,EC-CHEAS,Fonds,150.1464,150.1464,150.1464,150.1464,0,0
20170824,EC-CHEAS,Fonds,150.1679,150.1679,150.1679,150.1679,0,0
20170822,EC-CHEAS,Fonds,149.421,149.421,149.421,149.421,0,0
20170821,EC-CHEAS,Fonds,147.5353,147.5353,147.5353,147.5353,0,0
20170818,EC-CHEAS,Fonds,147.9408,147.9408,147.9408,147.9408,0,0
20170817,EC-CHEAS,Fonds,149.0506,149.0506,149.0506,149.0506,0,0
20170816,EC-CHEAS,Fonds,148.0331,148.0331,148.0331,148.0331,0,0
20170814,EC-CHEAS,Fonds,146.4101,146.4101,146.4101,146.4101,0,0
20170811,EC-CHEAS,Fonds,145.1403,145.1403,145.1403,145.1403,0,0
20170810,EC-CHEAS,Fonds,148.0162,148.0162,148.0162,148.0162,0,0
20170809,EC-CHEAS,Fonds,151.043,151.043,151.043,151.043,0,0
20170808,EC-CHEAS,Fonds,151.2053,151.2053,151.2053,151.2053,0,0
20170807,EC-CHEAS,Fonds,150.7607,150.7607,150.7607,150.7607,0,0
20170804,EC-CHEAS,Fonds,149.2086,149.2086,149.2086,149.2086,0,0
20170803,EC-CHEAS,Fonds,148.5174,148.5174,148.5174,148.5174,0,0
20170802,EC-CHEAS,Fonds,150.2372,150.2372,150.2372,150.2372,0,0
20170801,EC-CHEAS,Fonds,149.5587,149.5587,149.5587,149.5587,0,0
