quote_date,paper,exch,open,high,low,close,volume,value
20171109,EC-RYSSL,Fonds,1262.45,1262.45,1262.45,1262.45,0,0
20171108,EC-RYSSL,Fonds,1260.10,1260.10,1260.10,1260.10,0,0
20171103,EC-RYSSL,Fonds,1229.71,1229.71,1229.71,1229.71,0,0
20171102,EC-RYSSL,Fonds,1235.12,1235.12,1235.12,1235.12,0,0
20171031,EC-RYSSL,Fonds,1233.42,1233.42,1233.42,1233.42,0,0
20171030,EC-RYSSL,Fonds,1244.19,1244.19,1244.19,1244.19,0,0
20171027,EC-RYSSL,Fonds,1226.22,1226.22,1226.22,1226.22,0,0
20171026,EC-RYSSL,Fonds,1222.32,1222.32,1222.32,1222.32,0,0
20171025,EC-RYSSL,Fonds,1218.26,1218.26,1218.26,1218.26,0,0
20171024,EC-RYSSL,Fonds,1213.56,1213.56,1213.56,1213.56,0,0
20171023,EC-RYSSL,Fonds,1213.31,1213.31,1213.31,1213.31,0,0
20171020,EC-RYSSL,Fonds,1209.03,1209.03,1209.03,1209.03,0,0
20171019,EC-RYSSL,Fonds,1206.14,1206.14,1206.14,1206.14,0,0
20171017,EC-RYSSL,Fonds,1222.94,1222.94,1222.94,1222.94,0,0
20171016,EC-RYSSL,Fonds,1226.44,1226.44,1226.44,1226.44,0,0
20171013,EC-RYSSL,Fonds,1222.87,1222.87,1222.87,1222.87,0,0
20171012,EC-RYSSL,Fonds,1217.75,1217.75,1217.75,1217.75,0,0
20171011,EC-RYSSL,Fonds,1210.56,1210.56,1210.56,1210.56,0,0
20171010,EC-RYSSL,Fonds,1208.13,1208.13,1208.13,1208.13,0,0
20171009,EC-RYSSL,Fonds,1208.58,1208.58,1208.58,1208.58,0,0
20171006,EC-RYSSL,Fonds,1213.54,1213.54,1213.54,1213.54,0,0
20171003,EC-RYSSL,Fonds,1216.18,1216.18,1216.18,1216.18,0,0
20171002,EC-RYSSL,Fonds,1218.72,1218.72,1218.72,1218.72,0,0
20170929,EC-RYSSL,Fonds,1219.04,1219.04,1219.04,1219.04,0,0
20170927,EC-RYSSL,Fonds,1214.33,1214.33,1214.33,1214.33,0,0
20170926,EC-RYSSL,Fonds,1217.03,1217.03,1217.03,1217.03,0,0
20170925,EC-RYSSL,Fonds,1195.20,1195.20,1195.20,1195.20,0,0
20170922,EC-RYSSL,Fonds,1177.16,1177.16,1177.16,1177.16,0,0
20170921,EC-RYSSL,Fonds,1171.51,1171.51,1171.51,1171.51,0,0
20170920,EC-RYSSL,Fonds,1166.44,1166.44,1166.44,1166.44,0,0
20170919,EC-RYSSL,Fonds,1163.27,1163.27,1163.27,1163.27,0,0
20170918,EC-RYSSL,Fonds,1174.79,1174.79,1174.79,1174.79,0,0
20170915,EC-RYSSL,Fonds,1174.46,1174.46,1174.46,1174.46,0,0
20170914,EC-RYSSL,Fonds,1180.82,1180.82,1180.82,1180.82,0,0
20170913,EC-RYSSL,Fonds,1184.88,1184.88,1184.88,1184.88,0,0
20170912,EC-RYSSL,Fonds,1183.81,1183.81,1183.81,1183.81,0,0
20170911,EC-RYSSL,Fonds,1183.99,1183.99,1183.99,1183.99,0,0
20170908,EC-RYSSL,Fonds,1170.79,1170.79,1170.79,1170.79,0,0
20170907,EC-RYSSL,Fonds,1163.36,1163.36,1163.36,1163.36,0,0
20170906,EC-RYSSL,Fonds,1154.47,1154.47,1154.47,1154.47,0,0
20170905,EC-RYSSL,Fonds,1149.79,1149.79,1149.79,1149.79,0,0
20170904,EC-RYSSL,Fonds,1141.53,1141.53,1141.53,1141.53,0,0
20170901,EC-RYSSL,Fonds,1150.74,1150.74,1150.74,1150.74,0,0
20170831,EC-RYSSL,Fonds,1144.42,1144.42,1144.42,1144.42,0,0
20170830,EC-RYSSL,Fonds,1121.38,1121.38,1121.38,1121.38,0,0
20170829,EC-RYSSL,Fonds,1101.69,1101.69,1101.69,1101.69,0,0
20170825,EC-RYSSL,Fonds,1110.62,1110.62,1110.62,1110.62,0,0
20170824,EC-RYSSL,Fonds,1106.82,1106.82,1106.82,1106.82,0,0
20170823,EC-RYSSL,Fonds,1106.18,1106.18,1106.18,1106.18,0,0
20170822,EC-RYSSL,Fonds,1109.40,1109.40,1109.40,1109.40,0,0
20170821,EC-RYSSL,Fonds,1101.39,1101.39,1101.39,1101.39,0,0
20170818,EC-RYSSL,Fonds,1098.11,1098.11,1098.11,1098.11,0,0
20170817,EC-RYSSL,Fonds,1109.91,1109.91,1109.91,1109.91,0,0
20170816,EC-RYSSL,Fonds,1108.99,1108.99,1108.99,1108.99,0,0
20170814,EC-RYSSL,Fonds,1099.24,1099.24,1099.24,1099.24,0,0
20170811,EC-RYSSL,Fonds,1092.43,1092.43,1092.43,1092.43,0,0
20170810,EC-RYSSL,Fonds,1108.50,1108.50,1108.50,1108.50,0,0
20170809,EC-RYSSL,Fonds,1117.01,1117.01,1117.01,1117.01,0,0
20170808,EC-RYSSL,Fonds,1105.79,1105.79,1105.79,1105.79,0,0
20170807,EC-RYSSL,Fonds,1103.12,1103.12,1103.12,1103.12,0,0
20170804,EC-RYSSL,Fonds,1091.30,1091.30,1091.30,1091.30,0,0
20170803,EC-RYSSL,Fonds,1087.92,1087.92,1087.92,1087.92,0,0
20170802,EC-RYSSL,Fonds,1080.33,1080.33,1080.33,1080.33,0,0
20170801,EC-RYSSL,Fonds,1078.17,1078.17,1078.17,1078.17,0,0
20170731,EC-RYSSL,Fonds,1071.89,1071.89,1071.89,1071.89,0,0
20170728,EC-RYSSL,Fonds,1078.02,1078.02,1078.02,1078.02,0,0
20170727,EC-RYSSL,Fonds,1104.16,1104.16,1104.16,1104.16,0,0
20170726,EC-RYSSL,Fonds,1094.60,1094.60,1094.60,1094.60,0,0
20170725,EC-RYSSL,Fonds,1081.17,1081.17,1081.17,1081.17,0,0
20170724,EC-RYSSL,Fonds,1092.92,1092.92,1092.92,1092.92,0,0
