quote_date,paper,exch,open,high,low,close,volume,value
20171109,EK-BALAN,Fonds,3778.7771,3778.7771,3778.7771,3778.7771,0,0
20171108,EK-BALAN,Fonds,3817.0581,3817.0581,3817.0581,3817.0581,0,0
20171107,EK-BALAN,Fonds,3813.04,3813.04,3813.04,3813.04,0,0
20171106,EK-BALAN,Fonds,3816.4701,3816.4701,3816.4701,3816.4701,0,0
20171103,EK-BALAN,Fonds,3814.7052,3814.7052,3814.7052,3814.7052,0,0
20171102,EK-BALAN,Fonds,3808.8377,3808.8377,3808.8377,3808.8377,0,0
20171101,EK-BALAN,Fonds,3817.143,3817.143,3817.143,3817.143,0,0
20171031,EK-BALAN,Fonds,3812.095,3812.095,3812.095,3812.095,0,0
20171030,EK-BALAN,Fonds,3815.3498,3815.3498,3815.3498,3815.3498,0,0
20171027,EK-BALAN,Fonds,3804.0036,3804.0036,3804.0036,3804.0036,0,0
20171026,EK-BALAN,Fonds,3796.7582,3796.7582,3796.7582,3796.7582,0,0
20171025,EK-BALAN,Fonds,3787.8383,3787.8383,3787.8383,3787.8383,0,0
20171024,EK-BALAN,Fonds,3775.2295,3775.2295,3775.2295,3775.2295,0,0
20171023,EK-BALAN,Fonds,3776.5408,3776.5408,3776.5408,3776.5408,0,0
20171020,EK-BALAN,Fonds,3784.0836,3784.0836,3784.0836,3784.0836,0,0
20171019,EK-BALAN,Fonds,3771.0563,3771.0563,3771.0563,3771.0563,0,0
20171018,EK-BALAN,Fonds,3774.1843,3774.1843,3774.1843,3774.1843,0,0
20171017,EK-BALAN,Fonds,3770.4341,3770.4341,3770.4341,3770.4341,0,0
20171016,EK-BALAN,Fonds,3774.1468,3774.1468,3774.1468,3774.1468,0,0
20171013,EK-BALAN,Fonds,3778.7067,3778.7067,3778.7067,3778.7067,0,0
20171012,EK-BALAN,Fonds,3780.2303,3780.2303,3780.2303,3780.2303,0,0
20171011,EK-BALAN,Fonds,3785.7857,3785.7857,3785.7857,3785.7857,0,0
20171010,EK-BALAN,Fonds,3785.0762,3785.0762,3785.0762,3785.0762,0,0
20171009,EK-BALAN,Fonds,3785.2397,3785.2397,3785.2397,3785.2397,0,0
20171006,EK-BALAN,Fonds,3784.9488,3784.9488,3784.9488,3784.9488,0,0
20171005,EK-BALAN,Fonds,3788.3648,3788.3648,3788.3648,3788.3648,0,0
20171004,EK-BALAN,Fonds,3783.1815,3783.1815,3783.1815,3783.1815,0,0
20171003,EK-BALAN,Fonds,3783.967,3783.967,3783.967,3783.967,0,0
20171002,EK-BALAN,Fonds,3776.2632,3776.2632,3776.2632,3776.2632,0,0
20170929,EK-BALAN,Fonds,3775.4466,3775.4466,3775.4466,3775.4466,0,0
20170928,EK-BALAN,Fonds,3775.9509,3775.9509,3775.9509,3775.9509,0,0
20170927,EK-BALAN,Fonds,3766.5948,3766.5948,3766.5948,3766.5948,0,0
20170926,EK-BALAN,Fonds,3751.7807,3751.7807,3751.7807,3751.7807,0,0
20170925,EK-BALAN,Fonds,3757.3993,3757.3993,3757.3993,3757.3993,0,0
