quote_date,paper,exch,open,high,low,close,volume,value
20171109,EK-EGENK,Fonds,212.9362,212.9362,212.9362,212.9362,0,0
20171108,EK-EGENK,Fonds,214.4617,214.4617,214.4617,214.4617,0,0
20171107,EK-EGENK,Fonds,214.3106,214.3106,214.3106,214.3106,0,0
20171106,EK-EGENK,Fonds,214.8546,214.8546,214.8546,214.8546,0,0
20171103,EK-EGENK,Fonds,214.5745,214.5745,214.5745,214.5745,0,0
20171102,EK-EGENK,Fonds,213.3939,213.3939,213.3939,213.3939,0,0
20171101,EK-EGENK,Fonds,214.7059,214.7059,214.7059,214.7059,0,0
20171031,EK-EGENK,Fonds,212.8574,212.8574,212.8574,212.8574,0,0
20171030,EK-EGENK,Fonds,212.379,212.379,212.379,212.379,0,0
20171027,EK-EGENK,Fonds,211.7027,211.7027,211.7027,211.7027,0,0
20171026,EK-EGENK,Fonds,211.5473,211.5473,211.5473,211.5473,0,0
20171025,EK-EGENK,Fonds,210.9085,210.9085,210.9085,210.9085,0,0
20171024,EK-EGENK,Fonds,210.7017,210.7017,210.7017,210.7017,0,0
20171023,EK-EGENK,Fonds,211.0886,211.0886,211.0886,211.0886,0,0
20171020,EK-EGENK,Fonds,210.9083,210.9083,210.9083,210.9083,0,0
20171019,EK-EGENK,Fonds,210.4961,210.4961,210.4961,210.4961,0,0
20171018,EK-EGENK,Fonds,210.2004,210.2004,210.2004,210.2004,0,0
20171017,EK-EGENK,Fonds,209.4675,209.4675,209.4675,209.4675,0,0
20171016,EK-EGENK,Fonds,209.2518,209.2518,209.2518,209.2518,0,0
20171013,EK-EGENK,Fonds,209.8513,209.8513,209.8513,209.8513,0,0
20171012,EK-EGENK,Fonds,209.9969,209.9969,209.9969,209.9969,0,0
20171011,EK-EGENK,Fonds,210.4011,210.4011,210.4011,210.4011,0,0
20171010,EK-EGENK,Fonds,210.7289,210.7289,210.7289,210.7289,0,0
20171009,EK-EGENK,Fonds,210.3944,210.3944,210.3944,210.3944,0,0
20171006,EK-EGENK,Fonds,210.4668,210.4668,210.4668,210.4668,0,0
20171005,EK-EGENK,Fonds,209.2131,209.2131,209.2131,209.2131,0,0
20171004,EK-EGENK,Fonds,209.1823,209.1823,209.1823,209.1823,0,0
20171003,EK-EGENK,Fonds,209.2812,209.2812,209.2812,209.2812,0,0
20171002,EK-EGENK,Fonds,209.0275,209.0275,209.0275,209.0275,0,0
20170929,EK-EGENK,Fonds,209.0093,209.0093,209.0093,209.0093,0,0
20170928,EK-EGENK,Fonds,209.2552,209.2552,209.2552,209.2552,0,0
20170927,EK-EGENK,Fonds,209.1825,209.1825,209.1825,209.1825,0,0
20170926,EK-EGENK,Fonds,208.7049,208.7049,208.7049,208.7049,0,0
20170925,EK-EGENK,Fonds,209.4166,209.4166,209.4166,209.4166,0,0
20170922,EK-EGENK,Fonds,209.2697,209.2697,209.2697,209.2697,0,0
20170921,EK-EGENK,Fonds,208.121,208.121,208.121,208.121,0,0
20170920,EK-EGENK,Fonds,206.8763,206.8763,206.8763,206.8763,0,0
20170919,EK-EGENK,Fonds,207.1278,207.1278,207.1278,207.1278,0,0
20170918,EK-EGENK,Fonds,206.6024,206.6024,206.6024,206.6024,0,0
20170915,EK-EGENK,Fonds,206.418,206.418,206.418,206.418,0,0
20170914,EK-EGENK,Fonds,207.2799,207.2799,207.2799,207.2799,0,0
20170913,EK-EGENK,Fonds,207.7072,207.7072,207.7072,207.7072,0,0
20170908,EK-EGENK,Fonds,205.489,205.489,205.489,205.489,0,0
20170907,EK-EGENK,Fonds,206.232,206.232,206.232,206.232,0,0
20170906,EK-EGENK,Fonds,206.9998,206.9998,206.9998,206.9998,0,0
20170905,EK-EGENK,Fonds,206.8521,206.8521,206.8521,206.8521,0,0
20170904,EK-EGENK,Fonds,207.7614,207.7614,207.7614,207.7614,0,0
20170901,EK-EGENK,Fonds,207.7502,207.7502,207.7502,207.7502,0,0
20170831,EK-EGENK,Fonds,207.5654,207.5654,207.5654,207.5654,0,0
20170830,EK-EGENK,Fonds,206.1873,206.1873,206.1873,206.1873,0,0
20170829,EK-EGENK,Fonds,206.0435,206.0435,206.0435,206.0435,0,0
20170828,EK-EGENK,Fonds,205.884,205.884,205.884,205.884,0,0
20170825,EK-EGENK,Fonds,206.7881,206.7881,206.7881,206.7881,0,0
20170824,EK-EGENK,Fonds,206.0776,206.0776,206.0776,206.0776,0,0
20170823,EK-EGENK,Fonds,205.3119,205.3119,205.3119,205.3119,0,0
20170822,EK-EGENK,Fonds,205.1781,205.1781,205.1781,205.1781,0,0
20170821,EK-EGENK,Fonds,205.2836,205.2836,205.2836,205.2836,0,0
20170818,EK-EGENK,Fonds,204.2321,204.2321,204.2321,204.2321,0,0
20170817,EK-EGENK,Fonds,205.181,205.181,205.181,205.181,0,0
20170816,EK-EGENK,Fonds,206.4954,206.4954,206.4954,206.4954,0,0
20170815,EK-EGENK,Fonds,204.8186,204.8186,204.8186,204.8186,0,0
20170814,EK-EGENK,Fonds,204.9324,204.9324,204.9324,204.9324,0,0
20170811,EK-EGENK,Fonds,203.6582,203.6582,203.6582,203.6582,0,0
20170810,EK-EGENK,Fonds,205.1814,205.1814,205.1814,205.1814,0,0
20170809,EK-EGENK,Fonds,204.3817,204.3817,204.3817,204.3817,0,0
20170808,EK-EGENK,Fonds,204.4576,204.4576,204.4576,204.4576,0,0
20170807,EK-EGENK,Fonds,204.8565,204.8565,204.8565,204.8565,0,0
