quote_date,paper,exch,open,high,low,close,volume,value
20171120,EK-LIKVI,Fonds,1016.5049,1016.5049,1016.5049,1016.5049,0,0
20171117,EK-LIKVI,Fonds,1016.345,1016.345,1016.345,1016.345,0,0
20171116,EK-LIKVI,Fonds,1016.2279,1016.2279,1016.2279,1016.2279,0,0
20171115,EK-LIKVI,Fonds,1016.206,1016.206,1016.206,1016.206,0,0
20171114,EK-LIKVI,Fonds,1016.1475,1016.1475,1016.1475,1016.1475,0,0
20171113,EK-LIKVI,Fonds,1016.0862,1016.0862,1016.0862,1016.0862,0,0
20171110,EK-LIKVI,Fonds,1016.0264,1016.0264,1016.0264,1016.0264,0,0
20171109,EK-LIKVI,Fonds,1016.029,1016.029,1016.029,1016.029,0,0
20171108,EK-LIKVI,Fonds,1016.0226,1016.0226,1016.0226,1016.0226,0,0
20171107,EK-LIKVI,Fonds,1016.1084,1016.1084,1016.1084,1016.1084,0,0
20171106,EK-LIKVI,Fonds,1016.0799,1016.0799,1016.0799,1016.0799,0,0
20171103,EK-LIKVI,Fonds,1015.956,1015.956,1015.956,1015.956,0,0
20171102,EK-LIKVI,Fonds,1015.9283,1015.9283,1015.9283,1015.9283,0,0
20171101,EK-LIKVI,Fonds,1015.94,1015.94,1015.94,1015.94,0,0
20171031,EK-LIKVI,Fonds,1015.9132,1015.9132,1015.9132,1015.9132,0,0
20171030,EK-LIKVI,Fonds,1015.8479,1015.8479,1015.8479,1015.8479,0,0
20171027,EK-LIKVI,Fonds,1015.7516,1015.7516,1015.7516,1015.7516,0,0
20171026,EK-LIKVI,Fonds,1015.706,1015.706,1015.706,1015.706,0,0
20171025,EK-LIKVI,Fonds,1015.7051,1015.7051,1015.7051,1015.7051,0,0
20171024,EK-LIKVI,Fonds,1015.6663,1015.6663,1015.6663,1015.6663,0,0
20171023,EK-LIKVI,Fonds,1015.6598,1015.6598,1015.6598,1015.6598,0,0
20171020,EK-LIKVI,Fonds,1015.6091,1015.6091,1015.6091,1015.6091,0,0
20171019,EK-LIKVI,Fonds,1015.5963,1015.5963,1015.5963,1015.5963,0,0
20171018,EK-LIKVI,Fonds,1015.6322,1015.6322,1015.6322,1015.6322,0,0
20171017,EK-LIKVI,Fonds,1015.5682,1015.5682,1015.5682,1015.5682,0,0
20171016,EK-LIKVI,Fonds,1015.5511,1015.5511,1015.5511,1015.5511,0,0
20171013,EK-LIKVI,Fonds,1015.4805,1015.4805,1015.4805,1015.4805,0,0
20171012,EK-LIKVI,Fonds,1015.503,1015.503,1015.503,1015.503,0,0
20171011,EK-LIKVI,Fonds,1015.5688,1015.5688,1015.5688,1015.5688,0,0
20171010,EK-LIKVI,Fonds,1015.5298,1015.5298,1015.5298,1015.5298,0,0
20171009,EK-LIKVI,Fonds,1015.566,1015.566,1015.566,1015.566,0,0
20171006,EK-LIKVI,Fonds,1015.5111,1015.5111,1015.5111,1015.5111,0,0
20171005,EK-LIKVI,Fonds,1015.4863,1015.4863,1015.4863,1015.4863,0,0
20171004,EK-LIKVI,Fonds,1015.6062,1015.6062,1015.6062,1015.6062,0,0
20171003,EK-LIKVI,Fonds,1015.5799,1015.5799,1015.5799,1015.5799,0,0
20171002,EK-LIKVI,Fonds,1015.5146,1015.5146,1015.5146,1015.5146,0,0
20170929,EK-LIKVI,Fonds,1015.458,1015.458,1015.458,1015.458,0,0
20170928,EK-LIKVI,Fonds,1015.3668,1015.3668,1015.3668,1015.3668,0,0
20170927,EK-LIKVI,Fonds,1015.3535,1015.3535,1015.3535,1015.3535,0,0
20170926,EK-LIKVI,Fonds,1015.3253,1015.3253,1015.3253,1015.3253,0,0
20170925,EK-LIKVI,Fonds,1015.3294,1015.3294,1015.3294,1015.3294,0,0
20170922,EK-LIKVI,Fonds,1015.2015,1015.2015,1015.2015,1015.2015,0,0
20170921,EK-LIKVI,Fonds,1015.1693,1015.1693,1015.1693,1015.1693,0,0
20170920,EK-LIKVI,Fonds,1015.236,1015.236,1015.236,1015.236,0,0
20170919,EK-LIKVI,Fonds,1015.199,1015.199,1015.199,1015.199,0,0
20170918,EK-LIKVI,Fonds,1015.1264,1015.1264,1015.1264,1015.1264,0,0
20170915,EK-LIKVI,Fonds,1014.9689,1014.9689,1014.9689,1014.9689,0,0
20170914,EK-LIKVI,Fonds,1014.9323,1014.9323,1014.9323,1014.9323,0,0
20170913,EK-LIKVI,Fonds,1014.8804,1014.8804,1014.8804,1014.8804,0,0
20170908,EK-LIKVI,Fonds,1014.959,1014.959,1014.959,1014.959,0,0
20170907,EK-LIKVI,Fonds,1014.912,1014.912,1014.912,1014.912,0,0
20170906,EK-LIKVI,Fonds,1014.9102,1014.9102,1014.9102,1014.9102,0,0
20170905,EK-LIKVI,Fonds,1014.8636,1014.8636,1014.8636,1014.8636,0,0
20170904,EK-LIKVI,Fonds,1014.8365,1014.8365,1014.8365,1014.8365,0,0
20170901,EK-LIKVI,Fonds,1014.7454,1014.7454,1014.7454,1014.7454,0,0
20170831,EK-LIKVI,Fonds,1014.6834,1014.6834,1014.6834,1014.6834,0,0
20170830,EK-LIKVI,Fonds,1014.7919,1014.7919,1014.7919,1014.7919,0,0
20170829,EK-LIKVI,Fonds,1014.7962,1014.7962,1014.7962,1014.7962,0,0
20170828,EK-LIKVI,Fonds,1014.7557,1014.7557,1014.7557,1014.7557,0,0
20170825,EK-LIKVI,Fonds,1014.6538,1014.6538,1014.6538,1014.6538,0,0
20170824,EK-LIKVI,Fonds,1014.5304,1014.5304,1014.5304,1014.5304,0,0
20170823,EK-LIKVI,Fonds,1014.4993,1014.4993,1014.4993,1014.4993,0,0
20170822,EK-LIKVI,Fonds,1014.5111,1014.5111,1014.5111,1014.5111,0,0
20170821,EK-LIKVI,Fonds,1014.4211,1014.4211,1014.4211,1014.4211,0,0
20170818,EK-LIKVI,Fonds,1014.2978,1014.2978,1014.2978,1014.2978,0,0
20170817,EK-LIKVI,Fonds,1014.2709,1014.2709,1014.2709,1014.2709,0,0
20170816,EK-LIKVI,Fonds,1014.1988,1014.1988,1014.1988,1014.1988,0,0
20170815,EK-LIKVI,Fonds,1014.1514,1014.1514,1014.1514,1014.1514,0,0
20170814,EK-LIKVI,Fonds,1014.1588,1014.1588,1014.1588,1014.1588,0,0
20170811,EK-LIKVI,Fonds,1014.1132,1014.1132,1014.1132,1014.1132,0,0
20170810,EK-LIKVI,Fonds,1014.1689,1014.1689,1014.1689,1014.1689,0,0
20170809,EK-LIKVI,Fonds,1014.2493,1014.2493,1014.2493,1014.2493,0,0
20170808,EK-LIKVI,Fonds,1014.2108,1014.2108,1014.2108,1014.2108,0,0
20170807,EK-LIKVI,Fonds,1014.1508,1014.1508,1014.1508,1014.1508,0,0
20170804,EK-LIKVI,Fonds,1014.07,1014.07,1014.07,1014.07,0,0
20170803,EK-LIKVI,Fonds,1014.0622,1014.0622,1014.0622,1014.0622,0,0
20170802,EK-LIKVI,Fonds,1013.9838,1013.9838,1013.9838,1013.9838,0,0
