quote_date,paper,exch,open,high,low,close,volume,value
20171109,EK-OBLIG,Fonds,1027.7129,1027.7129,1027.7129,1027.7129,0,0
20171108,EK-OBLIG,Fonds,1028.4756,1028.4756,1028.4756,1028.4756,0,0
20171107,EK-OBLIG,Fonds,1028.0896,1028.0896,1028.0896,1028.0896,0,0
20171106,EK-OBLIG,Fonds,1027.968,1027.968,1027.968,1027.968,0,0
20171103,EK-OBLIG,Fonds,1027.4433,1027.4433,1027.4433,1027.4433,0,0
20171102,EK-OBLIG,Fonds,1027.0433,1027.0433,1027.0433,1027.0433,0,0
20171101,EK-OBLIG,Fonds,1026.7815,1026.7815,1026.7815,1026.7815,0,0
20171031,EK-OBLIG,Fonds,1026.5228,1026.5228,1026.5228,1026.5228,0,0
20171030,EK-OBLIG,Fonds,1026.2973,1026.2973,1026.2973,1026.2973,0,0
20171027,EK-OBLIG,Fonds,1025.453,1025.453,1025.453,1025.453,0,0
20171026,EK-OBLIG,Fonds,1025.368,1025.368,1025.368,1025.368,0,0
20171025,EK-OBLIG,Fonds,1024.7088,1024.7088,1024.7088,1024.7088,0,0
20171024,EK-OBLIG,Fonds,1024.9378,1024.9378,1024.9378,1024.9378,0,0
20171023,EK-OBLIG,Fonds,1025.3245,1025.3245,1025.3245,1025.3245,0,0
20171020,EK-OBLIG,Fonds,1025.0352,1025.0352,1025.0352,1025.0352,0,0
20171019,EK-OBLIG,Fonds,1025.5289,1025.5289,1025.5289,1025.5289,0,0
20171018,EK-OBLIG,Fonds,1025.4097,1025.4097,1025.4097,1025.4097,0,0
20171017,EK-OBLIG,Fonds,1025.5803,1025.5803,1025.5803,1025.5803,0,0
20171016,EK-OBLIG,Fonds,1025.0972,1025.0972,1025.0972,1025.0972,0,0
20171013,EK-OBLIG,Fonds,1024.7294,1024.7294,1024.7294,1024.7294,0,0
20171012,EK-OBLIG,Fonds,1024.1117,1024.1117,1024.1117,1024.1117,0,0
20171011,EK-OBLIG,Fonds,1024.5776,1024.5776,1024.5776,1024.5776,0,0
20171010,EK-OBLIG,Fonds,1024.4979,1024.4979,1024.4979,1024.4979,0,0
20171009,EK-OBLIG,Fonds,1024.8594,1024.8594,1024.8594,1024.8594,0,0
20171006,EK-OBLIG,Fonds,1024.171,1024.171,1024.171,1024.171,0,0
20171005,EK-OBLIG,Fonds,1025.3215,1025.3215,1025.3215,1025.3215,0,0
20171004,EK-OBLIG,Fonds,1025.5154,1025.5154,1025.5154,1025.5154,0,0
20171003,EK-OBLIG,Fonds,1025.0973,1025.0973,1025.0973,1025.0973,0,0
20171002,EK-OBLIG,Fonds,1025.5266,1025.5266,1025.5266,1025.5266,0,0
20170929,EK-OBLIG,Fonds,1025.3786,1025.3786,1025.3786,1025.3786,0,0
20170928,EK-OBLIG,Fonds,1024.8617,1024.8617,1024.8617,1024.8617,0,0
20170927,EK-OBLIG,Fonds,1025.2361,1025.2361,1025.2361,1025.2361,0,0
20170926,EK-OBLIG,Fonds,1025.9263,1025.9263,1025.9263,1025.9263,0,0
20170925,EK-OBLIG,Fonds,1025.8174,1025.8174,1025.8174,1025.8174,0,0
20170922,EK-OBLIG,Fonds,1025.406,1025.406,1025.406,1025.406,0,0
20170921,EK-OBLIG,Fonds,1025.2689,1025.2689,1025.2689,1025.2689,0,0
20170920,EK-OBLIG,Fonds,1026.2635,1026.2635,1026.2635,1026.2635,0,0
20170919,EK-OBLIG,Fonds,1026.3753,1026.3753,1026.3753,1026.3753,0,0
20170918,EK-OBLIG,Fonds,1026.1809,1026.1809,1026.1809,1026.1809,0,0
20170915,EK-OBLIG,Fonds,1026.4709,1026.4709,1026.4709,1026.4709,0,0
20170914,EK-OBLIG,Fonds,1026.8522,1026.8522,1026.8522,1026.8522,0,0
20170913,EK-OBLIG,Fonds,1027.3101,1027.3101,1027.3101,1027.3101,0,0
20170908,EK-OBLIG,Fonds,1027.7002,1027.7002,1027.7002,1027.7002,0,0
20170907,EK-OBLIG,Fonds,1027.0714,1027.0714,1027.0714,1027.0714,0,0
20170906,EK-OBLIG,Fonds,1027.4486,1027.4486,1027.4486,1027.4486,0,0
20170905,EK-OBLIG,Fonds,1026.7705,1026.7705,1026.7705,1026.7705,0,0
20170904,EK-OBLIG,Fonds,1026.2596,1026.2596,1026.2596,1026.2596,0,0
20170901,EK-OBLIG,Fonds,1025.9347,1025.9347,1025.9347,1025.9347,0,0
20170831,EK-OBLIG,Fonds,1025.8967,1025.8967,1025.8967,1025.8967,0,0
20170830,EK-OBLIG,Fonds,1025.8747,1025.8747,1025.8747,1025.8747,0,0
20170829,EK-OBLIG,Fonds,1026.1188,1026.1188,1026.1188,1026.1188,0,0
20170828,EK-OBLIG,Fonds,1025.5544,1025.5544,1025.5544,1025.5544,0,0
20170825,EK-OBLIG,Fonds,1025.1676,1025.1676,1025.1676,1025.1676,0,0
20170824,EK-OBLIG,Fonds,1025.2323,1025.2323,1025.2323,1025.2323,0,0
20170823,EK-OBLIG,Fonds,1025.1419,1025.1419,1025.1419,1025.1419,0,0
20170822,EK-OBLIG,Fonds,1024.8735,1024.8735,1024.8735,1024.8735,0,0
20170821,EK-OBLIG,Fonds,1024.6619,1024.6619,1024.6619,1024.6619,0,0
20170818,EK-OBLIG,Fonds,1024.3726,1024.3726,1024.3726,1024.3726,0,0
20170817,EK-OBLIG,Fonds,1023.8652,1023.8652,1023.8652,1023.8652,0,0
20170816,EK-OBLIG,Fonds,1023.3806,1023.3806,1023.3806,1023.3806,0,0
20170815,EK-OBLIG,Fonds,1023.6641,1023.6641,1023.6641,1023.6641,0,0
20170814,EK-OBLIG,Fonds,1024.6393,1024.6393,1024.6393,1024.6393,0,0
20170811,EK-OBLIG,Fonds,1025.3403,1025.3403,1025.3403,1025.3403,0,0
20170810,EK-OBLIG,Fonds,1025.0685,1025.0685,1025.0685,1025.0685,0,0
20170809,EK-OBLIG,Fonds,1024.925,1024.925,1024.925,1024.925,0,0
20170808,EK-OBLIG,Fonds,1024.0476,1024.0476,1024.0476,1024.0476,0,0
20170807,EK-OBLIG,Fonds,1023.739,1023.739,1023.739,1023.739,0,0
20170804,EK-OBLIG,Fonds,1023.2622,1023.2622,1023.2622,1023.2622,0,0
20170803,EK-OBLIG,Fonds,1022.9404,1022.9404,1022.9404,1022.9404,0,0
20170802,EK-OBLIG,Fonds,1022.5213,1022.5213,1022.5213,1022.5213,0,0
20170801,EK-OBLIG,Fonds,1021.9645,1021.9645,1021.9645,1021.9645,0,0
20170731,EK-OBLIG,Fonds,1021.5503,1021.5503,1021.5503,1021.5503,0,0
20170728,EK-OBLIG,Fonds,1021.3765,1021.3765,1021.3765,1021.3765,0,0
20170727,EK-OBLIG,Fonds,1021.8291,1021.8291,1021.8291,1021.8291,0,0
20170726,EK-OBLIG,Fonds,1021.7348,1021.7348,1021.7348,1021.7348,0,0
20170725,EK-OBLIG,Fonds,1021.4919,1021.4919,1021.4919,1021.4919,0,0
20170724,EK-OBLIG,Fonds,1022.0087,1022.0087,1022.0087,1022.0087,0,0
20170721,EK-OBLIG,Fonds,1021.542,1021.542,1021.542,1021.542,0,0
20170720,EK-OBLIG,Fonds,1021.3699,1021.3699,1021.3699,1021.3699,0,0
20170719,EK-OBLIG,Fonds,1021.1769,1021.1769,1021.1769,1021.1769,0,0
20170718,EK-OBLIG,Fonds,1021.1583,1021.1583,1021.1583,1021.1583,0,0
20170717,EK-OBLIG,Fonds,1021.0387,1021.0387,1021.0387,1021.0387,0,0
20170714,EK-OBLIG,Fonds,1020.6102,1020.6102,1020.6102,1020.6102,0,0
20170713,EK-OBLIG,Fonds,1020.3775,1020.3775,1020.3775,1020.3775,0,0
20170712,EK-OBLIG,Fonds,1020.3398,1020.3398,1020.3398,1020.3398,0,0
20170711,EK-OBLIG,Fonds,1020.0595,1020.0595,1020.0595,1020.0595,0,0
20170710,EK-OBLIG,Fonds,1020.1159,1020.1159,1020.1159,1020.1159,0,0
20170707,EK-OBLIG,Fonds,1019.477,1019.477,1019.477,1019.477,0,0
20170706,EK-OBLIG,Fonds,1019.6318,1019.6318,1019.6318,1019.6318,0,0
20170705,EK-OBLIG,Fonds,1020.4302,1020.4302,1020.4302,1020.4302,0,0
20170704,EK-OBLIG,Fonds,1020.482,1020.482,1020.482,1020.482,0,0
20170703,EK-OBLIG,Fonds,1020.2288,1020.2288,1020.2288,1020.2288,0,0
20170630,EK-OBLIG,Fonds,1019.6968,1019.6968,1019.6968,1019.6968,0,0
20170629,EK-OBLIG,Fonds,1020.1261,1020.1261,1020.1261,1020.1261,0,0
20170627,EK-OBLIG,Fonds,1020.9799,1020.9799,1020.9799,1020.9799,0,0
20170623,EK-OBLIG,Fonds,1021.40,1021.40,1021.40,1021.40,0,0
20170622,EK-OBLIG,Fonds,1021.3378,1021.3378,1021.3378,1021.3378,0,0
20170621,EK-OBLIG,Fonds,1021.372,1021.372,1021.372,1021.372,0,0
20170620,EK-OBLIG,Fonds,1021.0943,1021.0943,1021.0943,1021.0943,0,0
20170619,EK-OBLIG,Fonds,1020.5156,1020.5156,1020.5156,1020.5156,0,0
20170616,EK-OBLIG,Fonds,1020.1772,1020.1772,1020.1772,1020.1772,0,0
20170615,EK-OBLIG,Fonds,1020.1321,1020.1321,1020.1321,1020.1321,0,0
20170614,EK-OBLIG,Fonds,1020.849,1020.849,1020.849,1020.849,0,0
20170613,EK-OBLIG,Fonds,1020.9074,1020.9074,1020.9074,1020.9074,0,0
20170612,EK-OBLIG,Fonds,1021.769,1021.769,1021.769,1021.769,0,0
20170609,EK-OBLIG,Fonds,1021.4448,1021.4448,1021.4448,1021.4448,0,0
20170608,EK-OBLIG,Fonds,1021.3929,1021.3929,1021.3929,1021.3929,0,0
20170607,EK-OBLIG,Fonds,1021.6854,1021.6854,1021.6854,1021.6854,0,0
20170606,EK-OBLIG,Fonds,1021.5514,1021.5514,1021.5514,1021.5514,0,0
20170602,EK-OBLIG,Fonds,1020.8582,1020.8582,1020.8582,1020.8582,0,0
20170601,EK-OBLIG,Fonds,1020.2542,1020.2542,1020.2542,1020.2542,0,0
20170531,EK-OBLIG,Fonds,1020.3431,1020.3431,1020.3431,1020.3431,0,0
20170530,EK-OBLIG,Fonds,1020.1588,1020.1588,1020.1588,1020.1588,0,0
20170529,EK-OBLIG,Fonds,1019.8372,1019.8372,1019.8372,1019.8372,0,0
20170526,EK-OBLIG,Fonds,1019.7853,1019.7853,1019.7853,1019.7853,0,0
20170524,EK-OBLIG,Fonds,1019.6601,1019.6601,1019.6601,1019.6601,0,0
20170523,EK-OBLIG,Fonds,1019.3495,1019.3495,1019.3495,1019.3495,0,0
20170522,EK-OBLIG,Fonds,1019.3126,1019.3126,1019.3126,1019.3126,0,0
20170519,EK-OBLIG,Fonds,1019.1106,1019.1106,1019.1106,1019.1106,0,0
20170518,EK-OBLIG,Fonds,1019.3258,1019.3258,1019.3258,1019.3258,0,0
20170516,EK-OBLIG,Fonds,1018.2382,1018.2382,1018.2382,1018.2382,0,0
20170515,EK-OBLIG,Fonds,1018.188,1018.188,1018.188,1018.188,0,0
20170512,EK-OBLIG,Fonds,1017.7936,1017.7936,1017.7936,1017.7936,0,0
20170511,EK-OBLIG,Fonds,1017.3109,1017.3109,1017.3109,1017.3109,0,0
20170510,EK-OBLIG,Fonds,1017.6925,1017.6925,1017.6925,1017.6925,0,0
20170509,EK-OBLIG,Fonds,1016.8227,1016.8227,1016.8227,1016.8227,0,0
20170508,EK-OBLIG,Fonds,1016.9366,1016.9366,1016.9366,1016.9366,0,0
20170505,EK-OBLIG,Fonds,1016.5037,1016.5037,1016.5037,1016.5037,0,0
20170504,EK-OBLIG,Fonds,1016.3771,1016.3771,1016.3771,1016.3771,0,0
20170503,EK-OBLIG,Fonds,1016.621,1016.621,1016.621,1016.621,0,0
20170502,EK-OBLIG,Fonds,1016.4683,1016.4683,1016.4683,1016.4683,0,0
20170428,EK-OBLIG,Fonds,1016.1681,1016.1681,1016.1681,1016.1681,0,0
20170427,EK-OBLIG,Fonds,1016.3465,1016.3465,1016.3465,1016.3465,0,0
20170426,EK-OBLIG,Fonds,1016.2173,1016.2173,1016.2173,1016.2173,0,0
20170425,EK-OBLIG,Fonds,1016.0826,1016.0826,1016.0826,1016.0826,0,0
20170424,EK-OBLIG,Fonds,1016.0744,1016.0744,1016.0744,1016.0744,0,0
20170421,EK-OBLIG,Fonds,1016.4542,1016.4542,1016.4542,1016.4542,0,0
20170420,EK-OBLIG,Fonds,1016.5623,1016.5623,1016.5623,1016.5623,0,0
20170419,EK-OBLIG,Fonds,1016.808,1016.808,1016.808,1016.808,0,0
20170418,EK-OBLIG,Fonds,1016.8348,1016.8348,1016.8348,1016.8348,0,0
20170412,EK-OBLIG,Fonds,1016.1831,1016.1831,1016.1831,1016.1831,0,0
20170411,EK-OBLIG,Fonds,1016.294,1016.294,1016.294,1016.294,0,0
20170410,EK-OBLIG,Fonds,1016.6763,1016.6763,1016.6763,1016.6763,0,0
20170407,EK-OBLIG,Fonds,1016.692,1016.692,1016.692,1016.692,0,0
20170406,EK-OBLIG,Fonds,1016.4604,1016.4604,1016.4604,1016.4604,0,0
20170405,EK-OBLIG,Fonds,1016.1188,1016.1188,1016.1188,1016.1188,0,0
20170404,EK-OBLIG,Fonds,1016.071,1016.071,1016.071,1016.071,0,0
