quote_date,paper,exch,open,high,low,close,volume,value
20171120,EK-PENSJ,Fonds,2081.6271,2081.6271,2081.6271,2081.6271,0,0
20171117,EK-PENSJ,Fonds,2073.1906,2073.1906,2073.1906,2073.1906,0,0
20171116,EK-PENSJ,Fonds,2074.3055,2074.3055,2074.3055,2074.3055,0,0
20171115,EK-PENSJ,Fonds,2067.0595,2067.0595,2067.0595,2067.0595,0,0
20171114,EK-PENSJ,Fonds,2070.259,2070.259,2070.259,2070.259,0,0
20171113,EK-PENSJ,Fonds,2071.6917,2071.6917,2071.6917,2071.6917,0,0
20171110,EK-PENSJ,Fonds,2073.4092,2073.4092,2073.4092,2073.4092,0,0
20171109,EK-PENSJ,Fonds,2079.5513,2079.5513,2079.5513,2079.5513,0,0
20171108,EK-PENSJ,Fonds,2105.2815,2105.2815,2105.2815,2105.2815,0,0
20171107,EK-PENSJ,Fonds,2104.1795,2104.1795,2104.1795,2104.1795,0,0
20171106,EK-PENSJ,Fonds,2105.7204,2105.7204,2105.7204,2105.7204,0,0
20171103,EK-PENSJ,Fonds,2105.1358,2105.1358,2105.1358,2105.1358,0,0
20171102,EK-PENSJ,Fonds,2097.8636,2097.8636,2097.8636,2097.8636,0,0
20171101,EK-PENSJ,Fonds,2105.3517,2105.3517,2105.3517,2105.3517,0,0
20171031,EK-PENSJ,Fonds,2099.8323,2099.8323,2099.8323,2099.8323,0,0
20171030,EK-PENSJ,Fonds,2097.5614,2097.5614,2097.5614,2097.5614,0,0
20171027,EK-PENSJ,Fonds,2090.3003,2090.3003,2090.3003,2090.3003,0,0
20171026,EK-PENSJ,Fonds,2083.3908,2083.3908,2083.3908,2083.3908,0,0
20171025,EK-PENSJ,Fonds,2068.2451,2068.2451,2068.2451,2068.2451,0,0
20171024,EK-PENSJ,Fonds,2064.0442,2064.0442,2064.0442,2064.0442,0,0
20171023,EK-PENSJ,Fonds,2065.9281,2065.9281,2065.9281,2065.9281,0,0
20171020,EK-PENSJ,Fonds,2070.364,2070.364,2070.364,2070.364,0,0
20171019,EK-PENSJ,Fonds,2060.5349,2060.5349,2060.5349,2060.5349,0,0
20171018,EK-PENSJ,Fonds,2064.7156,2064.7156,2064.7156,2064.7156,0,0
20171017,EK-PENSJ,Fonds,2060.8899,2060.8899,2060.8899,2060.8899,0,0
20171016,EK-PENSJ,Fonds,2058.1334,2058.1334,2058.1334,2058.1334,0,0
20171013,EK-PENSJ,Fonds,2058.9288,2058.9288,2058.9288,2058.9288,0,0
20171012,EK-PENSJ,Fonds,2059.3651,2059.3651,2059.3651,2059.3651,0,0
20171011,EK-PENSJ,Fonds,2063.9474,2063.9474,2063.9474,2063.9474,0,0
20171010,EK-PENSJ,Fonds,2060.8921,2060.8921,2060.8921,2060.8921,0,0
20171009,EK-PENSJ,Fonds,2061.2662,2061.2662,2061.2662,2061.2662,0,0
20171006,EK-PENSJ,Fonds,2061.7541,2061.7541,2061.7541,2061.7541,0,0
20171005,EK-PENSJ,Fonds,2064.3985,2064.3985,2064.3985,2064.3985,0,0
20171004,EK-PENSJ,Fonds,2056.7917,2056.7917,2056.7917,2056.7917,0,0
20171003,EK-PENSJ,Fonds,2057.0768,2057.0768,2057.0768,2057.0768,0,0
20171002,EK-PENSJ,Fonds,2053.7121,2053.7121,2053.7121,2053.7121,0,0
20170929,EK-PENSJ,Fonds,2048.6227,2048.6227,2048.6227,2048.6227,0,0
