quote_date,paper,exch,open,high,low,close,volume,value
20171109,FF-DIHR,Fonds,1132.8679,1132.8679,1132.8679,1132.8679,0,0
20171108,FF-DIHR,Fonds,1132.9819,1132.9819,1132.9819,1132.9819,0,0
20171107,FF-DIHR,Fonds,1133.1235,1133.1235,1133.1235,1133.1235,0,0
20171106,FF-DIHR,Fonds,1132.7466,1132.7466,1132.7466,1132.7466,0,0
20171103,FF-DIHR,Fonds,1132.4408,1132.4408,1132.4408,1132.4408,0,0
20171102,FF-DIHR,Fonds,1132.5441,1132.5441,1132.5441,1132.5441,0,0
20171101,FF-DIHR,Fonds,1132.0233,1132.0233,1132.0233,1132.0233,0,0
20171031,FF-DIHR,Fonds,1131.8372,1131.8372,1131.8372,1131.8372,0,0
20171030,FF-DIHR,Fonds,1131.8902,1131.8902,1131.8902,1131.8902,0,0
20171027,FF-DIHR,Fonds,1131.5142,1131.5142,1131.5142,1131.5142,0,0
20171026,FF-DIHR,Fonds,1131.471,1131.471,1131.471,1131.471,0,0
20171025,FF-DIHR,Fonds,1131.2012,1131.2012,1131.2012,1131.2012,0,0
20171024,FF-DIHR,Fonds,1131.2718,1131.2718,1131.2718,1131.2718,0,0
20171023,FF-DIHR,Fonds,1131.1927,1131.1927,1131.1927,1131.1927,0,0
20171020,FF-DIHR,Fonds,1131.0083,1131.0083,1131.0083,1131.0083,0,0
20171019,FF-DIHR,Fonds,1131.1403,1131.1403,1131.1403,1131.1403,0,0
20171018,FF-DIHR,Fonds,1130.9698,1130.9698,1130.9698,1130.9698,0,0
20171017,FF-DIHR,Fonds,1130.8036,1130.8036,1130.8036,1130.8036,0,0
20171016,FF-DIHR,Fonds,1130.4454,1130.4454,1130.4454,1130.4454,0,0
20171013,FF-DIHR,Fonds,1130.7168,1130.7168,1130.7168,1130.7168,0,0
20171012,FF-DIHR,Fonds,1130.4294,1130.4294,1130.4294,1130.4294,0,0
20171011,FF-DIHR,Fonds,1131.2131,1131.2131,1131.2131,1131.2131,0,0
20171010,FF-DIHR,Fonds,1131.3558,1131.3558,1131.3558,1131.3558,0,0
20171006,FF-DIHR,Fonds,1131.3005,1131.3005,1131.3005,1131.3005,0,0
20171005,FF-DIHR,Fonds,1131.4854,1131.4854,1131.4854,1131.4854,0,0
20171004,FF-DIHR,Fonds,1131.3691,1131.3691,1131.3691,1131.3691,0,0
20171003,FF-DIHR,Fonds,1131.7582,1131.7582,1131.7582,1131.7582,0,0
