quote_date,paper,exch,open,high,low,close,volume,value
20171109,FF-IVH35,Fonds,1342.3293,1342.3293,1342.3293,1342.3293,0,0
20171108,FF-IVH35,Fonds,1347.9366,1347.9366,1347.9366,1347.9366,0,0
20171107,FF-IVH35,Fonds,1348.4285,1348.4285,1348.4285,1348.4285,0,0
20171106,FF-IVH35,Fonds,1345.4455,1345.4455,1345.4455,1345.4455,0,0
20171103,FF-IVH35,Fonds,1346.5489,1346.5489,1346.5489,1346.5489,0,0
20171102,FF-IVH35,Fonds,1344.1159,1344.1159,1344.1159,1344.1159,0,0
20171101,FF-IVH35,Fonds,1345.1251,1345.1251,1345.1251,1345.1251,0,0
20171031,FF-IVH35,Fonds,1344.1819,1344.1819,1344.1819,1344.1819,0,0
20171030,FF-IVH35,Fonds,1342.8182,1342.8182,1342.8182,1342.8182,0,0
20171027,FF-IVH35,Fonds,1341.6951,1341.6951,1341.6951,1341.6951,0,0
20171026,FF-IVH35,Fonds,1333.9484,1333.9484,1333.9484,1333.9484,0,0
20171025,FF-IVH35,Fonds,1333.4597,1333.4597,1333.4597,1333.4597,0,0
20171024,FF-IVH35,Fonds,1330.0844,1330.0844,1330.0844,1330.0844,0,0
20171023,FF-IVH35,Fonds,1331.4895,1331.4895,1331.4895,1331.4895,0,0
20171020,FF-IVH35,Fonds,1331.5167,1331.5167,1331.5167,1331.5167,0,0
20171019,FF-IVH35,Fonds,1329.0579,1329.0579,1329.0579,1329.0579,0,0
20171018,FF-IVH35,Fonds,1329.4128,1329.4128,1329.4128,1329.4128,0,0
20171017,FF-IVH35,Fonds,1326.6347,1326.6347,1326.6347,1326.6347,0,0
20171016,FF-IVH35,Fonds,1326.585,1326.585,1326.585,1326.585,0,0
20171013,FF-IVH35,Fonds,1326.0016,1326.0016,1326.0016,1326.0016,0,0
20171012,FF-IVH35,Fonds,1327.0106,1327.0106,1327.0106,1327.0106,0,0
20171011,FF-IVH35,Fonds,1327.446,1327.446,1327.446,1327.446,0,0
20171010,FF-IVH35,Fonds,1327.1269,1327.1269,1327.1269,1327.1269,0,0
20171006,FF-IVH35,Fonds,1329.828,1329.828,1329.828,1329.828,0,0
20171005,FF-IVH35,Fonds,1326.7824,1326.7824,1326.7824,1326.7824,0,0
20171004,FF-IVH35,Fonds,1324.1755,1324.1755,1324.1755,1324.1755,0,0
20171003,FF-IVH35,Fonds,1326.5257,1326.5257,1326.5257,1326.5257,0,0
20171002,FF-IVH35,Fonds,1325.5247,1325.5247,1325.5247,1325.5247,0,0
20170929,FF-IVH35,Fonds,1324.9156,1324.9156,1324.9156,1324.9156,0,0
