quote_date,paper,exch,open,high,low,close,volume,value
20171121,FF-NLOMF,Fonds,1033.8091,1033.8091,1033.8091,1033.8091,0,0
20171120,FF-NLOMF,Fonds,1033.8312,1033.8312,1033.8312,1033.8312,0,0
20171117,FF-NLOMF,Fonds,1033.6887,1033.6887,1033.6887,1033.6887,0,0
20171116,FF-NLOMF,Fonds,1033.6174,1033.6174,1033.6174,1033.6174,0,0
20171115,FF-NLOMF,Fonds,1033.5781,1033.5781,1033.5781,1033.5781,0,0
20171114,FF-NLOMF,Fonds,1033.5354,1033.5354,1033.5354,1033.5354,0,0
20171113,FF-NLOMF,Fonds,1033.4599,1033.4599,1033.4599,1033.4599,0,0
20171110,FF-NLOMF,Fonds,1033.3428,1033.3428,1033.3428,1033.3428,0,0
20171109,FF-NLOMF,Fonds,1033.3152,1033.3152,1033.3152,1033.3152,0,0
20171108,FF-NLOMF,Fonds,1033.0381,1033.0381,1033.0381,1033.0381,0,0
20171107,FF-NLOMF,Fonds,1033.0251,1033.0251,1033.0251,1033.0251,0,0
20171106,FF-NLOMF,Fonds,1032.9389,1032.9389,1032.9389,1032.9389,0,0
20171103,FF-NLOMF,Fonds,1032.7794,1032.7794,1032.7794,1032.7794,0,0
20171102,FF-NLOMF,Fonds,1032.7328,1032.7328,1032.7328,1032.7328,0,0
20171101,FF-NLOMF,Fonds,1032.6872,1032.6872,1032.6872,1032.6872,0,0
20171031,FF-NLOMF,Fonds,1032.5515,1032.5515,1032.5515,1032.5515,0,0
20171030,FF-NLOMF,Fonds,1032.5044,1032.5044,1032.5044,1032.5044,0,0
20171027,FF-NLOMF,Fonds,1032.356,1032.356,1032.356,1032.356,0,0
20171026,FF-NLOMF,Fonds,1032.3261,1032.3261,1032.3261,1032.3261,0,0
20171025,FF-NLOMF,Fonds,1032.34,1032.34,1032.34,1032.34,0,0
20171024,FF-NLOMF,Fonds,1032.2767,1032.2767,1032.2767,1032.2767,0,0
20171023,FF-NLOMF,Fonds,1032.2394,1032.2394,1032.2394,1032.2394,0,0
20171020,FF-NLOMF,Fonds,1032.1121,1032.1121,1032.1121,1032.1121,0,0
20171019,FF-NLOMF,Fonds,1032.1084,1032.1084,1032.1084,1032.1084,0,0
20171018,FF-NLOMF,Fonds,1032.0495,1032.0495,1032.0495,1032.0495,0,0
20171017,FF-NLOMF,Fonds,1031.9895,1031.9895,1031.9895,1031.9895,0,0
20171016,FF-NLOMF,Fonds,1031.9642,1031.9642,1031.9642,1031.9642,0,0
20171013,FF-NLOMF,Fonds,1031.827,1031.827,1031.827,1031.827,0,0
20171012,FF-NLOMF,Fonds,1031.8521,1031.8521,1031.8521,1031.8521,0,0
20171011,FF-NLOMF,Fonds,1032.0877,1032.0877,1032.0877,1032.0877,0,0
