quote_date,paper,exch,open,high,low,close,volume,value
20171109,FF-NOBLI,Fonds,1105.2843,1105.2843,1105.2843,1105.2843,0,0
20171108,FF-NOBLI,Fonds,1105.8054,1105.8054,1105.8054,1105.8054,0,0
20171107,FF-NOBLI,Fonds,1105.5219,1105.5219,1105.5219,1105.5219,0,0
20171106,FF-NOBLI,Fonds,1105.3571,1105.3571,1105.3571,1105.3571,0,0
20171103,FF-NOBLI,Fonds,1104.9298,1104.9298,1104.9298,1104.9298,0,0
20171102,FF-NOBLI,Fonds,1104.6375,1104.6375,1104.6375,1104.6375,0,0
20171101,FF-NOBLI,Fonds,1104.3475,1104.3475,1104.3475,1104.3475,0,0
20171031,FF-NOBLI,Fonds,1104.1216,1104.1216,1104.1216,1104.1216,0,0
20171030,FF-NOBLI,Fonds,1104.0378,1104.0378,1104.0378,1104.0378,0,0
20171027,FF-NOBLI,Fonds,1103.3484,1103.3484,1103.3484,1103.3484,0,0
20171026,FF-NOBLI,Fonds,1103.2503,1103.2503,1103.2503,1103.2503,0,0
20171025,FF-NOBLI,Fonds,1102.7455,1102.7455,1102.7455,1102.7455,0,0
20171024,FF-NOBLI,Fonds,1102.8609,1102.8609,1102.8609,1102.8609,0,0
20171023,FF-NOBLI,Fonds,1103.1719,1103.1719,1103.1719,1103.1719,0,0
20171020,FF-NOBLI,Fonds,1102.937,1102.937,1102.937,1102.937,0,0
20171019,FF-NOBLI,Fonds,1103.2193,1103.2193,1103.2193,1103.2193,0,0
20171018,FF-NOBLI,Fonds,1103.0274,1103.0274,1103.0274,1103.0274,0,0
20171017,FF-NOBLI,Fonds,1103.1528,1103.1528,1103.1528,1103.1528,0,0
20171016,FF-NOBLI,Fonds,1102.6415,1102.6415,1102.6415,1102.6415,0,0
20171013,FF-NOBLI,Fonds,1102.3113,1102.3113,1102.3113,1102.3113,0,0
20171012,FF-NOBLI,Fonds,1101.8526,1101.8526,1101.8526,1101.8526,0,0
20171011,FF-NOBLI,Fonds,1102.8666,1102.8666,1102.8666,1102.8666,0,0
20171010,FF-NOBLI,Fonds,1102.9912,1102.9912,1102.9912,1102.9912,0,0
20171009,FF-NOBLI,Fonds,1103.2679,1103.2679,1103.2679,1103.2679,0,0
20171006,FF-NOBLI,Fonds,1102.8403,1102.8403,1102.8403,1102.8403,0,0
