quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-AMAUS,Fonds,22.38,22.38,22.38,22.38,0,0
20171108,FI-AMAUS,Fonds,22.39,22.39,22.39,22.39,0,0
20171107,FI-AMAUS,Fonds,22.43,22.43,22.43,22.43,0,0
20171106,FI-AMAUS,Fonds,22.44,22.44,22.44,22.44,0,0
20171103,FI-AMAUS,Fonds,22.50,22.50,22.50,22.50,0,0
20171102,FI-AMAUS,Fonds,22.53,22.53,22.53,22.53,0,0
20171031,FI-AMAUS,Fonds,22.50,22.50,22.50,22.50,0,0
20171030,FI-AMAUS,Fonds,22.56,22.56,22.56,22.56,0,0
20171027,FI-AMAUS,Fonds,22.61,22.61,22.61,22.61,0,0
20171026,FI-AMAUS,Fonds,22.58,22.58,22.58,22.58,0,0
20171025,FI-AMAUS,Fonds,22.76,22.76,22.76,22.76,0,0
20171024,FI-AMAUS,Fonds,22.79,22.79,22.79,22.79,0,0
20171023,FI-AMAUS,Fonds,22.75,22.75,22.75,22.75,0,0
20171020,FI-AMAUS,Fonds,22.58,22.58,22.58,22.58,0,0
20171019,FI-AMAUS,Fonds,22.59,22.59,22.59,22.59,0,0
20171018,FI-AMAUS,Fonds,22.45,22.45,22.45,22.45,0,0
20171017,FI-AMAUS,Fonds,22.47,22.47,22.47,22.47,0,0
20171016,FI-AMAUS,Fonds,22.50,22.50,22.50,22.50,0,0
20171013,FI-AMAUS,Fonds,22.49,22.49,22.49,22.49,0,0
20171012,FI-AMAUS,Fonds,22.50,22.50,22.50,22.50,0,0
20171011,FI-AMAUS,Fonds,22.53,22.53,22.53,22.53,0,0
20171010,FI-AMAUS,Fonds,22.51,22.51,22.51,22.51,0,0
20171009,FI-AMAUS,Fonds,22.59,22.59,22.59,22.59,0,0
20171006,FI-AMAUS,Fonds,22.68,22.68,22.68,22.68,0,0
20171005,FI-AMAUS,Fonds,22.65,22.65,22.65,22.65,0,0
20171004,FI-AMAUS,Fonds,22.54,22.54,22.54,22.54,0,0
20171003,FI-AMAUS,Fonds,22.45,22.45,22.45,22.45,0,0
20171002,FI-AMAUS,Fonds,22.35,22.35,22.35,22.35,0,0
20170929,FI-AMAUS,Fonds,22.30,22.30,22.30,22.30,0,0
20170928,FI-AMAUS,Fonds,22.24,22.24,22.24,22.24,0,0
20170927,FI-AMAUS,Fonds,22.24,22.24,22.24,22.24,0,0
20170926,FI-AMAUS,Fonds,22.17,22.17,22.17,22.17,0,0
20170925,FI-AMAUS,Fonds,22.17,22.17,22.17,22.17,0,0
20170921,FI-AMAUS,Fonds,22.16,22.16,22.16,22.16,0,0
20170920,FI-AMAUS,Fonds,22.14,22.14,22.14,22.14,0,0
20170919,FI-AMAUS,Fonds,22.14,22.14,22.14,22.14,0,0
20170918,FI-AMAUS,Fonds,22.07,22.07,22.07,22.07,0,0
20170915,FI-AMAUS,Fonds,22.15,22.15,22.15,22.15,0,0
20170914,FI-AMAUS,Fonds,22.17,22.17,22.17,22.17,0,0
20170913,FI-AMAUS,Fonds,22.15,22.15,22.15,22.15,0,0
20170911,FI-AMAUS,Fonds,21.79,21.79,21.79,21.79,0,0
20170908,FI-AMAUS,Fonds,21.73,21.73,21.73,21.73,0,0
20170907,FI-AMAUS,Fonds,21.78,21.78,21.78,21.78,0,0
20170906,FI-AMAUS,Fonds,21.81,21.81,21.81,21.81,0,0
20170905,FI-AMAUS,Fonds,21.92,21.92,21.92,21.92,0,0
20170904,FI-AMAUS,Fonds,21.95,21.95,21.95,21.95,0,0
20170901,FI-AMAUS,Fonds,21.85,21.85,21.85,21.85,0,0
20170831,FI-AMAUS,Fonds,21.76,21.76,21.76,21.76,0,0
20170830,FI-AMAUS,Fonds,21.66,21.66,21.66,21.66,0,0
20170829,FI-AMAUS,Fonds,21.73,21.73,21.73,21.73,0,0
20170825,FI-AMAUS,Fonds,21.72,21.72,21.72,21.72,0,0
20170824,FI-AMAUS,Fonds,21.70,21.70,21.70,21.70,0,0
20170823,FI-AMAUS,Fonds,21.66,21.66,21.66,21.66,0,0
20170822,FI-AMAUS,Fonds,21.50,21.50,21.50,21.50,0,0
20170821,FI-AMAUS,Fonds,21.54,21.54,21.54,21.54,0,0
20170818,FI-AMAUS,Fonds,21.72,21.72,21.72,21.72,0,0
20170817,FI-AMAUS,Fonds,21.82,21.82,21.82,21.82,0,0
20170816,FI-AMAUS,Fonds,21.75,21.75,21.75,21.75,0,0
20170815,FI-AMAUS,Fonds,21.78,21.78,21.78,21.78,0,0
20170814,FI-AMAUS,Fonds,21.62,21.62,21.62,21.62,0,0
20170811,FI-AMAUS,Fonds,21.74,21.74,21.74,21.74,0,0
20170810,FI-AMAUS,Fonds,21.88,21.88,21.88,21.88,0,0
20170809,FI-AMAUS,Fonds,22.05,22.05,22.05,22.05,0,0
20170808,FI-AMAUS,Fonds,22.00,22.00,22.00,22.00,0,0
20170807,FI-AMAUS,Fonds,22.02,22.02,22.02,22.02,0,0
20170804,FI-AMAUS,Fonds,22.02,22.02,22.02,22.02,0,0
20170803,FI-AMAUS,Fonds,22.11,22.11,22.11,22.11,0,0
20170802,FI-AMAUS,Fonds,22.18,22.18,22.18,22.18,0,0
20170801,FI-AMAUS,Fonds,22.21,22.21,22.21,22.21,0,0
20170731,FI-AMAUS,Fonds,22.15,22.15,22.15,22.15,0,0
20170727,FI-AMAUS,Fonds,22.23,22.23,22.23,22.23,0,0
20170725,FI-AMAUS,Fonds,22.34,22.34,22.34,22.34,0,0
20170724,FI-AMAUS,Fonds,22.18,22.18,22.18,22.18,0,0
20170720,FI-AMAUS,Fonds,22.23,22.23,22.23,22.23,0,0
20170719,FI-AMAUS,Fonds,22.06,22.06,22.06,22.06,0,0
20170718,FI-AMAUS,Fonds,22.22,22.22,22.22,22.22,0,0
20170717,FI-AMAUS,Fonds,22.13,22.13,22.13,22.13,0,0
20170714,FI-AMAUS,Fonds,22.09,22.09,22.09,22.09,0,0
20170713,FI-AMAUS,Fonds,22.05,22.05,22.05,22.05,0,0
20170712,FI-AMAUS,Fonds,21.95,21.95,21.95,21.95,0,0
20170711,FI-AMAUS,Fonds,22.04,22.04,22.04,22.04,0,0
20170710,FI-AMAUS,Fonds,21.96,21.96,21.96,21.96,0,0
20170707,FI-AMAUS,Fonds,21.99,21.99,21.99,21.99,0,0
20170706,FI-AMAUS,Fonds,22.08,22.08,22.08,22.08,0,0
20170705,FI-AMAUS,Fonds,22.16,22.16,22.16,22.16,0,0
20170704,FI-AMAUS,Fonds,22.24,22.24,22.24,22.24,0,0
20170703,FI-AMAUS,Fonds,22.03,22.03,22.03,22.03,0,0
20170630,FI-AMAUS,Fonds,22.03,22.03,22.03,22.03,0,0
20170629,FI-AMAUS,Fonds,22.16,22.16,22.16,22.16,0,0
20170628,FI-AMAUS,Fonds,22.14,22.14,22.14,22.14,0,0
20170627,FI-AMAUS,Fonds,22.15,22.15,22.15,22.15,0,0
20170626,FI-AMAUS,Fonds,22.11,22.11,22.11,22.11,0,0
20170623,FI-AMAUS,Fonds,22.13,22.13,22.13,22.13,0,0
20170622,FI-AMAUS,Fonds,22.01,22.01,22.01,22.01,0,0
20170621,FI-AMAUS,Fonds,22.03,22.03,22.03,22.03,0,0
20170620,FI-AMAUS,Fonds,22.07,22.07,22.07,22.07,0,0
20170619,FI-AMAUS,Fonds,21.91,21.91,21.91,21.91,0,0
20170616,FI-AMAUS,Fonds,21.90,21.90,21.90,21.90,0,0
20170615,FI-AMAUS,Fonds,21.98,21.98,21.98,21.98,0,0
20170614,FI-AMAUS,Fonds,22.03,22.03,22.03,22.03,0,0
20170613,FI-AMAUS,Fonds,21.93,21.93,21.93,21.93,0,0
20170612,FI-AMAUS,Fonds,21.95,21.95,21.95,21.95,0,0
20170609,FI-AMAUS,Fonds,21.83,21.83,21.83,21.83,0,0
20170608,FI-AMAUS,Fonds,21.85,21.85,21.85,21.85,0,0
20170607,FI-AMAUS,Fonds,21.91,21.91,21.91,21.91,0,0
20170606,FI-AMAUS,Fonds,22.01,22.01,22.01,22.01,0,0
20170601,FI-AMAUS,Fonds,21.97,21.97,21.97,21.97,0,0
