quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-AMDIU,Fonds,23.45,23.45,23.45,23.45,0,0
20171117,FI-AMDIU,Fonds,23.49,23.49,23.49,23.49,0,0
20171116,FI-AMDIU,Fonds,23.36,23.36,23.36,23.36,0,0
20171115,FI-AMDIU,Fonds,23.42,23.42,23.42,23.42,0,0
20171114,FI-AMDIU,Fonds,23.49,23.49,23.49,23.49,0,0
20171113,FI-AMDIU,Fonds,23.48,23.48,23.48,23.48,0,0
20171110,FI-AMDIU,Fonds,23.47,23.47,23.47,23.47,0,0
20171109,FI-AMDIU,Fonds,23.66,23.66,23.66,23.66,0,0
20171108,FI-AMDIU,Fonds,23.62,23.62,23.62,23.62,0,0
20171107,FI-AMDIU,Fonds,23.70,23.70,23.70,23.70,0,0
20171106,FI-AMDIU,Fonds,23.64,23.64,23.64,23.64,0,0
20171103,FI-AMDIU,Fonds,23.58,23.58,23.58,23.58,0,0
20171102,FI-AMDIU,Fonds,23.59,23.59,23.59,23.59,0,0
20171031,FI-AMDIU,Fonds,23.56,23.56,23.56,23.56,0,0
20171030,FI-AMDIU,Fonds,23.63,23.63,23.63,23.63,0,0
20171027,FI-AMDIU,Fonds,23.51,23.51,23.51,23.51,0,0
20171026,FI-AMDIU,Fonds,23.35,23.35,23.35,23.35,0,0
20171025,FI-AMDIU,Fonds,23.53,23.53,23.53,23.53,0,0
20171024,FI-AMDIU,Fonds,23.56,23.56,23.56,23.56,0,0
20171023,FI-AMDIU,Fonds,23.55,23.55,23.55,23.55,0,0
20171020,FI-AMDIU,Fonds,23.40,23.40,23.40,23.40,0,0
20171019,FI-AMDIU,Fonds,23.48,23.48,23.48,23.48,0,0
20171018,FI-AMDIU,Fonds,23.44,23.44,23.44,23.44,0,0
20171017,FI-AMDIU,Fonds,23.45,23.45,23.45,23.45,0,0
20171016,FI-AMDIU,Fonds,23.46,23.46,23.46,23.46,0,0
20171013,FI-AMDIU,Fonds,23.47,23.47,23.47,23.47,0,0
20171012,FI-AMDIU,Fonds,23.46,23.46,23.46,23.46,0,0
20171011,FI-AMDIU,Fonds,23.41,23.41,23.41,23.41,0,0
20171010,FI-AMDIU,Fonds,23.44,23.44,23.44,23.44,0,0
20171009,FI-AMDIU,Fonds,23.42,23.42,23.42,23.42,0,0
20171006,FI-AMDIU,Fonds,23.47,23.47,23.47,23.47,0,0
20171005,FI-AMDIU,Fonds,23.38,23.38,23.38,23.38,0,0
20171004,FI-AMDIU,Fonds,23.31,23.31,23.31,23.31,0,0
20171003,FI-AMDIU,Fonds,23.22,23.22,23.22,23.22,0,0
20171002,FI-AMDIU,Fonds,23.16,23.16,23.16,23.16,0,0
20170929,FI-AMDIU,Fonds,23.08,23.08,23.08,23.08,0,0
20170928,FI-AMDIU,Fonds,23.02,23.02,23.02,23.02,0,0
20170927,FI-AMDIU,Fonds,23.00,23.00,23.00,23.00,0,0
20170926,FI-AMDIU,Fonds,22.94,22.94,22.94,22.94,0,0
20170925,FI-AMDIU,Fonds,23.01,23.01,23.01,23.01,0,0
20170921,FI-AMDIU,Fonds,23.07,23.07,23.07,23.07,0,0
20170920,FI-AMDIU,Fonds,23.05,23.05,23.05,23.05,0,0
20170919,FI-AMDIU,Fonds,23.06,23.06,23.06,23.06,0,0
20170918,FI-AMDIU,Fonds,22.98,22.98,22.98,22.98,0,0
20170915,FI-AMDIU,Fonds,23.02,23.02,23.02,23.02,0,0
20170914,FI-AMDIU,Fonds,22.99,22.99,22.99,22.99,0,0
20170913,FI-AMDIU,Fonds,23.00,23.00,23.00,23.00,0,0
20170911,FI-AMDIU,Fonds,22.71,22.71,22.71,22.71,0,0
