quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-ASHYA,Fonds,17.54,17.54,17.54,17.54,0,0
20171108,FI-ASHYA,Fonds,17.54,17.54,17.54,17.54,0,0
20171107,FI-ASHYA,Fonds,17.54,17.54,17.54,17.54,0,0
20171106,FI-ASHYA,Fonds,17.53,17.53,17.53,17.53,0,0
20171103,FI-ASHYA,Fonds,17.53,17.53,17.53,17.53,0,0
20171102,FI-ASHYA,Fonds,17.52,17.52,17.52,17.52,0,0
20171031,FI-ASHYA,Fonds,17.52,17.52,17.52,17.52,0,0
20171030,FI-ASHYA,Fonds,17.51,17.51,17.51,17.51,0,0
20171027,FI-ASHYA,Fonds,17.51,17.51,17.51,17.51,0,0
20171026,FI-ASHYA,Fonds,17.52,17.52,17.52,17.52,0,0
20171025,FI-ASHYA,Fonds,17.53,17.53,17.53,17.53,0,0
20171024,FI-ASHYA,Fonds,17.52,17.52,17.52,17.52,0,0
20171023,FI-ASHYA,Fonds,17.51,17.51,17.51,17.51,0,0
20171020,FI-ASHYA,Fonds,17.52,17.52,17.52,17.52,0,0
20171019,FI-ASHYA,Fonds,17.52,17.52,17.52,17.52,0,0
20171018,FI-ASHYA,Fonds,17.51,17.51,17.51,17.51,0,0
20171017,FI-ASHYA,Fonds,17.51,17.51,17.51,17.51,0,0
20171016,FI-ASHYA,Fonds,17.49,17.49,17.49,17.49,0,0
20171013,FI-ASHYA,Fonds,17.48,17.48,17.48,17.48,0,0
20171012,FI-ASHYA,Fonds,17.47,17.47,17.47,17.47,0,0
20171011,FI-ASHYA,Fonds,17.46,17.46,17.46,17.46,0,0
20171010,FI-ASHYA,Fonds,17.45,17.45,17.45,17.45,0,0
20171009,FI-ASHYA,Fonds,17.44,17.44,17.44,17.44,0,0
20171006,FI-ASHYA,Fonds,17.44,17.44,17.44,17.44,0,0
20171005,FI-ASHYA,Fonds,17.43,17.43,17.43,17.43,0,0
20171004,FI-ASHYA,Fonds,17.42,17.42,17.42,17.42,0,0
