quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-ELCAE,Fonds,16.34,16.34,16.34,16.34,0,0
20171117,FI-ELCAE,Fonds,16.45,16.45,16.45,16.45,0,0
20171116,FI-ELCAE,Fonds,16.22,16.22,16.22,16.22,0,0
20171115,FI-ELCAE,Fonds,16.32,16.32,16.32,16.32,0,0
20171114,FI-ELCAE,Fonds,16.40,16.40,16.40,16.40,0,0
20171113,FI-ELCAE,Fonds,16.58,16.58,16.58,16.58,0,0
20171110,FI-ELCAE,Fonds,16.58,16.58,16.58,16.58,0,0
20171109,FI-ELCAE,Fonds,16.75,16.75,16.75,16.75,0,0
20171108,FI-ELCAE,Fonds,16.81,16.81,16.81,16.81,0,0
20171107,FI-ELCAE,Fonds,16.89,16.89,16.89,16.89,0,0
20171106,FI-ELCAE,Fonds,16.83,16.83,16.83,16.83,0,0
20171103,FI-ELCAE,Fonds,16.74,16.74,16.74,16.74,0,0
20171102,FI-ELCAE,Fonds,16.80,16.80,16.80,16.80,0,0
20171031,FI-ELCAE,Fonds,16.71,16.71,16.71,16.71,0,0
20171030,FI-ELCAE,Fonds,16.68,16.68,16.68,16.68,0,0
20171027,FI-ELCAE,Fonds,16.56,16.56,16.56,16.56,0,0
20171026,FI-ELCAE,Fonds,16.42,16.42,16.42,16.42,0,0
20171025,FI-ELCAE,Fonds,16.45,16.45,16.45,16.45,0,0
20171024,FI-ELCAE,Fonds,16.57,16.57,16.57,16.57,0,0
20171023,FI-ELCAE,Fonds,16.52,16.52,16.52,16.52,0,0
20171020,FI-ELCAE,Fonds,16.46,16.46,16.46,16.46,0,0
20171019,FI-ELCAE,Fonds,16.60,16.60,16.60,16.60,0,0
20171018,FI-ELCAE,Fonds,16.55,16.55,16.55,16.55,0,0
20171017,FI-ELCAE,Fonds,16.59,16.59,16.59,16.59,0,0
20171016,FI-ELCAE,Fonds,16.61,16.61,16.61,16.61,0,0
20171013,FI-ELCAE,Fonds,16.58,16.58,16.58,16.58,0,0
20171012,FI-ELCAE,Fonds,16.56,16.56,16.56,16.56,0,0
20171011,FI-ELCAE,Fonds,16.55,16.55,16.55,16.55,0,0
20171010,FI-ELCAE,Fonds,16.54,16.54,16.54,16.54,0,0
20171009,FI-ELCAE,Fonds,16.50,16.50,16.50,16.50,0,0
20171006,FI-ELCAE,Fonds,16.55,16.55,16.55,16.55,0,0
20171005,FI-ELCAE,Fonds,16.53,16.53,16.53,16.53,0,0
20171004,FI-ELCAE,Fonds,16.52,16.52,16.52,16.52,0,0
20171003,FI-ELCAE,Fonds,16.50,16.50,16.50,16.50,0,0
20171002,FI-ELCAE,Fonds,16.42,16.42,16.42,16.42,0,0
20170929,FI-ELCAE,Fonds,16.37,16.37,16.37,16.37,0,0
20170928,FI-ELCAE,Fonds,16.31,16.31,16.31,16.31,0,0
20170927,FI-ELCAE,Fonds,16.28,16.28,16.28,16.28,0,0
20170926,FI-ELCAE,Fonds,16.31,16.31,16.31,16.31,0,0
20170925,FI-ELCAE,Fonds,16.24,16.24,16.24,16.24,0,0
20170921,FI-ELCAE,Fonds,16.10,16.10,16.10,16.10,0,0
20170920,FI-ELCAE,Fonds,16.08,16.08,16.08,16.08,0,0
20170919,FI-ELCAE,Fonds,16.08,16.08,16.08,16.08,0,0
20170918,FI-ELCAE,Fonds,16.07,16.07,16.07,16.07,0,0
20170915,FI-ELCAE,Fonds,16.11,16.11,16.11,16.11,0,0
20170914,FI-ELCAE,Fonds,16.06,16.06,16.06,16.06,0,0
20170913,FI-ELCAE,Fonds,16.03,16.03,16.03,16.03,0,0
20170911,FI-ELCAE,Fonds,15.82,15.82,15.82,15.82,0,0
20170908,FI-ELCAE,Fonds,15.75,15.75,15.75,15.75,0,0
20170907,FI-ELCAE,Fonds,15.71,15.71,15.71,15.71,0,0
20170906,FI-ELCAE,Fonds,15.70,15.70,15.70,15.70,0,0
20170905,FI-ELCAE,Fonds,15.66,15.66,15.66,15.66,0,0
20170904,FI-ELCAE,Fonds,15.75,15.75,15.75,15.75,0,0
20170901,FI-ELCAE,Fonds,15.64,15.64,15.64,15.64,0,0
20170831,FI-ELCAE,Fonds,15.52,15.52,15.52,15.52,0,0
20170830,FI-ELCAE,Fonds,15.41,15.41,15.41,15.41,0,0
20170829,FI-ELCAE,Fonds,15.56,15.56,15.56,15.56,0,0
20170825,FI-ELCAE,Fonds,15.69,15.69,15.69,15.69,0,0
20170824,FI-ELCAE,Fonds,15.67,15.67,15.67,15.67,0,0
20170823,FI-ELCAE,Fonds,15.77,15.77,15.77,15.77,0,0
20170822,FI-ELCAE,Fonds,15.64,15.64,15.64,15.64,0,0
20170821,FI-ELCAE,Fonds,15.72,15.72,15.72,15.72,0,0
20170818,FI-ELCAE,Fonds,15.88,15.88,15.88,15.88,0,0
20170817,FI-ELCAE,Fonds,15.93,15.93,15.93,15.93,0,0
20170816,FI-ELCAE,Fonds,15.80,15.80,15.80,15.80,0,0
20170815,FI-ELCAE,Fonds,15.80,15.80,15.80,15.80,0,0
20170814,FI-ELCAE,Fonds,15.68,15.68,15.68,15.68,0,0
20170811,FI-ELCAE,Fonds,15.85,15.85,15.85,15.85,0,0
20170810,FI-ELCAE,Fonds,15.99,15.99,15.99,15.99,0,0
20170809,FI-ELCAE,Fonds,16.10,16.10,16.10,16.10,0,0
20170808,FI-ELCAE,Fonds,16.05,16.05,16.05,16.05,0,0
20170807,FI-ELCAE,Fonds,16.09,16.09,16.09,16.09,0,0
20170804,FI-ELCAE,Fonds,15.99,15.99,15.99,15.99,0,0
20170803,FI-ELCAE,Fonds,16.01,16.01,16.01,16.01,0,0
20170802,FI-ELCAE,Fonds,16.08,16.08,16.08,16.08,0,0
20170801,FI-ELCAE,Fonds,15.97,15.97,15.97,15.97,0,0
20170731,FI-ELCAE,Fonds,16.03,16.03,16.03,16.03,0,0
20170727,FI-ELCAE,Fonds,16.28,16.28,16.28,16.28,0,0
20170725,FI-ELCAE,Fonds,16.19,16.19,16.19,16.19,0,0
20170724,FI-ELCAE,Fonds,16.13,16.13,16.13,16.13,0,0
20170720,FI-ELCAE,Fonds,16.30,16.30,16.30,16.30,0,0
20170719,FI-ELCAE,Fonds,16.16,16.16,16.16,16.16,0,0
20170718,FI-ELCAE,Fonds,16.35,16.35,16.35,16.35,0,0
20170717,FI-ELCAE,Fonds,16.36,16.36,16.36,16.36,0,0
20170714,FI-ELCAE,Fonds,16.34,16.34,16.34,16.34,0,0
20170713,FI-ELCAE,Fonds,16.28,16.28,16.28,16.28,0,0
20170712,FI-ELCAE,Fonds,16.01,16.01,16.01,16.01,0,0
20170711,FI-ELCAE,Fonds,16.18,16.18,16.18,16.18,0,0
20170710,FI-ELCAE,Fonds,16.15,16.15,16.15,16.15,0,0
20170707,FI-ELCAE,Fonds,16.22,16.22,16.22,16.22,0,0
20170706,FI-ELCAE,Fonds,16.33,16.33,16.33,16.33,0,0
20170705,FI-ELCAE,Fonds,16.30,16.30,16.30,16.30,0,0
20170704,FI-ELCAE,Fonds,16.36,16.36,16.36,16.36,0,0
20170703,FI-ELCAE,Fonds,16.25,16.25,16.25,16.25,0,0
20170630,FI-ELCAE,Fonds,16.30,16.30,16.30,16.30,0,0
20170629,FI-ELCAE,Fonds,16.57,16.57,16.57,16.57,0,0
20170628,FI-ELCAE,Fonds,16.60,16.60,16.60,16.60,0,0
20170627,FI-ELCAE,Fonds,16.77,16.77,16.77,16.77,0,0
20170626,FI-ELCAE,Fonds,16.70,16.70,16.70,16.70,0,0
20170623,FI-ELCAE,Fonds,16.74,16.74,16.74,16.74,0,0
20170622,FI-ELCAE,Fonds,16.76,16.76,16.76,16.76,0,0
20170621,FI-ELCAE,Fonds,16.83,16.83,16.83,16.83,0,0
20170620,FI-ELCAE,Fonds,16.93,16.93,16.93,16.93,0,0
20170619,FI-ELCAE,Fonds,16.80,16.80,16.80,16.80,0,0
20170616,FI-ELCAE,Fonds,16.68,16.68,16.68,16.68,0,0
20170615,FI-ELCAE,Fonds,16.70,16.70,16.70,16.70,0,0
20170614,FI-ELCAE,Fonds,16.73,16.73,16.73,16.73,0,0
20170613,FI-ELCAE,Fonds,16.61,16.61,16.61,16.61,0,0
20170612,FI-ELCAE,Fonds,16.77,16.77,16.77,16.77,0,0
20170609,FI-ELCAE,Fonds,16.75,16.75,16.75,16.75,0,0
20170608,FI-ELCAE,Fonds,16.77,16.77,16.77,16.77,0,0
20170607,FI-ELCAE,Fonds,16.82,16.82,16.82,16.82,0,0
20170606,FI-ELCAE,Fonds,16.93,16.93,16.93,16.93,0,0
20170601,FI-ELCAE,Fonds,16.94,16.94,16.94,16.94,0,0
20170531,FI-ELCAE,Fonds,16.87,16.87,16.87,16.87,0,0
20170530,FI-ELCAE,Fonds,16.88,16.88,16.88,16.88,0,0
20170529,FI-ELCAE,Fonds,16.88,16.88,16.88,16.88,0,0
20170526,FI-ELCAE,Fonds,16.91,16.91,16.91,16.91,0,0
20170524,FI-ELCAE,Fonds,16.93,16.93,16.93,16.93,0,0
20170523,FI-ELCAE,Fonds,16.91,16.91,16.91,16.91,0,0
20170519,FI-ELCAE,Fonds,16.93,16.93,16.93,16.93,0,0
20170518,FI-ELCAE,Fonds,16.92,16.92,16.92,16.92,0,0
20170515,FI-ELCAE,Fonds,17.08,17.08,17.08,17.08,0,0
20170512,FI-ELCAE,Fonds,17.08,17.08,17.08,17.08,0,0
20170511,FI-ELCAE,Fonds,17.04,17.04,17.04,17.04,0,0
20170510,FI-ELCAE,Fonds,17.07,17.07,17.07,17.07,0,0
20170509,FI-ELCAE,Fonds,17.04,17.04,17.04,17.04,0,0
20170508,FI-ELCAE,Fonds,16.89,16.89,16.89,16.89,0,0
20170505,FI-ELCAE,Fonds,16.78,16.78,16.78,16.78,0,0
20170504,FI-ELCAE,Fonds,16.73,16.73,16.73,16.73,0,0
20170503,FI-ELCAE,Fonds,16.71,16.71,16.71,16.71,0,0
20170502,FI-ELCAE,Fonds,16.57,16.57,16.57,16.57,0,0
20170428,FI-ELCAE,Fonds,16.67,16.67,16.67,16.67,0,0
20170427,FI-ELCAE,Fonds,16.65,16.65,16.65,16.65,0,0
20170426,FI-ELCAE,Fonds,16.54,16.54,16.54,16.54,0,0
20170425,FI-ELCAE,Fonds,16.55,16.55,16.55,16.55,0,0
20170424,FI-ELCAE,Fonds,16.25,16.25,16.25,16.25,0,0
20170421,FI-ELCAE,Fonds,16.25,16.25,16.25,16.25,0,0
20170420,FI-ELCAE,Fonds,16.25,16.25,16.25,16.25,0,0
20170419,FI-ELCAE,Fonds,16.23,16.23,16.23,16.23,0,0
20170418,FI-ELCAE,Fonds,16.43,16.43,16.43,16.43,0,0
20170412,FI-ELCAE,Fonds,16.38,16.38,16.38,16.38,0,0
20170411,FI-ELCAE,Fonds,16.35,16.35,16.35,16.35,0,0
20170410,FI-ELCAE,Fonds,16.33,16.33,16.33,16.33,0,0
20170407,FI-ELCAE,Fonds,16.30,16.30,16.30,16.30,0,0
20170406,FI-ELCAE,Fonds,16.29,16.29,16.29,16.29,0,0
20170405,FI-ELCAE,Fonds,16.26,16.26,16.26,16.26,0,0
20170404,FI-ELCAE,Fonds,16.25,16.25,16.25,16.25,0,0
20170403,FI-ELCAE,Fonds,16.32,16.32,16.32,16.32,0,0
20170331,FI-ELCAE,Fonds,16.28,16.28,16.28,16.28,0,0
20170330,FI-ELCAE,Fonds,16.17,16.17,16.17,16.17,0,0
20170329,FI-ELCAE,Fonds,16.09,16.09,16.09,16.09,0,0
20170328,FI-ELCAE,Fonds,16.02,16.02,16.02,16.02,0,0
20170327,FI-ELCAE,Fonds,16.08,16.08,16.08,16.08,0,0
20170324,FI-ELCAE,Fonds,16.09,16.09,16.09,16.09,0,0
20170323,FI-ELCAE,Fonds,15.96,15.96,15.96,15.96,0,0
20170322,FI-ELCAE,Fonds,16.03,16.03,16.03,16.03,0,0
20170321,FI-ELCAE,Fonds,16.08,16.08,16.08,16.08,0,0
20170320,FI-ELCAE,Fonds,16.12,16.12,16.12,16.12,0,0
20170316,FI-ELCAE,Fonds,16.07,16.07,16.07,16.07,0,0
20170315,FI-ELCAE,Fonds,15.91,15.91,15.91,15.91,0,0
20170314,FI-ELCAE,Fonds,15.98,15.98,15.98,15.98,0,0
20170313,FI-ELCAE,Fonds,15.89,15.89,15.89,15.89,0,0
20170310,FI-ELCAE,Fonds,15.94,15.94,15.94,15.94,0,0
20170308,FI-ELCAE,Fonds,15.95,15.95,15.95,15.95,0,0
20170307,FI-ELCAE,Fonds,15.95,15.95,15.95,15.95,0,0
20170303,FI-ELCAE,Fonds,16.10,16.10,16.10,16.10,0,0
20170302,FI-ELCAE,Fonds,16.07,16.07,16.07,16.07,0,0
20170228,FI-ELCAE,Fonds,15.87,15.87,15.87,15.87,0,0
20170224,FI-ELCAE,Fonds,15.89,15.89,15.89,15.89,0,0
20170223,FI-ELCAE,Fonds,15.99,15.99,15.99,15.99,0,0
20170221,FI-ELCAE,Fonds,15.98,15.98,15.98,15.98,0,0
20170220,FI-ELCAE,Fonds,15.88,15.88,15.88,15.88,0,0
20170217,FI-ELCAE,Fonds,15.88,15.88,15.88,15.88,0,0
20170216,FI-ELCAE,Fonds,15.94,15.94,15.94,15.94,0,0
20170215,FI-ELCAE,Fonds,15.89,15.89,15.89,15.89,0,0
20170213,FI-ELCAE,Fonds,15.79,15.79,15.79,15.79,0,0
20170210,FI-ELCAE,Fonds,15.78,15.78,15.78,15.78,0,0
20170208,FI-ELCAE,Fonds,15.63,15.63,15.63,15.63,0,0
20170207,FI-ELCAE,Fonds,15.53,15.53,15.53,15.53,0,0
20170206,FI-ELCAE,Fonds,15.62,15.62,15.62,15.62,0,0
20170202,FI-ELCAE,Fonds,15.49,15.49,15.49,15.49,0,0
20170201,FI-ELCAE,Fonds,15.57,15.57,15.57,15.57,0,0
20170130,FI-ELCAE,Fonds,15.52,15.52,15.52,15.52,0,0
20170127,FI-ELCAE,Fonds,15.68,15.68,15.68,15.68,0,0
20170126,FI-ELCAE,Fonds,15.72,15.72,15.72,15.72,0,0
20170125,FI-ELCAE,Fonds,15.68,15.68,15.68,15.68,0,0
20170124,FI-ELCAE,Fonds,15.49,15.49,15.49,15.49,0,0
20170123,FI-ELCAE,Fonds,15.43,15.43,15.43,15.43,0,0
20170120,FI-ELCAE,Fonds,15.48,15.48,15.48,15.48,0,0
20170119,FI-ELCAE,Fonds,15.51,15.51,15.51,15.51,0,0
20170118,FI-ELCAE,Fonds,15.48,15.48,15.48,15.48,0,0
20170117,FI-ELCAE,Fonds,15.51,15.51,15.51,15.51,0,0
20170116,FI-ELCAE,Fonds,15.54,15.54,15.54,15.54,0,0
20170113,FI-ELCAE,Fonds,15.70,15.70,15.70,15.70,0,0
20170112,FI-ELCAE,Fonds,15.55,15.55,15.55,15.55,0,0
20170111,FI-ELCAE,Fonds,15.68,15.68,15.68,15.68,0,0
20170110,FI-ELCAE,Fonds,15.66,15.66,15.66,15.66,0,0
20170109,FI-ELCAE,Fonds,15.68,15.68,15.68,15.68,0,0
20170106,FI-ELCAE,Fonds,15.76,15.76,15.76,15.76,0,0
20170105,FI-ELCAE,Fonds,15.76,15.76,15.76,15.76,0,0
20170104,FI-ELCAE,Fonds,15.75,15.75,15.75,15.75,0,0
20170103,FI-ELCAE,Fonds,15.75,15.75,15.75,15.75,0,0
20170102,FI-ELCAE,Fonds,15.72,15.72,15.72,15.72,0,0
20161230,FI-ELCAE,Fonds,15.58,15.58,15.58,15.58,0,0
20161229,FI-ELCAE,Fonds,15.55,15.55,15.55,15.55,0,0
20161228,FI-ELCAE,Fonds,15.59,15.59,15.59,15.59,0,0
20161227,FI-ELCAE,Fonds,15.54,15.54,15.54,15.54,0,0
20161222,FI-ELCAE,Fonds,15.53,15.53,15.53,15.53,0,0
20161221,FI-ELCAE,Fonds,15.55,15.55,15.55,15.55,0,0
20161220,FI-ELCAE,Fonds,15.59,15.59,15.59,15.59,0,0
20161219,FI-ELCAE,Fonds,15.50,15.50,15.50,15.50,0,0
20161216,FI-ELCAE,Fonds,15.52,15.52,15.52,15.52,0,0
20161215,FI-ELCAE,Fonds,15.50,15.50,15.50,15.50,0,0
20161214,FI-ELCAE,Fonds,15.37,15.37,15.37,15.37,0,0
20161213,FI-ELCAE,Fonds,15.44,15.44,15.44,15.44,0,0
20161212,FI-ELCAE,Fonds,15.31,15.31,15.31,15.31,0,0
20161209,FI-ELCAE,Fonds,15.34,15.34,15.34,15.34,0,0
20161208,FI-ELCAE,Fonds,15.16,15.16,15.16,15.16,0,0
20161207,FI-ELCAE,Fonds,14.96,14.96,14.96,14.96,0,0
20161206,FI-ELCAE,Fonds,14.86,14.86,14.86,14.86,0,0
20161205,FI-ELCAE,Fonds,14.79,14.79,14.79,14.79,0,0
20161202,FI-ELCAE,Fonds,14.73,14.73,14.73,14.73,0,0
20161201,FI-ELCAE,Fonds,14.76,14.76,14.76,14.76,0,0
20161130,FI-ELCAE,Fonds,14.80,14.80,14.80,14.80,0,0
20161129,FI-ELCAE,Fonds,14.70,14.70,14.70,14.70,0,0
20161128,FI-ELCAE,Fonds,14.66,14.66,14.66,14.66,0,0
20161125,FI-ELCAE,Fonds,14.77,14.77,14.77,14.77,0,0
20161124,FI-ELCAE,Fonds,14.76,14.76,14.76,14.76,0,0
20161123,FI-ELCAE,Fonds,14.69,14.69,14.69,14.69,0,0
20161122,FI-ELCAE,Fonds,14.67,14.67,14.67,14.67,0,0
20161121,FI-ELCAE,Fonds,14.67,14.67,14.67,14.67,0,0
20161118,FI-ELCAE,Fonds,14.56,14.56,14.56,14.56,0,0
20161117,FI-ELCAE,Fonds,14.61,14.61,14.61,14.61,0,0
20161116,FI-ELCAE,Fonds,14.51,14.51,14.51,14.51,0,0
20161115,FI-ELCAE,Fonds,14.52,14.52,14.52,14.52,0,0
20161114,FI-ELCAE,Fonds,14.43,14.43,14.43,14.43,0,0
20161111,FI-ELCAE,Fonds,14.41,14.41,14.41,14.41,0,0
20161110,FI-ELCAE,Fonds,14.47,14.47,14.47,14.47,0,0
20161109,FI-ELCAE,Fonds,14.41,14.41,14.41,14.41,0,0
20161108,FI-ELCAE,Fonds,14.15,14.15,14.15,14.15,0,0
20161107,FI-ELCAE,Fonds,14.12,14.12,14.12,14.12,0,0
20161104,FI-ELCAE,Fonds,13.93,13.93,13.93,13.93,0,0
20161103,FI-ELCAE,Fonds,14.04,14.04,14.04,14.04,0,0
20161102,FI-ELCAE,Fonds,13.98,13.98,13.98,13.98,0,0
20161101,FI-ELCAE,Fonds,14.18,14.18,14.18,14.18,0,0
20161031,FI-ELCAE,Fonds,14.29,14.29,14.29,14.29,0,0
20161028,FI-ELCAE,Fonds,14.40,14.40,14.40,14.40,0,0
20161027,FI-ELCAE,Fonds,14.39,14.39,14.39,14.39,0,0
20161026,FI-ELCAE,Fonds,14.32,14.32,14.32,14.32,0,0
20161025,FI-ELCAE,Fonds,14.41,14.41,14.41,14.41,0,0
20161024,FI-ELCAE,Fonds,14.45,14.45,14.45,14.45,0,0
20161021,FI-ELCAE,Fonds,14.49,14.49,14.49,14.49,0,0
20161020,FI-ELCAE,Fonds,14.49,14.49,14.49,14.49,0,0
20161019,FI-ELCAE,Fonds,14.46,14.46,14.46,14.46,0,0
20161018,FI-ELCAE,Fonds,14.41,14.41,14.41,14.41,0,0
20161017,FI-ELCAE,Fonds,14.23,14.23,14.23,14.23,0,0
20161014,FI-ELCAE,Fonds,14.37,14.37,14.37,14.37,0,0
20161013,FI-ELCAE,Fonds,14.20,14.20,14.20,14.20,0,0
20161012,FI-ELCAE,Fonds,14.31,14.31,14.31,14.31,0,0
20161011,FI-ELCAE,Fonds,14.39,14.39,14.39,14.39,0,0
20161010,FI-ELCAE,Fonds,14.49,14.49,14.49,14.49,0,0
20161007,FI-ELCAE,Fonds,14.36,14.36,14.36,14.36,0,0
20161006,FI-ELCAE,Fonds,14.51,14.51,14.51,14.51,0,0
20161005,FI-ELCAE,Fonds,14.56,14.56,14.56,14.56,0,0
20161004,FI-ELCAE,Fonds,14.60,14.60,14.60,14.60,0,0
20161003,FI-ELCAE,Fonds,14.46,14.46,14.46,14.46,0,0
20160930,FI-ELCAE,Fonds,14.44,14.44,14.44,14.44,0,0
20160929,FI-ELCAE,Fonds,14.44,14.44,14.44,14.44,0,0
20160928,FI-ELCAE,Fonds,14.38,14.38,14.38,14.38,0,0
20160927,FI-ELCAE,Fonds,14.28,14.28,14.28,14.28,0,0
20160926,FI-ELCAE,Fonds,14.28,14.28,14.28,14.28,0,0
20160923,FI-ELCAE,Fonds,14.52,14.52,14.52,14.52,0,0
20160922,FI-ELCAE,Fonds,14.63,14.63,14.63,14.63,0,0
20160921,FI-ELCAE,Fonds,14.38,14.38,14.38,14.38,0,0
20160920,FI-ELCAE,Fonds,14.34,14.34,14.34,14.34,0,0
20160919,FI-ELCAE,Fonds,14.35,14.35,14.35,14.35,0,0
20160916,FI-ELCAE,Fonds,14.20,14.20,14.20,14.20,0,0
20160915,FI-ELCAE,Fonds,14.30,14.30,14.30,14.30,0,0
20160914,FI-ELCAE,Fonds,14.22,14.22,14.22,14.22,0,0
20160913,FI-ELCAE,Fonds,14.22,14.22,14.22,14.22,0,0
20160912,FI-ELCAE,Fonds,14.36,14.36,14.36,14.36,0,0
20160909,FI-ELCAE,Fonds,14.51,14.51,14.51,14.51,0,0
20160908,FI-ELCAE,Fonds,14.65,14.65,14.65,14.65,0,0
20160907,FI-ELCAE,Fonds,14.72,14.72,14.72,14.72,0,0
20160906,FI-ELCAE,Fonds,14.68,14.68,14.68,14.68,0,0
20160905,FI-ELCAE,Fonds,14.73,14.73,14.73,14.73,0,0
20160902,FI-ELCAE,Fonds,14.72,14.72,14.72,14.72,0,0
20160901,FI-ELCAE,Fonds,14.39,14.39,14.39,14.39,0,0
20160831,FI-ELCAE,Fonds,14.43,14.43,14.43,14.43,0,0
20160830,FI-ELCAE,Fonds,14.49,14.49,14.49,14.49,0,0
20160829,FI-ELCAE,Fonds,14.38,14.38,14.38,14.38,0,0
20160826,FI-ELCAE,Fonds,14.43,14.43,14.43,14.43,0,0
20160825,FI-ELCAE,Fonds,14.33,14.33,14.33,14.33,0,0
20160824,FI-ELCAE,Fonds,14.46,14.46,14.46,14.46,0,0
20160823,FI-ELCAE,Fonds,14.43,14.43,14.43,14.43,0,0
20160822,FI-ELCAE,Fonds,14.32,14.32,14.32,14.32,0,0
20160819,FI-ELCAE,Fonds,14.33,14.33,14.33,14.33,0,0
20160818,FI-ELCAE,Fonds,14.41,14.41,14.41,14.41,0,0
20160817,FI-ELCAE,Fonds,14.33,14.33,14.33,14.33,0,0
20160816,FI-ELCAE,Fonds,14.46,14.46,14.46,14.46,0,0
20160815,FI-ELCAE,Fonds,14.56,14.56,14.56,14.56,0,0
20160812,FI-ELCAE,Fonds,14.57,14.57,14.57,14.57,0,0
20160811,FI-ELCAE,Fonds,14.58,14.58,14.58,14.58,0,0
20160810,FI-ELCAE,Fonds,14.45,14.45,14.45,14.45,0,0
20160808,FI-ELCAE,Fonds,14.33,14.33,14.33,14.33,0,0
20160805,FI-ELCAE,Fonds,14.33,14.33,14.33,14.33,0,0
20160804,FI-ELCAE,Fonds,14.19,14.19,14.19,14.19,0,0
20160803,FI-ELCAE,Fonds,14.07,14.07,14.07,14.07,0,0
20160802,FI-ELCAE,Fonds,14.10,14.10,14.10,14.10,0,0
20160801,FI-ELCAE,Fonds,14.25,14.25,14.25,14.25,0,0
20160729,FI-ELCAE,Fonds,14.35,14.35,14.35,14.35,0,0
20160728,FI-ELCAE,Fonds,14.24,14.24,14.24,14.24,0,0
20160727,FI-ELCAE,Fonds,14.38,14.38,14.38,14.38,0,0
20160726,FI-ELCAE,Fonds,14.35,14.35,14.35,14.35,0,0
20160725,FI-ELCAE,Fonds,14.34,14.34,14.34,14.34,0,0
20160722,FI-ELCAE,Fonds,14.33,14.33,14.33,14.33,0,0
20160721,FI-ELCAE,Fonds,14.35,14.35,14.35,14.35,0,0
20160720,FI-ELCAE,Fonds,14.35,14.35,14.35,14.35,0,0
20160719,FI-ELCAE,Fonds,14.14,14.14,14.14,14.14,0,0
20160718,FI-ELCAE,Fonds,14.23,14.23,14.23,14.23,0,0
20160715,FI-ELCAE,Fonds,14.21,14.21,14.21,14.21,0,0
20160714,FI-ELCAE,Fonds,14.25,14.25,14.25,14.25,0,0
