quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-EMCAE,Fonds,22.66,22.66,22.66,22.66,0,0
20171108,FI-EMCAE,Fonds,22.68,22.68,22.68,22.68,0,0
20171107,FI-EMCAE,Fonds,22.78,22.78,22.78,22.78,0,0
20171106,FI-EMCAE,Fonds,22.71,22.71,22.71,22.71,0,0
20171103,FI-EMCAE,Fonds,22.49,22.49,22.49,22.49,0,0
20171102,FI-EMCAE,Fonds,22.70,22.70,22.70,22.70,0,0
20171031,FI-EMCAE,Fonds,22.59,22.59,22.59,22.59,0,0
20171030,FI-EMCAE,Fonds,22.55,22.55,22.55,22.55,0,0
20171027,FI-EMCAE,Fonds,22.39,22.39,22.39,22.39,0,0
20171026,FI-EMCAE,Fonds,22.14,22.14,22.14,22.14,0,0
20171025,FI-EMCAE,Fonds,22.13,22.13,22.13,22.13,0,0
20171024,FI-EMCAE,Fonds,22.28,22.28,22.28,22.28,0,0
20171023,FI-EMCAE,Fonds,22.20,22.20,22.20,22.20,0,0
20171020,FI-EMCAE,Fonds,22.15,22.15,22.15,22.15,0,0
20171019,FI-EMCAE,Fonds,22.31,22.31,22.31,22.31,0,0
20171018,FI-EMCAE,Fonds,22.21,22.21,22.21,22.21,0,0
20171017,FI-EMCAE,Fonds,22.31,22.31,22.31,22.31,0,0
20171016,FI-EMCAE,Fonds,22.41,22.41,22.41,22.41,0,0
20171013,FI-EMCAE,Fonds,22.39,22.39,22.39,22.39,0,0
20171012,FI-EMCAE,Fonds,22.31,22.31,22.31,22.31,0,0
20171011,FI-EMCAE,Fonds,22.28,22.28,22.28,22.28,0,0
20171010,FI-EMCAE,Fonds,22.27,22.27,22.27,22.27,0,0
20171009,FI-EMCAE,Fonds,22.22,22.22,22.22,22.22,0,0
20171006,FI-EMCAE,Fonds,22.24,22.24,22.24,22.24,0,0
20171005,FI-EMCAE,Fonds,22.25,22.25,22.25,22.25,0,0
20171004,FI-EMCAE,Fonds,22.25,22.25,22.25,22.25,0,0
20171003,FI-EMCAE,Fonds,22.22,22.22,22.22,22.22,0,0
20171002,FI-EMCAE,Fonds,22.09,22.09,22.09,22.09,0,0
20170929,FI-EMCAE,Fonds,22.04,22.04,22.04,22.04,0,0
20170928,FI-EMCAE,Fonds,21.97,21.97,21.97,21.97,0,0
20170927,FI-EMCAE,Fonds,21.95,21.95,21.95,21.95,0,0
20170926,FI-EMCAE,Fonds,22.00,22.00,22.00,22.00,0,0
20170925,FI-EMCAE,Fonds,21.87,21.87,21.87,21.87,0,0
20170921,FI-EMCAE,Fonds,21.80,21.80,21.80,21.80,0,0
20170920,FI-EMCAE,Fonds,21.83,21.83,21.83,21.83,0,0
20170919,FI-EMCAE,Fonds,21.79,21.79,21.79,21.79,0,0
20170918,FI-EMCAE,Fonds,21.76,21.76,21.76,21.76,0,0
20170915,FI-EMCAE,Fonds,21.86,21.86,21.86,21.86,0,0
20170914,FI-EMCAE,Fonds,21.85,21.85,21.85,21.85,0,0
20170913,FI-EMCAE,Fonds,21.79,21.79,21.79,21.79,0,0
20170911,FI-EMCAE,Fonds,21.57,21.57,21.57,21.57,0,0
20170908,FI-EMCAE,Fonds,21.52,21.52,21.52,21.52,0,0
20170907,FI-EMCAE,Fonds,21.38,21.38,21.38,21.38,0,0
20170906,FI-EMCAE,Fonds,21.35,21.35,21.35,21.35,0,0
20170905,FI-EMCAE,Fonds,21.37,21.37,21.37,21.37,0,0
20170904,FI-EMCAE,Fonds,21.47,21.47,21.47,21.47,0,0
20170901,FI-EMCAE,Fonds,21.30,21.30,21.30,21.30,0,0
20170831,FI-EMCAE,Fonds,21.08,21.08,21.08,21.08,0,0
20170830,FI-EMCAE,Fonds,20.87,20.87,20.87,20.87,0,0
20170829,FI-EMCAE,Fonds,21.01,21.01,21.01,21.01,0,0
20170825,FI-EMCAE,Fonds,21.24,21.24,21.24,21.24,0,0
20170824,FI-EMCAE,Fonds,21.23,21.23,21.23,21.23,0,0
20170823,FI-EMCAE,Fonds,21.33,21.33,21.33,21.33,0,0
20170822,FI-EMCAE,Fonds,21.14,21.14,21.14,21.14,0,0
20170821,FI-EMCAE,Fonds,21.18,21.18,21.18,21.18,0,0
20170818,FI-EMCAE,Fonds,21.39,21.39,21.39,21.39,0,0
20170817,FI-EMCAE,Fonds,21.40,21.40,21.40,21.40,0,0
20170816,FI-EMCAE,Fonds,21.25,21.25,21.25,21.25,0,0
20170815,FI-EMCAE,Fonds,21.22,21.22,21.22,21.22,0,0
20170814,FI-EMCAE,Fonds,21.03,21.03,21.03,21.03,0,0
20170811,FI-EMCAE,Fonds,21.18,21.18,21.18,21.18,0,0
20170810,FI-EMCAE,Fonds,21.34,21.34,21.34,21.34,0,0
20170809,FI-EMCAE,Fonds,21.42,21.42,21.42,21.42,0,0
20170808,FI-EMCAE,Fonds,21.40,21.40,21.40,21.40,0,0
20170807,FI-EMCAE,Fonds,21.45,21.45,21.45,21.45,0,0
20170804,FI-EMCAE,Fonds,21.30,21.30,21.30,21.30,0,0
20170803,FI-EMCAE,Fonds,21.28,21.28,21.28,21.28,0,0
20170802,FI-EMCAE,Fonds,21.43,21.43,21.43,21.43,0,0
20170801,FI-EMCAE,Fonds,21.31,21.31,21.31,21.31,0,0
20170731,FI-EMCAE,Fonds,21.38,21.38,21.38,21.38,0,0
20170727,FI-EMCAE,Fonds,21.67,21.67,21.67,21.67,0,0
20170725,FI-EMCAE,Fonds,21.54,21.54,21.54,21.54,0,0
20170724,FI-EMCAE,Fonds,21.70,21.70,21.70,21.70,0,0
20170720,FI-EMCAE,Fonds,21.93,21.93,21.93,21.93,0,0
20170719,FI-EMCAE,Fonds,21.90,21.90,21.90,21.90,0,0
20170718,FI-EMCAE,Fonds,22.14,22.14,22.14,22.14,0,0
20170717,FI-EMCAE,Fonds,22.13,22.13,22.13,22.13,0,0
20170714,FI-EMCAE,Fonds,22.03,22.03,22.03,22.03,0,0
20170713,FI-EMCAE,Fonds,22.02,22.02,22.02,22.02,0,0
20170712,FI-EMCAE,Fonds,21.69,21.69,21.69,21.69,0,0
20170711,FI-EMCAE,Fonds,21.87,21.87,21.87,21.87,0,0
20170710,FI-EMCAE,Fonds,21.78,21.78,21.78,21.78,0,0
20170707,FI-EMCAE,Fonds,21.78,21.78,21.78,21.78,0,0
20170706,FI-EMCAE,Fonds,22.03,22.03,22.03,22.03,0,0
20170705,FI-EMCAE,Fonds,21.94,21.94,21.94,21.94,0,0
20170704,FI-EMCAE,Fonds,21.84,21.84,21.84,21.84,0,0
20170703,FI-EMCAE,Fonds,21.74,21.74,21.74,21.74,0,0
20170630,FI-EMCAE,Fonds,21.69,21.69,21.69,21.69,0,0
20170629,FI-EMCAE,Fonds,22.09,22.09,22.09,22.09,0,0
20170628,FI-EMCAE,Fonds,22.24,22.24,22.24,22.24,0,0
20170627,FI-EMCAE,Fonds,22.54,22.54,22.54,22.54,0,0
20170626,FI-EMCAE,Fonds,22.49,22.49,22.49,22.49,0,0
20170623,FI-EMCAE,Fonds,22.57,22.57,22.57,22.57,0,0
20170622,FI-EMCAE,Fonds,22.54,22.54,22.54,22.54,0,0
20170621,FI-EMCAE,Fonds,22.60,22.60,22.60,22.60,0,0
20170620,FI-EMCAE,Fonds,22.65,22.65,22.65,22.65,0,0
20170619,FI-EMCAE,Fonds,22.48,22.48,22.48,22.48,0,0
20170616,FI-EMCAE,Fonds,22.20,22.20,22.20,22.20,0,0
