quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-EUCAS,Fonds,9.1901,9.1901,9.1901,9.1901,0,0
20171108,FI-EUCAS,Fonds,9.1903,9.1903,9.1903,9.1903,0,0
20171107,FI-EUCAS,Fonds,9.1904,9.1904,9.1904,9.1904,0,0
20171106,FI-EUCAS,Fonds,9.1908,9.1908,9.1908,9.1908,0,0
20171103,FI-EUCAS,Fonds,9.191,9.191,9.191,9.191,0,0
20171102,FI-EUCAS,Fonds,9.1913,9.1913,9.1913,9.1913,0,0
20171031,FI-EUCAS,Fonds,9.1914,9.1914,9.1914,9.1914,0,0
20171030,FI-EUCAS,Fonds,9.1918,9.1918,9.1918,9.1918,0,0
20171027,FI-EUCAS,Fonds,9.192,9.192,9.192,9.192,0,0
20171026,FI-EUCAS,Fonds,9.1921,9.1921,9.1921,9.1921,0,0
20171025,FI-EUCAS,Fonds,9.1923,9.1923,9.1923,9.1923,0,0
20171024,FI-EUCAS,Fonds,9.1924,9.1924,9.1924,9.1924,0,0
20171023,FI-EUCAS,Fonds,9.1928,9.1928,9.1928,9.1928,0,0
20171020,FI-EUCAS,Fonds,9.193,9.193,9.193,9.193,0,0
20171019,FI-EUCAS,Fonds,9.1931,9.1931,9.1931,9.1931,0,0
20171018,FI-EUCAS,Fonds,9.1933,9.1933,9.1933,9.1933,0,0
20171017,FI-EUCAS,Fonds,9.1934,9.1934,9.1934,9.1934,0,0
20171016,FI-EUCAS,Fonds,9.1938,9.1938,9.1938,9.1938,0,0
20171013,FI-EUCAS,Fonds,9.194,9.194,9.194,9.194,0,0
20171012,FI-EUCAS,Fonds,9.1941,9.1941,9.1941,9.1941,0,0
20171011,FI-EUCAS,Fonds,9.1943,9.1943,9.1943,9.1943,0,0
20171010,FI-EUCAS,Fonds,9.1944,9.1944,9.1944,9.1944,0,0
20171009,FI-EUCAS,Fonds,9.1948,9.1948,9.1948,9.1948,0,0
20171006,FI-EUCAS,Fonds,9.195,9.195,9.195,9.195,0,0
20171005,FI-EUCAS,Fonds,9.1951,9.1951,9.1951,9.1951,0,0
20171004,FI-EUCAS,Fonds,9.1953,9.1953,9.1953,9.1953,0,0
20171003,FI-EUCAS,Fonds,9.1954,9.1954,9.1954,9.1954,0,0
20171002,FI-EUCAS,Fonds,9.1959,9.1959,9.1959,9.1959,0,0
20170929,FI-EUCAS,Fonds,9.196,9.196,9.196,9.196,0,0
20170928,FI-EUCAS,Fonds,9.1962,9.1962,9.1962,9.1962,0,0
