quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-FOCAU,Fonds,66.53,66.53,66.53,66.53,0,0
20171108,FI-FOCAU,Fonds,66.43,66.43,66.43,66.43,0,0
20171107,FI-FOCAU,Fonds,66.59,66.59,66.59,66.59,0,0
20171106,FI-FOCAU,Fonds,66.45,66.45,66.45,66.45,0,0
20171103,FI-FOCAU,Fonds,66.45,66.45,66.45,66.45,0,0
20171102,FI-FOCAU,Fonds,66.20,66.20,66.20,66.20,0,0
20171031,FI-FOCAU,Fonds,65.88,65.88,65.88,65.88,0,0
20171030,FI-FOCAU,Fonds,65.74,65.74,65.74,65.74,0,0
20171027,FI-FOCAU,Fonds,65.50,65.50,65.50,65.50,0,0
20171026,FI-FOCAU,Fonds,65.17,65.17,65.17,65.17,0,0
20171025,FI-FOCAU,Fonds,65.44,65.44,65.44,65.44,0,0
20171024,FI-FOCAU,Fonds,65.34,65.34,65.34,65.34,0,0
20171023,FI-FOCAU,Fonds,65.32,65.32,65.32,65.32,0,0
20171020,FI-FOCAU,Fonds,65.14,65.14,65.14,65.14,0,0
20171019,FI-FOCAU,Fonds,65.43,65.43,65.43,65.43,0,0
20171018,FI-FOCAU,Fonds,65.31,65.31,65.31,65.31,0,0
20171017,FI-FOCAU,Fonds,65.76,65.76,65.76,65.76,0,0
20171016,FI-FOCAU,Fonds,65.76,65.76,65.76,65.76,0,0
20171013,FI-FOCAU,Fonds,65.50,65.50,65.50,65.50,0,0
20171012,FI-FOCAU,Fonds,65.27,65.27,65.27,65.27,0,0
20171011,FI-FOCAU,Fonds,65.18,65.18,65.18,65.18,0,0
20171010,FI-FOCAU,Fonds,64.89,64.89,64.89,64.89,0,0
20171009,FI-FOCAU,Fonds,64.92,64.92,64.92,64.92,0,0
20171006,FI-FOCAU,Fonds,65.02,65.02,65.02,65.02,0,0
20171005,FI-FOCAU,Fonds,64.96,64.96,64.96,64.96,0,0
20171004,FI-FOCAU,Fonds,64.73,64.73,64.73,64.73,0,0
20171003,FI-FOCAU,Fonds,64.39,64.39,64.39,64.39,0,0
20171002,FI-FOCAU,Fonds,64.27,64.27,64.27,64.27,0,0
20170929,FI-FOCAU,Fonds,63.94,63.94,63.94,63.94,0,0
20170928,FI-FOCAU,Fonds,63.84,63.84,63.84,63.84,0,0
20170927,FI-FOCAU,Fonds,63.83,63.83,63.83,63.83,0,0
20170926,FI-FOCAU,Fonds,64.03,64.03,64.03,64.03,0,0
20170925,FI-FOCAU,Fonds,64.44,64.44,64.44,64.44,0,0
20170921,FI-FOCAU,Fonds,64.87,64.87,64.87,64.87,0,0
