quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-IFAAE,Fonds,16.76,16.76,16.76,16.76,0,0
20171117,FI-IFAAE,Fonds,16.83,16.83,16.83,16.83,0,0
20171116,FI-IFAAE,Fonds,16.65,16.65,16.65,16.65,0,0
20171115,FI-IFAAE,Fonds,16.68,16.68,16.68,16.68,0,0
20171114,FI-IFAAE,Fonds,16.72,16.72,16.72,16.72,0,0
20171113,FI-IFAAE,Fonds,16.82,16.82,16.82,16.82,0,0
20171110,FI-IFAAE,Fonds,16.93,16.93,16.93,16.93,0,0
20171109,FI-IFAAE,Fonds,17.08,17.08,17.08,17.08,0,0
20171108,FI-IFAAE,Fonds,17.07,17.07,17.07,17.07,0,0
20171107,FI-IFAAE,Fonds,17.17,17.17,17.17,17.17,0,0
20171106,FI-IFAAE,Fonds,17.10,17.10,17.10,17.10,0,0
20171103,FI-IFAAE,Fonds,17.08,17.08,17.08,17.08,0,0
20171102,FI-IFAAE,Fonds,17.29,17.29,17.29,17.29,0,0
20171031,FI-IFAAE,Fonds,17.04,17.04,17.04,17.04,0,0
20171030,FI-IFAAE,Fonds,16.69,16.69,16.69,16.69,0,0
20171027,FI-IFAAE,Fonds,16.82,16.82,16.82,16.82,0,0
20171026,FI-IFAAE,Fonds,16.54,16.54,16.54,16.54,0,0
20171025,FI-IFAAE,Fonds,16.61,16.61,16.61,16.61,0,0
20171024,FI-IFAAE,Fonds,16.58,16.58,16.58,16.58,0,0
20171023,FI-IFAAE,Fonds,16.64,16.64,16.64,16.64,0,0
20171020,FI-IFAAE,Fonds,16.68,16.68,16.68,16.68,0,0
20171019,FI-IFAAE,Fonds,16.83,16.83,16.83,16.83,0,0
20171018,FI-IFAAE,Fonds,16.74,16.74,16.74,16.74,0,0
20171017,FI-IFAAE,Fonds,16.65,16.65,16.65,16.65,0,0
20171016,FI-IFAAE,Fonds,16.75,16.75,16.75,16.75,0,0
20171013,FI-IFAAE,Fonds,16.80,16.80,16.80,16.80,0,0
20171012,FI-IFAAE,Fonds,16.76,16.76,16.76,16.76,0,0
20171011,FI-IFAAE,Fonds,16.61,16.61,16.61,16.61,0,0
20171010,FI-IFAAE,Fonds,16.68,16.68,16.68,16.68,0,0
20171009,FI-IFAAE,Fonds,16.60,16.60,16.60,16.60,0,0
20171006,FI-IFAAE,Fonds,16.54,16.54,16.54,16.54,0,0
20171005,FI-IFAAE,Fonds,16.24,16.24,16.24,16.24,0,0
20171004,FI-IFAAE,Fonds,16.64,16.64,16.64,16.64,0,0
20171003,FI-IFAAE,Fonds,16.64,16.64,16.64,16.64,0,0
20171002,FI-IFAAE,Fonds,16.79,16.79,16.79,16.79,0,0
20170929,FI-IFAAE,Fonds,16.72,16.72,16.72,16.72,0,0
20170928,FI-IFAAE,Fonds,16.82,16.82,16.82,16.82,0,0
20170927,FI-IFAAE,Fonds,16.60,16.60,16.60,16.60,0,0
20170926,FI-IFAAE,Fonds,16.64,16.64,16.64,16.64,0,0
20170925,FI-IFAAE,Fonds,16.66,16.66,16.66,16.66,0,0
20170921,FI-IFAAE,Fonds,16.65,16.65,16.65,16.65,0,0
20170920,FI-IFAAE,Fonds,16.78,16.78,16.78,16.78,0,0
20170919,FI-IFAAE,Fonds,16.78,16.78,16.78,16.78,0,0
20170918,FI-IFAAE,Fonds,16.75,16.75,16.75,16.75,0,0
20170915,FI-IFAAE,Fonds,16.79,16.79,16.79,16.79,0,0
20170914,FI-IFAAE,Fonds,16.83,16.83,16.83,16.83,0,0
20170913,FI-IFAAE,Fonds,16.73,16.73,16.73,16.73,0,0
20170911,FI-IFAAE,Fonds,16.56,16.56,16.56,16.56,0,0
20170908,FI-IFAAE,Fonds,16.57,16.57,16.57,16.57,0,0
20170907,FI-IFAAE,Fonds,16.57,16.57,16.57,16.57,0,0
20170906,FI-IFAAE,Fonds,16.63,16.63,16.63,16.63,0,0
20170905,FI-IFAAE,Fonds,16.66,16.66,16.66,16.66,0,0
20170904,FI-IFAAE,Fonds,16.80,16.80,16.80,16.80,0,0
20170901,FI-IFAAE,Fonds,16.71,16.71,16.71,16.71,0,0
20170831,FI-IFAAE,Fonds,16.56,16.56,16.56,16.56,0,0
20170830,FI-IFAAE,Fonds,16.46,16.46,16.46,16.46,0,0
20170829,FI-IFAAE,Fonds,16.65,16.65,16.65,16.65,0,0
20170825,FI-IFAAE,Fonds,16.80,16.80,16.80,16.80,0,0
20170824,FI-IFAAE,Fonds,16.84,16.84,16.84,16.84,0,0
20170823,FI-IFAAE,Fonds,16.91,16.91,16.91,16.91,0,0
20170822,FI-IFAAE,Fonds,16.85,16.85,16.85,16.85,0,0
