quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-INFOC,Fonds,47.75,47.75,47.75,47.75,0,0
20171117,FI-INFOC,Fonds,46.99,46.99,46.99,46.99,0,0
20171116,FI-INFOC,Fonds,46.37,46.37,46.37,46.37,0,0
20171115,FI-INFOC,Fonds,46.75,46.75,46.75,46.75,0,0
20171114,FI-INFOC,Fonds,46.98,46.98,46.98,46.98,0,0
20171113,FI-INFOC,Fonds,47.08,47.08,47.08,47.08,0,0
20171110,FI-INFOC,Fonds,47.38,47.38,47.38,47.38,0,0
20171109,FI-INFOC,Fonds,47.60,47.60,47.60,47.60,0,0
20171108,FI-INFOC,Fonds,47.45,47.45,47.45,47.45,0,0
20171107,FI-INFOC,Fonds,48.67,48.67,48.67,48.67,0,0
20171106,FI-INFOC,Fonds,48.17,48.17,48.17,48.17,0,0
20171103,FI-INFOC,Fonds,48.19,48.19,48.19,48.19,0,0
20171102,FI-INFOC,Fonds,47.53,47.53,47.53,47.53,0,0
20171031,FI-INFOC,Fonds,47.40,47.40,47.40,47.40,0,0
20171030,FI-INFOC,Fonds,47.26,47.26,47.26,47.26,0,0
20171027,FI-INFOC,Fonds,47.21,47.21,47.21,47.21,0,0
20171026,FI-INFOC,Fonds,46.87,46.87,46.87,46.87,0,0
20171025,FI-INFOC,Fonds,46.93,46.93,46.93,46.93,0,0
20171024,FI-INFOC,Fonds,46.86,46.86,46.86,46.86,0,0
20171023,FI-INFOC,Fonds,46.81,46.81,46.81,46.81,0,0
20171020,FI-INFOC,Fonds,46.78,46.78,46.78,46.78,0,0
20171019,FI-INFOC,Fonds,46.86,46.86,46.86,46.86,0,0
20171018,FI-INFOC,Fonds,46.76,46.76,46.76,46.76,0,0
20171017,FI-INFOC,Fonds,47.15,47.15,47.15,47.15,0,0
20171016,FI-INFOC,Fonds,46.97,46.97,46.97,46.97,0,0
20171013,FI-INFOC,Fonds,46.39,46.39,46.39,46.39,0,0
20171012,FI-INFOC,Fonds,45.68,45.68,45.68,45.68,0,0
20171011,FI-INFOC,Fonds,46.04,46.04,46.04,46.04,0,0
20171010,FI-INFOC,Fonds,45.54,45.54,45.54,45.54,0,0
20171009,FI-INFOC,Fonds,45.41,45.41,45.41,45.41,0,0
20171006,FI-INFOC,Fonds,45.77,45.77,45.77,45.77,0,0
20171005,FI-INFOC,Fonds,45.59,45.59,45.59,45.59,0,0
20171004,FI-INFOC,Fonds,45.26,45.26,45.26,45.26,0,0
20171003,FI-INFOC,Fonds,44.73,44.73,44.73,44.73,0,0
20171002,FI-INFOC,Fonds,44.91,44.91,44.91,44.91,0,0
20170929,FI-INFOC,Fonds,44.58,44.58,44.58,44.58,0,0
20170928,FI-INFOC,Fonds,44.09,44.09,44.09,44.09,0,0
20170927,FI-INFOC,Fonds,44.89,44.89,44.89,44.89,0,0
20170926,FI-INFOC,Fonds,44.83,44.83,44.83,44.83,0,0
20170925,FI-INFOC,Fonds,45.74,45.74,45.74,45.74,0,0
20170921,FI-INFOC,Fonds,46.88,46.88,46.88,46.88,0,0
20170920,FI-INFOC,Fonds,46.99,46.99,46.99,46.99,0,0
20170919,FI-INFOC,Fonds,47.10,47.10,47.10,47.10,0,0
20170918,FI-INFOC,Fonds,46.96,46.96,46.96,46.96,0,0
20170915,FI-INFOC,Fonds,46.81,46.81,46.81,46.81,0,0
20170914,FI-INFOC,Fonds,46.75,46.75,46.75,46.75,0,0
20170913,FI-INFOC,Fonds,47.04,47.04,47.04,47.04,0,0
20170911,FI-INFOC,Fonds,46.20,46.20,46.20,46.20,0,0
20170908,FI-INFOC,Fonds,46.31,46.31,46.31,46.31,0,0
20170907,FI-INFOC,Fonds,46.17,46.17,46.17,46.17,0,0
20170906,FI-INFOC,Fonds,46.10,46.10,46.10,46.10,0,0
20170905,FI-INFOC,Fonds,45.96,45.96,45.96,45.96,0,0
20170904,FI-INFOC,Fonds,46.33,46.33,46.33,46.33,0,0
20170901,FI-INFOC,Fonds,45.98,45.98,45.98,45.98,0,0
20170831,FI-INFOC,Fonds,45.77,45.77,45.77,45.77,0,0
20170830,FI-INFOC,Fonds,45.61,45.61,45.61,45.61,0,0
20170829,FI-INFOC,Fonds,46.17,46.17,46.17,46.17,0,0
20170825,FI-INFOC,Fonds,45.75,45.75,45.75,45.75,0,0
20170824,FI-INFOC,Fonds,45.68,45.68,45.68,45.68,0,0
20170823,FI-INFOC,Fonds,45.52,45.52,45.52,45.52,0,0
20170822,FI-INFOC,Fonds,45.41,45.41,45.41,45.41,0,0
20170821,FI-INFOC,Fonds,45.62,45.62,45.62,45.62,0,0
20170818,FI-INFOC,Fonds,45.75,45.75,45.75,45.75,0,0
20170817,FI-INFOC,Fonds,45.62,45.62,45.62,45.62,0,0
20170816,FI-INFOC,Fonds,45.02,45.02,45.02,45.02,0,0
20170815,FI-INFOC,Fonds,45.33,45.33,45.33,45.33,0,0
20170814,FI-INFOC,Fonds,44.66,44.66,44.66,44.66,0,0
20170811,FI-INFOC,Fonds,45.04,45.04,45.04,45.04,0,0
20170810,FI-INFOC,Fonds,45.92,45.92,45.92,45.92,0,0
20170809,FI-INFOC,Fonds,46.48,46.48,46.48,46.48,0,0
20170808,FI-INFOC,Fonds,46.55,46.55,46.55,46.55,0,0
20170807,FI-INFOC,Fonds,46.66,46.66,46.66,46.66,0,0
20170804,FI-INFOC,Fonds,46.56,46.56,46.56,46.56,0,0
20170803,FI-INFOC,Fonds,46.71,46.71,46.71,46.71,0,0
20170802,FI-INFOC,Fonds,46.56,46.56,46.56,46.56,0,0
20170801,FI-INFOC,Fonds,46.45,46.45,46.45,46.45,0,0
20170731,FI-INFOC,Fonds,46.42,46.42,46.42,46.42,0,0
20170727,FI-INFOC,Fonds,46.38,46.38,46.38,46.38,0,0
20170725,FI-INFOC,Fonds,46.01,46.01,46.01,46.01,0,0
20170724,FI-INFOC,Fonds,45.70,45.70,45.70,45.70,0,0
20170720,FI-INFOC,Fonds,45.84,45.84,45.84,45.84,0,0
20170719,FI-INFOC,Fonds,45.52,45.52,45.52,45.52,0,0
20170718,FI-INFOC,Fonds,45.97,45.97,45.97,45.97,0,0
20170717,FI-INFOC,Fonds,46.16,46.16,46.16,46.16,0,0
20170714,FI-INFOC,Fonds,45.93,45.93,45.93,45.93,0,0
20170713,FI-INFOC,Fonds,45.71,45.71,45.71,45.71,0,0
20170712,FI-INFOC,Fonds,45.28,45.28,45.28,45.28,0,0
20170711,FI-INFOC,Fonds,45.54,45.54,45.54,45.54,0,0
20170710,FI-INFOC,Fonds,44.81,44.81,44.81,44.81,0,0
20170707,FI-INFOC,Fonds,44.66,44.66,44.66,44.66,0,0
20170706,FI-INFOC,Fonds,44.59,44.59,44.59,44.59,0,0
20170705,FI-INFOC,Fonds,44.44,44.44,44.44,44.44,0,0
20170704,FI-INFOC,Fonds,44.44,44.44,44.44,44.44,0,0
20170703,FI-INFOC,Fonds,44.06,44.06,44.06,44.06,0,0
20170630,FI-INFOC,Fonds,43.76,43.76,43.76,43.76,0,0
20170629,FI-INFOC,Fonds,43.98,43.98,43.98,43.98,0,0
20170628,FI-INFOC,Fonds,44.08,44.08,44.08,44.08,0,0
20170627,FI-INFOC,Fonds,44.50,44.50,44.50,44.50,0,0
20170626,FI-INFOC,Fonds,44.43,44.43,44.43,44.43,0,0
20170623,FI-INFOC,Fonds,44.61,44.61,44.61,44.61,0,0
20170622,FI-INFOC,Fonds,44.70,44.70,44.70,44.70,0,0
20170621,FI-INFOC,Fonds,44.61,44.61,44.61,44.61,0,0
20170620,FI-INFOC,Fonds,44.85,44.85,44.85,44.85,0,0
20170619,FI-INFOC,Fonds,44.45,44.45,44.45,44.45,0,0
20170616,FI-INFOC,Fonds,44.48,44.48,44.48,44.48,0,0
20170615,FI-INFOC,Fonds,45.08,45.08,45.08,45.08,0,0
20170614,FI-INFOC,Fonds,44.74,44.74,44.74,44.74,0,0
20170613,FI-INFOC,Fonds,44.55,44.55,44.55,44.55,0,0
20170612,FI-INFOC,Fonds,44.94,44.94,44.94,44.94,0,0
20170609,FI-INFOC,Fonds,44.87,44.87,44.87,44.87,0,0
20170608,FI-INFOC,Fonds,44.72,44.72,44.72,44.72,0,0
20170607,FI-INFOC,Fonds,44.63,44.63,44.63,44.63,0,0
20170606,FI-INFOC,Fonds,44.67,44.67,44.67,44.67,0,0
20170601,FI-INFOC,Fonds,44.36,44.36,44.36,44.36,0,0
20170531,FI-INFOC,Fonds,44.02,44.02,44.02,44.02,0,0
20170530,FI-INFOC,Fonds,43.88,43.88,43.88,43.88,0,0
20170529,FI-INFOC,Fonds,43.74,43.74,43.74,43.74,0,0
20170526,FI-INFOC,Fonds,43.37,43.37,43.37,43.37,0,0
20170524,FI-INFOC,Fonds,42.81,42.81,42.81,42.81,0,0
20170523,FI-INFOC,Fonds,43.38,43.38,43.38,43.38,0,0
20170519,FI-INFOC,Fonds,43.38,43.38,43.38,43.38,0,0
20170518,FI-INFOC,Fonds,43.93,43.93,43.93,43.93,0,0
20170515,FI-INFOC,Fonds,43.97,43.97,43.97,43.97,0,0
20170512,FI-INFOC,Fonds,43.71,43.71,43.71,43.71,0,0
20170511,FI-INFOC,Fonds,43.39,43.39,43.39,43.39,0,0
20170510,FI-INFOC,Fonds,43.31,43.31,43.31,43.31,0,0
20170509,FI-INFOC,Fonds,42.84,42.84,42.84,42.84,0,0
20170508,FI-INFOC,Fonds,42.94,42.94,42.94,42.94,0,0
20170505,FI-INFOC,Fonds,43.21,43.21,43.21,43.21,0,0
20170504,FI-INFOC,Fonds,43.24,43.24,43.24,43.24,0,0
20170503,FI-INFOC,Fonds,43.41,43.41,43.41,43.41,0,0
20170502,FI-INFOC,Fonds,43.22,43.22,43.22,43.22,0,0
20170428,FI-INFOC,Fonds,43.30,43.30,43.30,43.30,0,0
20170427,FI-INFOC,Fonds,43.50,43.50,43.50,43.50,0,0
20170426,FI-INFOC,Fonds,43.21,43.21,43.21,43.21,0,0
20170425,FI-INFOC,Fonds,42.73,42.73,42.73,42.73,0,0
20170424,FI-INFOC,Fonds,42.17,42.17,42.17,42.17,0,0
20170421,FI-INFOC,Fonds,42.40,42.40,42.40,42.40,0,0
20170420,FI-INFOC,Fonds,42.40,42.40,42.40,42.40,0,0
20170419,FI-INFOC,Fonds,42.04,42.04,42.04,42.04,0,0
20170418,FI-INFOC,Fonds,42.32,42.32,42.32,42.32,0,0
20170412,FI-INFOC,Fonds,42.44,42.44,42.44,42.44,0,0
20170411,FI-INFOC,Fonds,42.46,42.46,42.46,42.46,0,0
20170410,FI-INFOC,Fonds,42.79,42.79,42.79,42.79,0,0
20170407,FI-INFOC,Fonds,42.65,42.65,42.65,42.65,0,0
20170406,FI-INFOC,Fonds,42.46,42.46,42.46,42.46,0,0
20170405,FI-INFOC,Fonds,42.29,42.29,42.29,42.29,0,0
20170404,FI-INFOC,Fonds,42.29,42.29,42.29,42.29,0,0
20170403,FI-INFOC,Fonds,42.18,42.18,42.18,42.18,0,0
