quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-LATIN,Fonds,34.91,34.91,34.91,34.91,0,0
20171108,FI-LATIN,Fonds,34.49,34.49,34.49,34.49,0,0
20171107,FI-LATIN,Fonds,35.04,35.04,35.04,35.04,0,0
20171106,FI-LATIN,Fonds,34.70,34.70,34.70,34.70,0,0
20171103,FI-LATIN,Fonds,35.04,35.04,35.04,35.04,0,0
20171102,FI-LATIN,Fonds,35.38,35.38,35.38,35.38,0,0
20171031,FI-LATIN,Fonds,35.64,35.64,35.64,35.64,0,0
20171030,FI-LATIN,Fonds,36.13,36.13,36.13,36.13,0,0
20171027,FI-LATIN,Fonds,36.56,36.56,36.56,36.56,0,0
20171026,FI-LATIN,Fonds,36.40,36.40,36.40,36.40,0,0
20171025,FI-LATIN,Fonds,36.42,36.42,36.42,36.42,0,0
20171024,FI-LATIN,Fonds,36.64,36.64,36.64,36.64,0,0
20171023,FI-LATIN,Fonds,37.26,37.26,37.26,37.26,0,0
20171020,FI-LATIN,Fonds,37.02,37.02,37.02,37.02,0,0
20171019,FI-LATIN,Fonds,37.31,37.31,37.31,37.31,0,0
20171018,FI-LATIN,Fonds,37.01,37.01,37.01,37.01,0,0
20171017,FI-LATIN,Fonds,37.39,37.39,37.39,37.39,0,0
20171016,FI-LATIN,Fonds,37.63,37.63,37.63,37.63,0,0
20171013,FI-LATIN,Fonds,37.66,37.66,37.66,37.66,0,0
20171012,FI-LATIN,Fonds,37.75,37.75,37.75,37.75,0,0
20171011,FI-LATIN,Fonds,37.55,37.55,37.55,37.55,0,0
20171010,FI-LATIN,Fonds,37.19,37.19,37.19,37.19,0,0
20171009,FI-LATIN,Fonds,37.74,37.74,37.74,37.74,0,0
20171006,FI-LATIN,Fonds,38.45,38.45,38.45,38.45,0,0
20171005,FI-LATIN,Fonds,38.40,38.40,38.40,38.40,0,0
20171004,FI-LATIN,Fonds,37.88,37.88,37.88,37.88,0,0
20171003,FI-LATIN,Fonds,37.13,37.13,37.13,37.13,0,0
20171002,FI-LATIN,Fonds,37.09,37.09,37.09,37.09,0,0
20170929,FI-LATIN,Fonds,36.53,36.53,36.53,36.53,0,0
20170928,FI-LATIN,Fonds,36.45,36.45,36.45,36.45,0,0
20170927,FI-LATIN,Fonds,37.15,37.15,37.15,37.15,0,0
20170926,FI-LATIN,Fonds,37.29,37.29,37.29,37.29,0,0
20170925,FI-LATIN,Fonds,38.04,38.04,38.04,38.04,0,0
20170921,FI-LATIN,Fonds,37.89,37.89,37.89,37.89,0,0
20170920,FI-LATIN,Fonds,37.60,37.60,37.60,37.60,0,0
20170919,FI-LATIN,Fonds,37.81,37.81,37.81,37.81,0,0
20170918,FI-LATIN,Fonds,37.67,37.67,37.67,37.67,0,0
20170915,FI-LATIN,Fonds,37.42,37.42,37.42,37.42,0,0
20170914,FI-LATIN,Fonds,37.22,37.22,37.22,37.22,0,0
20170913,FI-LATIN,Fonds,37.48,37.48,37.48,37.48,0,0
20170911,FI-LATIN,Fonds,36.91,36.91,36.91,36.91,0,0
20170908,FI-LATIN,Fonds,37.13,37.13,37.13,37.13,0,0
20170907,FI-LATIN,Fonds,36.84,36.84,36.84,36.84,0,0
20170906,FI-LATIN,Fonds,36.29,36.29,36.29,36.29,0,0
20170905,FI-LATIN,Fonds,36.14,36.14,36.14,36.14,0,0
20170904,FI-LATIN,Fonds,36.34,36.34,36.34,36.34,0,0
20170901,FI-LATIN,Fonds,35.80,35.80,35.80,35.80,0,0
20170831,FI-LATIN,Fonds,35.78,35.78,35.78,35.78,0,0
20170830,FI-LATIN,Fonds,35.80,35.80,35.80,35.80,0,0
20170829,FI-LATIN,Fonds,35.93,35.93,35.93,35.93,0,0
20170825,FI-LATIN,Fonds,36.07,36.07,36.07,36.07,0,0
20170824,FI-LATIN,Fonds,35.73,35.73,35.73,35.73,0,0
20170823,FI-LATIN,Fonds,35.79,35.79,35.79,35.79,0,0
20170822,FI-LATIN,Fonds,35.46,35.46,35.46,35.46,0,0
20170821,FI-LATIN,Fonds,35.16,35.16,35.16,35.16,0,0
20170818,FI-LATIN,Fonds,35.05,35.05,35.05,35.05,0,0
20170817,FI-LATIN,Fonds,35.05,35.05,35.05,35.05,0,0
20170816,FI-LATIN,Fonds,34.93,34.93,34.93,34.93,0,0
20170815,FI-LATIN,Fonds,34.93,34.93,34.93,34.93,0,0
20170814,FI-LATIN,Fonds,34.43,34.43,34.43,34.43,0,0
20170811,FI-LATIN,Fonds,34.45,34.45,34.45,34.45,0,0
20170810,FI-LATIN,Fonds,34.52,34.52,34.52,34.52,0,0
20170809,FI-LATIN,Fonds,35.03,35.03,35.03,35.03,0,0
20170808,FI-LATIN,Fonds,34.71,34.71,34.71,34.71,0,0
20170807,FI-LATIN,Fonds,34.68,34.68,34.68,34.68,0,0
20170804,FI-LATIN,Fonds,34.69,34.69,34.69,34.69,0,0
20170803,FI-LATIN,Fonds,34.74,34.74,34.74,34.74,0,0
20170802,FI-LATIN,Fonds,34.51,34.51,34.51,34.51,0,0
20170801,FI-LATIN,Fonds,34.18,34.18,34.18,34.18,0,0
20170731,FI-LATIN,Fonds,34.08,34.08,34.08,34.08,0,0
20170727,FI-LATIN,Fonds,34.20,34.20,34.20,34.20,0,0
20170725,FI-LATIN,Fonds,34.05,34.05,34.05,34.05,0,0
20170724,FI-LATIN,Fonds,34.09,34.09,34.09,34.09,0,0
20170720,FI-LATIN,Fonds,34.02,34.02,34.02,34.02,0,0
20170719,FI-LATIN,Fonds,33.85,33.85,33.85,33.85,0,0
20170718,FI-LATIN,Fonds,33.72,33.72,33.72,33.72,0,0
20170717,FI-LATIN,Fonds,33.74,33.74,33.74,33.74,0,0
20170714,FI-LATIN,Fonds,33.33,33.33,33.33,33.33,0,0
20170713,FI-LATIN,Fonds,32.84,32.84,32.84,32.84,0,0
20170712,FI-LATIN,Fonds,32.34,32.34,32.34,32.34,0,0
20170711,FI-LATIN,Fonds,32.12,32.12,32.12,32.12,0,0
20170710,FI-LATIN,Fonds,31.64,31.64,31.64,31.64,0,0
20170707,FI-LATIN,Fonds,31.56,31.56,31.56,31.56,0,0
20170706,FI-LATIN,Fonds,31.63,31.63,31.63,31.63,0,0
20170705,FI-LATIN,Fonds,31.73,31.73,31.73,31.73,0,0
20170704,FI-LATIN,Fonds,31.70,31.70,31.70,31.70,0,0
20170703,FI-LATIN,Fonds,31.63,31.63,31.63,31.63,0,0
20170630,FI-LATIN,Fonds,31.25,31.25,31.25,31.25,0,0
20170629,FI-LATIN,Fonds,31.37,31.37,31.37,31.37,0,0
20170628,FI-LATIN,Fonds,31.31,31.31,31.31,31.31,0,0
20170627,FI-LATIN,Fonds,31.44,31.44,31.44,31.44,0,0
20170626,FI-LATIN,Fonds,31.07,31.07,31.07,31.07,0,0
20170623,FI-LATIN,Fonds,30.87,30.87,30.87,30.87,0,0
20170622,FI-LATIN,Fonds,30.94,30.94,30.94,30.94,0,0
20170621,FI-LATIN,Fonds,31.12,31.12,31.12,31.12,0,0
20170620,FI-LATIN,Fonds,31.64,31.64,31.64,31.64,0,0
20170619,FI-LATIN,Fonds,31.35,31.35,31.35,31.35,0,0
20170616,FI-LATIN,Fonds,31.29,31.29,31.29,31.29,0,0
20170615,FI-LATIN,Fonds,31.73,31.73,31.73,31.73,0,0
20170614,FI-LATIN,Fonds,31.22,31.22,31.22,31.22,0,0
20170613,FI-LATIN,Fonds,31.15,31.15,31.15,31.15,0,0
20170612,FI-LATIN,Fonds,31.62,31.62,31.62,31.62,0,0
20170609,FI-LATIN,Fonds,31.61,31.61,31.61,31.61,0,0
20170608,FI-LATIN,Fonds,31.79,31.79,31.79,31.79,0,0
20170607,FI-LATIN,Fonds,31.51,31.51,31.51,31.51,0,0
20170606,FI-LATIN,Fonds,31.38,31.38,31.38,31.38,0,0
20170601,FI-LATIN,Fonds,31.64,31.64,31.64,31.64,0,0
20170531,FI-LATIN,Fonds,31.75,31.75,31.75,31.75,0,0
20170530,FI-LATIN,Fonds,31.77,31.77,31.77,31.77,0,0
20170529,FI-LATIN,Fonds,31.92,31.92,31.92,31.92,0,0
20170526,FI-LATIN,Fonds,31.48,31.48,31.48,31.48,0,0
20170524,FI-LATIN,Fonds,31.30,31.30,31.30,31.30,0,0
20170523,FI-LATIN,Fonds,30.80,30.80,30.80,30.80,0,0
20170519,FI-LATIN,Fonds,31.45,31.45,31.45,31.45,0,0
20170518,FI-LATIN,Fonds,34.09,34.09,34.09,34.09,0,0
20170515,FI-LATIN,Fonds,34.28,34.28,34.28,34.28,0,0
20170512,FI-LATIN,Fonds,34.04,34.04,34.04,34.04,0,0
20170511,FI-LATIN,Fonds,33.62,33.62,33.62,33.62,0,0
20170510,FI-LATIN,Fonds,33.42,33.42,33.42,33.42,0,0
20170509,FI-LATIN,Fonds,32.88,32.88,32.88,32.88,0,0
20170508,FI-LATIN,Fonds,32.63,32.63,32.63,32.63,0,0
20170505,FI-LATIN,Fonds,32.35,32.35,32.35,32.35,0,0
20170504,FI-LATIN,Fonds,32.97,32.97,32.97,32.97,0,0
20170503,FI-LATIN,Fonds,32.90,32.90,32.90,32.90,0,0
20170502,FI-LATIN,Fonds,32.57,32.57,32.57,32.57,0,0
20170428,FI-LATIN,Fonds,31.88,31.88,31.88,31.88,0,0
20170427,FI-LATIN,Fonds,31.93,31.93,31.93,31.93,0,0
20170426,FI-LATIN,Fonds,32.12,32.12,32.12,32.12,0,0
20170425,FI-LATIN,Fonds,32.61,32.61,32.61,32.61,0,0
20170424,FI-LATIN,Fonds,32.11,32.11,32.11,32.11,0,0
20170421,FI-LATIN,Fonds,32.18,32.18,32.18,32.18,0,0
20170420,FI-LATIN,Fonds,32.18,32.18,32.18,32.18,0,0
20170419,FI-LATIN,Fonds,32.70,32.70,32.70,32.70,0,0
20170418,FI-LATIN,Fonds,32.39,32.39,32.39,32.39,0,0
20170412,FI-LATIN,Fonds,32.24,32.24,32.24,32.24,0,0
20170411,FI-LATIN,Fonds,32.24,32.24,32.24,32.24,0,0
20170410,FI-LATIN,Fonds,32.69,32.69,32.69,32.69,0,0
20170407,FI-LATIN,Fonds,32.61,32.61,32.61,32.61,0,0
20170406,FI-LATIN,Fonds,32.93,32.93,32.93,32.93,0,0
20170405,FI-LATIN,Fonds,32.62,32.62,32.62,32.62,0,0
20170404,FI-LATIN,Fonds,32.48,32.48,32.48,32.48,0,0
20170403,FI-LATIN,Fonds,32.23,32.23,32.23,32.23,0,0
20170331,FI-LATIN,Fonds,32.66,32.66,32.66,32.66,0,0
20170330,FI-LATIN,Fonds,32.74,32.74,32.74,32.74,0,0
20170329,FI-LATIN,Fonds,32.43,32.43,32.43,32.43,0,0
20170328,FI-LATIN,Fonds,32.25,32.25,32.25,32.25,0,0
20170327,FI-LATIN,Fonds,32.36,32.36,32.36,32.36,0,0
20170324,FI-LATIN,Fonds,32.12,32.12,32.12,32.12,0,0
20170323,FI-LATIN,Fonds,32.07,32.07,32.07,32.07,0,0
20170322,FI-LATIN,Fonds,32.03,32.03,32.03,32.03,0,0
20170321,FI-LATIN,Fonds,32.57,32.57,32.57,32.57,0,0
20170320,FI-LATIN,Fonds,32.24,32.24,32.24,32.24,0,0
20170316,FI-LATIN,Fonds,32.53,32.53,32.53,32.53,0,0
20170315,FI-LATIN,Fonds,31.55,31.55,31.55,31.55,0,0
20170314,FI-LATIN,Fonds,31.65,31.65,31.65,31.65,0,0
20170313,FI-LATIN,Fonds,31.44,31.44,31.44,31.44,0,0
20170310,FI-LATIN,Fonds,31.13,31.13,31.13,31.13,0,0
20170308,FI-LATIN,Fonds,31.40,31.40,31.40,31.40,0,0
20170307,FI-LATIN,Fonds,32.07,32.07,32.07,32.07,0,0
20170303,FI-LATIN,Fonds,31.68,31.68,31.68,31.68,0,0
20170302,FI-LATIN,Fonds,32.24,32.24,32.24,32.24,0,0
20170228,FI-LATIN,Fonds,31.81,31.81,31.81,31.81,0,0
20170224,FI-LATIN,Fonds,32.17,32.17,32.17,32.17,0,0
20170223,FI-LATIN,Fonds,33.03,33.03,33.03,33.03,0,0
20170221,FI-LATIN,Fonds,32.71,32.71,32.71,32.71,0,0
20170220,FI-LATIN,Fonds,32.45,32.45,32.45,32.45,0,0
20170217,FI-LATIN,Fonds,32.10,32.10,32.10,32.10,0,0
20170216,FI-LATIN,Fonds,32.55,32.55,32.55,32.55,0,0
20170215,FI-LATIN,Fonds,31.85,31.85,31.85,31.85,0,0
20170213,FI-LATIN,Fonds,31.86,31.86,31.86,31.86,0,0
20170210,FI-LATIN,Fonds,31.34,31.34,31.34,31.34,0,0
20170208,FI-LATIN,Fonds,31.13,31.13,31.13,31.13,0,0
20170207,FI-LATIN,Fonds,31.09,31.09,31.09,31.09,0,0
20170206,FI-LATIN,Fonds,31.30,31.30,31.30,31.30,0,0
20170202,FI-LATIN,Fonds,30.97,30.97,30.97,30.97,0,0
20170201,FI-LATIN,Fonds,30.72,30.72,30.72,30.72,0,0
20170130,FI-LATIN,Fonds,30.80,30.80,30.80,30.80,0,0
20170127,FI-LATIN,Fonds,30.92,30.92,30.92,30.92,0,0
20170126,FI-LATIN,Fonds,30.77,30.77,30.77,30.77,0,0
20170125,FI-LATIN,Fonds,31.00,31.00,31.00,31.00,0,0
20170124,FI-LATIN,Fonds,30.82,30.82,30.82,30.82,0,0
20170123,FI-LATIN,Fonds,30.41,30.41,30.41,30.41,0,0
20170120,FI-LATIN,Fonds,29.82,29.82,29.82,29.82,0,0
20170119,FI-LATIN,Fonds,29.64,29.64,29.64,29.64,0,0
20170118,FI-LATIN,Fonds,29.68,29.68,29.68,29.68,0,0
20170117,FI-LATIN,Fonds,29.84,29.84,29.84,29.84,0,0
20170116,FI-LATIN,Fonds,29.61,29.61,29.61,29.61,0,0
20170113,FI-LATIN,Fonds,29.79,29.79,29.79,29.79,0,0
20170112,FI-LATIN,Fonds,29.90,29.90,29.90,29.90,0,0
20170111,FI-LATIN,Fonds,28.89,28.89,28.89,28.89,0,0
20170110,FI-LATIN,Fonds,29.08,29.08,29.08,29.08,0,0
20170109,FI-LATIN,Fonds,29.08,29.08,29.08,29.08,0,0
20170106,FI-LATIN,Fonds,29.08,29.08,29.08,29.08,0,0
20170105,FI-LATIN,Fonds,29.16,29.16,29.16,29.16,0,0
20170104,FI-LATIN,Fonds,28.84,28.84,28.84,28.84,0,0
20170103,FI-LATIN,Fonds,28.69,28.69,28.69,28.69,0,0
20170102,FI-LATIN,Fonds,28.10,28.10,28.10,28.10,0,0
20161230,FI-LATIN,Fonds,28.21,28.21,28.21,28.21,0,0
20161229,FI-LATIN,Fonds,28.33,28.33,28.33,28.33,0,0
20161228,FI-LATIN,Fonds,28.03,28.03,28.03,28.03,0,0
20161227,FI-LATIN,Fonds,27.72,27.72,27.72,27.72,0,0
20161222,FI-LATIN,Fonds,26.90,26.90,26.90,26.90,0,0
20161221,FI-LATIN,Fonds,26.98,26.98,26.98,26.98,0,0
20161220,FI-LATIN,Fonds,26.92,26.92,26.92,26.92,0,0
20161219,FI-LATIN,Fonds,27.06,27.06,27.06,27.06,0,0
20161216,FI-LATIN,Fonds,27.43,27.43,27.43,27.43,0,0
20161215,FI-LATIN,Fonds,27.14,27.14,27.14,27.14,0,0
20161214,FI-LATIN,Fonds,27.93,27.93,27.93,27.93,0,0
20161213,FI-LATIN,Fonds,27.85,27.85,27.85,27.85,0,0
20161212,FI-LATIN,Fonds,27.81,27.81,27.81,27.81,0,0
20161209,FI-LATIN,Fonds,28.19,28.19,28.19,28.19,0,0
20161208,FI-LATIN,Fonds,27.93,27.93,27.93,27.93,0,0
20161207,FI-LATIN,Fonds,27.90,27.90,27.90,27.90,0,0
20161206,FI-LATIN,Fonds,27.55,27.55,27.55,27.55,0,0
20161205,FI-LATIN,Fonds,27.41,27.41,27.41,27.41,0,0
20161202,FI-LATIN,Fonds,27.23,27.23,27.23,27.23,0,0
20161201,FI-LATIN,Fonds,27.23,27.23,27.23,27.23,0,0
20161130,FI-LATIN,Fonds,28.33,28.33,28.33,28.33,0,0
20161129,FI-LATIN,Fonds,28.17,28.17,28.17,28.17,0,0
20161128,FI-LATIN,Fonds,28.30,28.30,28.30,28.30,0,0
20161125,FI-LATIN,Fonds,27.89,27.89,27.89,27.89,0,0
20161124,FI-LATIN,Fonds,28.13,28.13,28.13,28.13,0,0
20161123,FI-LATIN,Fonds,28.01,28.01,28.01,28.01,0,0
20161122,FI-LATIN,Fonds,28.29,28.29,28.29,28.29,0,0
20161121,FI-LATIN,Fonds,28.12,28.12,28.12,28.12,0,0
20161118,FI-LATIN,Fonds,27.55,27.55,27.55,27.55,0,0
20161117,FI-LATIN,Fonds,28.03,28.03,28.03,28.03,0,0
20161116,FI-LATIN,Fonds,28.00,28.00,28.00,28.00,0,0
20161115,FI-LATIN,Fonds,28.15,28.15,28.15,28.15,0,0
20161114,FI-LATIN,Fonds,27.33,27.33,27.33,27.33,0,0
20161111,FI-LATIN,Fonds,27.54,27.54,27.54,27.54,0,0
20161110,FI-LATIN,Fonds,28.77,28.77,28.77,28.77,0,0
20161109,FI-LATIN,Fonds,31.12,31.12,31.12,31.12,0,0
20161108,FI-LATIN,Fonds,32.19,32.19,32.19,32.19,0,0
20161107,FI-LATIN,Fonds,31.77,31.77,31.77,31.77,0,0
20161104,FI-LATIN,Fonds,30.72,30.72,30.72,30.72,0,0
20161103,FI-LATIN,Fonds,30.44,30.44,30.44,30.44,0,0
20161102,FI-LATIN,Fonds,30.38,30.38,30.38,30.38,0,0
