quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-MASUS,Fonds,12.01,12.01,12.01,12.01,0,0
20171108,FI-MASUS,Fonds,12.01,12.01,12.01,12.01,0,0
20171107,FI-MASUS,Fonds,12.02,12.02,12.02,12.02,0,0
20171106,FI-MASUS,Fonds,12.02,12.02,12.02,12.02,0,0
20171103,FI-MASUS,Fonds,12.03,12.03,12.03,12.03,0,0
20171102,FI-MASUS,Fonds,11.98,11.98,11.98,11.98,0,0
20171031,FI-MASUS,Fonds,11.97,11.97,11.97,11.97,0,0
20171030,FI-MASUS,Fonds,11.95,11.95,11.95,11.95,0,0
20171027,FI-MASUS,Fonds,11.95,11.95,11.95,11.95,0,0
20171026,FI-MASUS,Fonds,11.95,11.95,11.95,11.95,0,0
20171025,FI-MASUS,Fonds,11.95,11.95,11.95,11.95,0,0
20171024,FI-MASUS,Fonds,11.92,11.92,11.92,11.92,0,0
20171023,FI-MASUS,Fonds,11.92,11.92,11.92,11.92,0,0
20171020,FI-MASUS,Fonds,11.91,11.91,11.91,11.91,0,0
20171019,FI-MASUS,Fonds,11.90,11.90,11.90,11.90,0,0
20171018,FI-MASUS,Fonds,11.87,11.87,11.87,11.87,0,0
20171017,FI-MASUS,Fonds,11.88,11.88,11.88,11.88,0,0
20171016,FI-MASUS,Fonds,11.89,11.89,11.89,11.89,0,0
20171013,FI-MASUS,Fonds,11.89,11.89,11.89,11.89,0,0
20171012,FI-MASUS,Fonds,11.86,11.86,11.86,11.86,0,0
20171011,FI-MASUS,Fonds,11.84,11.84,11.84,11.84,0,0
20171010,FI-MASUS,Fonds,11.82,11.82,11.82,11.82,0,0
20171009,FI-MASUS,Fonds,11.82,11.82,11.82,11.82,0,0
20171006,FI-MASUS,Fonds,11.82,11.82,11.82,11.82,0,0
20171005,FI-MASUS,Fonds,11.81,11.81,11.81,11.81,0,0
20171004,FI-MASUS,Fonds,11.82,11.82,11.82,11.82,0,0
20171003,FI-MASUS,Fonds,11.82,11.82,11.82,11.82,0,0
20171002,FI-MASUS,Fonds,11.83,11.83,11.83,11.83,0,0
20170929,FI-MASUS,Fonds,11.81,11.81,11.81,11.81,0,0
20170928,FI-MASUS,Fonds,11.80,11.80,11.80,11.80,0,0
20170927,FI-MASUS,Fonds,11.79,11.79,11.79,11.79,0,0
20170926,FI-MASUS,Fonds,11.80,11.80,11.80,11.80,0,0
20170925,FI-MASUS,Fonds,11.78,11.78,11.78,11.78,0,0
