quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-PACIF,Fonds,37.86,37.86,37.86,37.86,0,0
20171117,FI-PACIF,Fonds,37.71,37.71,37.71,37.71,0,0
20171116,FI-PACIF,Fonds,37.25,37.25,37.25,37.25,0,0
20171115,FI-PACIF,Fonds,37.41,37.41,37.41,37.41,0,0
20171114,FI-PACIF,Fonds,37.63,37.63,37.63,37.63,0,0
20171113,FI-PACIF,Fonds,37.45,37.45,37.45,37.45,0,0
20171110,FI-PACIF,Fonds,37.54,37.54,37.54,37.54,0,0
20171109,FI-PACIF,Fonds,37.60,37.60,37.60,37.60,0,0
20171108,FI-PACIF,Fonds,37.38,37.38,37.38,37.38,0,0
20171107,FI-PACIF,Fonds,37.40,37.40,37.40,37.40,0,0
20171106,FI-PACIF,Fonds,37.25,37.25,37.25,37.25,0,0
20171103,FI-PACIF,Fonds,37.25,37.25,37.25,37.25,0,0
20171102,FI-PACIF,Fonds,36.97,36.97,36.97,36.97,0,0
20171031,FI-PACIF,Fonds,36.77,36.77,36.77,36.77,0,0
20171030,FI-PACIF,Fonds,36.77,36.77,36.77,36.77,0,0
20171027,FI-PACIF,Fonds,36.57,36.57,36.57,36.57,0,0
20171026,FI-PACIF,Fonds,36.40,36.40,36.40,36.40,0,0
20171025,FI-PACIF,Fonds,36.64,36.64,36.64,36.64,0,0
20171024,FI-PACIF,Fonds,36.64,36.64,36.64,36.64,0,0
20171023,FI-PACIF,Fonds,36.59,36.59,36.59,36.59,0,0
20171020,FI-PACIF,Fonds,36.52,36.52,36.52,36.52,0,0
20171019,FI-PACIF,Fonds,36.77,36.77,36.77,36.77,0,0
20171018,FI-PACIF,Fonds,36.75,36.75,36.75,36.75,0,0
20171017,FI-PACIF,Fonds,36.88,36.88,36.88,36.88,0,0
20171016,FI-PACIF,Fonds,36.86,36.86,36.86,36.86,0,0
20171013,FI-PACIF,Fonds,36.62,36.62,36.62,36.62,0,0
20171012,FI-PACIF,Fonds,36.34,36.34,36.34,36.34,0,0
20171011,FI-PACIF,Fonds,36.38,36.38,36.38,36.38,0,0
20171010,FI-PACIF,Fonds,36.02,36.02,36.02,36.02,0,0
20171009,FI-PACIF,Fonds,35.94,35.94,35.94,35.94,0,0
20171006,FI-PACIF,Fonds,35.94,35.94,35.94,35.94,0,0
20171005,FI-PACIF,Fonds,35.87,35.87,35.87,35.87,0,0
20171004,FI-PACIF,Fonds,35.79,35.79,35.79,35.79,0,0
20171003,FI-PACIF,Fonds,35.58,35.58,35.58,35.58,0,0
20171002,FI-PACIF,Fonds,35.50,35.50,35.50,35.50,0,0
20170929,FI-PACIF,Fonds,35.20,35.20,35.20,35.20,0,0
20170928,FI-PACIF,Fonds,35.08,35.08,35.08,35.08,0,0
20170927,FI-PACIF,Fonds,35.03,35.03,35.03,35.03,0,0
20170926,FI-PACIF,Fonds,35.11,35.11,35.11,35.11,0,0
20170925,FI-PACIF,Fonds,35.54,35.54,35.54,35.54,0,0
20170921,FI-PACIF,Fonds,35.75,35.75,35.75,35.75,0,0
20170920,FI-PACIF,Fonds,35.69,35.69,35.69,35.69,0,0
20170919,FI-PACIF,Fonds,35.62,35.62,35.62,35.62,0,0
20170918,FI-PACIF,Fonds,35.51,35.51,35.51,35.51,0,0
20170915,FI-PACIF,Fonds,35.45,35.45,35.45,35.45,0,0
20170914,FI-PACIF,Fonds,35.40,35.40,35.40,35.40,0,0
20170913,FI-PACIF,Fonds,35.39,35.39,35.39,35.39,0,0
20170911,FI-PACIF,Fonds,35.16,35.16,35.16,35.16,0,0
20170908,FI-PACIF,Fonds,35.10,35.10,35.10,35.10,0,0
20170907,FI-PACIF,Fonds,34.95,34.95,34.95,34.95,0,0
20170906,FI-PACIF,Fonds,34.80,34.80,34.80,34.80,0,0
20170905,FI-PACIF,Fonds,34.96,34.96,34.96,34.96,0,0
20170904,FI-PACIF,Fonds,35.13,35.13,35.13,35.13,0,0
20170901,FI-PACIF,Fonds,35.04,35.04,35.04,35.04,0,0
20170831,FI-PACIF,Fonds,34.79,34.79,34.79,34.79,0,0
20170830,FI-PACIF,Fonds,34.68,34.68,34.68,34.68,0,0
20170829,FI-PACIF,Fonds,34.83,34.83,34.83,34.83,0,0
20170825,FI-PACIF,Fonds,34.70,34.70,34.70,34.70,0,0
20170824,FI-PACIF,Fonds,34.65,34.65,34.65,34.65,0,0
20170823,FI-PACIF,Fonds,34.60,34.60,34.60,34.60,0,0
20170822,FI-PACIF,Fonds,34.41,34.41,34.41,34.41,0,0
20170821,FI-PACIF,Fonds,34.33,34.33,34.33,34.33,0,0
