quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-SINGA,Fonds,56.79,56.79,56.79,56.79,0,0
20171108,FI-SINGA,Fonds,56.61,56.61,56.61,56.61,0,0
20171107,FI-SINGA,Fonds,56.39,56.39,56.39,56.39,0,0
20171106,FI-SINGA,Fonds,56.22,56.22,56.22,56.22,0,0
20171103,FI-SINGA,Fonds,56.37,56.37,56.37,56.37,0,0
20171102,FI-SINGA,Fonds,56.18,56.18,56.18,56.18,0,0
20171031,FI-SINGA,Fonds,56.10,56.10,56.10,56.10,0,0
20171030,FI-SINGA,Fonds,56.11,56.11,56.11,56.11,0,0
20171027,FI-SINGA,Fonds,55.79,55.79,55.79,55.79,0,0
20171026,FI-SINGA,Fonds,55.58,55.58,55.58,55.58,0,0
20171025,FI-SINGA,Fonds,55.56,55.56,55.56,55.56,0,0
20171024,FI-SINGA,Fonds,55.72,55.72,55.72,55.72,0,0
20171023,FI-SINGA,Fonds,55.68,55.68,55.68,55.68,0,0
20171020,FI-SINGA,Fonds,55.82,55.82,55.82,55.82,0,0
20171019,FI-SINGA,Fonds,55.72,55.72,55.72,55.72,0,0
20171018,FI-SINGA,Fonds,55.73,55.73,55.73,55.73,0,0
20171017,FI-SINGA,Fonds,55.89,55.89,55.89,55.89,0,0
20171016,FI-SINGA,Fonds,55.83,55.83,55.83,55.83,0,0
20171013,FI-SINGA,Fonds,55.42,55.42,55.42,55.42,0,0
20171012,FI-SINGA,Fonds,55.04,55.04,55.04,55.04,0,0
20171011,FI-SINGA,Fonds,55.08,55.08,55.08,55.08,0,0
20171010,FI-SINGA,Fonds,54.70,54.70,54.70,54.70,0,0
20171009,FI-SINGA,Fonds,54.61,54.61,54.61,54.61,0,0
20171006,FI-SINGA,Fonds,54.30,54.30,54.30,54.30,0,0
20171005,FI-SINGA,Fonds,53.89,53.89,53.89,53.89,0,0
20171004,FI-SINGA,Fonds,54.05,54.05,54.05,54.05,0,0
20171003,FI-SINGA,Fonds,54.27,54.27,54.27,54.27,0,0
20171002,FI-SINGA,Fonds,53.89,53.89,53.89,53.89,0,0
20170929,FI-SINGA,Fonds,53.88,53.88,53.88,53.88,0,0
20170928,FI-SINGA,Fonds,53.86,53.86,53.86,53.86,0,0
20170927,FI-SINGA,Fonds,53.66,53.66,53.66,53.66,0,0
20170926,FI-SINGA,Fonds,53.90,53.90,53.90,53.90,0,0
20170925,FI-SINGA,Fonds,54.24,54.24,54.24,54.24,0,0
20170921,FI-SINGA,Fonds,54.19,54.19,54.19,54.19,0,0
20170920,FI-SINGA,Fonds,54.22,54.22,54.22,54.22,0,0
20170919,FI-SINGA,Fonds,54.42,54.42,54.42,54.42,0,0
20170918,FI-SINGA,Fonds,54.05,54.05,54.05,54.05,0,0
20170915,FI-SINGA,Fonds,53.98,53.98,53.98,53.98,0,0
20170914,FI-SINGA,Fonds,54.21,54.21,54.21,54.21,0,0
20170913,FI-SINGA,Fonds,54.27,54.27,54.27,54.27,0,0
20170911,FI-SINGA,Fonds,54.45,54.45,54.45,54.45,0,0
20170908,FI-SINGA,Fonds,54.38,54.38,54.38,54.38,0,0
20170907,FI-SINGA,Fonds,54.09,54.09,54.09,54.09,0,0
20170906,FI-SINGA,Fonds,54.20,54.20,54.20,54.20,0,0
20170905,FI-SINGA,Fonds,53.92,53.92,53.92,53.92,0,0
20170904,FI-SINGA,Fonds,54.61,54.61,54.61,54.61,0,0
20170901,FI-SINGA,Fonds,54.50,54.50,54.50,54.50,0,0
20170831,FI-SINGA,Fonds,54.34,54.34,54.34,54.34,0,0
20170830,FI-SINGA,Fonds,54.39,54.39,54.39,54.39,0,0
20170829,FI-SINGA,Fonds,54.37,54.37,54.37,54.37,0,0
20170825,FI-SINGA,Fonds,54.13,54.13,54.13,54.13,0,0
20170824,FI-SINGA,Fonds,53.97,53.97,53.97,53.97,0,0
20170823,FI-SINGA,Fonds,53.99,53.99,53.99,53.99,0,0
20170822,FI-SINGA,Fonds,53.63,53.63,53.63,53.63,0,0
20170821,FI-SINGA,Fonds,53.61,53.61,53.61,53.61,0,0
20170818,FI-SINGA,Fonds,53.67,53.67,53.67,53.67,0,0
20170817,FI-SINGA,Fonds,53.70,53.70,53.70,53.70,0,0
20170816,FI-SINGA,Fonds,54.02,54.02,54.02,54.02,0,0
20170815,FI-SINGA,Fonds,54.55,54.55,54.55,54.55,0,0
20170814,FI-SINGA,Fonds,54.00,54.00,54.00,54.00,0,0
20170811,FI-SINGA,Fonds,54.34,54.34,54.34,54.34,0,0
20170810,FI-SINGA,Fonds,54.34,54.34,54.34,54.34,0,0
20170809,FI-SINGA,Fonds,54.56,54.56,54.56,54.56,0,0
20170808,FI-SINGA,Fonds,54.56,54.56,54.56,54.56,0,0
20170807,FI-SINGA,Fonds,54.55,54.55,54.55,54.55,0,0
20170804,FI-SINGA,Fonds,54.76,54.76,54.76,54.76,0,0
20170803,FI-SINGA,Fonds,54.71,54.71,54.71,54.71,0,0
20170802,FI-SINGA,Fonds,54.57,54.57,54.57,54.57,0,0
20170801,FI-SINGA,Fonds,55.10,55.10,55.10,55.10,0,0
20170731,FI-SINGA,Fonds,55.12,55.12,55.12,55.12,0,0
20170727,FI-SINGA,Fonds,55.38,55.38,55.38,55.38,0,0
20170725,FI-SINGA,Fonds,55.15,55.15,55.15,55.15,0,0
20170724,FI-SINGA,Fonds,54.79,54.79,54.79,54.79,0,0
20170720,FI-SINGA,Fonds,54.42,54.42,54.42,54.42,0,0
20170719,FI-SINGA,Fonds,54.49,54.49,54.49,54.49,0,0
20170718,FI-SINGA,Fonds,54.32,54.32,54.32,54.32,0,0
20170717,FI-SINGA,Fonds,54.11,54.11,54.11,54.11,0,0
20170714,FI-SINGA,Fonds,53.37,53.37,53.37,53.37,0,0
20170713,FI-SINGA,Fonds,53.04,53.04,53.04,53.04,0,0
20170712,FI-SINGA,Fonds,52.75,52.75,52.75,52.75,0,0
20170711,FI-SINGA,Fonds,53.19,53.19,53.19,53.19,0,0
20170710,FI-SINGA,Fonds,53.17,53.17,53.17,53.17,0,0
20170707,FI-SINGA,Fonds,53.01,53.01,53.01,53.01,0,0
20170706,FI-SINGA,Fonds,53.36,53.36,53.36,53.36,0,0
20170705,FI-SINGA,Fonds,52.84,52.84,52.84,52.84,0,0
20170704,FI-SINGA,Fonds,53.11,53.11,53.11,53.11,0,0
20170703,FI-SINGA,Fonds,53.24,53.24,53.24,53.24,0,0
20170630,FI-SINGA,Fonds,53.54,53.54,53.54,53.54,0,0
20170629,FI-SINGA,Fonds,53.17,53.17,53.17,53.17,0,0
20170628,FI-SINGA,Fonds,52.88,52.88,52.88,52.88,0,0
20170627,FI-SINGA,Fonds,52.78,52.78,52.78,52.78,0,0
20170626,FI-SINGA,Fonds,52.80,52.80,52.80,52.80,0,0
20170623,FI-SINGA,Fonds,52.80,52.80,52.80,52.80,0,0
20170622,FI-SINGA,Fonds,52.49,52.49,52.49,52.49,0,0
20170621,FI-SINGA,Fonds,52.85,52.85,52.85,52.85,0,0
20170620,FI-SINGA,Fonds,53.42,53.42,53.42,53.42,0,0
20170619,FI-SINGA,Fonds,53.07,53.07,53.07,53.07,0,0
20170616,FI-SINGA,Fonds,53.27,53.27,53.27,53.27,0,0
20170615,FI-SINGA,Fonds,53.83,53.83,53.83,53.83,0,0
20170614,FI-SINGA,Fonds,53.65,53.65,53.65,53.65,0,0
20170613,FI-SINGA,Fonds,53.43,53.43,53.43,53.43,0,0
20170612,FI-SINGA,Fonds,53.62,53.62,53.62,53.62,0,0
20170609,FI-SINGA,Fonds,53.39,53.39,53.39,53.39,0,0
20170608,FI-SINGA,Fonds,53.23,53.23,53.23,53.23,0,0
20170607,FI-SINGA,Fonds,53.37,53.37,53.37,53.37,0,0
20170606,FI-SINGA,Fonds,53.28,53.28,53.28,53.28,0,0
