quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-TAIWA,Fonds,13.30,13.30,13.30,13.30,0,0
20171117,FI-TAIWA,Fonds,13.23,13.23,13.23,13.23,0,0
20171116,FI-TAIWA,Fonds,13.22,13.22,13.22,13.22,0,0
20171115,FI-TAIWA,Fonds,13.27,13.27,13.27,13.27,0,0
20171114,FI-TAIWA,Fonds,13.25,13.25,13.25,13.25,0,0
20171113,FI-TAIWA,Fonds,13.27,13.27,13.27,13.27,0,0
20171110,FI-TAIWA,Fonds,13.28,13.28,13.28,13.28,0,0
20171109,FI-TAIWA,Fonds,13.37,13.37,13.37,13.37,0,0
20171108,FI-TAIWA,Fonds,13.38,13.38,13.38,13.38,0,0
20171107,FI-TAIWA,Fonds,13.35,13.35,13.35,13.35,0,0
20171106,FI-TAIWA,Fonds,13.39,13.39,13.39,13.39,0,0
20171103,FI-TAIWA,Fonds,13.34,13.34,13.34,13.34,0,0
20171102,FI-TAIWA,Fonds,13.37,13.37,13.37,13.37,0,0
20171031,FI-TAIWA,Fonds,13.27,13.27,13.27,13.27,0,0
20171030,FI-TAIWA,Fonds,13.25,13.25,13.25,13.25,0,0
20171027,FI-TAIWA,Fonds,13.25,13.25,13.25,13.25,0,0
20171026,FI-TAIWA,Fonds,13.21,13.21,13.21,13.21,0,0
20171025,FI-TAIWA,Fonds,13.22,13.22,13.22,13.22,0,0
20171024,FI-TAIWA,Fonds,13.25,13.25,13.25,13.25,0,0
20171023,FI-TAIWA,Fonds,13.24,13.24,13.24,13.24,0,0
20171020,FI-TAIWA,Fonds,13.30,13.30,13.30,13.30,0,0
20171019,FI-TAIWA,Fonds,13.28,13.28,13.28,13.28,0,0
20171018,FI-TAIWA,Fonds,13.32,13.32,13.32,13.32,0,0
20171017,FI-TAIWA,Fonds,13.40,13.40,13.40,13.40,0,0
20171016,FI-TAIWA,Fonds,13.36,13.36,13.36,13.36,0,0
20171013,FI-TAIWA,Fonds,13.30,13.30,13.30,13.30,0,0
20171012,FI-TAIWA,Fonds,13.18,13.18,13.18,13.18,0,0
20171011,FI-TAIWA,Fonds,13.02,13.02,13.02,13.02,0,0
20171010,FI-TAIWA,Fonds,12.93,12.93,12.93,12.93,0,0
20171009,FI-TAIWA,Fonds,12.93,12.93,12.93,12.93,0,0
20171006,FI-TAIWA,Fonds,12.93,12.93,12.93,12.93,0,0
20171005,FI-TAIWA,Fonds,12.84,12.84,12.84,12.84,0,0
20171004,FI-TAIWA,Fonds,12.86,12.86,12.86,12.86,0,0
20171003,FI-TAIWA,Fonds,12.83,12.83,12.83,12.83,0,0
20171002,FI-TAIWA,Fonds,12.78,12.78,12.78,12.78,0,0
20170929,FI-TAIWA,Fonds,12.73,12.73,12.73,12.73,0,0
20170928,FI-TAIWA,Fonds,12.77,12.77,12.77,12.77,0,0
20170927,FI-TAIWA,Fonds,12.72,12.72,12.72,12.72,0,0
20170926,FI-TAIWA,Fonds,12.74,12.74,12.74,12.74,0,0
20170925,FI-TAIWA,Fonds,12.88,12.88,12.88,12.88,0,0
20170921,FI-TAIWA,Fonds,13.00,13.00,13.00,13.00,0,0
20170920,FI-TAIWA,Fonds,13.08,13.08,13.08,13.08,0,0
20170919,FI-TAIWA,Fonds,13.14,13.14,13.14,13.14,0,0
20170918,FI-TAIWA,Fonds,13.08,13.08,13.08,13.08,0,0
20170915,FI-TAIWA,Fonds,13.00,13.00,13.00,13.00,0,0
20170914,FI-TAIWA,Fonds,12.92,12.92,12.92,12.92,0,0
20170913,FI-TAIWA,Fonds,13.12,13.12,13.12,13.12,0,0
20170911,FI-TAIWA,Fonds,13.10,13.10,13.10,13.10,0,0
20170908,FI-TAIWA,Fonds,13.09,13.09,13.09,13.09,0,0
20170907,FI-TAIWA,Fonds,13.03,13.03,13.03,13.03,0,0
20170906,FI-TAIWA,Fonds,13.10,13.10,13.10,13.10,0,0
20170905,FI-TAIWA,Fonds,13.02,13.02,13.02,13.02,0,0
20170904,FI-TAIWA,Fonds,13.12,13.12,13.12,13.12,0,0
20170901,FI-TAIWA,Fonds,13.07,13.07,13.07,13.07,0,0
20170831,FI-TAIWA,Fonds,13.06,13.06,13.06,13.06,0,0
20170830,FI-TAIWA,Fonds,12.99,12.99,12.99,12.99,0,0
20170829,FI-TAIWA,Fonds,13.04,13.04,13.04,13.04,0,0
20170825,FI-TAIWA,Fonds,12.97,12.97,12.97,12.97,0,0
20170824,FI-TAIWA,Fonds,12.84,12.84,12.84,12.84,0,0
20170823,FI-TAIWA,Fonds,12.83,12.83,12.83,12.83,0,0
20170822,FI-TAIWA,Fonds,12.73,12.73,12.73,12.73,0,0
20170821,FI-TAIWA,Fonds,12.64,12.64,12.64,12.64,0,0
20170818,FI-TAIWA,Fonds,12.75,12.75,12.75,12.75,0,0
20170817,FI-TAIWA,Fonds,12.69,12.69,12.69,12.69,0,0
20170816,FI-TAIWA,Fonds,12.71,12.71,12.71,12.71,0,0
20170815,FI-TAIWA,Fonds,12.69,12.69,12.69,12.69,0,0
20170814,FI-TAIWA,Fonds,12.70,12.70,12.70,12.70,0,0
20170811,FI-TAIWA,Fonds,12.67,12.67,12.67,12.67,0,0
20170810,FI-TAIWA,Fonds,12.89,12.89,12.89,12.89,0,0
20170809,FI-TAIWA,Fonds,13.07,13.07,13.07,13.07,0,0
20170808,FI-TAIWA,Fonds,13.05,13.05,13.05,13.05,0,0
20170807,FI-TAIWA,Fonds,12.99,12.99,12.99,12.99,0,0
20170804,FI-TAIWA,Fonds,12.92,12.92,12.92,12.92,0,0
20170803,FI-TAIWA,Fonds,12.97,12.97,12.97,12.97,0,0
20170802,FI-TAIWA,Fonds,12.87,12.87,12.87,12.87,0,0
20170801,FI-TAIWA,Fonds,12.88,12.88,12.88,12.88,0,0
