quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-TYSKL,Fonds,52.85,52.85,52.85,52.85,0,0
20171117,FI-TYSKL,Fonds,53.00,53.00,53.00,53.00,0,0
20171116,FI-TYSKL,Fonds,52.38,52.38,52.38,52.38,0,0
20171115,FI-TYSKL,Fonds,52.62,52.62,52.62,52.62,0,0
20171114,FI-TYSKL,Fonds,52.57,52.57,52.57,52.57,0,0
20171113,FI-TYSKL,Fonds,52.77,52.77,52.77,52.77,0,0
20171110,FI-TYSKL,Fonds,52.85,52.85,52.85,52.85,0,0
20171109,FI-TYSKL,Fonds,53.85,53.85,53.85,53.85,0,0
20171108,FI-TYSKL,Fonds,53.81,53.81,53.81,53.81,0,0
20171107,FI-TYSKL,Fonds,54.10,54.10,54.10,54.10,0,0
20171106,FI-TYSKL,Fonds,54.21,54.21,54.21,54.21,0,0
20171103,FI-TYSKL,Fonds,53.84,53.84,53.84,53.84,0,0
20171102,FI-TYSKL,Fonds,53.49,53.49,53.49,53.49,0,0
20171031,FI-TYSKL,Fonds,53.48,53.48,53.48,53.48,0,0
20171030,FI-TYSKL,Fonds,53.33,53.33,53.33,53.33,0,0
20171027,FI-TYSKL,Fonds,53.04,53.04,53.04,53.04,0,0
20171026,FI-TYSKL,Fonds,52.47,52.47,52.47,52.47,0,0
20171025,FI-TYSKL,Fonds,52.72,52.72,52.72,52.72,0,0
20171024,FI-TYSKL,Fonds,52.87,52.87,52.87,52.87,0,0
20171023,FI-TYSKL,Fonds,52.91,52.91,52.91,52.91,0,0
20171020,FI-TYSKL,Fonds,52.89,52.89,52.89,52.89,0,0
20171019,FI-TYSKL,Fonds,53.16,53.16,53.16,53.16,0,0
20171018,FI-TYSKL,Fonds,53.00,53.00,53.00,53.00,0,0
20171017,FI-TYSKL,Fonds,53.03,53.03,53.03,53.03,0,0
20171016,FI-TYSKL,Fonds,52.93,52.93,52.93,52.93,0,0
20171013,FI-TYSKL,Fonds,52.87,52.87,52.87,52.87,0,0
20171012,FI-TYSKL,Fonds,52.69,52.69,52.69,52.69,0,0
20171011,FI-TYSKL,Fonds,52.48,52.48,52.48,52.48,0,0
20171010,FI-TYSKL,Fonds,52.62,52.62,52.62,52.62,0,0
20171009,FI-TYSKL,Fonds,52.50,52.50,52.50,52.50,0,0
20171006,FI-TYSKL,Fonds,52.60,52.60,52.60,52.60,0,0
20171005,FI-TYSKL,Fonds,52.77,52.77,52.77,52.77,0,0
20171004,FI-TYSKL,Fonds,52.40,52.40,52.40,52.40,0,0
20171003,FI-TYSKL,Fonds,52.40,52.40,52.40,52.40,0,0
20171002,FI-TYSKL,Fonds,51.95,51.95,51.95,51.95,0,0
20170929,FI-TYSKL,Fonds,51.57,51.57,51.57,51.57,0,0
20170928,FI-TYSKL,Fonds,51.36,51.36,51.36,51.36,0,0
20170927,FI-TYSKL,Fonds,51.35,51.35,51.35,51.35,0,0
20170926,FI-TYSKL,Fonds,51.36,51.36,51.36,51.36,0,0
20170925,FI-TYSKL,Fonds,51.24,51.24,51.24,51.24,0,0
20170921,FI-TYSKL,Fonds,51.48,51.48,51.48,51.48,0,0
20170920,FI-TYSKL,Fonds,51.56,51.56,51.56,51.56,0,0
20170919,FI-TYSKL,Fonds,51.44,51.44,51.44,51.44,0,0
20170918,FI-TYSKL,Fonds,51.25,51.25,51.25,51.25,0,0
20170915,FI-TYSKL,Fonds,51.28,51.28,51.28,51.28,0,0
20170914,FI-TYSKL,Fonds,51.29,51.29,51.29,51.29,0,0
20170913,FI-TYSKL,Fonds,51.20,51.20,51.20,51.20,0,0
20170911,FI-TYSKL,Fonds,50.43,50.43,50.43,50.43,0,0
20170908,FI-TYSKL,Fonds,50.41,50.41,50.41,50.41,0,0
20170907,FI-TYSKL,Fonds,50.12,50.12,50.12,50.12,0,0
20170906,FI-TYSKL,Fonds,49.87,49.87,49.87,49.87,0,0
20170905,FI-TYSKL,Fonds,49.74,49.74,49.74,49.74,0,0
20170904,FI-TYSKL,Fonds,49.96,49.96,49.96,49.96,0,0
20170901,FI-TYSKL,Fonds,49.64,49.64,49.64,49.64,0,0
20170831,FI-TYSKL,Fonds,49.30,49.30,49.30,49.30,0,0
20170830,FI-TYSKL,Fonds,49.00,49.00,49.00,49.00,0,0
20170829,FI-TYSKL,Fonds,49.92,49.92,49.92,49.92,0,0
20170825,FI-TYSKL,Fonds,50.05,50.05,50.05,50.05,0,0
20170824,FI-TYSKL,Fonds,50.15,50.15,50.15,50.15,0,0
20170823,FI-TYSKL,Fonds,50.44,50.44,50.44,50.44,0,0
20170822,FI-TYSKL,Fonds,49.85,49.85,49.85,49.85,0,0
20170821,FI-TYSKL,Fonds,50.25,50.25,50.25,50.25,0,0
20170818,FI-TYSKL,Fonds,50.52,50.52,50.52,50.52,0,0
20170817,FI-TYSKL,Fonds,50.61,50.61,50.61,50.61,0,0
20170816,FI-TYSKL,Fonds,50.34,50.34,50.34,50.34,0,0
20170815,FI-TYSKL,Fonds,50.33,50.33,50.33,50.33,0,0
20170814,FI-TYSKL,Fonds,49.70,49.70,49.70,49.70,0,0
20170811,FI-TYSKL,Fonds,49.77,49.77,49.77,49.77,0,0
20170810,FI-TYSKL,Fonds,50.21,50.21,50.21,50.21,0,0
20170809,FI-TYSKL,Fonds,50.59,50.59,50.59,50.59,0,0
20170808,FI-TYSKL,Fonds,50.48,50.48,50.48,50.48,0,0
20170807,FI-TYSKL,Fonds,50.74,50.74,50.74,50.74,0,0
20170804,FI-TYSKL,Fonds,50.30,50.30,50.30,50.30,0,0
20170803,FI-TYSKL,Fonds,50.44,50.44,50.44,50.44,0,0
20170802,FI-TYSKL,Fonds,50.63,50.63,50.63,50.63,0,0
20170801,FI-TYSKL,Fonds,50.12,50.12,50.12,50.12,0,0
20170731,FI-TYSKL,Fonds,50.29,50.29,50.29,50.29,0,0
20170727,FI-TYSKL,Fonds,50.62,50.62,50.62,50.62,0,0
20170725,FI-TYSKL,Fonds,50.59,50.59,50.59,50.59,0,0
20170724,FI-TYSKL,Fonds,50.61,50.61,50.61,50.61,0,0
20170720,FI-TYSKL,Fonds,51.26,51.26,51.26,51.26,0,0
20170719,FI-TYSKL,Fonds,51.03,51.03,51.03,51.03,0,0
20170718,FI-TYSKL,Fonds,51.48,51.48,51.48,51.48,0,0
20170717,FI-TYSKL,Fonds,51.70,51.70,51.70,51.70,0,0
20170714,FI-TYSKL,Fonds,51.54,51.54,51.54,51.54,0,0
20170713,FI-TYSKL,Fonds,51.43,51.43,51.43,51.43,0,0
20170712,FI-TYSKL,Fonds,50.61,50.61,50.61,50.61,0,0
20170711,FI-TYSKL,Fonds,50.73,50.73,50.73,50.73,0,0
20170710,FI-TYSKL,Fonds,50.58,50.58,50.58,50.58,0,0
20170707,FI-TYSKL,Fonds,50.63,50.63,50.63,50.63,0,0
20170706,FI-TYSKL,Fonds,51.10,51.10,51.10,51.10,0,0
20170705,FI-TYSKL,Fonds,50.97,50.97,50.97,50.97,0,0
20170704,FI-TYSKL,Fonds,51.16,51.16,51.16,51.16,0,0
20170703,FI-TYSKL,Fonds,50.94,50.94,50.94,50.94,0,0
20170630,FI-TYSKL,Fonds,51.04,51.04,51.04,51.04,0,0
20170629,FI-TYSKL,Fonds,52.03,52.03,52.03,52.03,0,0
20170628,FI-TYSKL,Fonds,52.20,52.20,52.20,52.20,0,0
20170627,FI-TYSKL,Fonds,52.76,52.76,52.76,52.76,0,0
20170626,FI-TYSKL,Fonds,52.66,52.66,52.66,52.66,0,0
20170623,FI-TYSKL,Fonds,52.68,52.68,52.68,52.68,0,0
20170622,FI-TYSKL,Fonds,52.48,52.48,52.48,52.48,0,0
20170621,FI-TYSKL,Fonds,52.74,52.74,52.74,52.74,0,0
20170620,FI-TYSKL,Fonds,52.96,52.96,52.96,52.96,0,0
20170619,FI-TYSKL,Fonds,52.57,52.57,52.57,52.57,0,0
20170616,FI-TYSKL,Fonds,52.23,52.23,52.23,52.23,0,0
20170615,FI-TYSKL,Fonds,52.61,52.61,52.61,52.61,0,0
20170614,FI-TYSKL,Fonds,52.26,52.26,52.26,52.26,0,0
20170613,FI-TYSKL,Fonds,51.78,51.78,51.78,51.78,0,0
20170612,FI-TYSKL,Fonds,52.37,52.37,52.37,52.37,0,0
20170609,FI-TYSKL,Fonds,52.22,52.22,52.22,52.22,0,0
20170608,FI-TYSKL,Fonds,52.29,52.29,52.29,52.29,0,0
20170607,FI-TYSKL,Fonds,52.73,52.73,52.73,52.73,0,0
20170606,FI-TYSKL,Fonds,52.95,52.95,52.95,52.95,0,0
20170601,FI-TYSKL,Fonds,52.57,52.57,52.57,52.57,0,0
20170531,FI-TYSKL,Fonds,52.19,52.19,52.19,52.19,0,0
20170530,FI-TYSKL,Fonds,52.20,52.20,52.20,52.20,0,0
20170529,FI-TYSKL,Fonds,52.13,52.13,52.13,52.13,0,0
20170526,FI-TYSKL,Fonds,52.01,52.01,52.01,52.01,0,0
20170524,FI-TYSKL,Fonds,51.79,51.79,51.79,51.79,0,0
20170523,FI-TYSKL,Fonds,51.68,51.68,51.68,51.68,0,0
