quote_date,paper,exch,open,high,low,close,volume,value
20171120,FI-UKFUN,Fonds,2.813,2.813,2.813,2.813,0,0
20171117,FI-UKFUN,Fonds,2.813,2.813,2.813,2.813,0,0
20171116,FI-UKFUN,Fonds,2.795,2.795,2.795,2.795,0,0
20171115,FI-UKFUN,Fonds,2.814,2.814,2.814,2.814,0,0
20171114,FI-UKFUN,Fonds,2.809,2.809,2.809,2.809,0,0
20171113,FI-UKFUN,Fonds,2.825,2.825,2.825,2.825,0,0
20171110,FI-UKFUN,Fonds,2.838,2.838,2.838,2.838,0,0
20171109,FI-UKFUN,Fonds,2.861,2.861,2.861,2.861,0,0
20171108,FI-UKFUN,Fonds,2.863,2.863,2.863,2.863,0,0
20171107,FI-UKFUN,Fonds,2.888,2.888,2.888,2.888,0,0
20171106,FI-UKFUN,Fonds,2.895,2.895,2.895,2.895,0,0
20171103,FI-UKFUN,Fonds,2.893,2.893,2.893,2.893,0,0
20171102,FI-UKFUN,Fonds,2.872,2.872,2.872,2.872,0,0
20171031,FI-UKFUN,Fonds,2.87,2.87,2.87,2.87,0,0
20171030,FI-UKFUN,Fonds,2.875,2.875,2.875,2.875,0,0
20171027,FI-UKFUN,Fonds,2.881,2.881,2.881,2.881,0,0
20171026,FI-UKFUN,Fonds,2.872,2.872,2.872,2.872,0,0
20171025,FI-UKFUN,Fonds,2.895,2.895,2.895,2.895,0,0
20171024,FI-UKFUN,Fonds,2.893,2.893,2.893,2.893,0,0
20171023,FI-UKFUN,Fonds,2.89,2.89,2.89,2.89,0,0
20171020,FI-UKFUN,Fonds,2.88,2.88,2.88,2.88,0,0
20171019,FI-UKFUN,Fonds,2.879,2.879,2.879,2.879,0,0
20171018,FI-UKFUN,Fonds,2.867,2.867,2.867,2.867,0,0
20171017,FI-UKFUN,Fonds,2.882,2.882,2.882,2.882,0,0
20171016,FI-UKFUN,Fonds,2.886,2.886,2.886,2.886,0,0
20171013,FI-UKFUN,Fonds,2.892,2.892,2.892,2.892,0,0
20171012,FI-UKFUN,Fonds,2.886,2.886,2.886,2.886,0,0
20171011,FI-UKFUN,Fonds,2.881,2.881,2.881,2.881,0,0
20171010,FI-UKFUN,Fonds,2.872,2.872,2.872,2.872,0,0
20171009,FI-UKFUN,Fonds,2.882,2.882,2.882,2.882,0,0
20171006,FI-UKFUN,Fonds,2.876,2.876,2.876,2.876,0,0
20171005,FI-UKFUN,Fonds,2.865,2.865,2.865,2.865,0,0
20171004,FI-UKFUN,Fonds,2.867,2.867,2.867,2.867,0,0
20171003,FI-UKFUN,Fonds,2.854,2.854,2.854,2.854,0,0
20171002,FI-UKFUN,Fonds,2.832,2.832,2.832,2.832,0,0
20170929,FI-UKFUN,Fonds,2.816,2.816,2.816,2.816,0,0
20170928,FI-UKFUN,Fonds,2.805,2.805,2.805,2.805,0,0
20170927,FI-UKFUN,Fonds,2.779,2.779,2.779,2.779,0,0
20170926,FI-UKFUN,Fonds,2.79,2.79,2.79,2.79,0,0
20170925,FI-UKFUN,Fonds,2.802,2.802,2.802,2.802,0,0
20170921,FI-UKFUN,Fonds,2.786,2.786,2.786,2.786,0,0
20170920,FI-UKFUN,Fonds,2.785,2.785,2.785,2.785,0,0
20170919,FI-UKFUN,Fonds,2.776,2.776,2.776,2.776,0,0
20170918,FI-UKFUN,Fonds,2.765,2.765,2.765,2.765,0,0
20170915,FI-UKFUN,Fonds,2.799,2.799,2.799,2.799,0,0
20170914,FI-UKFUN,Fonds,2.823,2.823,2.823,2.823,0,0
20170913,FI-UKFUN,Fonds,2.832,2.832,2.832,2.832,0,0
20170911,FI-UKFUN,Fonds,2.819,2.819,2.819,2.819,0,0
20170908,FI-UKFUN,Fonds,2.825,2.825,2.825,2.825,0,0
20170907,FI-UKFUN,Fonds,2.804,2.804,2.804,2.804,0,0
20170906,FI-UKFUN,Fonds,2.818,2.818,2.818,2.818,0,0
20170905,FI-UKFUN,Fonds,2.834,2.834,2.834,2.834,0,0
20170904,FI-UKFUN,Fonds,2.846,2.846,2.846,2.846,0,0
20170901,FI-UKFUN,Fonds,2.837,2.837,2.837,2.837,0,0
20170831,FI-UKFUN,Fonds,2.801,2.801,2.801,2.801,0,0
20170830,FI-UKFUN,Fonds,2.79,2.79,2.79,2.79,0,0
20170829,FI-UKFUN,Fonds,2.807,2.807,2.807,2.807,0,0
20170825,FI-UKFUN,Fonds,2.827,2.827,2.827,2.827,0,0
20170824,FI-UKFUN,Fonds,2.817,2.817,2.817,2.817,0,0
20170823,FI-UKFUN,Fonds,2.813,2.813,2.813,2.813,0,0
20170822,FI-UKFUN,Fonds,2.785,2.785,2.785,2.785,0,0
20170821,FI-UKFUN,Fonds,2.793,2.793,2.793,2.793,0,0
20170818,FI-UKFUN,Fonds,2.823,2.823,2.823,2.823,0,0
20170817,FI-UKFUN,Fonds,2.84,2.84,2.84,2.84,0,0
20170816,FI-UKFUN,Fonds,2.818,2.818,2.818,2.818,0,0
20170815,FI-UKFUN,Fonds,2.799,2.799,2.799,2.799,0,0
